mondo_id	label	dismech_status	1079_categories	category_source
MONDO:0009833	Shwachman-Diamond syndrome	absent		
MONDO:0018230	skeletal dysplasia	absent		
MONDO:0019349	Sotos syndrome	absent		
MONDO:0019354	Stickler syndrome	secondary_only		
MONDO:0010315	T-B+ severe combined immunodeficiency due to gamma chain deficiency	absent		
MONDO:0100137	telomere syndrome	absent		
MONDO:0044210	thalassemia minor	absent		
MONDO:0008560	thrombophilia due to activated protein C resistance	absent		
MONDO:0018896	thrombotic thrombocytopenic purpura	secondary_only		
MONDO:0019499	Turner syndrome	absent		
MONDO:0010160	tyrosinemia type II	absent		
MONDO:0010168	Usher syndrome type 1	secondary_only		
MONDO:0700087	Usher syndrome type 1B	absent		
MONDO:0010171	Usher syndrome type 1C	absent		
MONDO:0010984	Usher syndrome type 1D	absent		
MONDO:0011195	Usher syndrome type 1E	absent		
MONDO:0011186	Usher syndrome type 1F	absent		
MONDO:0011748	Usher syndrome type 1G	absent		
MONDO:0012968	Usher syndrome type 1H	absent		
MONDO:0013935	Usher syndrome type 1J	absent		
MONDO:0014001	Usher syndrome type 1K	absent		
MONDO:0016484	Usher syndrome type 2	secondary_only		
MONDO:0010169	Usher syndrome type 2A	absent		
MONDO:0011558	Usher syndrome type 2C	absent		
MONDO:0012662	Usher syndrome type 2D	absent		
MONDO:0016485	Usher syndrome type 3	secondary_only		
MONDO:0010170	Usher syndrome type 3A	absent		
MONDO:0013788	Usher syndrome type 3B	absent		
MONDO:0100050	Usher syndrome, type 1D/F	absent		
MONDO:0029141	Usher syndrome, type 4	absent		
MONDO:0024299	vitamin D-dependent rickets	absent		
MONDO:0009924	vitamin D-dependent rickets, type 1	absent		
MONDO:0010196	Werner syndrome	absent		
MONDO:0009910	Wiedemann-Rautenstrauch syndrome	absent		
MONDO:0020720	X-linked hypophosphatemic rickets	secondary_only		
MONDO:0010627	X-linked lymphoproliferative syndrome	absent		
MONDO:0021019	X-linked recessive ocular albinism	absent		
MONDO:0018661	Zika virus infectious disease	absent		
