slug	name	parent_term	n_subtypes	n_pfacts	agrees	silent	reversed	same_term	status	n_retracted
Adult_Refsum_Disease	Adult Refsum Disease	MONDO:0009958	2	14	0	1	1	0	ALL_MAPPINGS_CONSISTENT	0
Aicardi_Goutieres_Syndrome	Aicardi-Goutieres Syndrome	MONDO:0018866	9	49	9	0	0	0	ALL_MAPPINGS_CONSISTENT	0
Alagille_syndrome	Alagille syndrome	MONDO:0007318	3	22	3	0	0	0	ALL_MAPPINGS_CONSISTENT	0
Alpha_Mannosidosis	Alpha-mannosidosis	MONDO:0009561	2	17	2	0	0	0	ALL_MAPPINGS_CONSISTENT	0
Amyloidosis	Amyloidosis	MONDO:0019065	3	32	3	0	0	0	RETRACTED	1
Anaplastic_Large_Cell_Lymphoma	Anaplastic Large Cell Lymphoma	MONDO:0020325	3	26	3	0	0	0	ALL_MAPPINGS_CONSISTENT	0
Anauxetic_Dysplasia	Anauxetic dysplasia	MONDO:0011773	3	22	3	0	0	0	ALL_MAPPINGS_CONSISTENT	0
Androgen_Insensitivity_Syndrome	Androgen Insensitivity Syndrome	MONDO:0019154	2	25	2	0	0	0	ALL_MAPPINGS_CONSISTENT	0
Aniridia	Aniridia	MONDO:0019172	2	21	1	1	0	0	ALL_MAPPINGS_CONSISTENT	0
Antiphospholipid_Syndrome	Antiphospholipid Syndrome	MONDO:8000010	3	21	3	0	0	0	ALL_MAPPINGS_CONSISTENT	0
Appendiceal_Neoplasm	Appendiceal Neoplasm	MONDO:0001236	3	23	3	0	0	0	ALL_MAPPINGS_CONSISTENT	0
Arterial_Calcification_of_Infancy	Arterial Calcification of Infancy	MONDO:0018870	2	16	2	0	0	0	ALL_MAPPINGS_CONSISTENT	0
Arthrogryposis-Renal_Dysfunction-Cholestasis_Syndrome	Arthrogryposis-Renal Dysfunction-Cholestasis Syndrome	MONDO:0017123	2	16	2	0	0	0	ALL_MAPPINGS_CONSISTENT	0
Arthrogryposis_Multiplex_Congenita	Arthrogryposis Multiplex Congenita	MONDO:0015168	2	17	0	2	0	0	ALL_MAPPINGS_CONSISTENT	0
Aspergillosis	Aspergillosis	MONDO:0005657	3	29	3	0	0	0	ALL_MAPPINGS_CONSISTENT	0
Auditory_Neuropathy	Auditory Neuropathy	MONDO:0021944	5	32	5	0	0	0	ALL_MAPPINGS_CONSISTENT	0
Autoimmune_Encephalitis	Autoimmune Encephalitis	MONDO:0020640	3	19	0	3	0	0	ALL_MAPPINGS_CONSISTENT	0
Autoimmune_Lymphoproliferative_Syndrome	Autoimmune Lymphoproliferative Syndrome	MONDO:0017979	2	19	2	0	0	0	ALL_MAPPINGS_CONSISTENT	0
Autoimmune_Polyendocrinopathy	Autoimmune Polyendocrinopathy	MONDO:0017278	4	34	4	0	0	0	RETRACTED	1
Autoimmune_Retinopathy	Autoimmune Retinopathy	MONDO:0100014	2	14	0	2	0	0	ALL_MAPPINGS_CONSISTENT	0
Autosomal_Agammaglobulinemia	Autosomal Agammaglobulinemia	MONDO:0011096	12	65	8	4	0	0	RETRACTED	1
Autosomal_Dominant_Polycystic_Liver_Disease	Autosomal dominant polycystic liver disease	MONDO:0000447	2	19	2	0	0	0	RETRACTED	1
Autosomal_Dominant_Progressive_External_Ophthalmoplegia	Autosomal Dominant Progressive External Ophthalmoplegia	MONDO:0008003	6	40	5	1	0	0	ALL_MAPPINGS_CONSISTENT	0
Autosomal_Recessive_Congenital_Ichthyosis	Autosomal Recessive Congenital Ichthyosis	MONDO:0017265	3	25	2	1	0	0	ALL_MAPPINGS_CONSISTENT	0
Autosomal_Recessive_Non-Syndromic_Intellectual_Disability	Autosomal Recessive Non-Syndromic Intellectual Disability	MONDO:0019502	10	62	10	0	0	0	ALL_MAPPINGS_CONSISTENT	0
Autosomal_Recessive_Primary_Microcephaly	Autosomal Recessive Primary Microcephaly	MONDO:0016660	28	154	28	0	0	0	ALL_MAPPINGS_CONSISTENT	0
Axenfeld-Rieger_syndrome	Axenfeld-Rieger_syndrome	MONDO:0019187	3	24	3	0	0	0	ALL_MAPPINGS_CONSISTENT	0
B-Lymphoblastic_Leukemia_Lymphoma_With_Recurrent_Genetic_Abnormality	B-Lymphoblastic Leukemia/Lymphoma With Recurrent Genetic Abnormality	MONDO:0035605	6	39	6	0	0	0	ALL_MAPPINGS_CONSISTENT	0
BEST1_Bestrophinopathies	BEST1 Bestrophinopathies	MONDO:0000390	5	38	1	4	0	0	ALL_MAPPINGS_CONSISTENT	0
Baraitser-Winter_Cerebrofrontofacial_Syndrome	Baraitser-Winter Cerebrofrontofacial Syndrome	MONDO:0017579	2	15	2	0	0	0	ALL_MAPPINGS_CONSISTENT	0
Benign_Familial_Infantile_Epilepsy	Benign Familial Infantile Epilepsy	MONDO:0017615	4	30	3	1	0	0	ALL_MAPPINGS_CONSISTENT	0
Benign_Neonatal_Seizures	Benign Neonatal Seizures	MONDO:0016027	2	16	2	0	0	0	RETRACTED	1
Bernard-Soulier_Syndrome	Bernard-Soulier Syndrome	MONDO:0009276	4	23	1	3	0	0	ALL_MAPPINGS_CONSISTENT	0
Bethlem_Myopathy	Bethlem myopathy	MONDO:0008029	3	23	3	0	0	0	ALL_MAPPINGS_CONSISTENT	0
Brittle_Cornea_Syndrome	Brittle Cornea Syndrome	MONDO:0009242	2	15	2	0	0	0	ALL_MAPPINGS_CONSISTENT	0
Brown-Vialetto-Van_Laere_Syndrome	Brown-Vialetto-Van Laere Syndrome	MONDO:0008891	2	20	2	0	0	0	ALL_MAPPINGS_CONSISTENT	0
Brugada_Syndrome	Brugada syndrome	MONDO:0015263	1	13	1	0	0	0	ALL_MAPPINGS_CONSISTENT	0
CACNA1F-Related_Retinopathy	CACNA1F-Related Retinopathy	MONDO:0700243	2	14	2	0	0	0	ALL_MAPPINGS_CONSISTENT	0
COFS_Syndrome	COFS Syndrome	MONDO:0008926	4	31	4	0	0	0	ALL_MAPPINGS_CONSISTENT	0
COL11A2_Hearing_Loss	COL11A2-Related Hearing Loss	MONDO:0011159	2	18	0	1	0	1	RETRACTED	1
CRB1_Retinal_Dystrophies	CRB1 Retinal Dystrophies	MONDO:0013453	3	20	0	2	0	1	RETRACTED	1
Capillary_Malformation-Arteriovenous_Malformation_Syndrome	Capillary Malformation-Arteriovenous Malformation Syndrome	MONDO:0012016	2	16	2	0	0	0	ALL_MAPPINGS_CONSISTENT	0
Carnitine_Palmitoyltransferase_II_Deficiency	Carnitine Palmitoyltransferase II Deficiency	MONDO:0015515	3	26	3	0	0	0	ALL_MAPPINGS_CONSISTENT	0
Caroli_Disease	Caroli disease	MONDO:0010913	1	14	0	1	0	0	ALL_MAPPINGS_CONSISTENT	0
Central_Areolar_Choroidal_Dystrophy	Central Areolar Choroidal Dystrophy	MONDO:0008982	3	20	3	0	0	0	ALL_MAPPINGS_CONSISTENT	0
Central_Nervous_System_Germ_Cell_Tumor	Central Nervous System Germ Cell Tumor	MONDO:0003000	4	26	4	0	0	0	ALL_MAPPINGS_CONSISTENT	0
Centronuclear_Myopathy	Centronuclear Myopathy	MONDO:0018947	5	40	5	0	0	0	RETRACTED	1
Cerebellar_Ataxia_Intellectual_Disability_and_Dysequilibrium	Cerebellar Ataxia, Intellectual Disability, and Dysequilibrium Syndrome	MONDO:0009133	4	29	4	0	0	0	ALL_MAPPINGS_CONSISTENT	0
Cerebral_Amyloid_Angiopathy	Cerebral Amyloid Angiopathy	MONDO:0005620	1	14	1	0	0	0	ALL_MAPPINGS_CONSISTENT	0
Cerebral_Cavernous_Malformation	Cerebral Cavernous Malformation	MONDO:0000820	4	27	4	0	0	0	ALL_MAPPINGS_CONSISTENT	0
Cerebral_Palsy	Cerebral Palsy	MONDO:0006497	4	33	4	0	0	0	ALL_MAPPINGS_CONSISTENT	0
Cholangiocarcinoma	Cholangiocarcinoma	MONDO:0019087	2	24	2	0	0	0	RETRACTED	1
Chondrosarcoma	Chondrosarcoma	MONDO:0008977	4	30	4	0	0	0	RETRACTED	1
Choroid_Plexus_Carcinoma	Choroid Plexus Carcinoma	MONDO:0016718	2	23	1	1	0	0	RETRACTED	1
Choroid_Plexus_Neoplasm	Choroid Plexus Neoplasm	MONDO:0016717	3	30	3	0	0	0	ALL_MAPPINGS_CONSISTENT	0
Choroiditis	Choroiditis	MONDO:0001280	8	52	2	6	0	0	ALL_MAPPINGS_CONSISTENT	0
Chromosome_Xq_Duplication	Chromosome Xq Duplication	MONDO:0017010	4	29	2	2	0	0	ALL_MAPPINGS_CONSISTENT	0
Chronic_Intestinal_Pseudoobstruction	Chronic Intestinal Pseudoobstruction	MONDO:0017574	2	15	1	1	0	0	ALL_MAPPINGS_CONSISTENT	0
Chronic_Mucocutaneous_Candidiasis	Chronic Mucocutaneous Candidiasis	MONDO:0015279	6	38	5	1	0	0	ALL_MAPPINGS_CONSISTENT	0
Chronic_Primary_Adrenal_Insufficiency	Chronic Primary Adrenal Insufficiency	MONDO:0015129	1	14	1	0	0	0	ALL_MAPPINGS_CONSISTENT	0
Citrin_Deficiency	Citrin Deficiency	MONDO:0016602	2	17	2	0	0	0	ALL_MAPPINGS_CONSISTENT	0
Citrullinemia_Type_I	Citrullinemia Type I	MONDO:0008988	2	15	2	0	0	0	ALL_MAPPINGS_CONSISTENT	0
Cole-Carpenter_Syndrome	Cole-Carpenter syndrome	MONDO:0016085	2	16	2	0	0	0	ALL_MAPPINGS_CONSISTENT	0
Congenital_Adrenal_Hyperplasia	Congenital Adrenal Hyperplasia	MONDO:0018479	8	55	8	0	0	0	ALL_MAPPINGS_CONSISTENT	0
Congenital_Bilateral_Absence_of_Vas_Deferens	Congenital Bilateral Absence of Vas Deferens	MONDO:0018801	2	16	2	0	0	0	ALL_MAPPINGS_CONSISTENT	0
Congenital_Dyserythropoietic_Anemia	Congenital Dyserythropoietic Anemia	MONDO:0019403	3	26	3	0	0	0	ALL_MAPPINGS_CONSISTENT	0
Congenital_Fibrosis_of_the_Extraocular_Muscles	Congenital Fibrosis of the Extraocular Muscles	MONDO:0007614	7	45	7	0	0	0	ALL_MAPPINGS_CONSISTENT	0
Congenital_Glaucoma	Congenital Glaucoma	MONDO:0020366	6	37	6	0	0	0	RETRACTED	1
Congenital_Heart_Disease	Congenital Heart Disease	MONDO:0005453	4	28	2	2	0	0	RETRACTED	1
Congenital_Hydrocephalus	Congenital Hydrocephalus	MONDO:0016349	5	30	4	1	0	0	ALL_MAPPINGS_CONSISTENT	0
Congenital_Hypomyelinating_Neuropathy	Congenital Hypomyelinating Neuropathy	MONDO:0033352	3	22	3	0	0	0	ALL_MAPPINGS_CONSISTENT	0
Congenital_Hypothyroidism	Congenital Hypothyroidism	MONDO:0018612	4	32	4	0	0	0	ALL_MAPPINGS_CONSISTENT	0
Congenital_Insensitivity_to_Pain	Congenital Insensitivity to Pain	MONDO:0015364	5	41	4	1	0	0	ALL_MAPPINGS_CONSISTENT	0
Congenital_Primary_Megaureter	Congenital Primary Megaureter	MONDO:0018960	4	24	4	0	0	0	ALL_MAPPINGS_CONSISTENT	0
Congenital_Stationary_Night_Blindness	Congenital Stationary Night Blindness	MONDO:0016293	3	25	3	0	0	0	RETRACTED	2
Constitutional_Mismatch_Repair_Deficiency	Constitutional Mismatch Repair Deficiency	MONDO:0031219	4	23	4	0	0	0	ALL_MAPPINGS_CONSISTENT	0
Corneal_Dystrophy	Corneal Dystrophy	MONDO:0018102	4	26	4	0	0	0	ALL_MAPPINGS_CONSISTENT	0
Coronary_Artery_Congenital_Malformation	Coronary Artery Congenital Malformation	MONDO:0015203	4	23	4	0	0	0	ALL_MAPPINGS_CONSISTENT	0
Cranial_Neuralgia	Cranial Neuralgia	MONDO:0016374	2	18	2	0	0	0	ALL_MAPPINGS_CONSISTENT	0
Craniometaphyseal_Dysplasia	Craniometaphyseal Dysplasia	MONDO:0015465	2	18	2	0	0	0	ALL_MAPPINGS_CONSISTENT	0
Crigler-Najjar_Syndrome	Crigler-Najjar Syndrome	MONDO:0009044	2	22	2	0	0	0	ALL_MAPPINGS_CONSISTENT	0
Cryoglobulinemic_Vasculitis	Cryoglobulinemic Vasculitis	MONDO:0007407	3	19	2	1	0	0	ALL_MAPPINGS_CONSISTENT	0
Cystinosis	Cystinosis	MONDO:0016239	3	29	3	0	0	0	ALL_MAPPINGS_CONSISTENT	0
Cystinuria	Cystinuria	MONDO:0009067	2	21	2	0	0	0	ALL_MAPPINGS_CONSISTENT	0
D-2-Hydroxyglutaric_Aciduria	D-2-Hydroxyglutaric Aciduria	MONDO:0010924	2	16	2	0	0	0	ALL_MAPPINGS_CONSISTENT	0
DONSON-Related_Microcephalic_Primordial_Dwarfism	DONSON-Related Microcephalic Primordial Dwarfism	MONDO:0035534	2	17	0	2	0	0	ALL_MAPPINGS_CONSISTENT	0
Diabetes_Mellitus	Diabetes mellitus	MONDO:0005015	27	177	27	0	0	0	ALL_MAPPINGS_CONSISTENT	0
Diabetic_Retinopathy	Diabetic Retinopathy	MONDO:0005266	3	23	3	0	0	0	ALL_MAPPINGS_CONSISTENT	0
Diffuse_Astrocytoma	Diffuse Astrocytoma	MONDO:0016686	2	15	0	2	0	0	ALL_MAPPINGS_CONSISTENT	0
Diphtheria	Diphtheria	MONDO:0005504	5	35	5	0	0	0	ALL_MAPPINGS_CONSISTENT	0
Disorder_of_Catecholamine_Synthesis	Disorder of Catecholamine Synthesis	MONDO:0017759	5	36	1	4	0	0	ALL_MAPPINGS_CONSISTENT	0
Double_Outlet_Right_Ventricle	Double Outlet Right Ventricle	MONDO:0018089	5	31	5	0	0	0	RETRACTED	1
Dowling-Degos_Disease	Dowling-Degos Disease	MONDO:0008371	3	19	3	0	0	0	ALL_MAPPINGS_CONSISTENT	0
Dystroglycanopathy	Dystroglycanopathy	MONDO:0018276	3	19	3	0	0	0	ALL_MAPPINGS_CONSISTENT	0
Dystrophic_Epidermolysis_Bullosa	Dystrophic Epidermolysis Bullosa	MONDO:0006543	4	30	4	0	0	0	ALL_MAPPINGS_CONSISTENT	0
EDAR_Hypohidrotic_Ectodermal_Dysplasia	EDAR-Related Hypohidrotic Ectodermal Dysplasia	MONDO:0016535	2	19	2	0	0	0	ALL_MAPPINGS_CONSISTENT	0
EDN3_EDNRB_Waardenburg_Shah	EDN3/EDNRB Waardenburg-Shah	MONDO:0019518	2	17	2	0	0	0	ALL_MAPPINGS_CONSISTENT	0
ER_Positive_Breast_Cancer	ER-Positive Breast Cancer	MONDO:0006512	2	13	0	2	0	0	ALL_MAPPINGS_CONSISTENT	0
EYA1-Related_Branchiootorenal_Spectrum	EYA1-Related Branchiootorenal Spectrum Disorder	MONDO:0011258	2	15	0	1	0	1	ALL_MAPPINGS_CONSISTENT	0
Early-Onset_Autosomal_Dominant_Alzheimer_Disease	Early-Onset Autosomal Dominant Alzheimer Disease	MONDO:0015140	4	27	3	1	0	0	ALL_MAPPINGS_CONSISTENT	0
Ectopic_Pregnancy	Ectopic Pregnancy	MONDO:0000755	4	28	4	0	0	0	ALL_MAPPINGS_CONSISTENT	0
Ehlers-Danlos_Syndrome	Ehlers-Danlos Syndrome	MONDO:0020066	1	13	1	0	0	0	ALL_MAPPINGS_CONSISTENT	0
Embryonal_Carcinoma	Embryonal Carcinoma	MONDO:0005440	4	27	4	0	0	0	ALL_MAPPINGS_CONSISTENT	0
Emery_Dreifuss_Muscular_Dystrophy	Emery-Dreifuss Muscular Dystrophy	MONDO:0016830	5	35	5	0	0	0	ALL_MAPPINGS_CONSISTENT	0
Epilepsy	Epilepsy	MONDO:0005027	5	45	5	0	0	0	RETRACTED	1
Episodic_Ataxia	Episodic Ataxia	MONDO:0016227	2	19	2	0	0	0	ALL_MAPPINGS_CONSISTENT	0
Ewing_Sarcoma	Ewing Sarcoma	MONDO:0012817	2	21	2	0	0	0	ALL_MAPPINGS_CONSISTENT	0
FAM111A-Related_Skeletal_Dysplasia	FAM111A-Related Skeletal Dysplasia	MONDO:1060172	2	17	2	0	0	0	ALL_MAPPINGS_CONSISTENT	0
FLVCR1-Related_Retinopathy	FLVCR1-Related Retinopathy with or without Ataxia	MONDO:0100449	1	10	1	0	0	0	ALL_MAPPINGS_CONSISTENT	0
Facioscapulohumeral_Muscular_Dystrophy	Facioscapulohumeral Muscular Dystrophy	MONDO:0001347	2	23	2	0	0	0	ALL_MAPPINGS_CONSISTENT	0
Familial_Atrial_Fibrillation	Familial Atrial Fibrillation	MONDO:0018054	18	84	18	0	0	0	ALL_MAPPINGS_CONSISTENT	0
Familial_Cold_Autoinflammatory_Syndrome	Familial Cold Autoinflammatory Syndrome	MONDO:0018768	4	32	4	0	0	0	ALL_MAPPINGS_CONSISTENT	0
Familial_Glucocorticoid_Deficiency	Familial Glucocorticoid Deficiency	MONDO:0008733	5	36	5	0	0	0	ALL_MAPPINGS_CONSISTENT	0
Familial_Hemiplegic_Migraine	Familial Hemiplegic Migraine	MONDO:0000700	3	25	3	0	0	0	ALL_MAPPINGS_CONSISTENT	0
Familial_Hyperaldosteronism	familial hyperaldosteronism	MONDO:0016525	4	37	4	0	0	0	RETRACTED	1
Familial_Hypercholesterolemia	Familial Hypercholesterolemia	MONDO:0005439	1	11	1	0	0	0	ALL_MAPPINGS_CONSISTENT	0
Familial_Nonmedullary_Thyroid_Carcinoma	Familial Nonmedullary Thyroid Carcinoma	MONDO:0017896	3	19	3	0	0	0	ALL_MAPPINGS_CONSISTENT	0
Familial_Partial_Lipodystrophy	Familial Partial Lipodystrophy	MONDO:0020088	7	49	7	0	0	0	ALL_MAPPINGS_CONSISTENT	0
Familial_Renal_Glucosuria	Familial Renal Glucosuria	MONDO:0009297	2	27	0	0	0	2	RETRACTED	5
Familial_Sleep_Related_Hypermotor_Epilepsy	Familial Sleep-Related Hypermotor Epilepsy	MONDO:0000030	5	36	5	0	0	0	ALL_MAPPINGS_CONSISTENT	0
Familial_Thoracic_Aortic_Aneurysm_and_Aortic_Dissection	Familial Thoracic Aortic Aneurysm and Aortic Dissection	MONDO:0019625	9	45	9	0	0	0	ALL_MAPPINGS_CONSISTENT	0
Familial_Vesicoureteral_Reflux	Familial Vesicoureteral Reflux	MONDO:0017329	9	42	9	0	0	0	ALL_MAPPINGS_CONSISTENT	0
Familial_Visceral_Amyloidosis	Familial Visceral Amyloidosis	MONDO:0007099	4	25	4	0	0	0	ALL_MAPPINGS_CONSISTENT	0
Fanconi_Anemia	Fanconi_Anemia	MONDO:0019391	21	128	21	0	0	0	ALL_MAPPINGS_CONSISTENT	0
Feingold_Syndrome	Feingold Syndrome	MONDO:0015267	2	16	2	0	0	0	ALL_MAPPINGS_CONSISTENT	0
Fetal_Alcohol_Spectrum_Disorder	Fetal Alcohol Spectrum Disorder	MONDO:0000408	2	19	2	0	0	0	RETRACTED	1
Fibrosarcoma	Fibrosarcoma	MONDO:0005164	1	12	1	0	0	0	ALL_MAPPINGS_CONSISTENT	0
Free_Sialic_Acid_Storage_Disease	Free Sialic Acid Storage Disease	MONDO:0019366	3	21	3	0	0	0	ALL_MAPPINGS_CONSISTENT	0
Friedreich_Ataxia	Friedreich Ataxia	MONDO:0100339	1	12	1	0	0	0	ALL_MAPPINGS_CONSISTENT	0
Frontonasal_Dysplasia	Frontonasal Dysplasia	MONDO:0016643	3	26	3	0	0	0	ALL_MAPPINGS_CONSISTENT	0
Frontotemporal_Dementia	Frontotemporal Dementia	MONDO:0017276	4	33	3	1	0	0	RETRACTED	1
GABRG2-Related_Epilepsy	GABRG2-Related Epilepsy	MONDO:0032725	1	10	0	0	0	1	ALL_MAPPINGS_CONSISTENT	0
GNAO1-Related_Developmental_and_Epileptic_Encephalopathy	GNAO1-Related Developmental and Epileptic Encephalopathy	MONDO:0014199	2	16	0	1	0	1	RETRACTED	1
GUCY2D-Related_Retinopathy	GUCY2D-Related Retinopathy	MONDO:0100453	1	6	0	1	0	0	ALL_MAPPINGS_CONSISTENT	0
Galactosemia	Galactosemia	MONDO:0018116	3	29	3	0	0	0	ALL_MAPPINGS_CONSISTENT	0
Galloway-Mowat_Syndrome	Galloway-Mowat syndrome	MONDO:0009627	10	52	10	0	0	0	ALL_MAPPINGS_CONSISTENT	0
Gastric_Adenocarcinoma	Gastric Adenocarcinoma	MONDO:0005036	3	21	3	0	0	0	ALL_MAPPINGS_CONSISTENT	0
Gastrointestinal_Lymphoma	Gastrointestinal Lymphoma	MONDO:0004699	5	31	5	0	0	0	ALL_MAPPINGS_CONSISTENT	0
Gaucher_Disease	Gaucher Disease	MONDO:0018150	3	27	3	0	0	0	ALL_MAPPINGS_CONSISTENT	0
Geleophysic_Dysplasia	Geleophysic Dysplasia	MONDO:0000127	3	21	3	0	0	0	ALL_MAPPINGS_CONSISTENT	0
Genital_Lichen_Sclerosus	Genital Lichen Sclerosus	MONDO:0007899	2	18	1	1	0	0	ALL_MAPPINGS_CONSISTENT	0
Glanzmann_Thrombasthenia	Glanzmann Thrombasthenia	MONDO:0100326	2	16	2	0	0	0	ALL_MAPPINGS_CONSISTENT	0
Glomerulonephritis	Glomerulonephritis	MONDO:0002462	7	49	6	1	0	0	ALL_MAPPINGS_CONSISTENT	0
Glutathione_Synthetase_Deficiency	Glutathione Synthetase Deficiency	MONDO:0017909	2	22	2	0	0	0	ALL_MAPPINGS_CONSISTENT	0
Glycogen_Storage_Disease_Type_IV	Glycogen Storage Disease Type IV	MONDO:0009292	1	13	1	0	0	0	ALL_MAPPINGS_CONSISTENT	0
Glycogen_Storage_Disease_Type_IX	Glycogen Storage Disease Type IX	MONDO:0700291	5	38	4	1	0	0	RETRACTED	2
Growth_Hormone_Insensitivity_Syndrome	Growth Hormone Insensitivity Syndrome	MONDO:0015892	2	19	2	0	0	0	ALL_MAPPINGS_CONSISTENT	0
Guillain_Barre_Syndrome	Guillain-Barre Syndrome	MONDO:0016218	4	33	3	1	0	0	ALL_MAPPINGS_CONSISTENT	0
Hairy_Cell_Leukemia	Hairy Cell Leukemia	MONDO:0018935	1	14	1	0	0	0	ALL_MAPPINGS_CONSISTENT	0
Heavy_Chain_Disease	Heavy Chain Disease	MONDO:0019464	3	30	3	0	0	0	ALL_MAPPINGS_CONSISTENT	0
Hemochromatosis	Hemochromatosis	MONDO:0006507	4	31	4	0	0	0	ALL_MAPPINGS_CONSISTENT	0
Hemophilia	Hemophilia	MONDO:0018660	3	31	2	1	0	0	RETRACTED	1
Hemophilia_A	Hemophilia A	MONDO:0010602	3	23	3	0	0	0	RETRACTED	1
Hereditary_Angioedema	Hereditary Angioedema	MONDO:0019623	7	41	7	0	0	0	ALL_MAPPINGS_CONSISTENT	0
Hereditary_Elliptocytosis	Hereditary Elliptocytosis	MONDO:0017319	5	35	5	0	0	0	ALL_MAPPINGS_CONSISTENT	0
Hereditary_Hemorrhagic_Telangiectasia	Hereditary Hemorrhagic Telangiectasia	MONDO:0019180	5	32	4	1	0	0	ALL_MAPPINGS_CONSISTENT	0
Hereditary_Sensory_and_Autonomic_Neuropathy_Type_2	Hereditary Sensory and Autonomic Neuropathy Type 2	MONDO:0019941	3	20	3	0	0	0	ALL_MAPPINGS_CONSISTENT	0
Hermansky_Pudlak_Syndrome	Hermansky-Pudlak Syndrome	MONDO:0019312	11	71	11	0	0	0	RETRACTED	1
Hodgkin_Lymphoma	Hodgkin Lymphoma	MONDO:0004952	2	23	2	0	0	0	ALL_MAPPINGS_CONSISTENT	0
Holoprosencephaly_9	Holoprosencephaly 9	MONDO:0012563	1	11	0	1	0	0	ALL_MAPPINGS_CONSISTENT	0
Houge-Janssens_Syndrome	Houge-Janssens Syndrome	MONDO:0957553	3	17	3	0	0	0	ALL_MAPPINGS_CONSISTENT	0
Huntington_Disease	Huntington Disease	MONDO:0007739	1	15	1	0	0	0	ALL_MAPPINGS_CONSISTENT	0
Hypereosinophilic_Syndrome	Hypereosinophilic syndrome	MONDO:0015691	3	25	3	0	0	0	ALL_MAPPINGS_CONSISTENT	0
Hyperinsulinemic_Hypoglycemia	Hyperinsulinemic Hypoglycemia	MONDO:0005803	4	25	4	0	0	0	ALL_MAPPINGS_CONSISTENT	0
Hypobetalipoproteinemia	Hypobetalipoproteinemia	MONDO:0017774	3	25	3	0	0	0	RETRACTED	1
Hypokalemic_Periodic_Paralysis	Hypokalemic Periodic Paralysis	MONDO:0008223	2	17	2	0	0	0	ALL_MAPPINGS_CONSISTENT	0
Hypotrichosis_with_Juvenile_Macular_Dystrophy	Hypotrichosis with Juvenile Macular Dystrophy	MONDO:0011107	2	21	0	1	0	1	RETRACTED	1
IFT140-related_Recessive_Ciliopathy	IFT140-related Recessive Ciliopathy	MONDO:0100509	1	8	1	0	0	0	ALL_MAPPINGS_CONSISTENT	0
Idiopathic_Interstitial_Pneumonia	Idiopathic Interstitial Pneumonia	MONDO:0002429	8	69	8	0	0	0	ALL_MAPPINGS_CONSISTENT	0
Immunodeficiency_Centromeric_Instability_Facial_Anomalies_Syndrome	Immunodeficiency-Centromeric Instability-Facial Anomalies Syndrome	MONDO:0000133	4	27	4	0	0	0	ALL_MAPPINGS_CONSISTENT	0
