mondo_id	disease_name	n_dismech	direct_hpoa_ids	direct_n_hpoa	direct_n_exact	direct_n_more_specific	direct_n_more_general	direct_n_novel	direct_n_hpoa_only	direct_novel_terms	subtree_hpoa_ids	subtree_n_hpoa	subtree_n_exact	subtree_n_more_specific	subtree_n_more_general	subtree_n_novel	subtree_n_hpoa_only	subtree_novel_terms
MONDO:0010590	FG syndrome 1	56	OMIM:305450;ORPHA:93932	113	31	4	6	15	82	HP:0000107;HP:0000268;HP:0000369;HP:0000411;HP:0000718;HP:0000739;HP:0000787;HP:0001385;HP:0001999;HP:0002360;HP:0003468;HP:0006394;HP:0011968;HP:0100710;HP:0400005	OMIM:305450;ORPHA:93932	113	31	4	6	15	82	HP:0000107;HP:0000268;HP:0000369;HP:0000411;HP:0000718;HP:0000739;HP:0000787;HP:0001385;HP:0001999;HP:0002360;HP:0003468;HP:0006394;HP:0011968;HP:0100710;HP:0400005
MONDO:0014248	autism spectrum disorder - epilepsy - arthrogryposis syndrome	24	OMIM:615553;ORPHA:370943	22	4	2	3	15	18	HP:0000175;HP:0000627;HP:0001643;HP:0001655;HP:0001838;HP:0001999;HP:0002445;HP:0002983;HP:0003422;HP:0004684;HP:0005684;HP:0006150;HP:0010851;HP:0012469;HP:0200134	OMIM:615553;ORPHA:370943	22	4	2	3	15	18	HP:0000175;HP:0000627;HP:0001643;HP:0001655;HP:0001838;HP:0001999;HP:0002445;HP:0002983;HP:0003422;HP:0004684;HP:0005684;HP:0006150;HP:0010851;HP:0012469;HP:0200134
MONDO:0032485	intellectual developmental disorder 61	28	OMIM:618009	20	6	1	6	15	14	HP:0000238;HP:0000252;HP:0000256;HP:0000407;HP:0000587;HP:0000924;HP:0001105;HP:0001249;HP:0001273;HP:0001510;HP:0001627;HP:0001639;HP:0002251;HP:0011069;HP:0012469	OMIM:618009	20	6	1	6	15	14	HP:0000238;HP:0000252;HP:0000256;HP:0000407;HP:0000587;HP:0000924;HP:0001105;HP:0001249;HP:0001273;HP:0001510;HP:0001627;HP:0001639;HP:0002251;HP:0011069;HP:0012469
MONDO:0957397	intellectual developmental disorder, autosomal dominant 72	28	OMIM:620439	35	11	1	1	15	24	HP:0000400;HP:0000822;HP:0001182;HP:0001250;HP:0001635;HP:0001773;HP:0001999;HP:0002020;HP:0002789;HP:0003077;HP:0010055;HP:0010535;HP:0025252;HP:0100033;HP:0200055	OMIM:620439	35	11	1	1	15	24	HP:0000400;HP:0000822;HP:0001182;HP:0001250;HP:0001635;HP:0001773;HP:0001999;HP:0002020;HP:0002789;HP:0003077;HP:0010055;HP:0010535;HP:0025252;HP:0100033;HP:0200055
MONDO:0020831	congenital vertebral-cardiac-renal anomalies syndrome	30									OMIM:617660;OMIM:617661;OMIM:618845	49	10	1	4	15	39	HP:0000110;HP:0000476;HP:0000478;HP:0000486;HP:0000508;HP:0000821;HP:0000829;HP:0001250;HP:0001748;HP:0001999;HP:0002021;HP:0002575;HP:0002650;HP:0002813;HP:0011123
MONDO:0008005	cardiospondylocarpofacial syndrome	41	OMIM:157800;ORPHA:3238	64	21	1	5	14	43	HP:0000028;HP:0000494;HP:0000750;HP:0001256;HP:0001263;HP:0001644;HP:0001763;HP:0001999;HP:0002092;HP:0002576;HP:0002579;HP:0010296;HP:0011675;HP:0410263	OMIM:157800;ORPHA:3238	64	21	1	5	14	43	HP:0000028;HP:0000494;HP:0000750;HP:0001256;HP:0001263;HP:0001644;HP:0001763;HP:0001999;HP:0002092;HP:0002576;HP:0002579;HP:0010296;HP:0011675;HP:0410263
MONDO:0009561	alpha-mannosidosis	64	OMIM:248500;ORPHA:61	87	42	3	5	14	45	HP:0000486;HP:0000540;HP:0000545;HP:0000736;HP:0000750;HP:0001270;HP:0001328;HP:0002090;HP:0002721;HP:0003198;HP:0010471;HP:0011334;HP:0025406;HP:0031123	OMIM:248500;ORPHA:309282;ORPHA:309288;ORPHA:61	152	64	0	0	0	88	
MONDO:0013977	combined oxidative phosphorylation defect type 13	24	OMIM:614932;ORPHA:319514	46	8	1	1	14	38	HP:0000252;HP:0000505;HP:0000648;HP:0001250;HP:0001251;HP:0001257;HP:0001263;HP:0001639;HP:0002015;HP:0002352;HP:0002376;HP:0003128;HP:0003477;HP:0012469	OMIM:614932;ORPHA:319514	46	8	1	1	14	38	HP:0000252;HP:0000505;HP:0000648;HP:0001250;HP:0001251;HP:0001257;HP:0001263;HP:0001639;HP:0002015;HP:0002352;HP:0002376;HP:0003128;HP:0003477;HP:0012469
MONDO:0014162	infantile hypertrophic cardiomyopathy due to MRPL44 deficiency	17	OMIM:615395	9	1	0	2	14	8	HP:0000083;HP:0000580;HP:0001251;HP:0001257;HP:0001324;HP:0001328;HP:0001508;HP:0001635;HP:0001712;HP:0001943;HP:0002076;HP:0003128;HP:0003198;HP:0003546	OMIM:615395	9	1	0	2	14	8	HP:0000083;HP:0000580;HP:0001251;HP:0001257;HP:0001324;HP:0001328;HP:0001508;HP:0001635;HP:0001712;HP:0001943;HP:0002076;HP:0003128;HP:0003198;HP:0003546
MONDO:0014292	leukoencephalopathy with mild cerebellar ataxia and white matter edema	21	OMIM:615651	15	5	0	2	14	10	HP:0000027;HP:0000360;HP:0000365;HP:0000639;HP:0000648;HP:0000716;HP:0001250;HP:0001257;HP:0001263;HP:0002168;HP:0002321;HP:0003251;HP:0007166;HP:0100543	OMIM:615651	15	5	0	2	14	10	HP:0000027;HP:0000360;HP:0000365;HP:0000639;HP:0000648;HP:0000716;HP:0001250;HP:0001257;HP:0001263;HP:0002168;HP:0002321;HP:0003251;HP:0007166;HP:0100543
