disease_name	disease_id	total_gaps	missing_locally	covered_by_broader	unlinked_to_pathograph	local_missing_evidence
Activated PI3K-delta syndrome	MONDO:0018338	53	45	7	1	0
Berardinelli-Seip Congenital Lipodystrophy	MONDO:0018883	52	45	6	1	0
Autoimmune Hemolytic Anemia	MONDO:0020108	52	41	3	4	4
Alzheimer Disease	MONDO:0004975	51	39	7	5	0
Chikungunya	MONDO:0017941	51	47	1	3	0
46,XX Gonadal Dysgenesis	MONDO:0009299	51	47	4	0	0
Cystic Fibrosis	MONDO:0009061	51	46	4	0	1
Castleman Disease	MONDO:0015564	49	32	3	10	4
Blau Syndrome	MONDO:0008523	49	46	3	0	0
ALG1-congenital disorder of glycosylation	MONDO:0012052	49	30	4	15	0
Adult-Onset Still Disease	MONDO:0019355	49	47	2	0	0
Autoimmune Encephalitis	MONDO:0020640	49	36	5	6	2
Cole-Carpenter syndrome	MONDO:0016085	49	34	7	8	0
Atelosteogenesis Type I	MONDO:0007167	48	36	12	0	0
Chromosome 18p Deletion Syndrome	MONDO:0007800	48	47	1	0	0
Asparagine synthetase deficiency	MONDO:0014258	47	43	4	0	0
Cronkhite-Canada syndrome	MONDO:0008283	47	38	3	6	0
Canavan disease	MONDO:0010079	47	37	10	0	0
Antisynthetase Syndrome	MONDO:0019344	47	31	2	13	1
Amelogenesis Imperfecta	MONDO:0019507	46	44	2	0	0
Autosomal Dominant Dopa-Responsive Dystonia	MONDO:0971063	46	37	9	0	0
Chronic_Obstructive_Pulmonary_Disease	MONDO:0005002	45	31	2	8	4
Anti-Glomerular Basement Membrane Disease	MONDO:0009303	45	37	1	7	0
Deficiency of Adenosine Deaminase 2	MONDO:0014306	45	45	0	0	0
Axenfeld-Rieger_syndrome	MONDO:0019187	44	40	4	0	0
Chronic Intestinal Pseudoobstruction	MONDO:0017574	44	40	1	0	3
DK1-congenital disorder of glycosylation	MONDO:0012556	43	34	9	0	0
Cleft Lip/Palate	MONDO:0016044	43	24	12	7	0
Benign Familial Infantile Epilepsy	MONDO:0017615	42	23	19	0	0
Alport Syndrome	MONDO:0018965	42	40	1	1	0
3-Phosphoglycerate Dehydrogenase Deficiency	MONDO:0011152	42	33	9	0	0
Crouzon Syndrome	MONDO:0007405	42	35	1	5	1
Acute Intermittent Porphyria	MONDO:0008294	41	31	10	0	0
3-hydroxyisobutyryl-CoA hydrolase deficiency	MONDO:0009603	41	25	4	12	0
Cystic echinococcosis	MONDO:0018408	41	40	0	1	0
Asbestosis	MONDO:0016466	41	25	5	7	4
Acute Disseminated Encephalomyelitis	MONDO:0019383	41	33	8	0	0
Craniopharyngioma	MONDO:0018907	40	28	5	7	0
Bosch-Boonstra-Schaaf Optic Atrophy Syndrome	MONDO:0014320	40	30	6	4	0
Brown-Vialetto-Van Laere Syndrome	MONDO:0024537	38	28	5	5	0
Congenital Sialidosis Type 2	MONDO:0019682	38	38	0	0	0
Atrial Standstill	MONDO:0015281	38	34	1	3	0
Coronary Artery Congenital Malformation	MONDO:0015203	38	21	2	13	2
Cholesteryl Ester Storage Disease	MONDO:0019149	37	33	3	1	0
Cryoglobulinemic Vasculitis	MONDO:0007407	37	26	2	9	0
Atelosteogenesis Type II	MONDO:0009727	37	33	4	0	0
Atelosteogenesis Type III	MONDO:0007168	36	35	1	0	0
Cholera	MONDO:0015766	36	23	0	7	6
Cerebral Amyloid Angiopathy	MONDO:0005620	36	32	4	0	0
Autosomal Recessive Ataxia Beauce Type	MONDO:0012549	36	32	4	0	0
Achondrogenesis Type II	MONDO:0008702	36	26	2	8	0
BCKDK Deficiency	MONDO:0013970	35	25	10	0	0
Acquired Thrombotic Thrombocytopenic Purpura	MONDO:0019740	35	34	1	0	0
Anal Canal Carcinoma	MONDO:0007108	35	35	0	0	0
Ayme-Gripp syndrome	MONDO:0010992	35	31	4	0	0
COPA Syndrome	MONDO:0014629	35	26	9	0	0
Dextro-Transposition of the Great Arteries	MONDO:0019443	34	34	0	0	0
Borjeson-Forssman-Lehmann syndrome	MONDO:0010537	34	32	2	0	0
Alkaptonuria	MONDO:0008753	34	33	1	0	0
Bacterial meningitis	MONDO:0006670	34	22	6	6	0
Achromatopsia	MONDO:0018852	34	19	14	1	0
Chromoblastomycosis	MONDO:0015908	34	31	1	2	0
Arts syndrome	MONDO:0010533	34	29	5	0	0
Beta-Ketothiolase Deficiency	MONDO:0008760	34	31	2	1	0
Corpus Callosum Agenesis-Intellectual Disability-Coloboma-Micrognathia Syndrome	MONDO:0010333	34	16	2	16	0
CINCA Syndrome	MONDO:0011776	34	25	4	5	0
Dorfman-Chanarin Disease	MONDO:0010155	33	30	3	0	0
Autosomal Recessive Cerebellar Ataxia-Saccadic Intrusion Syndrome	MONDO:0011811	33	32	1	0	0
ACAD9 Deficiency	MONDO:0012624	33	29	4	0	0
Aspartylglucosaminuria	MONDO:0008830	33	30	3	0	0
Chronic Beryllium Disease	MONDO:0015274	33	10	1	12	10
CALFAN Syndrome	MONDO:0014744	33	27	3	3	0
Agnathia-Otocephaly Complex	MONDO:0008740	33	22	2	9	0
Brachyolmia	MONDO:0015262	32	24	4	4	0
Congenital Total Pulmonary Venous Return Anomaly	MONDO:0007130	32	25	5	2	0
Cherubism	MONDO:0007315	31	19	4	8	0
CTLA4 Haploinsufficiency	MONDO:0014493	31	23	8	0	0
Barth syndrome	MONDO:0010543	31	27	3	1	0
Classic Hodgkin Lymphoma	MONDO:0009348	31	31	0	0	0
Carnitine Palmitoyltransferase 1A Deficiency	MONDO:0009705	31	22	3	6	0
Atrial Fibrillation	MONDO:0004981	31	20	9	1	1
BEST1 Bestrophinopathies	MONDO:0000390	31	11	5	9	6
Clouston Syndrome	MONDO:0007510	31	30	1	0	0
Acute Promyelocytic Leukemia, PML-RARA	MONDO:0012883	31	21	8	2	0
Coronary Arterial Fistulas	MONDO:0016081	31	18	5	8	0
COX16-Related COX Deficiency	MONDO:0859160	30	28	2	0	0
COX4I1-Related COX Deficiency	MONDO:0033651	30	18	3	8	1
CNS Vasculitis	MONDO:0015374	30	12	1	17	0
Abetalipoproteinemia	MONDO:0008692	30	23	6	1	0
Appendiceal Neuroendocrine Tumor	MONDO:0015066	30	29	1	0	0
15q11q13 Microduplication Syndrome	MONDO:0012081	29	13	16	0	0
ADGRG1-related Bilateral Frontoparietal Polymicrogyria	MONDO:0011738	29	14	15	0	0
Childhood Absence Epilepsy	MONDO:0010826	29	18	1	6	4
Cerebral Cavernous Malformation	MONDO:0000820	29	27	2	0	0
Crouzon Syndrome with Acanthosis Nigricans	MONDO:0012833	29	26	0	0	3
Donnai-Barrow syndrome	MONDO:0009104	29	21	8	0	0
CFAP418-related retinal ciliopathy	MONDO:0700374	29	18	6	5	0
DECR Deficiency	MONDO:0014464	29	27	2	0	0
Botulism	MONDO:0005498	28	23	4	1	0
CPLX1-Related Developmental and Epileptic Encephalopathy	MONDO:0033372	28	26	1	1	0
CRX-Related Retinopathy	MONDO:1040064	28	13	1	8	6
CN-Related Developmental and Epileptic Encephalopathy	MONDO:0020630	28	17	6	5	0
Central Core Myopathy	MONDO:0007294	28	20	8	0	0
Citrullinemia Type I	MONDO:0008988	28	24	4	0	0
CANVAS	MONDO:0044720	28	24	4	0	0
Chagas disease	MONDO:0001444	28	22	1	5	0
X-Linked Lissencephaly With Abnormal Genitalia (ARX-Related)	MONDO:0010268	28	25	3	0	0
Burkitt Lymphoma	MONDO:0007243	27	13	0	7	7
Carnitine-acylcarnitine Translocase Deficiency	MONDO:0008918	27	20	5	2	0
Combined Malonic and Methylmalonic Aciduria	MONDO:0013661	27	22	2	3	0
Chronic Pancreatitis	MONDO:0005003	26	20	3	2	1
Autosomal Dominant Osteopetrosis Type II	MONDO:0008156	26	22	4	0	0
Carbonic Anhydrase VA Deficiency	MONDO:0014332	26	20	1	5	0
ALDH18A1-Related Autosomal Dominant Cutis Laxa Type 3	MONDO:0014706	26	24	2	0	0
Danon disease	MONDO:0010281	26	23	1	2	0
Adult Neuronal Ceroid Lipofuscinosis	MONDO:0019260	26	20	6	0	0
Bazex-Dupre-Christol Syndrome	MONDO:0010535	26	26	0	0	0
CPT1C-Related Hereditary Spastic Paraplegia	MONDO:0014568	26	17	2	5	2
COX11-Related COX Deficiency	MONDO:0859520	26	26	0	0	0
Desmoplastic Small Round Cell Tumor	MONDO:0019373	26	9	7	5	5
COX6B1-Related COX Deficiency	MONDO:0033637	25	25	0	0	0
D-2-Hydroxyglutaric Aciduria	MONDO:0010924	25	19	6	0	0
Cat-scratch Disease	MONDO:0005692	25	18	1	6	0
Adenosine Kinase Deficiency	MONDO:0100255	25	19	6	0	0
Biotin-Thiamine-Responsive Basal Ganglia Disease	MONDO:0011841	25	23	2	0	0
Autosomal Dominant Polycystic Kidney Disease	MONDO:0004691	25	22	3	0	0
Capillary Malformation-Arteriovenous Malformation Syndrome	MONDO:0012016	24	23	1	0	0
COX10-Related COX Deficiency	MONDO:0033635	24	24	0	0	0
Angiosarcoma	MONDO:0016982	24	24	0	0	0
Dentici-Novelli neurodevelopmental syndrome	MONDO:0859251	24	17	7	0	0
5-Oxoprolinase Deficiency	MONDO:0009825	24	18	1	5	0
Acromesomelic Dysplasia Maroteaux Type	MONDO:0011275	24	21	3	0	0
3-Methylglutaconic Aciduria Type I	MONDO:0009610	23	20	3	0	0
Autosomal Recessive Ataxia Due to Ubiquinone Deficiency	MONDO:0012784	23	20	3	0	0
Alpha-1 Antitrypsin Deficiency	MONDO:0013282	23	23	0	0	0
Chronic Inflammatory Demyelinating Polyneuropathy	MONDO:0006702	23	19	0	4	0
Adenylosuccinate Lyase Deficiency	MONDO:0007068	23	22	1	0	0
Cerebellar Ataxia-Hypogonadism Syndrome	MONDO:0008935	22	9	0	13	0
Crohn Disease	MONDO:0005011	22	0	0	20	2
Carbon Monoxide Poisoning	MONDO:0800373	22	8	0	14	0
Dengue	MONDO:0005502	22	20	0	2	0
Autosomal Recessive Cerebellar Ataxia With Late-Onset Spasticity	MONDO:0018129	22	16	6	0	0
46,XX testicular disorder of sex development	MONDO:0100249	22	17	5	0	0
Behr Syndrome	MONDO:0008858	22	16	6	0	0
COX8A-Related COX Deficiency	MONDO:0033650	22	19	3	0	0
CLOVES Syndrome	MONDO:0013038	22	16	3	0	3
Autism Spectrum Disorder	MONDO:0005258	22	9	1	7	5
Dentatorubral-Pallidoluysian Atrophy	MONDO:0007435	22	22	0	0	0
Celiac Disease	MONDO:0005130	22	0	0	22	0
3-Hydroxy-3-Methylglutaryl-CoA Synthase Deficiency	MONDO:0011614	21	6	3	12	0
Arsenic-Related Cancers	MONDO:0005096	21	12	8	1	0
Alpha Thalassemia	MONDO:0011399	21	20	1	0	0
Brachydactyly Type A1	MONDO:0007215	20	14	2	4	0
Bronchiectasis	MONDO:0004822	20	15	2	0	3
Age-Related Macular Degeneration	MONDO:0005150	20	19	1	0	0
Amniotic Band Syndrome	MONDO:0015167	20	18	2	0	0
Aromatic L-amino acid decarboxylase deficiency	MONDO:0012084	20	12	8	0	0
Aminoacylase 1 Deficiency	MONDO:0012368	20	20	0	0	0
Adult-Onset Dystonia-Parkinsonism	MONDO:0013060	20	8	11	1	0
COX18-Related COX Deficiency	MONDO:0980970	20	19	1	0	0
Cor Pulmonale	MONDO:0004596	20	13	0	7	0
Congenital Myasthenic Syndrome 6	MONDO:0009689	20	9	1	10	0
Dimethylglycine Dehydrogenase Deficiency	MONDO:0011610	19	18	0	1	0
Biotinidase Deficiency	MONDO:0009665	19	14	5	0	0
Brugada syndrome	MONDO:0015263	19	19	0	0	0
CHRNA1-Associated Fetal Hypo-akinesia Disorder of Prenatal Onset	MONDO:0009668	19	19	0	0	0
Anaplastic Thyroid Carcinoma	MONDO:0006468	18	16	2	0	0
Cholangiocarcinoma	MONDO:0019087	18	9	0	5	4
CHD2-Related Developmental and Epileptic Encephalopathy	MONDO:0014150	18	5	3	10	0
CACNA1E-Related Developmental and Epileptic Encephalopathy	MONDO:0032657	18	12	3	3	0
COXFA4-Related COX Deficiency	MONDO:0033656	18	17	0	1	0
apparent mineralocorticoid excess	MONDO:0009025	18	11	1	6	0
Cori Forbes Disease	MONDO:0009291	18	15	1	2	0
DNM1 Encephalopathy	MONDO:0014598	18	15	1	2	0
2-Methylbutyryl-CoA Dehydrogenase Deficiency	MONDO:0012392	17	7	2	8	0
Combined Saposin Deficiency	MONDO:0012719	17	17	0	0	0
COX4I2-Related Pancreatic Insufficiency-Anemia-Hyperostosis Syndrome	MONDO:0012992	17	12	2	3	0
Blepharophimosis, Ptosis, and Epicanthus Inversus Syndrome	MONDO:0007201	17	15	2	0	0
Autosomal Recessive Osteopetrosis Type 2	MONDO:0009816	17	14	2	1	0
Central Areolar Choroidal Dystrophy	MONDO:0008982	17	14	2	1	0
COX5A-Related COX Deficiency	MONDO:0033655	16	15	1	0	0
CD27-related lymphoproliferative and immune disorder	MONDO:0014054	15	13	2	0	0
AGAT Deficiency	MONDO:0012996	15	5	4	6	0
Atypical Teratoid/Rhabdoid Tumor	MONDO:0020560	15	14	1	0	0
Carvajal Syndrome	MONDO:0011581	15	14	1	0	0
Boucher-Neuhauser Syndrome	MONDO:0008980	14	9	5	0	0
COX14-Related COX Deficiency	MONDO:0033639	14	14	0	0	0
Chronic Myeloid Leukemia, BCR-ABL1 Positive	MONDO:0011996	14	7	0	7	0
Bosma Arhinia Microphthalmia Syndrome	MONDO:0011323	14	10	4	0	0
Arginase Deficiency	MONDO:0008814	14	12	2	0	0
COX15-Related COX Deficiency	MONDO:0014051	14	14	0	0	0
Basal Cell Carcinoma	MONDO:0005341	14	0	0	7	7
COX20-Related COX Deficiency	MONDO:0033645	14	12	2	0	0
Colon Adenocarcinoma	MONDO:0002271	14	11	0	3	0
Adult Refsum Disease	MONDO:0009958	13	5	8	0	0
Diffuse Large B-Cell Lymphoma	MONDO:0018905	13	8	0	0	5
Cytomegalovirus Retinitis	MONDO:0000878	12	0	0	7	5
Central Serous Chorioretinopathy	MONDO:0018616	12	0	0	10	2
Benign Prostatic Hyperplasia	MONDO:0010811	12	1	0	6	5
Benign Neonatal Seizures	MONDO:0016027	12	11	0	1	0
Atypical Hemolytic Uremic Syndrome	MONDO:0016244	12	11	0	1	0
Autism, Susceptibility to, X-Linked 3	MONDO:0010342	12	10	0	2	0
Acquired Partial Lipodystrophy	MONDO:0012104	12	11	1	0	0
Budd-Chiari Syndrome	MONDO:0010947	12	7	0	5	0
Central Nervous System Germ Cell Tumor	MONDO:0003000	12	8	0	4	0
Acatalasia	MONDO:0013571	12	11	1	0	0
Anal Canal Adenocarcinoma	MONDO:0002735	11	11	0	0	0
BRAF V600E-Mutant Non-Small Cell Lung Cancer	MONDO:0005233	11	8	3	0	0
Auditory Neuropathy	MONDO:0021944	11	9	2	0	0
Cutaneous collagenous vasculopathy	MONDO:0017242	11	8	1	2	0
Atopic Dermatitis	MONDO:0004980	11	7	2	2	0
ALK-Rearranged Non-Small Cell Lung Cancer	MONDO:0005233	11	11	0	0	0
Babesiosis	MONDO:0005661	11	10	1	0	0
Adult-Onset Foveomacular Vitelliform Dystrophy	MONDO:0011979	11	10	1	0	0
Bipolar Disorder	MONDO:0004985	11	1	0	6	4
Delpire-McNeill Syndrome	MONDO:0033667	11	6	2	2	1
Acquired Angioedema	MONDO:0019624	10	9	1	0	0
Dermatofibrosarcoma Protuberans	MONDO:0011934	10	7	1	2	0
Beta Mannosidosis	MONDO:0009562	10	8	2	0	0
CRB1 Retinal Dystrophies	MONDO:0013453	10	7	1	2	0
Central Precocious Puberty	MONDO:0019165	10	4	2	1	3
COA8-Related COX Deficiency	MONDO:0033652	10	9	1	0	0
Dientamoebiasis	MONDO:0024608	10	0	0	10	0
COX6A2-Related COX Deficiency	MONDO:0033653	10	7	1	2	0
Cervical Squamous Cell Carcinoma	MONDO:0006143	10	0	0	5	5
Aflatoxin-Related Hepatocellular Carcinoma	MONDO:0007256	9	9	0	0	0
Cogan Syndrome	MONDO:0015453	9	9	0	0	0
Alpha-gal Syndrome	MONDO:0100001	9	0	0	9	0
Chondrodysplasia Punctata, Tibial-metacarpal Type	MONDO:0007322	9	6	3	0	0
Cyclosporiasis	MONDO:0005725	9	0	0	9	0
Clear Cell Renal Cell Carcinoma	MONDO:0005005	9	0	0	5	4
COA3-Related COX Deficiency	MONDO:0033649	9	6	1	2	0
COL11A2-Related Skeletal Spectrum	MONDO:0008490	9	9	0	0	0
Acute Myeloid Leukemia, Core Binding Factor	MONDO:0015166	9	0	0	6	3
BRAF-Mutant Papillary Thyroid Cancer	MONDO:0005075	9	1	2	3	3
Autosomal dominant polycystic liver disease	MONDO:0000447	8	3	0	5	0
Autosomal dominant striatal neurodegeneration	MONDO:0000211	8	4	4	0	0
ADan amyloidosis	MONDO:0007297	8	3	1	4	0
deafness-lymphedema-leukemia syndrome	MONDO:0013540	8	8	0	0	0
Bejel	MONDO:0001714	8	0	0	8	0
Clostridioides difficile Infection	MONDO:0000705	8	0	0	8	0
Central Nervous System Teratoma	MONDO:0002718	8	8	0	0	0
Camptodactyly	MONDO:0007250	8	3	1	1	3
Central Retinal Artery Occlusion	MONDO:0001633	8	0	0	6	2
Carney-Stratakis syndrome	MONDO:0011740	7	7	0	0	0
Collagenous Sprue	MONDO:0044092	7	0	0	7	0
Coronary Vasospasm	MONDO:0005356	7	0	0	7	0
Chronic Lymphocytic Leukemia	MONDO:0004948	7	2	0	0	5
Congenital Sucrase-Isomaltase Deficiency	MONDO:0009114	7	6	1	0	0
Carbamoyl Phosphate Synthetase I Deficiency	MONDO:0009376	7	7	0	0	0
BEST1-Related Dominant Retinopathy	MONDO:0700238	7	6	1	0	0
Conduct Disorder	MONDO:0005352	7	0	0	7	0
Dementia with Lewy Bodies	MONDO:0007488	7	3	0	4	0
