trait	biosample	tissue	annotation	enrichment	pValue	ancestry
PD	memory_B_cell	blood	accessible_chromatin	6.18	0.00012701656142387888	Mixed
PD	chondrocyte	acetabular_part_of_hip_bone	uniform_accessible_chromatin_sites	6.402	0.00017958049631302988	Mixed
PD	thymus	thymus	enhancer	2.943	0.00019718177850386906	Mixed
PD	common_myeloid_progenitor;_CD34-positive	blood	enhancer	3.333	0.00020103033994246154	Mixed
PD	mature_natural_killer_cell	blood	accessible_chromatin	8.5	0.00020489112410697197	Mixed
PD	alternatively_activated_macrophage	blood	enhancer	3.429	0.00021466995389755859	Mixed
PD	Pancreatic_lymph_node_mast_cell_(mast_cell)	pancreatic_lymph_node	uniform_accessible_chromatin_sites	16.103	0.0003123754849758488	Mixed
PD	SST+_GABAergic_neurons_-_type_1_(GABAergic_neuron)	central_nervous_system	uniform_accessible_chromatin_sites	12.948	0.0003149762906025748	Mixed
PD	germinal_matrix	central_nervous_system	promoter	9.22	0.0003726794332799768	Mixed
PD	T-cell_acute_lymphoblastic_leukemia	blood	binding_sites	10.659	0.00044803881820212107	Mixed
PD	PVALB+_GABAergic_neurons_-_type_3_(GABAergic_neuron)	central_nervous_system	uniform_accessible_chromatin_sites	10.383	0.00045370109864386113	Mixed
PD	Intratelencephalic_projecting_neurons_cortical_layer_6_type_2_(L6_intratelencephalic_projecting_glutamatergic_neuron_(Homo_sapiens))	central_nervous_system	uniform_accessible_chromatin_sites	10.269	0.00045438467062656926	Mixed
PD	pancreatic_alpha_cell_(pancreatic_A_cell)	pancreas	uniform_accessible_chromatin_sites	6.566	0.00046395184498875626	Mixed
PD	monocyte	blood	uniform_accessible_chromatin_sites	5.861	0.00047242319277665274	Mixed
PD	pancreatic_beta_cell	pancreas	accessible_chromatin	6.056	0.00047379599379547446	Mixed
PD	Brodmann_(1909)_area_46	central_nervous_system	enhancer	4.105	0.0005016362293481563	Mixed
PD	capillary_endothelial_cell	lung	uniform_accessible_chromatin_sites	6.099	0.0005627269674149892	Mixed
PD	substantia_nigra	central_nervous_system	enhancer	3.449	0.0005721207358704578	Mixed
PD	hematopoietic_multipotent_progenitor_cell	blood	enhancer	2.885	0.0006771678564858557	Mixed
PD	neurosphere	peripheral_nervous_system	promoter	9.349	0.0007001244235370624	Mixed
PD	oligodendrocyte_precursor_cell	central_nervous_system	uniform_accessible_chromatin_sites	12.319	0.0007238780280835935	Mixed
PD	alveolar_macrophage	lung	uniform_accessible_chromatin_sites	12.364	0.0008208370962789596	Mixed
PD	glutamatergic_neuron	central_nervous_system	uniform_accessible_chromatin_sites	12.093	0.0008744458271943892	Mixed
PD	PVALB+_GABAergic_neurons_-_type_4_(GABAergic_neuron)	central_nervous_system	uniform_accessible_chromatin_sites	10.152	0.0008749079306160876	Mixed
PD	AT1_cell_(pulmonary_alveolar_type_1_cell)	lung	uniform_accessible_chromatin_sites	7.283	0.0008919315910705861	Mixed
PD	pons	central_nervous_system	accessible_chromatin	15.499	0.0009075558676862291	Mixed
PD	pancreatic_alpha_cell	pancreas	accessible_chromatin	5.255	0.0009300758243605931	Mixed
PD	natural_killer_cell_mediated_cytotoxicity_(natural_killer_cell)	blood	uniform_accessible_chromatin_sites	14.771	0.0009755256962514624	Mixed
