curie,ancestor_curies,ancestor_labels,retrieved_at
NCIT:C2948,NCIT:C7057|NCIT:C2991|NCIT:C3262|NCIT:C4741|NCIT:C3709|NCIT:C2916|NCIT:C2948,"Disease, Disorder or Finding|Disease or Disorder|Neoplasm|Neoplasm by Morphology|Epithelial Neoplasm|Carcinoma|Choriocarcinoma",2026-09-06T17:00:30+00:00
NCIT:C2955,NCIT:C7057|NCIT:C2991|NCIT:C27551|NCIT:C2990|NCIT:C26801|NCIT:C215199|NCIT:C215201|NCIT:C215202|NCIT:C4978|NCIT:C2955,"Disease, Disorder or Finding|Disease or Disorder|Disorder by Site|Digestive System Disorder|Intestinal Disorder|Large Intestinal Disorder|Large Intestinal Neoplasm|Malignant Large Intestinal Neoplasm|Malignant Colorectal Neoplasm|Colorectal Carcinoma",2026-09-06T17:00:30+00:00
NCIT:C3088,NCIT:C7057|NCIT:C2991|NCIT:C27551|NCIT:C2931|NCIT:C35117|NCIT:C7388|NCIT:C7387|NCIT:C8538|NCIT:C3088,"Disease, Disorder or Finding|Disease or Disorder|Disorder by Site|Cardiovascular Disorder|Vascular Disorder|Vascular Neoplasm|Blood Vessel Neoplasm|Malignant Blood Vessel Neoplasm|Angiosarcoma",2026-09-06T17:00:30+00:00
NCIT:C3099,NCIT:C7057|NCIT:C2991|NCIT:C3262|NCIT:C4741|NCIT:C3709|NCIT:C2916|NCIT:C2852|NCIT:C210140|NCIT:C3099,"Disease, Disorder or Finding|Disease or Disorder|Neoplasm|Neoplasm by Morphology|Epithelial Neoplasm|Carcinoma|Adenocarcinoma|Digestive System Adenocarcinoma|Hepatocellular Carcinoma",2026-09-06T17:00:30+00:00
NCIT:C3158,NCIT:C7057|NCIT:C2991|NCIT:C27551|NCIT:C27574|NCIT:C107377|NCIT:C166354|NCIT:C4063|NCIT:C214799|NCIT:C214801|NCIT:C3158,"Disease, Disorder or Finding|Disease or Disorder|Disorder by Site|Connective and Soft Tissue Disorder|Musculoskeletal Disorder|Musculoskeletal Neoplasm|Muscle Neoplasm|Myomatous Neoplasm|Myosarcoma|Leiomyosarcoma",2026-09-06T17:00:30+00:00
NCIT:C3178,NCIT:C7057|NCIT:C2991|NCIT:C27551|NCIT:C35814|NCIT:C34433|NCIT:C35370|NCIT:C35501|NCIT:C27262|NCIT:C3178,"Disease, Disorder or Finding|Disease or Disorder|Disorder by Site|Hematopoietic and Lymphatic System Disorder|Bone Marrow Disorder|Bone Marrow Neoplasm|Malignant Bone Marrow Neoplasm|Myelodysplastic/Myeloproliferative Neoplasm|Chronic Myelomonocytic Leukemia",2026-09-06T17:00:30+00:00
NCIT:C3247,NCIT:C7057|NCIT:C2991|NCIT:C27551|NCIT:C35814|NCIT:C34433|NCIT:C35370|NCIT:C35501|NCIT:C3247,"Disease, Disorder or Finding|Disease or Disorder|Disorder by Site|Hematopoietic and Lymphatic System Disorder|Bone Marrow Disorder|Bone Marrow Neoplasm|Malignant Bone Marrow Neoplasm|Myelodysplastic Syndrome",2026-09-06T17:00:30+00:00
NCIT:C3267,NCIT:C7057|NCIT:C2991|NCIT:C3262|NCIT:C7062|NCIT:C3264|NCIT:C3267,"Disease, Disorder or Finding|Disease or Disorder|Neoplasm|Neoplasm by Special Category|Embryonal Neoplasm|Wilms Tumor",2026-09-06T17:00:30+00:00
NCIT:C3411,NCIT:C7057|NCIT:C2991|NCIT:C27551|NCIT:C27669|NCIT:C35742|NCIT:C26962|NCIT:C3412|NCIT:C6450|NCIT:C3411,"Disease, Disorder or Finding|Disease or Disorder|Disorder by Site|Respiratory and Thoracic Disorder|Thoracic Disorder|Thymus Disorder|Thymus Neoplasm|Thymus Epithelial Neoplasm|Thymoma",2026-09-06T17:00:30+00:00
NCIT:C3412,NCIT:C7057|NCIT:C2991|NCIT:C27551|NCIT:C27669|NCIT:C35742|NCIT:C26962|NCIT:C3412,"Disease, Disorder or Finding|Disease or Disorder|Disorder by Site|Respiratory and Thoracic Disorder|Thoracic Disorder|Thymus Disorder|Thymus Neoplasm",2026-09-06T17:00:30+00:00
NCIT:C35702,NCIT:C7057|NCIT:C2991|NCIT:C3262|NCIT:C4741|NCIT:C3709|NCIT:C2916|NCIT:C35850|NCIT:C9272|NCIT:C8012|NCIT:C35702,"Disease, Disorder or Finding|Disease or Disorder|Neoplasm|Neoplasm by Morphology|Epithelial Neoplasm|Carcinoma|Head and Neck Carcinoma|Salivary Gland Carcinoma|Salivary Gland Low Grade Carcinoma|Salivary Gland Polymorphous Adenocarcinoma",2026-09-06T17:00:30+00:00
NCIT:C3808,NCIT:C7057|NCIT:C2991|NCIT:C3262|NCIT:C7062|NCIT:C3264|NCIT:C3808,"Disease, Disorder or Finding|Disease or Disorder|Neoplasm|Neoplasm by Special Category|Embryonal Neoplasm|Rhabdoid Tumor",2026-09-06T17:00:30+00:00
NCIT:C3878,NCIT:C7057|NCIT:C2991|NCIT:C3262|NCIT:C4741|NCIT:C3709|NCIT:C2916|NCIT:C35850|NCIT:C215427|NCIT:C3878,"Disease, Disorder or Finding|Disease or Disorder|Neoplasm|Neoplasm by Morphology|Epithelial Neoplasm|Carcinoma|Head and Neck Carcinoma|Head and Neck Undifferentiated Carcinoma|Thyroid Gland Anaplastic Carcinoma",2026-09-06T17:00:30+00:00
NCIT:C39851,NCIT:C7057|NCIT:C2991|NCIT:C27551|NCIT:C156660|NCIT:C156482|NCIT:C156484|NCIT:C164141|NCIT:C181197|NCIT:C192669|NCIT:C4030|NCIT:C39851,"Disease, Disorder or Finding|Disease or Disorder|Disorder by Site|Genitourinary System Disorder|Genitourinary System Neoplasm|Malignant Genitourinary System Neoplasm|Genitourinary System Carcinoma|Urinary System Carcinoma|Urinary Tract Carcinoma|Urothelial Carcinoma|Bladder Urothelial Carcinoma",2026-09-06T17:00:30+00:00
NCIT:C4035,NCIT:C7057|NCIT:C2991|NCIT:C3262|NCIT:C4741|NCIT:C3709|NCIT:C2916|NCIT:C2852|NCIT:C2853|NCIT:C4035,"Disease, Disorder or Finding|Disease or Disorder|Neoplasm|Neoplasm by Morphology|Epithelial Neoplasm|Carcinoma|Adenocarcinoma|Papillary Adenocarcinoma|Thyroid Gland Papillary Carcinoma",2026-09-06T17:00:30+00:00
NCIT:C4047,NCIT:C7057|NCIT:C2991|NCIT:C27551|NCIT:C26835|NCIT:C2934|NCIT:C9293|NCIT:C102871|NCIT:C3059|NCIT:C132067|NCIT:C116342|NCIT:C4047,"Disease, Disorder or Finding|Disease or Disorder|Disorder by Site|Nervous System Disorder|Central Nervous System Disorder|Central Nervous System Neoplasm|Primary Central Nervous System Neoplasm|Glioma|Low Grade Glioma|Low Grade Astrocytoma|Pilocytic Astrocytoma",2026-09-06T17:00:30+00:00
NCIT:C50521,NCIT:C7057|NCIT:C2991|NCIT:C27551|NCIT:C26767|NCIT:C26875|NCIT:C27610|NCIT:C115993|NCIT:C50521,"Disease, Disorder or Finding|Disease or Disorder|Disorder by Site|Eye Disorder|Retinal Disorder|Non-Neoplastic Retinal Disorder|Retinitis|Cytomegaloviral Retinitis",2026-09-06T17:00:30+00:00
NCIT:C5669,NCIT:C7057|NCIT:C2991|NCIT:C3262|NCIT:C3263|NCIT:C3406|NCIT:C190090|NCIT:C190098|NCIT:C5669,"Disease, Disorder or Finding|Disease or Disorder|Neoplasm|Neoplasm by Site|Thoracic Neoplasm|Childhood Thoracic Neoplasm|Childhood Malignant Thoracic Neoplasm|Pleuropulmonary Blastoma",2026-09-06T17:00:30+00:00
NCIT:C6287,NCIT:C7057|NCIT:C2991|NCIT:C27551|NCIT:C156660|NCIT:C156482|NCIT:C156484|NCIT:C164141|NCIT:C181162|NCIT:C215409|NCIT:C215411|NCIT:C6287,"Disease, Disorder or Finding|Disease or Disorder|Disorder by Site|Genitourinary System Disorder|Genitourinary System Neoplasm|Malignant Genitourinary System Neoplasm|Genitourinary System Carcinoma|Female Reproductive System Carcinoma|Female Reproductive System Adenocarcinoma|Female Reproductive System Endometrioid Adenocarcinoma|Endometrial Endometrioid Adenocarcinoma",2026-09-06T17:00:30+00:00
NCIT:C7569,NCIT:C7057|NCIT:C2991|NCIT:C3262|NCIT:C4741|NCIT:C3709|NCIT:C2916|NCIT:C7569,"Disease, Disorder or Finding|Disease or Disorder|Neoplasm|Neoplasm by Morphology|Epithelial Neoplasm|Carcinoma|Thymus Carcinoma",2026-09-06T17:00:30+00:00
NCIT:C8054,NCIT:C7057|NCIT:C2991|NCIT:C3262|NCIT:C7062|NCIT:C36035|NCIT:C8054,"Disease, Disorder or Finding|Disease or Disorder|Neoplasm|Neoplasm by Special Category|Encapsulated Neoplasm|Thyroid Gland Follicular Carcinoma",2026-09-06T17:00:30+00:00
NCIT:C84657,NCIT:C7057|NCIT:C2991|NCIT:C28193|NCIT:C119050|NCIT:C84657,"Disease, Disorder or Finding|Disease or Disorder|Syndrome|Autoinflammatory Syndrome|Cryopyrin-Associated Periodic Syndrome",2026-09-06T17:00:30+00:00
NCIT:C84816,NCIT:C7057|NCIT:C2991|NCIT:C28193|NCIT:C84816,"Disease, Disorder or Finding|Disease or Disorder|Syndrome|Lennox-Gastaut Syndrome",2026-09-06T17:00:30+00:00
NCIT:C84885,NCIT:C7057|NCIT:C2991|NCIT:C28193|NCIT:C84885,"Disease, Disorder or Finding|Disease or Disorder|Syndrome|MELAS Syndrome",2026-09-06T17:00:30+00:00
NCIT:C88411,NCIT:C7057|NCIT:C2991|NCIT:C2893|NCIT:C2878|NCIT:C88411,"Disease, Disorder or Finding|Disease or Disorder|Psychiatric Disorder|Anxiety Disorder|Obsessive Compulsive Disorder",2026-09-06T17:00:30+00:00
NCIT:C9120,NCIT:C7057|NCIT:C2991|NCIT:C3262|NCIT:C4741|NCIT:C3709|NCIT:C2916|NCIT:C2852|NCIT:C210140|NCIT:C8294|NCIT:C9120,"Disease, Disorder or Finding|Disease or Disorder|Neoplasm|Neoplasm by Morphology|Epithelial Neoplasm|Carcinoma|Adenocarcinoma|Digestive System Adenocarcinoma|Pancreatic Adenocarcinoma|Pancreatic Ductal Adenocarcinoma",2026-09-06T17:00:30+00:00
NCIT:C9350,NCIT:C7057|NCIT:C2991|NCIT:C27551|NCIT:C27664|NCIT:C7337|NCIT:C156711|NCIT:C3538|NCIT:C9350,"Disease, Disorder or Finding|Disease or Disorder|Disorder by Site|Peritoneal and Retroperitoneal Disorder|Peritoneal and Retroperitoneal Neoplasm|Malignant Peritoneal and Retroperitoneal Neoplasm|Malignant Peritoneal Neoplasm|Peritoneal Malignant Mesothelioma",2026-09-06T17:00:30+00:00
NCIT:C9357,NCIT:C7057|NCIT:C2991|NCIT:C27551|NCIT:C35814|NCIT:C26323|NCIT:C27134|NCIT:C7065|NCIT:C3208|NCIT:C9357,"Disease, Disorder or Finding|Disease or Disorder|Disorder by Site|Hematopoietic and Lymphatic System Disorder|Hematopoietic and Lymphoid Cell Disorder|Hematopoietic and Lymphoid Cell Neoplasm|Lymphocytic Neoplasm|Lymphoma|Hodgkin Lymphoma",2026-09-06T17:00:30+00:00
