pmid,nbk,retired,pubdate,title
20301426,NBK1248,1,1993,"Optic Atrophy Type 1 – RETIRED CHAPTER, FOR HISTORICAL REFERENCE ONLY."
20301427,NBK1249,0,1993,Williams Syndrome.
20301428,NBK1250,0,1993,Cystic Fibrosis.
20301429,NBK1251,0,1993,OTOF-Related Hearing Loss.
20301430,NBK1252,0,1993,FH Tumor Predisposition Syndrome.
20301431,NBK1253,0,1993,Carnitine Palmitoyltransferase II Deficiency.
20301432,NBK1255,0,1993,ARSACS.
20301433,NBK1256,0,1993,Spinocerebellar Ataxia Type 7.
20301434,NBK1257,0,1993,Multiple Endocrine Neoplasia Type 2.
20301435,NBK1258,0,1993,Childhood Ataxia with Central Nervous System Hypomyelination / Vanishing White Matter.
20301436,NBK1259,1,1993,"Congenital Fiber-Type Disproportion – RETIRED CHAPTER, FOR HISTORICAL REFERENCE ONLY."
20301437,NBK1260,0,1993,Hereditary Hyperekplexia Overview.
20301438,NBK1261,0,1993,Pompe Disease.
20301439,NBK1262,0,1993,GNE Myopathy.
20301440,NBK1263,0,1993,Emanuel Syndrome.
20301441,NBK1264,0,1993,Andersen-Tawil Syndrome.
20301442,NBK1265,0,1993,Usher Syndrome Type I.
20301443,NBK1266,0,1993,Peutz-Jeghers Syndrome.
20301444,NBK1267,0,1993,Alström Syndrome.
20301445,NBK1268,0,1993,Spinocerebellar Ataxia Type 8.
20301446,NBK1269,0,1993,Gaucher Disease.
20301447,NBK1270,0,1993,PEX7-Related Rhizomelic Chondrodysplasia Punctata.
20301448,NBK1271,0,1993,Hepatic Veno-Occlusive Disease with Immunodeficiency.
20301449,NBK1272,0,1993,GJB2-Related Autosomal Recessive Nonsyndromic Hearing Loss.
20301450,NBK1273,0,1993,Alagille Syndrome.
20301451,NBK1274,0,1993,Mucopolysaccharidosis Type II.
20301452,NBK1275,0,1993,Spinocerebellar Ataxia Type 2.
20301453,NBK1276,1,1993,"Tetra-Amelia Syndrome – RETIRED CHAPTER, FOR HISTORICAL REFERENCE ONLY."
20301454,NBK1277,0,1993,Shprintzen-Goldberg Syndrome.
20301456,NBK1279,0,1993,Hypermobile Ehlers-Danlos Syndrome.
20301457,NBK1280,0,1993,Pachyonychia Congenita.
20301458,NBK1281,0,1993,Friedreich Ataxia.
20301459,NBK1282,0,1993,Thiamine-Responsive Megaloblastic Anemia Syndrome.
20301460,NBK1283,0,1993,Primary Hyperoxaluria Type 1.
20301461,NBK1284,0,1993,MECP2 Duplication Syndrome.
20301462,NBK1285,1,1993,"Charcot-Marie-Tooth Neuropathy Type 2 – RETIRED CHAPTER, FOR HISTORICAL REFERENCE ONLY."
20301463,NBK1286,0,1993,Carney Complex.
20301464,NBK1287,0,1993,Hermansky-Pudlak Syndrome.
20301465,NBK1288,1,1993,"Nemaline Myopathy – RETIRED CHAPTER, FOR HISTORICAL REFERENCE ONLY."
20301466,NBK1289,0,1993,Catecholaminergic Polymorphic Ventricular Tachycardia.
20301467,NBK1290,1,1993,"Multiminicore Disease – RETIRED CHAPTER, FOR HISTORICAL REFERENCE ONLY."
20301468,NBK1291,1,1993,"Congenital Muscular Dystrophy Overview – RETIRED CHAPTER, FOR HISTORICAL REFERENCE ONLY."
20301469,NBK1292,0,1993,Fabry Disease.
20301470,NBK1293,0,1993,Familial Cerebral Cavernous Malformations.
20301471,NBK1294,0,1993,Wilms Tumor Predisposition.
20301472,NBK1295,0,1993,COL1A1- and COL1A2-Related Osteogenesis Imperfecta.
20301473,NBK1296,0,1993,Niemann-Pick Disease Type C.
20301474,NBK1297,0,1993,ATP8B1 Deficiency.
20301475,NBK1298,1,1993,"Leber Congenital Amaurosis – RETIRED CHAPTER, FOR HISTORICAL REFERENCE ONLY."
20301477,NBK1300,0,1993,SOX2 Disorder.
20301479,NBK1302,0,1993,Stickler Syndrome.
20301480,NBK1303,0,1993,Dysferlinopathy.
20301481,NBK1304,0,1993,Dystrophic Epidermolysis Bullosa.
20301482,NBK1305,0,1993,Huntington Disease.
20301483,NBK1306,0,1993,SLC26A2-Related Multiple Epiphyseal Dysplasia.
20301484,NBK1307,0,1993,BSCL2-Related Neurologic Disorders / Seipinopathy.
20301485,NBK1308,0,1993,Lipoprotein Lipase Deficiency.
20301486,NBK1309,0,1993,Dilated Cardiomyopathy Overview.
20301487,NBK1310,0,1993,Smith-Magenis Syndrome.
20301488,NBK1311,0,1993,Li-Fraumeni Syndrome.
20301489,NBK1312,0,1993,Glycogen Storage Disease Type I.
20301490,NBK1313,0,1993,Calpainopathy.
20301491,NBK1315,0,1993,X-Linked Adrenoleukodystrophy.
20301494,NBK1318,0,1993,SCN1A Seizure Disorders.
20301495,NBK1319,0,1993,Maple Syrup Urine Disease.
20301496,NBK1321,1,1993,"X-Linked Sideroblastic Anemia and Ataxia – RETIRED CHAPTER, FOR HISTORICAL REFERENCE ONLY."
20301497,NBK1322,0,1993,Biotinidase Deficiency.
20301498,NBK1323,0,1993,Udd Distal Myopathy – Tibial Muscular Dystrophy.
20301499,NBK1324,0,1993,Silver-Russell Syndrome.
20301500,NBK1325,0,1993,Joubert Syndrome.
20301501,NBK1326,0,1993,Autosomal Recessive Polycystic Kidney Disease – PKHD1.
20301502,NBK1327,0,1993,MID1-Related Opitz G/BBB Syndrome.
20301503,NBK1328,0,1993,Disorders of Intracellular Cobalamin Metabolism.
20301504,NBK1329,1,1993,"Polymicrogyria Overview – RETIRED CHAPTER, FOR HISTORICAL REFERENCE ONLY."
20301505,NBK1330,0,1993,Prader-Willi Syndrome.
20301506,NBK1331,0,1993,NDP-Related Retinopathies.
20301507,NBK1332,1,1993,"Congenital Disorders of N-Linked Glycosylation and Multiple Pathway Overview – RETIRED CHAPTER, FOR HISTORICAL REFERENCE ONLY."
20301508,NBK1333,0,1993,Spinal and Bulbar Muscular Atrophy.
20301509,NBK1334,0,1993,Isolated Gonadotropin-Releasing Hormone (GnRH) Deficiency.
20301510,NBK1335,0,1993,FBN1-Related Marfan Syndrome.
20301511,NBK1337,0,1993,Choroideremia.
20301512,NBK1338,0,1993,Hypokalemic Periodic Paralysis.
20301513,NBK1339,0,1993,Y Chromosome Infertility.
20301514,NBK1340,0,1993,SH3TC2-Related Hereditary Motor and Sensory Neuropathy.
20301515,NBK1341,0,1993,Usher Syndrome Type II.
20301516,NBK1342,0,1993,Cockayne Syndrome.
20301517,NBK1343,1,1993,"Ocular Albinism, X-Linked – RETIRED CHAPTER, FOR HISTORICAL REFERENCE ONLY."
20301518,NBK1344,0,1993,Glycogen Storage Disease Type V.
20301519,NBK1345,0,1993,APC-Associated Polyposis Conditions.
20301520,NBK1346,0,1993,RPS6KA3-Related Intellectual Disability.
20301521,NBK1347,0,1993,PROP1-Related Combined Pituitary Hormone Deficiency.
20301522,NBK1348,0,1993,Congenital Fibrosis of the Extraocular Muscles Overview.
20301523,NBK1349,0,1993,TFR2-Related Hemochromatosis.
20301524,NBK1350,0,1993,Diastrophic Dysplasia.
20301525,NBK1351,0,1993,Hereditary Hemorrhagic Telangiectasia.
20301526,NBK1352,0,1993,Spinal Muscular Atrophy.
20301527,NBK1353,0,1993,Adult Refsum Disease.
20301528,NBK1354,0,1993,McLeod Neuroacanthocytosis Syndrome.
20301529,NBK1355,0,1993,Myotonia Congenita.
20301530,NBK1356,0,1993,Autosomal Dominant Tubulointerstitial Kidney Disease – UMOD.
20301531,NBK1357,0,1993,Nonketotic Hyperglycinemia.
20301532,NBK1358,0,1993,Charcot-Marie-Tooth Hereditary Neuropathy Overview.
20301533,NBK1359,1,1993,"Congenital Diaphragmatic Hernia Overview – RETIRED CHAPTER, FOR HISTORICAL REFERENCE ONLY."
20301534,NBK1360,0,1993,PAX6 Aniridia Syndrome.
20301535,NBK1361,0,1993,Lysinuric Protein Intolerance.
20301536,NBK1362,1,1993,"Spinocerebellar Ataxia Type 15 – RETIRED CHAPTER, FOR HISTORICAL REFERENCE ONLY."
20301537,NBK1363,0,1993,Bardet-Biedl Syndrome Overview.
20301538,NBK1364,0,1993,GATA1-Related Cytopenia.
20301539,NBK1365,0,1993,SLC25A19-Related Thiamine Metabolism Dysfunction.
20301540,NBK1366,0,1993,Thanatophoric Dysplasia.
20301541,NBK1367,0,1993,Genetic Atypical Hemolytic-Uremic Syndrome.
20301542,NBK1368,0,1993,Factor V Leiden Thrombophilia.
20301543,NBK1369,0,1993,Epidermolysis Bullosa Simplex.
20301544,NBK1370,0,1993,Acid Sphingomyelinase Deficiency.
20301545,NBK1371,0,1993,GRN Frontotemporal Dementia.
20301546,NBK1372,0,1993,Hereditary Motor and Sensory Neuropathy with Agenesis of the Corpus Callosum.
20301547,NBK1373,0,1993,SALL4-Related Disorders.
20301548,NBK1374,0,1993,GJB1 Disorders: Charcot-Marie-Tooth Neuropathy (CMT1X) and Central Nervous System Phenotypes.
20301549,NBK1375,0,1993,Nonsyndromic Genetic Hyperinsulinism Overview.
20301550,NBK1376,0,1993,Schimke Immunoosseous Dysplasia.
20301551,NBK1377,0,1993,Sickle Cell Disease.
20301552,NBK1378,1,1993,"Microphthalmia/Anophthalmia/Coloboma Spectrum – RETIRED CHAPTER, FOR HISTORICAL REFERENCE ONLY."
20301553,NBK1379,0,1993,SYNE1 Deficiency.
20301554,NBK1380,0,1993,Branchiootorenal Spectrum Disorder.
20301555,NBK1381,0,1993,Aicardi Syndrome.
20301556,NBK1382,0,1993,Troyer Syndrome.
20301557,NBK1383,0,1993,Noonan Syndrome with Multiple Lentigines.
20301558,NBK1384,0,1993,FMR1 Disorders.
20301559,NBK1385,1,1993,"Caveolinopathies – RETIRED CHAPTER, FOR HISTORICAL REFERENCE ONLY."
20301560,NBK1386,0,1993,Congenital Contractural Arachnodactyly.
20301561,NBK1387,0,1993,VPS13A Disease.
20301562,NBK1388,0,1993,Familial Hemiplegic Migraine.
20301563,NBK1389,0,1993,"Progressive Myoclonus Epilepsy, Lafora Type."
20301564,NBK1390,0,1993,SPTLC1-Related Hereditary Sensory Neuropathy.
20301565,NBK1391,1,1993,"Central Core Disease – RETIRED CHAPTER, FOR HISTORICAL REFERENCE ONLY."
20301566,NBK1392,0,1993,Hereditary Neuropathy with Liability to Pressure Palsies.
20301567,NBK1393,0,1993,FLNA-Related Otopalatodigital Spectrum Disorders.
20301568,NBK1394,0,1993,Beckwith-Wiedemann Syndrome.
20301569,NBK1395,1,1993,"Hereditary Neuralgic Amyotrophy – RETIRED CHAPTER, FOR HISTORICAL REFERENCE ONLY."
20301570,NBK1396,0,1993,Alpha-Mannosidosis.
20301571,NBK1397,0,1993,Xeroderma Pigmentosum.
20301572,NBK1398,0,1993,Bloom Syndrome.
20301573,NBK1399,0,1993,Spinocerebellar Ataxia Type 14.
20301574,NBK1400,0,1993,Cystinosis.
20301575,NBK1401,0,1993,Fanconi Anemia.
20301576,NBK1402,0,1993,CD40 Ligand Deficiency.
20301577,NBK1403,0,1993,CACNA1C-Related Disorders.
20301578,NBK1404,0,1993,Hemophilia A.
20301579,NBK1405,0,1993,Jervell and Lange-Nielsen Syndrome.
20301580,NBK1406,0,1993,X-Linked Lymphoproliferative Disease.
20301581,NBK1407,0,1993,IRF6-Related Disorders.
20301582,NBK1408,1,1993,"Limb-Girdle Muscular Dystrophy Overview – RETIRED CHAPTER, FOR HISTORICAL REFERENCE ONLY."
20301583,NBK1409,0,1993,Cerebrotendinous Xanthomatosis.
20301584,NBK1410,0,1993,X-Linked Severe Combined Immunodeficiency.
20301585,NBK1412,0,1993,Classic Mowat-Wilson Syndrome.
20301586,NBK1413,0,1993,ATP7A-Related Copper Transport Disorders.
20301587,NBK1414,0,1993,SGCE Myoclonus-Dystonia.
20301588,NBK1415,0,1993,Muenke Syndrome.
20301589,NBK1416,0,1993,"Nonsyndromic 46,XX Testicular Disorders/Differences of Sex Development."
20301590,NBK1417,0,1993,Nonsyndromic Retinitis Pigmentosa Overview.
20301591,NBK1418,0,1993,Achromatopsia.
20301592,NBK1419,0,1993,Cytochrome P450 Oxidoreductase Deficiency.
20301593,NBK1420,0,1993,Autosomal Recessive Congenital Ichthyosis.
20301594,NBK1421,0,1993,Primary Familial Brain Calcification Overview.
20301595,NBK1422,0,1993,"Nonsyndromic Hearing Loss and Deafness, Mitochondrial."
20301596,NBK1423,0,1993,Hand-Foot-Genital Syndrome.
20301597,NBK1424,0,1993,Medium-Chain Acyl-Coenzyme A Dehydrogenase Deficiency.
20301598,NBK1425,0,1993,C3 Glomerulopathy.
20301599,NBK1426,0,1993,Beta-Thalassemia.
20301600,NBK1427,0,1993,Congenital Central Hypoventilation Syndrome.
20301601,NBK1428,0,1993,Neuronal Ceroid Lipofuscinoses Overview.
20301602,NBK1429,0,1993,Androgen Insensitivity Syndrome.
20301603,NBK1430,0,1993,Glucose Transporter Type 1 Deficiency Syndrome.
20301604,NBK1431,0,1993,NR0B1-Related Adrenal Hypoplasia Congenita.
20301605,NBK1432,0,1993,X-Linked Myotubular Myopathy.
20301606,NBK1433,0,1993,Laing Distal Myopathy.
20301607,NBK1434,0,1993,Genetic Hearing Loss Overview.
20301608,NBK1435,0,1993,Alpha-Thalassemia.
20301609,NBK1436,0,1993,Emery-Dreifuss Muscular Dystrophy.
20301610,NBK1437,0,1993,Tyrosine Hydroxylase Deficiency.
20301611,NBK1438,0,1993,Spinocerebellar Ataxia Type 17.
20301612,NBK1439,1,1993,"Hirschsprung Disease Overview – RETIRED CHAPTER, FOR HISTORICAL REFERENCE ONLY."
20301613,NBK1440,0,1993,HFE-Related Hemochromatosis.
20301614,NBK1441,0,1993,"Blepharophimosis, Ptosis, and Epicanthus Inversus Syndrome."
20301616,NBK1443,0,1993,Facioscapulohumeral Muscular Dystrophy.
20301617,NBK1444,0,1993,Familial Hemophagocytic Lymphohistiocytosis.
20301618,NBK1445,0,1993,SALL1-Related Townes-Brocks Syndrome.
20301619,NBK1446,0,1993,GLI3-Related Greig Cephalopolysyndactyly Syndrome.
20301620,NBK1447,0,1993,Permanent Neonatal Diabetes Mellitus.
20301621,NBK1448,0,1993,Zellweger Spectrum Disorder.
20301622,NBK1449,0,1993,Alpha-Thalassemia X-Linked Intellectual Disability Syndrome.
20301623,NBK1450,0,1993,Amyotrophic Lateral Sclerosis Overview.
20301624,NBK1451,0,1993,PAX2-Related Disorder.
20301625,NBK1452,0,1993,Retinoblastoma.
20301626,NBK1453,0,1993,X-Linked Agammaglobulinemia.
20301627,NBK1454,0,1993,Alkaptonuria.
20301628,NBK1455,0,1993,FGFR Craniosynostosis Syndromes Overview.
20301629,NBK1456,1,1993,"Ataxia with Oculomotor Apraxia Type 1 – RETIRED CHAPTER, FOR HISTORICAL REFERENCE ONLY."
20301630,NBK1457,0,1993,Lymphedema-Distichiasis Syndrome.
20301631,NBK1458,0,1993,Citrullinemia Type I.
20301632,NBK1459,0,1993,Fryns Syndrome.
20301633,NBK1460,1,1993,"Familial Paroxysmal Kinesigenic Dyskinesia – RETIRED CHAPTER, FOR HISTORICAL REFERENCE ONLY."
20301634,NBK1461,0,1993,Autosomal Dominant Craniometaphyseal Dysplasia.
20301635,NBK1462,0,1993,PLOD1-Related Kyphoscoliotic Ehlers-Danlos Syndrome.
20301636,NBK1463,0,1993,Von Hippel-Lindau Syndrome.
20301637,NBK1464,0,1993,Peters Plus Syndrome.
20301638,NBK1465,0,1993,GLI3-Related Pallister-Hall Syndrome.
20301639,NBK1466,0,1993,Myotonic Dystrophy Type 2.
20301640,NBK1467,0,1993,SLC26A4-Related Sensorineural Hearing Loss.
20301641,NBK1468,1,1993,"Charcot-Marie-Tooth Neuropathy Type 4 – RETIRED CHAPTER, FOR HISTORICAL REFERENCE ONLY."
20301642,NBK1469,0,1993,Juvenile Polyposis Syndrome.
20301643,NBK1470,0,1993,Free Sialic Acid Storage Disorder.
20301644,NBK1471,0,1993,Spinocerebellar Ataxia Type 20.
20301645,NBK1472,0,1993,Incontinentia Pigmenti.
20301646,NBK1473,0,1993,Costeff Syndrome.
20301647,NBK1474,0,1993,Dopamine Beta-Hydroxylase Deficiency.
20301648,NBK1475,0,1993,Aicardi-Goutières Syndrome.
20301649,NBK1476,0,1993,Multisystem Proteinopathy.
20301650,NBK1477,0,1993,Hypochondroplasia.
20301651,NBK1478,0,1993,PRKN-Related Early-Onset Parkinson Disease.
20301652,NBK1479,0,1993,Sotos Syndrome.
20301653,NBK1480,0,1993,Lowe Syndrome.
20301654,NBK1481,0,1993,3-M Syndrome.
20301655,NBK1482,0,1993,Cohen Syndrome.
20301656,NBK1483,0,1993,Adenosine Deaminase Deficiency.
20301657,NBK1484,0,1993,L1 Syndrome.
20301658,NBK1485,0,1993,Heritable Pulmonary Arterial Hypertension Overview.
20301659,NBK1486,0,1993,Pyridoxine-Dependent Epilepsy – ALDH7A1.
20301660,NBK1487,0,1993,COMP-Related Pseudoachondroplasia.
20301661,NBK1488,0,1993,PTEN Hamartoma Tumor Syndrome.
20301662,NBK1489,0,1993,X-Linked Dystonia-Parkinsonism.
20301663,NBK1490,0,1993,Pantothenate Kinase-Associated Neurodegeneration.
20301664,NBK1491,0,1993,DRPLA.
20301665,NBK1492,0,1993,DYT-TOR1A.
20301666,NBK1493,0,1993,Aceruloplasminemia.
20301667,NBK1494,0,1993,Vascular Ehlers-Danlos Syndrome.
20301668,NBK1495,0,1993,Hemophilia B.
20301669,NBK1496,0,1993,Hyperkalemic Periodic Paralysis.
20301670,NBK1497,0,1993,MECP2 Disorders.
