dataset,gene,comparison,group1_label,group2_label,n_group1,n_group2,mean_group1,mean_group2,log2_mean_difference,fold_change,t_statistic,p_value,q_value_bh,cohens_d
GSE65391,SIGLEC1,SLE_SLEDAIhi_vs_lo_firstvisit,SLEDAI>=6,SLEDAI<6,94,64,4.19870110138298,3.6262392579687504,0.5724618434142297,1.4870589536742502,4.660324294975408,6.730339758528181e-06,3.001837389104863e-05,0.7003347565009215
GSE65391,IFN6_SCORE,SLE_SLEDAIhi_vs_lo_firstvisit,SLEDAI>=6,SLEDAI<6,94,64,2.7939673157431124,1.8404918848594043,0.9534754308837081,1.9365321203674628,5.188685356577426,9.867423213541677e-07,9.867423213541676e-06,0.8881864264671242
GSE65391,JCHAIN,SLE_SLEDAIhi_vs_lo_firstvisit,SLEDAI>=6,SLEDAI<6,94,64,9.595700922021276,8.897104278125001,0.6985966438962752,1.6229253526965737,2.107813784126713,0.03682307429352159,0.03682307429352159,0.33785294860363485
GSE65391,MZB1,SLE_SLEDAIhi_vs_lo_firstvisit,SLEDAI>=6,SLEDAI<6,94,64,7.865184500638297,6.983657314375,0.8815271862632974,1.8423244893482271,3.6633395413370935,0.00034522504153532,0.0004931786307647429,0.5744326581313488
GSE65391,TNFRSF17,SLE_SLEDAIhi_vs_lo_firstvisit,SLEDAI>=6,SLEDAI<6,94,64,6.585060875531917,5.97026691296875,0.6147939625631667,1.5313392843774885,2.4533521222108927,0.015356302242019082,0.017062558046687867,0.3910353993455605
GSE65391,IFI27,SLE_nephritis_vs_none_firstvisit,Nephritis,NoNephritis,33,125,12.445568123333333,12.381032607040002,0.06453551629333099,1.0457482011280517,0.1426187832315152,0.8871470947309992,0.9543850119346727,0.027366859992048003
GSE65391,IFI44L,SLE_nephritis_vs_none_firstvisit,Nephritis,NoNephritis,33,125,11.913217376666665,11.60028427632,0.3129331003466653,1.242230676589898,1.0631751399892932,0.29207664838237885,0.5738384320015149,0.18778312479802342
GSE65391,IFIT1,SLE_nephritis_vs_none_firstvisit,Nephritis,NoNephritis,33,125,12.63103887393939,12.278023056720002,0.35301581721938824,1.2772277622108619,1.5206380825184116,0.13367899276455097,0.5738384320015149,0.26664148141643484
GSE65391,ISG15,SLE_nephritis_vs_none_firstvisit,Nephritis,NoNephritis,33,125,12.293910352727272,12.04582629736,0.24808405536727207,1.187628858570114,0.9714203679716226,0.33494172664177024,0.5738384320015149,0.16165275299376602
GSE65391,RSAD2,SLE_nephritis_vs_none_firstvisit,Nephritis,NoNephritis,33,125,10.90255935090909,10.425429619039996,0.4771297318690948,1.3919715568504654,1.5737190476984193,0.12099705230359564,0.5738384320015149,0.27937007876612124
GSE65391,SIGLEC1,SLE_nephritis_vs_none_firstvisit,Nephritis,NoNephritis,33,125,4.087268479696971,3.935018849680001,0.15224963001697,1.1113010008128863,0.9540117299434967,0.34430305920090887,0.5738384320015149,0.17647821777232683
GSE65391,IFN6_SCORE,SLE_nephritis_vs_none_firstvisit,Nephritis,NoNephritis,33,125,2.607658147573078,2.354973515527543,0.25268463204553493,1.1914221055130383,1.226973538631317,0.2247410266602648,0.5738384320015149,0.21638684920083046
GSE65391,JCHAIN,SLE_nephritis_vs_none_firstvisit,Nephritis,NoNephritis,33,125,9.293751001515151,9.31773421936,-0.023983217844849136,0.9835135146841344,-0.05749362396868029,0.9543850119346727,0.9543850119346727,-0.01144053774916655
GSE65391,MZB1,SLE_nephritis_vs_none_firstvisit,Nephritis,NoNephritis,33,125,7.432423941515152,7.528091368879999,-0.09566742736484724,0.9358392042911989,-0.3208183238446206,0.7495984505161766,0.9543850119346727,-0.0599898943698792
GSE65391,TNFRSF17,SLE_nephritis_vs_none_firstvisit,Nephritis,NoNephritis,33,125,6.317553875151515,6.3409082148000016,-0.023354339648486544,0.9839423267429274,-0.07870679863719282,0.9375557493320698,0.9543850119346727,-0.014584956148273457
