accession,dataset,organism,tissue,source_metadata,in_DepressionMood_PAC,in_ADprogression_PAC,assigned_group,included,exclusion_reason
M1198,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M12047,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M12052,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M12314,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M12326,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M12479,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M12614,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M12792,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M12876,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M13078,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M13090,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M13326,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M13640,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M13872,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M14385,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M14434,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M14597,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M14666,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M14812,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M14897,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M14947,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M15272,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M153,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M15395,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M15410,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M15627,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M16204,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M16436,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M16485,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M16717,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M16998,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M1712,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M1746,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M17693,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M17728,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M18153,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M18243,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M18305,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M184,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M18763,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M18768,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M19050,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M19193,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M19281,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M19331,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M1943,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M19543,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M19551,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M19562,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M19844,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M19997,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M201539,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M20337,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M20356,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M20485,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M20588,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M207,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M20701,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M20855,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M20869,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M21046,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M21278,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M21530,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M21614,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M22127,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M22640,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M22767,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M22921,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M23065,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M23152,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M23714,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M23983,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M24227,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M24257,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M24410,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M24420,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M24443,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M24508,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M24905,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M2491,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M25144,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M252323,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M25234,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M25557,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M26229,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M2646,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M26792,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M26968,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M26976,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M26992,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M271140,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M271150,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M27285,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M27409,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M27521,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M2772,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M27813,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M27965,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M28034,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M28083,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M28098,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M28167,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M282520,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M28379,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M28437,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M28592,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M28843,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M28892,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M2899,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M29124,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M29188,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M29466,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M29582,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M29637,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M29668,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M29716,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M29736,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M298992,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M3003,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M30150,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M30199,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M3038,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M304882,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M30663,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M307567,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M31225,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M31555,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M31556,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M31634,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M31737,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M31762,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M31969,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M31998,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M32068,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M323252,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
