hpo_id	term_label	anatomical_system	prior_source	dismech_status	batch1_evidence
HP:0003119	Abnormal circulating lipid concentration	Metabolism/homeostasis	novel(custom-only)	ADDED_BATCH1	PMID:19622403
HP:0003254	Abnormality of DNA repair	Metabolism/homeostasis	novel(custom-only)	TODO	
HP:0003221	Chromosomal breakage induced by crosslinking agents	Metabolism/homeostasis	OMIM	TODO	
HP:0000819	Diabetes mellitus	Metabolism/homeostasis	novel(custom-only)	TODO	
HP:0003074	Hyperglycemia	Metabolism/homeostasis	novel(custom-only)	TODO	
HP:0040270	Impaired glucose tolerance	Metabolism/homeostasis	novel(custom-only)	TODO	
HP:0003452	Increased circulating iron concentration	Metabolism/homeostasis	novel(custom-only)	TODO	
HP:0011133	Increased sensitivity to ionizing radiation	Metabolism/homeostasis	novel(custom-only)	TODO	
HP:0000855	Insulin resistance	Metabolism/homeostasis	novel(custom-only)	TODO	
HP:0010704	1-2 finger cutaneous syndactyly	Musculoskeletal system	novel(custom-only)	TODO	
HP:0006482	Abnormal dental morphology	Musculoskeletal system	novel(custom-only)	TODO	
HP:0003272	Abnormal hip bone morphology	Musculoskeletal system	novel(custom-only)	TODO	
HP:0031095	Abnormal humerus morphology	Musculoskeletal system	novel(custom-only)	TODO	
HP:0000772	Abnormal rib morphology	Musculoskeletal system	novel(custom-only)	TODO	
HP:0003468	Abnormal vertebral morphology	Musculoskeletal system	OMIM	TODO	
HP:0001155	Abnormality of the hand	Musculoskeletal system	novel(custom-only)	TODO	
HP:0002814	Abnormality of the lower limb	Musculoskeletal system	novel(custom-only)	TODO	
HP:0000924	Abnormality of the skeletal system	Musculoskeletal system	novel(custom-only)	TODO	
HP:0002817	Abnormality of the upper limb	Musculoskeletal system	Orphanet	TODO	
HP:0010305	Absence of the sacrum	Musculoskeletal system	novel(custom-only)	TODO	
HP:0003974	Absent radius	Musculoskeletal system	OMIM	TODO	
HP:0011835	Absent scaphoid	Musculoskeletal system	OMIM	TODO	
HP:0004253	Absent trapezium	Musculoskeletal system	novel(custom-only)	TODO	
HP:0003982	Aplasia of the ulna	Musculoskeletal system	novel(custom-only)	TODO	
HP:0006660	Aplastic clavicle	Musculoskeletal system	novel(custom-only)	ADDED_BATCH1	PMID:19622403
HP:0001166	Arachnodactyly	Musculoskeletal system	novel(custom-only)	TODO	
HP:0005743	Avascular necrosis of the capital femoral epiphysis	Musculoskeletal system	novel(custom-only)	TODO	
HP:0003956	Bowed forEarm bones	Musculoskeletal system	novel(custom-only)	TODO	
HP:0001156	Brachydactyly	Musculoskeletal system	novel(custom-only)	TODO	
HP:0001498	Carpal bone hypoplasia	Musculoskeletal system	novel(custom-only)	TODO	
HP:0004602	Cervical C2/C3 vertebral fusion	Musculoskeletal system	novel(custom-only)	TODO	
HP:0001374	Congenital hip dislocation	Musculoskeletal system	novel(custom-only)	TODO	
HP:0001363	Craniosynostosis	Musculoskeletal system	novel(custom-only)	TODO	
HP:0000696	Delayed eruption of permanent teeth	Musculoskeletal system	novel(custom-only)	TODO	
HP:0009603	Deviation of the thumb	Musculoskeletal system	novel(custom-only)	TODO	
HP:0009942	Duplication of thumb phalanx	Musculoskeletal system	OMIM	TODO	
HP:0009821	ForEarm undergrowth	Musculoskeletal system	novel(custom-only)	TODO	
HP:0005473	Fusion of middle Ear ossicles	Musculoskeletal system	novel(custom-only)	ADDED_BATCH1	PMID:19622403
HP:0008839	Hypoplastic pelvis	Musculoskeletal system	novel(custom-only)	TODO	
HP:0004590	Hypoplastic sacrum	Musculoskeletal system	OMIM	TODO	
HP:0002996	Limited elbow movement	Musculoskeletal system	novel(custom-only)	TODO	
HP:0006248	Limited wrist movement	Musculoskeletal system	novel(custom-only)	TODO	
HP:0000691	Microdontia	Musculoskeletal system	novel(custom-only)	TODO	
HP:0000939	Osteoporosis	Musculoskeletal system	novel(custom-only)	TODO	
HP:0009944	Partial duplication of thumb phalanx	Musculoskeletal system	OMIM	TODO	
HP:0002691	Platybasia	Musculoskeletal system	novel(custom-only)	TODO	
HP:0010442	Polydactyly	Musculoskeletal system	novel(custom-only)	TODO	
HP:0001177	Preaxial hand polydactyly	Musculoskeletal system	OMIM	TODO	
HP:0006433	Radial ray deficiency	Musculoskeletal system	OMIM	TODO	
HP:0006190	Radially deviated wrists	Musculoskeletal system	novel(custom-only)	TODO	
HP:0004349	Reduced bone mineral density	Musculoskeletal system	Orphanet	TODO	
HP:0005792	Short humerus	Musculoskeletal system	OMIM	TODO	
HP:0009660	Short phalanx of the thumb	Musculoskeletal system	novel(custom-only)	TODO	
HP:0009778	Short thumb	Musculoskeletal system	OMIM	TODO	
HP:0001238	Slender finger	Musculoskeletal system	novel(custom-only)	TODO	
HP:0004247	Small scaphoid	Musculoskeletal system	novel(custom-only)	TODO	
HP:0004255	Small trapezium	Musculoskeletal system	novel(custom-only)	TODO	
HP:0002414	Spina bifida	Musculoskeletal system	Orphanet	ADDED_BATCH1	ORPHA:84
HP:0000912	Sprengel anomaly	Musculoskeletal system	novel(custom-only)	TODO	
HP:0025261	Stiff finger	Musculoskeletal system	novel(custom-only)	TODO	
HP:0011069	Supernumerary tooth	Musculoskeletal system	novel(custom-only)	TODO	
HP:6000942	Thumb hypoplasia grade 4	Musculoskeletal system	novel(custom-only)	TODO	
HP:0009804	Tooth agenesis	Musculoskeletal system	novel(custom-only)	TODO	
HP:0000692	Tooth malposition	Musculoskeletal system	novel(custom-only)	TODO	
HP:0001199	Triphalangeal thumb	Musculoskeletal system	Orphanet	ADDED_BATCH1	ORPHA:84
HP:0003031	Ulnar bowing	Musculoskeletal system	novel(custom-only)	TODO	
HP:0004808	Acute myeloid leukemia	Neoplasm	OMIM	TODO	
HP:0009592	Astrocytoma	Neoplasm	novel(custom-only)	TODO	
HP:0002671	Basal cell carcinoma	Neoplasm	novel(custom-only)	TODO	
HP:0030079	Cervix cancer	Neoplasm	novel(custom-only)	TODO	
HP:0012174	Glioblastoma multiforme	Neoplasm	novel(custom-only)	TODO	
HP:0002885	Medulloblastoma	Neoplasm	OMIM	TODO	
HP:0002861	Melanoma	Neoplasm	novel(custom-only)	TODO	
HP:0002664	Neoplasm	Neoplasm	Orphanet	TODO	
HP:0002667	Nephroblastoma	Neoplasm	OMIM	TODO	
HP:0003006	Neuroblastoma	Neoplasm	OMIM	TODO	
HP:0012182	Oropharyngeal squamous cell carcinoma	Neoplasm	novel(custom-only)	TODO	
HP:0200043	Verrucae	Neoplasm	novel(custom-only)	TODO	
HP:0001273	Abnormal corpus callosum morphology	Nervous system	novel(custom-only)	TODO	
HP:0000707	Abnormality of the nervous system	Nervous system	novel(custom-only)	TODO	
HP:0001331	Absent septum pellucidum	Nervous system	OMIM	TODO	
HP:0000739	Anxiety	Nervous system	novel(custom-only)	TODO	
HP:0002308	Chiari malformation	Nervous system	OMIM	TODO	
HP:0034585	CochlEar nerve hypoplasia	Nervous system	novel(custom-only)	TODO	
HP:0000716	Depression	Nervous system	novel(custom-only)	TODO	
HP:5200320	Diminishment of relationship seeking	Nervous system	novel(custom-only)	TODO	
HP:0001360	Holoprosencephaly	Nervous system	novel(custom-only)	TODO	
HP:0001347	Hyperreflexia	Nervous system	Orphanet	ADDED_BATCH1	ORPHA:84
HP:0011834	Moyamoya phenomenon	Nervous system	novel(custom-only)	TODO	
HP:0045005	Neural tube defect	Nervous system	novel(custom-only)	TODO	
HP:0033667	Diminished mental health	Other/unclassified	novel(custom-only)	TODO	
HP:0034057	Fetal anomaly	Prenatal development or birth	novel(custom-only)	TODO	
HP:0011109	Chronic sinusitis	Respiratory system	novel(custom-only)	TODO	
HP:0002206	Pulmonary fibrosis	Respiratory system	novel(custom-only)	TODO	
HP:0001638	Cardiomyopathy	musculature	novel(custom-only)	TODO	
HP:0002578	Gastroparesis	musculature	novel(custom-only)	TODO	
