hpo_id	term_label	in_omim	in_orphanet	in_custom_profile	anatomical_system
HP:0000527	Long Eyelashes	Y			Integument
HP:0000543	Optic disc pallor	Y			Eye
HP:0000545	Myopia	Y			Eye
HP:0000568	Microphthalmia	Y	Y	Y	Eye
HP:0000581	Blepharophimosis	Y			Head or neck
HP:0000582	Upslanted palpebral fissure	Y	Y		Head or neck
HP:0000598	Abnormality of the Ear			Y	Ear
HP:0000601	Hypotelorism	Y		Y	Eye
HP:0000609	Optic nerve hypoplasia	Y			Nervous system
HP:0000639	Nystagmus		Y		Eye
HP:0000689	Dental malocclusion	Y			Musculoskeletal system
HP:0000691	Microdontia			Y	Musculoskeletal system
HP:0000692	Tooth malposition			Y	Musculoskeletal system
HP:0000696	Delayed eruption of permanent teeth			Y	Musculoskeletal system
HP:0000704	Periodontitis			Y	Head or neck
HP:0000707	Abnormality of the nervous system			Y	Nervous system
HP:0000716	Depression			Y	Nervous system
HP:0000739	Anxiety			Y	Nervous system
HP:0000750	Delayed speech and language development	Y			Nervous system
HP:0000772	Abnormal rib morphology			Y	Musculoskeletal system
HP:0000789	Infertility			Y	Genitourinary system
HP:0000798	Oligozoospermia			Y	Genitourinary system
HP:0000813	Bicornuate uterus		Y	Y	Genitourinary system
HP:0000815	Hypergonadotropic hypogonadism	Y			Endocrine system
HP:0000819	Diabetes mellitus			Y	Metabolism/homeostasis
HP:0000821	Hypothyroidism	Y		Y	Endocrine system
HP:0000823	Delayed puberty			Y	Endocrine system
HP:0000824	Decreased response to growth hormone stimulation test	Y			Endocrine system
HP:0000855	Insulin resistance			Y	Metabolism/homeostasis
HP:0000858	Irregular menstruation			Y	Genitourinary system
HP:0000864	Abnormality of the hypothalamus-pituitary axis		Y		Endocrine system
HP:0000868	Decreased fertility in females			Y	Genitourinary system
HP:0000876	Oligomenorrhea			Y	Genitourinary system
HP:0000902	Rib fusion	Y			Musculoskeletal system
HP:0000912	Sprengel anomaly			Y	Musculoskeletal system
HP:0000924	Abnormality of the skeletal system			Y	Musculoskeletal system
HP:0000939	Osteoporosis			Y	Musculoskeletal system
HP:0000953	Hyperpigmentation of the skin	Y		Y	Integument
HP:0000957	Cafe-au-lait spot	Y		Y	Integument
HP:0000958	Dry skin			Y	Integument
HP:0000960	Sacral dimple	Y			Integument
HP:0000967	Petechiae			Y	Integument
HP:0000978	Bruising susceptibility	Y		Y	Blood and blood-forming tissues
HP:0000979	Purpura			Y	Integument
HP:0001000	Abnormality of skin pigmentation	Y	Y	Y	Integument
HP:0001010	Hypopigmentation of the skin			Y	Integument
HP:0001017	Anemic pallor	Y			Integument
HP:0001045	Vitiligo	Y			Integument
HP:0001053	Hypopigmented skin patches		Y		Integument
HP:0001072	Thickened skin			Y	Integument
HP:0001097	Keratoconjunctivitis sicca			Y	Eye
HP:0001155	Abnormality of the hand			Y	Musculoskeletal system
HP:0001156	Brachydactyly			Y	Musculoskeletal system
HP:0001159	Syndactyly	Y			Musculoskeletal system
HP:0001166	Arachnodactyly			Y	Musculoskeletal system
HP:0001172	Abnormal thumb morphology	Y	Y	Y	Musculoskeletal system
HP:0001177	Preaxial hand polydactyly	Y		Y	Musculoskeletal system
HP:0001195	Single umbilical artery	Y			Prenatal development or birth
HP:0001199	Triphalangeal thumb		Y	Y	Musculoskeletal system
HP:0001233	2-3 finger cutaneous syndactyly	Y			Musculoskeletal system
HP:0001238	Slender finger			Y	Musculoskeletal system
HP:0001245	Small thenar eminence	Y		Y	musculature
HP:0001249	Intellectual disability	Y	Y		Nervous system
HP:0001251	Ataxia	Y			Nervous system
HP:0001252	Hypotonia	Y			musculature
HP:0001263	Global developmental delay	Y	Y		Nervous system
HP:0001273	Abnormal corpus callosum morphology			Y	Nervous system
HP:0001274	Agenesis of corpus callosum	Y			Nervous system
HP:0001321	Cerebellar hypoplasia	Y			Nervous system
HP:0001328	Specific lEarning disability	Y			Nervous system
HP:0001331	Absent septum pellucidum	Y		Y	Nervous system
HP:0001347	Hyperreflexia		Y	Y	Nervous system
HP:0001360	Holoprosencephaly			Y	Nervous system
HP:0001363	Craniosynostosis			Y	Musculoskeletal system
HP:0001371	Flexion contracture	Y			Connective tissue
HP:0001374	Congenital hip dislocation			Y	Musculoskeletal system
HP:0001385	Hip dysplasia			Y	Musculoskeletal system
HP:0001392	Abnormality of the liver		Y		Digestive system
HP:0001498	Carpal bone hypoplasia			Y	Musculoskeletal system
HP:0001508	Failure to thrive	Y		Y	Growth abnormality
HP:0001510	Growth delay	Y	Y	Y	Growth abnormality
HP:0001511	Intrauterine growth retardation	Y	Y	Y	Growth abnormality
HP:0001513	Obesity			Y	Growth abnormality
HP:0001518	Small for gestational age	Y		Y	Growth abnormality
HP:0001537	Umbilical hernia		Y		Digestive system
HP:0001545	Anteriorly placed anus	Y			Digestive system
HP:0001561	Polyhydramnios	Y			Prenatal development or birth
HP:0001562	Oligohydramnios		Y		Prenatal development or birth
HP:0001572	Macrodontia	Y			Musculoskeletal system
HP:0001627	Abnormal hEart morphology	Y			Cardiovascular system
HP:0001629	Ventricular septal defect	Y		Y	Cardiovascular system
HP:0001631	Atrial septal defect	Y	Y	Y	Cardiovascular system
HP:0001636	Tetralogy of Fallot	Y	Y	Y	Cardiovascular system
HP:0001638	Cardiomyopathy			Y	musculature
HP:0001639	Hypertrophic cardiomyopathy		Y		Cardiovascular system
HP:0001642	Pulmonic stenosis			Y	Cardiovascular system
HP:0001643	Patent ductus arteriosus	Y	Y	Y	Cardiovascular system
HP:0001646	Abnormal aortic valve morphology		Y		Cardiovascular system
HP:0001650	Aortic valve stenosis			Y	Cardiovascular system
HP:0001651	Dextrocardia	Y			Cardiovascular system
HP:0001655	Patent foramen ovale	Y			Cardiovascular system
HP:0001662	Bradycardia	Y			Cardiovascular system
HP:0001671	Abnormal cardiac septum morphology		Y		Cardiovascular system
HP:0001674	Complete atrioventricular canal defect	Y			Cardiovascular system
HP:0001679	Abnormal aortic morphology		Y		Cardiovascular system
HP:0001680	Coarctation of aorta	Y		Y	Cardiovascular system
HP:0001734	Annular pancreas	Y		Y	Endocrine system
HP:0001741	Phimosis			Y	Genitourinary system
HP:0001748	Polysplenia	Y			Immune system
HP:0001760	Abnormal foot morphology		Y		Musculoskeletal system
HP:0001762	Talipes equinovarus	Y		Y	Connective tissue
HP:0001763	Pes planus		Y		Musculoskeletal system
HP:0001770	Toe syndactyly		Y		Musculoskeletal system
HP:0001776	Bilateral talipes equinovarus	Y			Connective tissue
HP:0001824	Weight loss		Y		Growth abnormality
HP:0001864	Clinodactyly of the 5th toe	Y			Musculoskeletal system
HP:0001871	Abnormality of Blood and blood-forming tissues and Blood and blood-forming tissues-forming tissues		Y		Blood and blood-forming tissues
HP:0001873	Thrombocytopenia	Y	Y	Y	Blood and blood-forming tissues
HP:0001875	Decreased total neutrophil count	Y		Y	Immune system
HP:0001876	Pancytopenia	Y			Blood and blood-forming tissues
HP:0001882	Decreased total leukocyte count	Y	Y		Immune system
HP:0001896	Reticulocytopenia	Y			Blood and blood-forming tissues
HP:0001903	Anemia	Y	Y	Y	Blood and blood-forming tissues
HP:0001909	Leukemia	Y		Y	Neoplasm
HP:0001915	Aplastic anemia	Y		Y	Blood and blood-forming tissues
HP:0001963	Abnormal speech discrimination			Y	Ear
HP:0002007	Frontal bossing		Y	Y	Head or neck
HP:0002014	Diarrhea			Y	Digestive system
HP:0002015	Dysphagia			Y	Digestive system
HP:0002018	Nausea			Y	Digestive system
HP:0002019	Constipation			Y	Digestive system
HP:0002020	Gastroesophageal reflux			Y	Digestive system
HP:0002023	Anal atresia	Y	Y	Y	Digestive system
HP:0002024	Malabsorption			Y	Digestive system
HP:0002027	Abdominal pain			Y	Digestive system
HP:0002032	Esophageal atresia	Y		Y	Digestive system
HP:0002079	Hypoplasia of the corpus callosum	Y			Nervous system
HP:0002089	Pulmonary hypoplasia	Y			Respiratory system
HP:0002090	Pneumonia	Y			Respiratory system
HP:0002101	Abnormal lung lobation	Y			Respiratory system
HP:0002119	Ventriculomegaly	Y	Y	Y	Nervous system
HP:0002126	Polymicrogyria	Y			Nervous system
HP:0002144	Tethered cord	Y			Nervous system
HP:0002188	Delayed CNS myelination	Y			Nervous system
HP:0002206	Pulmonary fibrosis			Y	Respiratory system
HP:0002245	Meckel diverticulum		Y		Digestive system
HP:0002247	Duodenal atresia	Y		Y	Digestive system
HP:0002251	Aganglionic megacolon		Y		Nervous system
HP:0002308	Chiari malformation	Y		Y	Nervous system
HP:0002414	Spina bifida		Y	Y	Musculoskeletal system
HP:0002518	Abnormal periventricular white matter morphology	Y			Nervous system
HP:0002566	Intestinal malrotation			Y	Digestive system
HP:0002575	Tracheoesophageal fistula	Y	Y	Y	Digestive system
HP:0002578	Gastroparesis			Y	musculature
HP:0002607	Bowel incontinence			Y	Digestive system
HP:0002650	Scoliosis	Y	Y	Y	Musculoskeletal system
HP:0002664	Neoplasm		Y	Y	Neoplasm
HP:0002667	Nephroblastoma	Y		Y	Neoplasm
HP:0002671	Basal cell carcinoma			Y	Neoplasm
HP:0002691	Platybasia			Y	Musculoskeletal system
HP:0002718	Recurrent bacterial infections			Y	Immune system
HP:0002719	Recurrent infections			Y	Immune system
HP:0002808	Kyphosis			Y	Musculoskeletal system
HP:0002814	Abnormality of the lower limb			Y	Musculoskeletal system
HP:0002817	Abnormality of the upper limb		Y	Y	Musculoskeletal system
HP:0002823	Abnormal femur morphology		Y		Musculoskeletal system
HP:0002827	Hip dislocation		Y		Musculoskeletal system
HP:0002841	Recurrent fungal infections			Y	Immune system
HP:0002860	Squamous cell carcinoma	Y		Y	Neoplasm
HP:0002861	Melanoma			Y	Neoplasm
HP:0002863	Myelodysplasia	Y	Y	Y	Neoplasm
HP:0002885	Medulloblastoma	Y		Y	Neoplasm
HP:0002949	Fused cervical vertebrae	Y			Musculoskeletal system
HP:0002984	Hypoplasia of the radius	Y		Y	Musculoskeletal system
HP:0002996	Limited elbow movement			Y	Musculoskeletal system
HP:0003002	Breast carcinoma	Y			Neoplasm
HP:0003006	Neuroblastoma	Y		Y	Neoplasm
HP:0003022	Hypoplasia of the ulna		Y		Musculoskeletal system
HP:0003031	Ulnar bowing			Y	Musculoskeletal system
HP:0003074	Hyperglycemia			Y	Metabolism/homeostasis
HP:0003119	Abnormal circulating lipid concentration			Y	Metabolism/homeostasis
HP:0003213	Deficient excision of UV-induced pyrimidine dimers in DNA	Y			Metabolism/homeostasis
HP:0003214	Prolonged G2 phase of cell cycle	Y			Metabolism/homeostasis
HP:0003220	Abnormality of chromosome stability	Y	Y		Metabolism/homeostasis
HP:0003221	Chromosomal breakage induced by crosslinking agents	Y		Y	Metabolism/homeostasis
HP:0003241	External genital hypoplasia	Y		Y	Genitourinary system
HP:0003250	Aplasia of the vagina			Y	Genitourinary system
HP:0003251	Male infertility	Y			Genitourinary system
HP:0003254	Abnormality of DNA repair			Y	Metabolism/homeostasis
HP:0003272	Abnormal hip bone morphology			Y	Musculoskeletal system
HP:0003452	Increased circulating iron concentration			Y	Metabolism/homeostasis
HP:0003468	Abnormal vertebral morphology	Y		Y	Musculoskeletal system
HP:0003764	Nevus	Y			Integument
HP:0003774	Stage 5 chronic kidney disease	Y			Genitourinary system
HP:0003834	Shoulder dislocation	Y			Musculoskeletal system
HP:0003956	Bowed forEarm bones			Y	Musculoskeletal system
HP:0003974	Absent radius	Y		Y	Musculoskeletal system
HP:0003982	Aplasia of the ulna			Y	Musculoskeletal system
HP:0004209	Clinodactyly of the 5th finger	Y	Y		Musculoskeletal system
HP:0004247	Small scaphoid			Y	Musculoskeletal system
HP:0004253	Absent trapezium			Y	Musculoskeletal system
HP:0004255	Small trapezium			Y	Musculoskeletal system
HP:0004322	Short stature	Y	Y	Y	Growth abnormality
HP:0004323	Abnormality of body weight			Y	Growth abnormality
HP:0004325	Decreased body weight	Y			Growth abnormality
HP:0004349	Reduced bone mineral density		Y	Y	Musculoskeletal system
HP:0004395	Malnutrition			Y	Digestive system
HP:0004429	Recurrent viral infections			Y	Immune system
HP:0004510	Pancreatic islet-cell hyperplasia	Y			Endocrine system
HP:0004590	Hypoplastic sacrum	Y		Y	Musculoskeletal system
HP:0004602	Cervical C2/C3 vertebral fusion			Y	Musculoskeletal system
HP:0004712	Renal malrotation			Y	Genitourinary system
HP:0004808	Acute myeloid leukemia	Y		Y	Neoplasm
HP:0004935	Pulmonary artery atresia			Y	Cardiovascular system
HP:0004977	Bilateral radial aplasia	Y			Musculoskeletal system
HP:0005214	Intestinal obstruction			Y	Digestive system
HP:0005343	Hypoplasia of the bladder	Y			Genitourinary system
HP:0005344	Abnormal carotid artery morphology		Y		Cardiovascular system
HP:0005473	Fusion of middle Ear ossicles			Y	Musculoskeletal system
HP:0005518	Increased mean corpuscular volume	Y			Blood and blood-forming tissues
HP:0005522	Pyridoxine-responsive sideroblastic anemia		Y		Blood and blood-forming tissues
HP:0005528	Bone marrow hypocellularity	Y		Y	Blood and blood-forming tissues
HP:0005632	Absent forEarm	Y			Musculoskeletal system
HP:0005709	2-3 toe cutaneous syndactyly	Y			Musculoskeletal system
HP:0005743	Avascular necrosis of the capital femoral epiphysis			Y	Musculoskeletal system
HP:0005792	Short humerus	Y		Y	Musculoskeletal system
HP:0005912	Biliary atresia	Y		Y	Digestive system
HP:0006101	Finger syndactyly		Y		Musculoskeletal system
HP:0006190	Radially deviated wrists			Y	Musculoskeletal system
HP:0006248	Limited wrist movement			Y	Musculoskeletal system
HP:0006254	Elevated circulating alpha-fetoprotein concentration	Y			Metabolism/homeostasis
HP:0006265	Aplasia/Hypoplasia of fingers		Y		Musculoskeletal system
HP:0006349	Agenesis of permanent teeth	Y			Musculoskeletal system
HP:0006433	Radial ray deficiency	Y		Y	Musculoskeletal system
HP:0006482	Abnormal dental morphology			Y	Musculoskeletal system
HP:0006501	Aplasia/Hypoplasia of the radius		Y	Y	Musculoskeletal system
HP:0006660	Aplastic clavicle			Y	Musculoskeletal system
HP:0006727	T-cell acute lymphoblastic leukemias	Y			Neoplasm
HP:0006824	Cranial nerve paralysis		Y		Nervous system
HP:0007018	Attention deficit hyperactivity disorder	Y			Nervous system
HP:0007099	Chiari type I malformation	Y			Nervous system
HP:0007400	Irregular hyperpigmentation		Y		Integument
HP:0007565	Multiple cafe-au-lait spots	Y	Y		Integument
HP:0007587	Numerous pigmented freckles			Y	Integument
HP:0007766	Optic disc hypoplasia	Y			Eye
HP:0007874	Almond-shaped palpebral fissure		Y	Y	Head or neck
HP:0008053	Aplasia/Hypoplasia of the iris		Y		Eye
HP:0008070	Sparse hair	Y			Integument
HP:0008209	Premature ovarian insufficiency			Y	Genitourinary system
HP:0008551	Microtia	Y		Y	Ear
HP:0008661	Urethral stenosis			Y	Genitourinary system
HP:0008678	Renal hypoplasia/aplasia		Y		Genitourinary system
HP:0008734	Decreased testicular size			Y	Genitourinary system
HP:0008839	Hypoplastic pelvis			Y	Musculoskeletal system
HP:0008897	Postnatal growth retardation	Y			Growth abnormality
HP:0009592	Astrocytoma			Y	Neoplasm
HP:0009603	Deviation of the thumb			Y	Musculoskeletal system
HP:0009623	Proximal placement of thumb	Y			Musculoskeletal system
HP:0009660	Short phalanx of the thumb			Y	Musculoskeletal system
HP:0009777	Absent thumb	Y		Y	Musculoskeletal system
HP:0009778	Short thumb	Y		Y	Musculoskeletal system
HP:0009804	Tooth agenesis			Y	Musculoskeletal system
HP:0009821	ForEarm undergrowth			Y	Musculoskeletal system
HP:0009829	Phocomelia	Y			Musculoskeletal system
HP:0009892	Anotia	Y		Y	Ear
HP:0009942	Duplication of thumb phalanx	Y		Y	Musculoskeletal system
HP:0009943	Complete duplication of thumb phalanx	Y			Musculoskeletal system
HP:0009944	Partial duplication of thumb phalanx	Y		Y	Musculoskeletal system
HP:0010034	Short 1st metacarpal	Y			Musculoskeletal system
HP:0010035	Aplasia of the 1st metacarpal	Y			Musculoskeletal system
HP:0010293	Aplasia/Hypoplasia of the uvula		Y		Head or neck
HP:0010305	Absence of the sacrum			Y	Musculoskeletal system
HP:0010442	Polydactyly			Y	Musculoskeletal system
HP:0010445	Primum atrial septal defect	Y			Cardiovascular system
HP:0010461	Abnormality of the male genitalia			Y	Genitourinary system
HP:0010469	Absent testis		Y	Y	Genitourinary system
HP:0010628	Facial palsy	Y		Y	Nervous system
HP:0010664	Fusion of the left and right thalami	Y			Nervous system
HP:0010704	1-2 finger cutaneous syndactyly			Y	Musculoskeletal system
HP:0011014	Abnormal glucose homeostasis			Y	Metabolism/homeostasis
HP:0011069	Supernumerary tooth			Y	Musculoskeletal system
HP:0011107	Recurrent aphthous stomatitis			Y	Head or neck
HP:0011109	Chronic sinusitis			Y	Respiratory system
HP:0011133	Increased sensitivity to ionizing radiation			Y	Metabolism/homeostasis
HP:0011419	Placental abruption	Y			Prenatal development or birth
HP:0011590	Double aortic arch			Y	Cardiovascular system
HP:0011800	Midface retrusion	Y		Y	Head or neck
HP:0011834	Moyamoya phenomenon			Y	Nervous system
HP:0011835	Absent scaphoid	Y		Y	Musculoskeletal system
HP:0011940	Anterior wedging of T12	Y			Musculoskeletal system
HP:0011968	Feeding difficulties	Y		Y	Digestive system
HP:0012041	Decreased fertility in males		Y		Genitourinary system
HP:0012165	Oligodactyly	Y			Musculoskeletal system
HP:0012174	Glioblastoma multiforme			Y	Neoplasm
HP:0012182	Oropharyngeal squamous cell carcinoma			Y	Neoplasm
HP:0012210	Abnormal renal morphology	Y	Y	Y	Genitourinary system
HP:0012285	Abnormal hypothalamus physiology			Y	Endocrine system
HP:0012506	Small pituitary gland	Y			Endocrine system
HP:0012622	Chronic kidney disease			Y	Genitourinary system
HP:0012639	Abnormal nervous system morphology		Y		Nervous system
HP:0012745	Short palpebral fissure	Y	Y	Y	Head or neck
HP:0012799	Unilateral facial palsy	Y			Nervous system
HP:0020073	Hypopigmented macule	Y			Integument
HP:0020128	Aplasia of the olfactory tract	Y			Nervous system
HP:0025023	Rectal atresia	Y			Digestive system
HP:0025031	Abnormality of the digestive system			Y	Digestive system
HP:0025127	Actinic keratosis			Y	Integument
HP:0025261	Stiff finger			Y	Musculoskeletal system
HP:0025318	Ovarian carcinoma	Y			Neoplasm
HP:0025474	Erythematous plaque			Y	Integument
HP:0025502	Overweight			Y	Growth abnormality
HP:0030048	Colpocephaly	Y			Nervous system
HP:0030079	Cervix cancer			Y	Neoplasm
HP:0030084	Clinodactyly	Y		Y	Musculoskeletal system
HP:0030260	Microphallus	Y		Y	Genitourinary system
HP:0030283	Partial absence of the septum pellucidum	Y			Nervous system
HP:0030680	Abnormal cardiovascular system morphology	Y			Cardiovascular system
HP:0030996	Megaduodenum			Y	Digestive system
HP:0031095	Abnormal humerus morphology			Y	Musculoskeletal system
HP:0031640	Abnormal radial artery morphology			Y	Cardiovascular system
HP:0031689	Megakaryocyte dysplasia	Y			Blood and blood-forming tissues
HP:0031703	Abnormal Ear morphology			Y	Ear
HP:0031936	Delayed ability to walk	Y			Nervous system
HP:0031965	Increased RBC distribution width	Y			Blood and blood-forming tissues
HP:0032043	Odynophagia			Y	Digestive system
HP:0032154	Aphthous ulcer			Y	Head or neck
HP:0032188	Cellular hypersensitivity to mitomycin C	Y			Metabolism/homeostasis
HP:0032464	Ureteral hypoplasia	Y			Genitourinary system
HP:0033183	Bilobed right lung	Y			Respiratory system
HP:0033667	Diminished mental health			Y	Other/unclassified
HP:0033725	Thin corpus callosum	Y			Nervous system
HP:0034057	Fetal anomaly			Y	Prenatal development or birth
HP:0034231	Sigmoid kidney			Y	Genitourinary system
HP:0034323	Reduced circulating growth hormone concentration	Y		Y	Endocrine system
HP:0034585	CochlEar nerve hypoplasia			Y	Nervous system
HP:0034681	Finger joint contracture			Y	Connective tissue
HP:0034976	Absent pituitary stalk	Y			Endocrine system
HP:0040012	Chromosome breakage	Y			Metabolism/homeostasis
HP:0040071	Abnormal morphology of ulna		Y		Musculoskeletal system
HP:0040075	Hypopituitarism	Y			Endocrine system
HP:0040090	Abnormal tympanic membrane morphology			Y	Ear
HP:0040183	Encopresis			Y	Digestive system
HP:0040189	Scaling skin			Y	Integument
HP:0040270	Impaired glucose tolerance			Y	Metabolism/homeostasis
HP:0045005	Neural tube defect			Y	Nervous system
HP:0045025	Narrow palpebral fissure			Y	Head or neck
HP:0100026	Arteriovenous malformation		Y		Cardiovascular system
HP:0100542	Abnormal localization of kidney		Y		Genitourinary system
HP:0100559	Lower limb asymmetry			Y	Growth abnormality
HP:0100587	Abnormal preputium morphology		Y		Genitourinary system
HP:0100615	Ovarian Neoplasm	Y			Neoplasm
HP:0100760	Clubbing of toes		Y		Musculoskeletal system
HP:0100842	Septo-optic dysplasia	Y			Nervous system
HP:0100867	Duodenal stenosis		Y		Digestive system
HP:0200036	Skin nodule			Y	Integument
HP:0200043	Verrucae			Y	Neoplasm
HP:0410028	Recurrent oral herpes			Y	Immune system
HP:5200320	Diminishment of relationship seeking			Y	Nervous system
HP:6000064	Excessive eructation			Y	Digestive system
HP:6000942	Thumb hypoplasia grade 4			Y	Musculoskeletal system
