slug	in_scope	mondo	vocabulary	targets	preferred_targets	decision
Berardinelli_Seip_Congenital_Lipodystrophy	True	MONDO:0018883	icd11f	icd11f:1628738474|icd11f:641763399		REVIEW_PREFERENCE_COUNT
Biotin_Thiamine_Responsive_Basal_Ganglia_Disease	True	MONDO:0011841	ORDO	ORDO:199348|ORDO:65284	ORDO:65284	PERMIT_PROXY_MERGE
Brain_Small_Vessel_Disease_1_With_Or_Without_Ocular_Anomalies	True	MONDO:0008289	MESH	MESH:C531642|MESH:C564372		REVIEW_PREFERENCE_COUNT
CANVAS	True	MONDO:0044720	ORDO	ORDO:139564|ORDO:504476	ORDO:504476	PERMIT_PROXY_MERGE
COL11A2_Skeletal_Spectrum	True	MONDO:0008490	DOID	DOID:0080677|DOID:4258		REVIEW_PREFERENCE_COUNT
COL11A2_Skeletal_Spectrum	True	MONDO:0008490	MESH	MESH:C535776|MESH:C537494	MESH:C537494	PERMIT_PROXY_MERGE
Centronuclear_Myopathy	True	MONDO:0008048	DOID	DOID:0111217|DOID:0111223		REVIEW_PREFERENCE_COUNT
Cholangiocarcinoma	False	MONDO:0003210	icd11f	icd11f:1253728223|icd11f:387909164		REVIEW_PREFERENCE_COUNT
Chondrosarcoma	False	MONDO:0003680	DOID	DOID:5859|DOID:5866	DOID:5859	PERMIT_PROXY_MERGE
Choroid_Plexus_Carcinoma	False	MONDO:0018875	DOID	DOID:0111503|DOID:3012	DOID:0111503	PERMIT_PROXY_MERGE
Chromosome_18p_Deletion_Syndrome	True	MONDO:0007800	ORDO	ORDO:1598|ORDO:261974	ORDO:1598	PERMIT_PROXY_MERGE
Chromosome_2q32-q33_Deletion_Syndrome	True	MONDO:0012864	ORDO	ORDO:251019|ORDO:576283	ORDO:251019	PERMIT_PROXY_MERGE
Coffin-Lowry_Syndrome	True	MONDO:0010561	MESH	MESH:C536435|MESH:D038921		REVIEW_PREFERENCE_COUNT
Combined_Immunodeficiency_Due_To_CD3gamma_Deficiency	True	MONDO:0014276	DOID	DOID:0060018|DOID:0111973	DOID:0111973	PERMIT_PROXY_MERGE
Congenital_Heart_Disease	False	MONDO:0018677	ORDO	ORDO:157769|ORDO:450	ORDO:157769	PERMIT_PROXY_MERGE
Congenital_Stationary_Night_Blindness	True	MONDO:0016293	DOID	DOID:0050534|DOID:8498	DOID:0050534	PERMIT_PROXY_MERGE
Congenital_Stationary_Night_Blindness	True	MONDO:0016293	icd11f	icd11f:122338861|icd11f:587494652		REVIEW_PREFERENCE_COUNT
Diffuse_Nonepidermolytic_Palmoplantar_Keratoderma	True	MONDO:0010962	DOID	DOID:0050428|DOID:0070550	DOID:0070550	PERMIT_PROXY_MERGE
Duane_Radial_Ray_Syndrome	True	MONDO:0011812	ORDO	ORDO:93293|ORDO:959	ORDO:93293	PERMIT_PROXY_MERGE
Elsahy-Waters_Syndrome	True	MONDO:0008885	MESH	MESH:C537084|MESH:C566373	MESH:C537084	PERMIT_PROXY_MERGE
Epilepsy	False	MONDO:0016027	DOID	DOID:14264|DOID:14777	DOID:14264	PERMIT_PROXY_MERGE
Erythrokeratodermia_Variabilis	True	MONDO:0017851	MESH	MESH:C536154|MESH:D056266	MESH:D056266	PERMIT_PROXY_MERGE
Erythrokeratodermia_Variabilis	True	MONDO:0017851	ORDO	ORDO:308166|ORDO:316|ORDO:317	ORDO:317	PERMIT_PROXY_MERGE
FOXE3_Anterior_Segment_Dysgenesis	True	MONDO:0019503	icd11f	icd11f:1182282997|icd11f:943599144		REVIEW_PREFERENCE_COUNT
Familial_Hyperaldosteronism	True	MONDO:0016525	ORDO	ORDO:235936|ORDO:371861	ORDO:235936	PERMIT_PROXY_MERGE
Familial_Renal_Glucosuria	True	MONDO:0009297	DOID	DOID:0070613|DOID:9432		REVIEW_PREFERENCE_COUNT
Fetal_Alcohol_Spectrum_Disorder	False	MONDO:0016011	DOID	DOID:0050665|DOID:0050667	DOID:0050665	PERMIT_PROXY_MERGE
Fontaine_Progeroid_Syndrome	True	MONDO:0012853	ORDO	ORDO:2095|ORDO:2963|ORDO:697101	ORDO:697101	PERMIT_PROXY_MERGE
Frontotemporal_Dementia	False	MONDO:0010857	DOID	DOID:0051060|DOID:0081391		REVIEW_PREFERENCE_COUNT
Glycogen_Storage_Disease_Type_IX	True	MONDO:0010598	DOID	DOID:0111042|DOID:2751	DOID:0111042	REVIEW_UNCONFIRMED_MAPPING
Glycogen_Storage_Disease_Type_IX	True	MONDO:0010598	MESH	MESH:C564421|MESH:D006015	MESH:C564421	PERMIT_PROXY_MERGE
Gorlin_Syndrome	True	MONDO:0007187	DOID	DOID:0070365|DOID:2512		REVIEW_PREFERENCE_COUNT
HSD10_Mitochondrial_Disease	True	MONDO:0010327	MESH	MESH:C536080|MESH:C564560	MESH:C564560	PERMIT_PROXY_MERGE
H_Syndrome	True	MONDO:0011273	MESH	MESH:C535391|MESH:C538322	MESH:C538322	PERMIT_PROXY_MERGE
Hajdu-Cheney_Syndrome	True	MONDO:0007057	MESH	MESH:C535663|MESH:C537586		REVIEW_PREFERENCE_COUNT
Hemophilia	False	MONDO:0010602	OMIM	OMIM:134500|OMIM:306700	OMIM:306700	PERMIT_PROXY_MERGE
Hemophilia_A	False	MONDO:0010602	OMIM	OMIM:134500|OMIM:306700	OMIM:306700	PERMIT_PROXY_MERGE
Hermansky_Pudlak_Syndrome	False	MONDO:0011997	ORDO	ORDO:183678|ORDO:664500		REVIEW_PREFERENCE_COUNT
Hunter_syndrome	True	MONDO:0010674	ORDO	ORDO:580|ORDO:79388	ORDO:580	PERMIT_PROXY_MERGE
Hypotonia-Cystinuria_Syndrome	True	MONDO:0011669	ORDO	ORDO:163690|ORDO:238517	ORDO:163690	PERMIT_PROXY_MERGE
Hypotonia-Cystinuria_Syndrome	True	MONDO:0011669	icd11f	icd11f:1742079513|icd11f:1852649756		REVIEW_PREFERENCE_COUNT
Immunodeficiency_25	True	MONDO:0012426	DOID	DOID:0060007|DOID:0111942	DOID:0111942	PERMIT_PROXY_MERGE
Inherited_Retinal_Dystrophy	True	MONDO:0019118	DOID	DOID:8500|DOID:8501	DOID:8500	PERMIT_PROXY_MERGE
Inherited_Retinal_Dystrophy	True	MONDO:0019118	NCIT	NCIT:C35194|NCIT:C35625		REVIEW_PREFERENCE_COUNT
Intellectual_Disability_Autosomal_Dominant_30	True	MONDO:0014486	ORDO	ORDO:694304|ORDO:694308	ORDO:694304	PERMIT_PROXY_MERGE
Labyrinthitis	False	MONDO:0002008	DOID	DOID:1468|DOID:3930	DOID:1468	PERMIT_PROXY_MERGE
Leishmaniasis	False	MONDO:0005446	NCIT	NCIT:C34768|NCIT:C34770		REVIEW_PREFERENCE_COUNT
Leukocyte_Adhesion_Deficiency_Type_II	True	MONDO:0009953	DOID	DOID:0070255|DOID:0080492	DOID:0080492	PERMIT_PROXY_MERGE
Long_QT_Syndrome	False	MONDO:0019171	ORDO	ORDO:101016|ORDO:768	ORDO:768	PERMIT_PROXY_MERGE
MHC_Class_II_Deficiency	True	MONDO:0008855	NCIT	NCIT:C176823|NCIT:C3895		REVIEW_PREFERENCE_COUNT
Malignant_Germ_Cell_Tumor_of_Ovary	False	MONDO:0018369	NCIT	NCIT:C39995|NCIT:C8111	NCIT:C8111	PERMIT_PROXY_MERGE
Methylcobalamin_Deficiency_Type_cblE	True	MONDO:0009354	DOID	DOID:0050732|DOID:0112255	DOID:0112255	PERMIT_PROXY_MERGE
Methylcobalamin_Deficiency_Type_cblG	True	MONDO:0009609	DOID	DOID:0050733|DOID:0112256	DOID:0112256	PERMIT_PROXY_MERGE
Mucolipidosis_Type_III_Alpha_Beta	True	MONDO:0018931	ORDO	ORDO:423461|ORDO:577	ORDO:577	PERMIT_PROXY_MERGE
Musculocontractural_Ehlers-Danlos_Syndrome	True	MONDO:0014236	DOID	DOID:0080735|DOID:0080737	DOID:0080737	PERMIT_PROXY_MERGE
Myofibrillar_Myopathy	True	MONDO:0012215	MESH	MESH:C000598645|MESH:C535906|MESH:C563775	MESH:C563775	PERMIT_PROXY_MERGE
Myofibrillar_Myopathy	True	MONDO:0012215	ORDO	ORDO:268129|ORDO:98911	ORDO:98911	PERMIT_PROXY_MERGE
Northern_Epilepsy	True	MONDO:0012391	ORDO	ORDO:1947|ORDO:530298	ORDO:1947	PERMIT_PROXY_MERGE
PNPO_Deficiency	True	MONDO:0012407	icd11f	icd11f:1632334328|icd11f:604024463		REVIEW_PREFERENCE_COUNT
Plasma_Cell_Neoplasm	False	MONDO:0009693	icd11f	icd11f:1582389689|icd11f:526287100		REVIEW_PREFERENCE_COUNT
Primary_Hypertrophic_Osteoarthropathy	False	MONDO:0016620	ORDO	ORDO:248095|ORDO:2796	ORDO:248095	PERMIT_PROXY_MERGE
Proteasome_Associated_Autoinflammatory_Syndrome	True	MONDO:0009726	DOID	DOID:0050553|DOID:0060913		REVIEW_PREFERENCE_COUNT
Psoriasis_14_Pustular	True	MONDO:0013626	ORDO	ORDO:163931|ORDO:404546		REVIEW_PREFERENCE_COUNT
Pulmonary_hypertension	False	MONDO:0015924	ORDO	ORDO:182090|ORDO:422		REVIEW_PREFERENCE_COUNT
Raine_Syndrome	True	MONDO:0009821	MESH	MESH:C535282|MESH:C564916	MESH:C535282	PERMIT_PROXY_MERGE
Sensory_Ataxic_Neuropathy_Dysarthria_Ophthalmoparesis	True	MONDO:0011835	ORDO	ORDO:402082|ORDO:70595	ORDO:70595	PERMIT_PROXY_MERGE
Sickle_Cell_Disease	True	MONDO:0011382	DOID	DOID:0081445|DOID:10923	DOID:10923	PERMIT_PROXY_MERGE
Spinocerebellar_Ataxia_Type_17	True	MONDO:0011781	MESH	MESH:C563505|MESH:C564616|MESH:C565866	MESH:C564616	PERMIT_PROXY_MERGE
Spinocerebellar_Ataxia_Type_2	True	MONDO:0008458	DOID	DOID:0050955|DOID:0060204	DOID:0050955	PERMIT_PROXY_MERGE
Spondyloepimetaphyseal_Dysplasia_Bieganski_Type	True	MONDO:0010275	MESH	MESH:C536671|MESH:C567065		REVIEW_PREFERENCE_COUNT
Spotted_Fever_Rickettsiosis	False	MONDO:0024472	ORDO	ORDO:101334|ORDO:83313	ORDO:83313	PERMIT_PROXY_MERGE
Stromme_Syndrome	True	MONDO:0009477	ORDO	ORDO:444069|ORDO:506307	ORDO:506307	PERMIT_PROXY_MERGE
Thiopurine_S-methyltransferase_Deficiency	True	MONDO:0012503	DOID	DOID:0061004|DOID:0080172		REVIEW_PREFERENCE_COUNT
Thrombophilia	False	MONDO:0019145	MESH	MESH:C535424|MESH:D020151		REVIEW_PREFERENCE_COUNT
Thymus_Neoplasm	False	MONDO:0006451	DOID	DOID:3284|DOID:4554	DOID:3284	PERMIT_PROXY_MERGE
Thymus_Neoplasm	False	MONDO:0006451	NCIT	NCIT:C7569|NCIT:C7612		REVIEW_PREFERENCE_COUNT
Unverricht-Lundborg_Disease	True	MONDO:0009698	DOID	DOID:0111452|DOID:3535	DOID:3535	PERMIT_PROXY_MERGE
Vitamin_K_Dependent_Coagulation_Factor_Deficiency	True	MONDO:0015722	ORDO	ORDO:169826|ORDO:98434		REVIEW_PREFERENCE_COUNT
Wieacker_Wolff_Syndrome	True	MONDO:0010758	ORDO	ORDO:3454|ORDO:85283	ORDO:3454	PERMIT_PROXY_MERGE
Wolman_Disease	True	MONDO:0019148	MESH	MESH:C564736|MESH:D015223		REVIEW_PREFERENCE_COUNT
Zellweger_Spectrum_Disorders	True	MONDO:0019609	ORDO	ORDO:772|ORDO:912	ORDO:912	PERMIT_PROXY_MERGE
