mondo_id	label	state	tier	nearest_existing_entries
MONDO:0010311	Becker muscular dystrophy	absent	TIER2_RELATED_ENTRY_EXISTS	Autosomal_Recessive_Limb-Girdle_Muscular_Dystrophy; Duchenne_Muscular_Dystrophy; Emery_Dreifuss_Muscular_Dystrophy
MONDO:0016486	beta-thalassemia major	absent	TIER2_RELATED_ENTRY_EXISTS	Beta_Thalassemia
MONDO:0012933	breast-ovarian cancer, familial, susceptibility to, 2	absent	TIER2_RELATED_ENTRY_EXISTS	Hereditary_Breast_and_Ovarian_Cancer_Syndrome
MONDO:0016113	bulbospinal muscular atrophy	absent	TIER2_RELATED_ENTRY_EXISTS	Progressive_Muscular_Atrophy; Scapuloperoneal_Spinal_Muscular_Atrophy; Spinal_Muscular_Atrophy
MONDO:0000437	cerebellar ataxia	absent	TIER2_RELATED_ENTRY_EXISTS	AR_Cerebellar_Ataxia-Saccadic_Intrusion_Syndrome; Autosomal_Dominant_Cerebellar_Ataxia_Type_I; Autosomal_Dominant_Cerebellar_Ataxia_Type_III
MONDO:0700271	CHEK2-related cancer predisposition	absent	TIER2_RELATED_ENTRY_EXISTS	AIP-related_pituitary_adenoma_predisposition
MONDO:0011929	chromosome 1p36 deletion syndrome	mentioned_only	TIER2_RELATED_ENTRY_EXISTS	Chromosome_18p_Deletion_Syndrome; Chromosome_18q_Deletion_Syndrome; Chromosome_2q32-q33_Deletion_Syndrome
MONDO:0100506	Cockayne spectrum with or without cerebrooculofacioskeletal syndrome	absent	TIER2_RELATED_ENTRY_EXISTS	Brain_Small_Vessel_Disease_1_With_Or_Without_Ocular_Anomalies; Holoprosencephaly_12_With_or_Without_Pancreatic_Agenesis
MONDO:0019569	Cockayne syndrome type 1	absent	TIER2_RELATED_ENTRY_EXISTS	Cockayne_Syndrome
MONDO:0019570	Cockayne syndrome type 2	absent	TIER2_RELATED_ENTRY_EXISTS	Cockayne_Syndrome
MONDO:0008998	Cockayne syndrome type 3	absent	TIER2_RELATED_ENTRY_EXISTS	Cockayne_Syndrome
MONDO:0012295	complement component 5 deficiency	absent	TIER2_RELATED_ENTRY_EXISTS	Late_Complement_Component_Deficiency
MONDO:0008099	congenital stationary night blindness autosomal dominant 2	absent	TIER2_RELATED_ENTRY_EXISTS	Adult-Onset_Autosomal_Dominant_Demyelinating_Leukodystrophy; Autosomal_Dominant_Cerebellar_Ataxia_Type_I; Autosomal_Dominant_Cerebellar_Ataxia_Type_III
MONDO:0700294	CTCF-related neurodevelopmental disorder	absent	TIER2_RELATED_ENTRY_EXISTS	CTCF-related_Neurodevelopmental_Disorder
MONDO:0006033	diffuse intrinsic pontine glioma	absent	TIER2_RELATED_ENTRY_EXISTS	H3_K27_Altered_Diffuse_Midline_Glioma
MONDO:0700285	DMD-related muscular dystrophy	absent	TIER2_RELATED_ENTRY_EXISTS	Autosomal_Recessive_Limb-Girdle_Muscular_Dystrophy; Duchenne_Muscular_Dystrophy; Emery_Dreifuss_Muscular_Dystrophy
MONDO:0007492	early-onset generalized limb-onset dystonia	absent	TIER2_RELATED_ENTRY_EXISTS	Adult_Onset_Dystonia_Parkinsonism; Early-Onset_Autosomal_Dominant_Alzheimer_Disease; Leber_Congenital_Amaurosis_with_Early-Onset_Deafness
MONDO:0019287	ectodermal dysplasia syndrome	absent	TIER2_RELATED_ENTRY_EXISTS	EDARADD_Hypohidrotic_Ectodermal_Dysplasia; EDAR_Hypohidrotic_Ectodermal_Dysplasia; Ectodermal_Dysplasia_and_Immunodeficiency_2
MONDO:0016002	Ehlers-Danlos syndrome, kyphoscoliotic type 1	absent	TIER2_RELATED_ENTRY_EXISTS	Ehlers-Danlos_Syndrome
MONDO:0007163	episodic ataxia type 2	mentioned_only	TIER2_RELATED_ENTRY_EXISTS	Episodic_Ataxia
MONDO:0007349	familial cold autoinflammatory syndrome 1	mentioned_only	TIER2_RELATED_ENTRY_EXISTS	Familial_Cold_Autoinflammatory_Syndrome
MONDO:0024573	familial hypertrophic cardiomyopathy	mentioned_only	TIER2_RELATED_ENTRY_EXISTS	Hypertrophic_Cardiomyopathy; Hypertrophic_Cardiomyopathy_21; Hypertrophic_Cardiomyopathy_26
MONDO:0009265	Gaucher disease type I	mentioned_only	TIER2_RELATED_ENTRY_EXISTS	Gaucher_Disease; Gaucher_Disease_Due_To_Saposin_C_Deficiency
MONDO:0002412	glycogen storage disease	absent	TIER2_RELATED_ENTRY_EXISTS	Glycogen_Storage_Disease_Type_I; Glycogen_Storage_Disease_Type_IV; Glycogen_Storage_Disease_Type_V
MONDO:0018485	glycogen storage disease due to acid maltase deficiency, late-onset	absent	TIER2_RELATED_ENTRY_EXISTS	Glycogen_Storage_Disease_Type_I
MONDO:0009287	glycogen storage disease due to glucose-6-phosphatase deficiency type IA	absent	TIER2_RELATED_ENTRY_EXISTS	Glycogen_Storage_Disease_Type_I
MONDO:0009288	glycogen storage disease Ib	absent	TIER2_RELATED_ENTRY_EXISTS	Glycogen_Storage_Disease_Type_I
MONDO:0700291	glycogen storage disease IX	absent	TIER2_RELATED_ENTRY_EXISTS	Glycogen_Storage_Disease_Type_I
MONDO:0009294	glycogen storage disease VI	absent	TIER2_RELATED_ENTRY_EXISTS	Glycogen_Storage_Disease_Type_I
MONDO:0018149	GM1 gangliosidosis	absent	TIER2_RELATED_ENTRY_EXISTS	GM1_Gangliosidosis_Type_1; GM1_Gangliosidosis_Type_2; GM1_Gangliosidosis_Type_3
MONDO:0010600	granulomatous disease, chronic, X-linked	absent	TIER2_RELATED_ENTRY_EXISTS	Chronic_Granulomatous_Disease
MONDO:0019474	hepatosplenic T-cell lymphoma	absent	TIER2_RELATED_ENTRY_EXISTS	Adult_T_Cell_Leukemia_Lymphoma; Anaplastic_Large_Cell_Lymphoma; Breast_Implant_Associated_Anaplastic_Large_Cell_Lymphoma
MONDO:0003582	hereditary breast ovarian cancer syndrome	absent	TIER2_RELATED_ENTRY_EXISTS	Hereditary_Breast_and_Ovarian_Cancer_Syndrome
MONDO:0008185	hereditary chronic pancreatitis	absent	TIER2_RELATED_ENTRY_EXISTS	Chronic_Pancreatitis
MONDO:0007888	hereditary leiomyomatosis and renal cell cancer	absent	TIER2_RELATED_ENTRY_EXISTS	Clear_Cell_Renal_Cell_Carcinoma; Metastatic_Renal_Cell_Carcinoma; Non-Small_Cell_Lung_Cancer
MONDO:0017366	hereditary pheochromocytoma-paraganglioma	absent	TIER2_RELATED_ENTRY_EXISTS	Pheochromocytoma_Paraganglioma
MONDO:0018160	hereditary retinoblastoma	absent	TIER2_RELATED_ENTRY_EXISTS	Retinoblastoma
MONDO:0008748	Hermansky-Pudlak syndrome 1	mentioned_only	TIER2_RELATED_ENTRY_EXISTS	Hermansky_Pudlak_Syndrome
MONDO:0018037	hyper-IgE syndrome	absent	TIER2_RELATED_ENTRY_EXISTS	Autosomal_Dominant_Hyper-IgE_Syndrome
MONDO:0009734	hyperinsulinemic hypoglycemia, familial, 1	absent	TIER2_RELATED_ENTRY_EXISTS	Hyperinsulinemic_Hypoglycemia
MONDO:0008224	hyperkalemic periodic paralysis	mentioned_only	TIER2_RELATED_ENTRY_EXISTS	Hypokalemic_Periodic_Paralysis
MONDO:0800029	idiopathic pulmonary fibrosis	absent	TIER2_RELATED_ENTRY_EXISTS	Idiopathic_Pulmonary_Fibrosis
MONDO:0019262	juvenile neuronal ceroid lipofuscinosis	absent	TIER2_RELATED_ENTRY_EXISTS	Neuronal_Ceroid_Lipofuscinosis; Neuronal_Ceroid_Lipofuscinosis_1; Neuronal_Ceroid_Lipofuscinosis_2
MONDO:0008278	juvenile polyposis/hereditary hemorrhagic telangiectasia syndrome	mentioned_only	TIER2_RELATED_ENTRY_EXISTS	Hereditary_Hemorrhagic_Telangiectasia; Juvenile_Polyposis_Syndrome
MONDO:0006266	Leydig cell tumor	absent	TIER2_RELATED_ENTRY_EXISTS	Central_Nervous_System_Germ_Cell_Tumor; Desmoplastic_Small_Round_Cell_Tumor; Granular_Cell_Tumor
MONDO:0002442	long QT syndrome	mentioned_only	TIER2_RELATED_ENTRY_EXISTS	Long_QT_Syndrome
MONDO:0800449	lysosomal acid lipase deficiency	mentioned_only	TIER2_RELATED_ENTRY_EXISTS	Lysosomal_Acid_Phosphatase_Deficiency
MONDO:0800188	malignant hyperthermia susceptibility	absent	TIER2_RELATED_ENTRY_EXISTS	Malignant_Hyperthermia_of_Anesthesia
MONDO:0001117	methemoglobinemia	absent	TIER2_RELATED_ENTRY_EXISTS	Hereditary_Methemoglobinemia
MONDO:0001586	mucopolysaccharidosis type 1	mentioned_only	TIER2_RELATED_ENTRY_EXISTS	Mucopolysaccharidosis; Mucopolysaccharidosis-Plus_Syndrome; Mucopolysaccharidosis_type_IX
MONDO:0007540	multiple endocrine neoplasia type 1	absent	TIER2_RELATED_ENTRY_EXISTS	Multiple_Endocrine_Neoplasia_Type_2
MONDO:0008234	multiple endocrine neoplasia type 2A	absent	TIER2_RELATED_ENTRY_EXISTS	Multiple_Endocrine_Neoplasia_Type_2
MONDO:0016107	myotonic dystrophy	absent	TIER2_RELATED_ENTRY_EXISTS	Myotonic_Dystrophy_Type_1
MONDO:0008062	narcolepsy 1	absent	TIER2_RELATED_ENTRY_EXISTS	Narcolepsy; Narcolepsy-Cataplexy_Syndrome
MONDO:0018360	neonatal lupus erythematosus	absent	TIER2_RELATED_ENTRY_EXISTS	Systemic_Lupus_Erythematosus
MONDO:0009757	Niemann-Pick disease, type C1	mentioned_only	TIER2_RELATED_ENTRY_EXISTS	Niemann-Pick_Disease_Type_A; Niemann-Pick_Disease_Type_B; Niemann_Pick_Disease_Type_C
MONDO:0018908	non-Hodgkin lymphoma	mentioned_only	TIER2_RELATED_ENTRY_EXISTS	Classic_Hodgkin_Lymphoma
MONDO:0008746	oculocutaneous albinism type 2	absent	TIER2_RELATED_ENTRY_EXISTS	Oculocutaneous_Albinism
MONDO:0008116	oculopharyngeal muscular dystrophy	mentioned_only	TIER2_RELATED_ENTRY_EXISTS	Autosomal_Recessive_Limb-Girdle_Muscular_Dystrophy; Duchenne_Muscular_Dystrophy; Emery_Dreifuss_Muscular_Dystrophy
MONDO:0019019	osteogenesis imperfecta	mentioned_only	TIER2_RELATED_ENTRY_EXISTS	Osteogenesis_Imperfecta; Osteogenesis_Imperfecta_Type_I; Osteogenesis_Imperfecta_Type_II
MONDO:0700272	PALB2-related cancer predisposition	absent	TIER2_RELATED_ENTRY_EXISTS	AIP-related_pituitary_adenoma_predisposition
MONDO:0008274	polyostotic fibrous dysplasia	absent	TIER2_RELATED_ENTRY_EXISTS	Fibrous_Dysplasia
MONDO:0011866	pontocerebellar hypoplasia type 1A	mentioned_only	TIER2_RELATED_ENTRY_EXISTS	Pontocerebellar_Hypoplasia
MONDO:0005387	primary ovarian failure	absent	TIER2_RELATED_ENTRY_EXISTS	Fragile_X-Associated_Primary_Ovarian_Insufficiency
MONDO:0020732	progeria	absent	TIER2_RELATED_ENTRY_EXISTS	Hutchinson-Gilford_Progeria_Syndrome; Nestor-Guillermo_progeria_syndrome
MONDO:0015333	progeroid syndrome	absent	TIER2_RELATED_ENTRY_EXISTS	Fontaine_Progeroid_Syndrome
MONDO:0005181	progressive external ophthalmoplegia	absent	TIER2_RELATED_ENTRY_EXISTS	Autosomal_Dominant_Progressive_External_Ophthalmoplegia; Autosomal_Recessive_Progressive_External_Ophthalmoplegia_1
MONDO:0015924	pulmonary arterial hypertension	mentioned_only	TIER2_RELATED_ENTRY_EXISTS	Drug_or_Toxin-Induced_Pulmonary_Arterial_Hypertension; Heritable_Pulmonary_Arterial_Hypertension; Idiopathic_Pulmonary_Arterial_Hypertension
MONDO:0009945	pyridoxine-dependent epilepsy	mentioned_only	TIER2_RELATED_ENTRY_EXISTS	Pyridoxine-Dependent_Epilepsy
MONDO:0001909	renal tubular acidosis	absent	TIER2_RELATED_ENTRY_EXISTS	Renal_Tubular_Acidosis_Distal_4_with_Hemolytic_Anemia
MONDO:0010775	retinitis pigmentosa-deafness syndrome	absent	TIER2_RELATED_ENTRY_EXISTS	BBSome-Related_Retinitis_Pigmentosa; EYS_Related_Retinitis_Pigmentosa
MONDO:0005212	rhabdomyosarcoma	mentioned_only	TIER2_RELATED_ENTRY_EXISTS	Alveolar_Rhabdomyosarcoma; Embryonal_Rhabdomyosarcoma; Rhabdomyosarcoma
MONDO:0002479	Sertoli-Leydig cell tumor	absent	TIER2_RELATED_ENTRY_EXISTS	Central_Nervous_System_Germ_Cell_Tumor; Desmoplastic_Small_Round_Cell_Tumor; Granular_Cell_Tumor
MONDO:0007064	severe combined immunodeficiency, autosomal recessive, T cell-negative, B cell-negative, NK cell-negative, due to adenosine deaminase deficiency	absent	TIER2_RELATED_ENTRY_EXISTS	Deficiency_of_Adenosine_Deaminase_2; Severe_Combined_Immunodeficiency
MONDO:0009833	Shwachman-Diamond syndrome	absent	TIER2_RELATED_ENTRY_EXISTS	EFL1-related_Shwachman-Diamond_syndrome
MONDO:0018230	skeletal dysplasia	absent	TIER2_RELATED_ENTRY_EXISTS	CHST3-Related_Skeletal_Dysplasia
MONDO:0008458	spinocerebellar ataxia type 2	absent	TIER2_RELATED_ENTRY_EXISTS	Autosomal_Recessive_Spinocerebellar_Ataxia_15; Autosomal_Recessive_Spinocerebellar_Ataxia_20; Spinocerebellar_Ataxia_27B
MONDO:0008457	spinocerebellar ataxia type 6	absent	TIER2_RELATED_ENTRY_EXISTS	Autosomal_Recessive_Spinocerebellar_Ataxia_15; Autosomal_Recessive_Spinocerebellar_Ataxia_20; Spinocerebellar_Ataxia_27B
MONDO:0012116	spinocerebellar ataxia type 8	absent	TIER2_RELATED_ENTRY_EXISTS	Autosomal_Recessive_Spinocerebellar_Ataxia_15; Autosomal_Recessive_Spinocerebellar_Ataxia_20; Spinocerebellar_Ataxia_27B
MONDO:0019354	Stickler syndrome	mentioned_only	TIER2_RELATED_ENTRY_EXISTS	Stickler_Syndrome_Type_1
MONDO:0010315	T-B+ severe combined immunodeficiency due to gamma chain deficiency	absent	TIER2_RELATED_ENTRY_EXISTS	Severe_Combined_Immunodeficiency
MONDO:0005396	thoracic aortic aneurysm	absent	TIER2_RELATED_ENTRY_EXISTS	Familial_Thoracic_Aortic_Aneurysm_and_Aortic_Dissection
MONDO:0018896	thrombotic thrombocytopenic purpura	mentioned_only	TIER2_RELATED_ENTRY_EXISTS	Acquired_Thrombotic_Thrombocytopenic_Purpura
MONDO:0010168	Usher syndrome type 1	mentioned_only	TIER2_RELATED_ENTRY_EXISTS	Usher_Syndrome
MONDO:0016484	Usher syndrome type 2	mentioned_only	TIER2_RELATED_ENTRY_EXISTS	Usher_Syndrome
MONDO:0016485	Usher syndrome type 3	mentioned_only	TIER2_RELATED_ENTRY_EXISTS	Usher_Syndrome
MONDO:0024299	vitamin D-dependent rickets	absent	TIER2_RELATED_ENTRY_EXISTS	Vitamin_K_Dependent_Coagulation_Factor_Deficiency
MONDO:0009924	vitamin D-dependent rickets, type 1	absent	TIER2_RELATED_ENTRY_EXISTS	Vitamin_K_Dependent_Coagulation_Factor_Deficiency
MONDO:0020720	X-linked hypophosphatemic rickets	mentioned_only	TIER2_RELATED_ENTRY_EXISTS	Autism_Susceptibility_to_X-Linked_3; Charcot-Marie-Tooth_Disease_X-linked_Recessive_4; Claes-Jensen_Type_X-Linked_Intellectual_Disability
MONDO:0010627	X-linked lymphoproliferative syndrome	absent	TIER2_RELATED_ENTRY_EXISTS	Autism_Susceptibility_to_X-Linked_3; Charcot-Marie-Tooth_Disease_X-linked_Recessive_4; Claes-Jensen_Type_X-Linked_Intellectual_Disability
MONDO:0021019	X-linked recessive ocular albinism	absent	TIER2_RELATED_ENTRY_EXISTS	Autism_Susceptibility_to_X-Linked_3; Charcot-Marie-Tooth_Disease_X-linked_Recessive_4; Claes-Jensen_Type_X-Linked_Intellectual_Disability
