curie,label,root,retrieved_at
CL:0002617,adipocyte of breast,CL:0002320,2026-08-29T15:27:59+00:00
CL:0002619,adult endothelial progenitor cell,CL:0002320,2026-08-29T15:27:59+00:00
CL:0002620,skin fibroblast,CL:0002320,2026-08-29T15:27:59+00:00
CL:0002622,prostate stromal cell,CL:0002320,2026-08-29T15:27:59+00:00
CL:0002639,amniotic stem cell,CL:0002320,2026-08-29T15:27:59+00:00
CL:0005021,mesenchymal lymphangioblast,CL:0002320,2026-08-29T15:27:59+00:00
CL:0007010,preosteoblast,CL:0002320,2026-08-29T15:27:59+00:00
CL:0007012,non-terminally differentiated odontoblast,CL:0002320,2026-08-29T15:27:59+00:00
CL:0007013,terminally differentiated odontoblast,CL:0002320,2026-08-29T15:27:59+00:00
CL:0008033,decidual pericyte,CL:0002320,2026-08-29T15:27:59+00:00
CL:0009021,stromal cell of lamina propria of large intestine,CL:0002320,2026-08-29T15:27:59+00:00
CL:0009022,stromal cell of lamina propria of small intestine,CL:0002320,2026-08-29T15:27:59+00:00
CL:0009035,stromal cell of lamina propria of vermiform appendix,CL:0002320,2026-08-29T15:27:59+00:00
CL:0009040,stromal cell of lamina propria of colon,CL:0002320,2026-08-29T15:27:59+00:00
CL:0009053,stromal cell of anorectum lamina propria,CL:0002320,2026-08-29T15:27:59+00:00
CL:0009078,thymic fibroblast type 1,CL:0002320,2026-08-29T15:27:59+00:00
CL:0009079,thymic fibroblast type 2,CL:0002320,2026-08-29T15:27:59+00:00
CL:0009085,colony forming unit – Hill cell,CL:0002320,2026-08-29T15:27:59+00:00
CL:0009088,circulating angiogenic cell,CL:0002320,2026-08-29T15:27:59+00:00
CL:0009089,lung pericyte,CL:0002320,2026-08-29T15:27:59+00:00
CL:0009090,endothelial colony forming cell,CL:0002320,2026-08-29T15:27:59+00:00
CL:0009100,hepatic portal fibroblast,CL:0002320,2026-08-29T15:27:59+00:00
CL:0009101,fibroblastic reticular cell,CL:0002320,2026-08-29T15:27:59+00:00
CL:0009102,lymph node fibroblastic reticular cell,CL:0002320,2026-08-29T15:27:59+00:00
CL:0009103,lymph node marginal reticular cell,CL:0002320,2026-08-29T15:27:59+00:00
CL:0009104,B cell zone reticular cell,CL:0002320,2026-08-29T15:27:59+00:00
CL:0009105,T cell zone reticular cell,CL:0002320,2026-08-29T15:27:59+00:00
CL:0009106,medullary reticular cell,CL:0002320,2026-08-29T15:27:59+00:00
CL:0010001,stromal cell of bone marrow,CL:0002320,2026-08-29T15:27:59+00:00
CL:0011021,fibroblast of upper back skin,CL:0002320,2026-08-29T15:27:59+00:00
CL:0011022,fibroblast of skin of back,CL:0002320,2026-08-29T15:27:59+00:00
