slug	name	parent	mendelian	solver_status	boomer_icd10_terms	direct_icd10cm_count	mondo_icd10_count	exact_ordo_links	ordo_icd10_count	ordo_predicates	no_mapping_found
Chondrosarcoma	Chondrosarcoma	MONDO:0008977	0	RETRACTED		0	0	ORDO:55880	1	skos:broadMatch	0
Chorea-acanthocytosis	Chorea-acanthocytosis	MONDO:0008695	1	ALL_MAPPINGS_CONSISTENT	ICD10:E78.6	0	0	ORDO:2388	1	skos:broadMatch	0
Choroid_Plexus_Carcinoma	Choroid Plexus Carcinoma	MONDO:0016718	0	RETRACTED		0	0	ORDO:251899	1	skos:broadMatch	0
Choroid_Plexus_Neoplasm	Choroid Plexus Neoplasm	MONDO:0016717	0	ALL_MAPPINGS_CONSISTENT		0	0	ORDO:251896	0		1
Choroideremia	Choroideremia	MONDO:0010557	1	TIMED_OUT	ICD10:H31.2|ICD10CM:H31.21	0	2	ORDO:180	1	skos:broadMatch	0
Choroiditis	Choroiditis	MONDO:0001280	0	ALL_MAPPINGS_CONSISTENT	ICD10CM:H44.13	0	0	ORDO:280892	0		0
Chromosome_17q12_Deletion_Syndrome	Chromosome 17q12 Deletion Syndrome	MONDO:0013797	1	ALL_MAPPINGS_CONSISTENT	ICD10:Q93.5	0	0	ORDO:261265	1	skos:broadMatch	0
Chromosome_18p_Deletion_Syndrome	Chromosome 18p Deletion Syndrome	MONDO:0007800	1	TIMED_OUT	ICD10:Q93.5	0	0	ORDO:1598|ORDO:261974	1	skos:broadMatch	0
Chromosome_2q32-q33_Deletion_Syndrome	Chromosome 2q32-q33 Deletion Syndrome	MONDO:0012864	1	RETRACTED	ICD10:Q87.8|ICD10:Q93.5	0	0	ORDO:251019|ORDO:576283	2	skos:broadMatch	0
Chromosome_Xq_Duplication	Chromosome Xq Duplication	MONDO:0017010	0	ALL_MAPPINGS_CONSISTENT		0	0	ORDO:263783	0		1
Chronic_Granulomatous_Disease	Chronic Granulomatous Disease	MONDO:0018305	1	TIMED_OUT	ICD10:D71	0	0	ORDO:379	1	skos:broadMatch	0
Chronic_Intestinal_Pseudoobstruction	Chronic Intestinal Pseudoobstruction	MONDO:0017574	0	ALL_MAPPINGS_CONSISTENT		0	0	ORDO:2978	1	skos:broadMatch	0
Chronic_Mucocutaneous_Candidiasis	Chronic Mucocutaneous Candidiasis	MONDO:0015279	1	TIMED_OUT	ICD10:B37.2|ICD10:E31.0|ICD10:K63.9	0	0	ORDO:1334	1	skos:broadMatch	0
Chronic_Neurovisceral_Acid_Sphingomyelinase_Deficiency	Chronic Neurovisceral Acid Sphingomyelinase Deficiency	MONDO:0850058	1	ALL_MAPPINGS_CONSISTENT	ICD10:E75.2|ICD10CM:E75.244	0	2	ORDO:618891	1	skos:broadMatch	0
Chronic_Primary_Adrenal_Insufficiency	Chronic Primary Adrenal Insufficiency	MONDO:0015129	0	ALL_MAPPINGS_CONSISTENT		0	0	ORDO:101959	0		1
Chung-Jansen_Syndrome	Chung-Jansen Syndrome	MONDO:0035133	1	ALL_MAPPINGS_CONSISTENT	ICD10:Q87.8	0	0	ORDO:589905	1	skos:broadMatch	0
Chuvash_Polycythemia	Chuvash Polycythemia	MONDO:0009892	1	ALL_MAPPINGS_CONSISTENT	ICD10:D75.1	0	0	ORDO:238557	1	skos:broadMatch	0
Citrin_Deficiency	Citrin Deficiency	MONDO:0016602	1	TIMED_OUT	ICD10:E72.2	0	0	ORDO:247582	0		0
Citrullinemia_Type_I	Citrullinemia Type I	MONDO:0008988	1	TIMED_OUT	ICD10:E72.2	0	0	ORDO:247525	1	skos:broadMatch	0
Classic_Familial_Adenomatous_Polyposis	Classic Familial Adenomatous Polyposis	MONDO:0021055	1	ALL_MAPPINGS_CONSISTENT	ICD10:D12.6	0	0	ORDO:733	1	skos:broadMatch	0
Cleidocranial_Dysplasia	Cleidocranial Dysplasia	MONDO:0007340	1	ALL_MAPPINGS_CONSISTENT	ICD10:Q74.0	0	0	ORDO:1452	1	skos:broadMatch	0
Clouston_Syndrome	Clouston Syndrome	MONDO:0007510	1	ALL_MAPPINGS_CONSISTENT	ICD10:Q82.8	0	0	ORDO:189	1	skos:broadMatch	0
Coffin-Lowry_Syndrome	Coffin-Lowry syndrome	MONDO:0010561	1	TIMED_OUT	ICD10:Q87.0	0	0	ORDO:192	1	skos:broadMatch	0
Coffin_Siris_Syndrome	Coffin-Siris syndrome	MONDO:0015452	1	TIMED_OUT	ICD10:Q87.1	0	0	ORDO:1465	1	skos:broadMatch	0
Cole-Carpenter_Syndrome	Cole-Carpenter syndrome	MONDO:0016085	1	TIMED_OUT	ICD10:Q78.0	0	0	ORDO:2050	1	skos:broadMatch	0
Colobomatous_Microphthalmia-Rhizomelic_Dysplasia_Syndrome	Colobomatous Microphthalmia-Rhizomelic Dysplasia Syndrome	MONDO:0014380	1	ALL_MAPPINGS_CONSISTENT	ICD10:Q87.5	0	0	ORDO:424099	1	skos:broadMatch	0
Combined_Immunodeficiency_Due_To_CD3gamma_Deficiency	Combined immunodeficiency due to CD3gamma deficiency	MONDO:0014276	1	RETRACTED	ICD10:D81.2	0	0	ORDO:169082	1	skos:broadMatch	0
Combined_Immunodeficiency_Due_To_CTPS1_Deficiency	Combined Immunodeficiency Due to CTPS1 Deficiency	MONDO:0014391	1	ALL_MAPPINGS_CONSISTENT	ICD10:D81.2	0	0	ORDO:420573	1	skos:broadMatch	0
Combined_Immunodeficiency_Due_To_GINS1_Deficiency	Combined Immunodeficiency Due To GINS1 Deficiency	MONDO:0044725	1	ALL_MAPPINGS_CONSISTENT	ICD10:D81.8	0	0	ORDO:505227	1	skos:broadMatch	0
Combined_Malonic_and_Methylmalonic_Aciduria	Combined Malonic and Methylmalonic Aciduria	MONDO:0013661	1	ALL_MAPPINGS_CONSISTENT	ICD10:E71.1	0	0	ORDO:289504	1	skos:broadMatch	0
Combined_Oxidative_Phosphorylation_Defect_Type_13	Combined Oxidative Phosphorylation Defect Type 13	MONDO:0013977	1	ALL_MAPPINGS_CONSISTENT	ICD10:E88.8	0	0	ORDO:319514	1	skos:broadMatch	0
