curie,ancestor_curies,ancestor_labels,retrieved_at
ICD10CM:E88.49,ICD10CM:E00-E89|ICD10CM:E70-E88|ICD10CM:E88|ICD10CM:E88.4|ICD10CM:E88.49,"Endocrine, nutritional and metabolic diseases (E00-E89)|Metabolic disorders (E70-E88)|Other and unspecified metabolic disorders|Mitochondrial metabolism disorders|Other mitochondrial metabolism disorders",2026-09-12T18:23:23+00:00
ICD10CM:F42,ICD10CM:F01-F99|ICD10CM:F40-F48|ICD10CM:F42,"Mental, Behavioral and Neurodevelopmental disorders (F01-F99)|Anxiety, dissociative, stress-related, somatoform and other nonpsychotic mental disorders (F40-F48)|Obsessive-compulsive disorder",2026-09-06T17:14:06+00:00
ICD10CM:F84.2,ICD10CM:F01-F99|ICD10CM:F80-F89|ICD10CM:F84|ICD10CM:F84.2,"Mental, Behavioral and Neurodevelopmental disorders (F01-F99)|Pervasive and specific developmental disorders (F80-F89)|Pervasive developmental disorders|Rett's syndrome",2026-09-06T17:14:06+00:00
ICD10CM:G12.1,ICD10CM:G00-G99|ICD10CM:G10-G14|ICD10CM:G12|ICD10CM:G12.1,Diseases of the nervous system (G00-G99)|Systemic atrophies primarily affecting the central nervous system (G10-G14)|Spinal muscular atrophy and related syndromes|Other inherited spinal muscular atrophy,2026-09-06T17:14:06+00:00
ICD10CM:G37.3,ICD10CM:G00-G99|ICD10CM:G35-G37|ICD10CM:G37|ICD10CM:G37.3,Diseases of the nervous system (G00-G99)|Demyelinating diseases of the central nervous system (G35-G37)|Other demyelinating diseases of central nervous system|Acute transverse myelitis in demyelinating disease of central nervous system,2026-09-06T17:14:06+00:00
ICD10CM:G40.0,ICD10CM:G00-G99|ICD10CM:G40-G47|ICD10CM:G40|ICD10CM:G40.0,Diseases of the nervous system (G00-G99)|Episodic and paroxysmal disorders (G40-G47)|Epilepsy and recurrent seizures|Localization-related (focal) (partial) idiopathic epilepsy and epileptic syndromes with seizures of localized onset,2026-09-06T17:14:06+00:00
ICD10CM:G40.81,ICD10CM:G00-G99|ICD10CM:G40-G47|ICD10CM:G40|ICD10CM:G40.8|ICD10CM:G40.81,Diseases of the nervous system (G00-G99)|Episodic and paroxysmal disorders (G40-G47)|Epilepsy and recurrent seizures|Other epilepsy and recurrent seizures|Lennox-Gastaut syndrome,2026-09-06T17:14:06+00:00
ICD10CM:G43.4,ICD10CM:G00-G99|ICD10CM:G40-G47|ICD10CM:G43|ICD10CM:G43.4,Diseases of the nervous system (G00-G99)|Episodic and paroxysmal disorders (G40-G47)|Migraine|Hemiplegic migraine,2026-09-06T17:14:06+00:00
ICD10CM:G51.0,ICD10CM:G00-G99|ICD10CM:G50-G59|ICD10CM:G51|ICD10CM:G51.0,"Diseases of the nervous system (G00-G99)|Nerve, nerve root and plexus disorders (G50-G59)|Facial nerve disorders|Bell's palsy",2026-09-06T17:14:06+00:00
ICD10CM:G70.0,ICD10CM:G00-G99|ICD10CM:G70-G73|ICD10CM:G70|ICD10CM:G70.0,Diseases of the nervous system (G00-G99)|Diseases of myoneural junction and muscle (G70-G73)|Myasthenia gravis and other myoneural disorders|Myasthenia gravis,2026-09-06T17:14:06+00:00
ICD10CM:G93.45,ICD10CM:G00-G99|ICD10CM:G89-G99|ICD10CM:G93|ICD10CM:G93.4|ICD10CM:G93.45,Diseases of the nervous system (G00-G99)|Other disorders of the nervous system (G89-G99)|Other disorders of brain|Other and unspecified encephalopathy|Developmental and epileptic encephalopathy,2026-09-06T17:14:06+00:00
ICD10CM:H49.0,ICD10CM:H00-H59|ICD10CM:H49-H52|ICD10CM:H49|ICD10CM:H49.0,"Diseases of the eye and adnexa (H00-H59)|Disorders of ocular muscles, binocular movement, accommodation and refraction (H49-H52)|Paralytic strabismus|Third [oculomotor] nerve palsy",2026-09-06T17:14:06+00:00
ICD10CM:H80,ICD10CM:H60-H95|ICD10CM:H80-H83|ICD10CM:H80,Diseases of the ear and mastoid process (H60-H95)|Diseases of inner ear (H80-H83)|Otosclerosis,2026-09-12T18:23:23+00:00
ICD10CM:I67.6,ICD10CM:I00-I99|ICD10CM:I60-I69|ICD10CM:I67|ICD10CM:I67.6,Diseases of the circulatory system (I00-I99)|Cerebrovascular diseases (I60-I69)|Other cerebrovascular diseases|Nonpyogenic thrombosis of intracranial venous system,2026-09-06T17:14:06+00:00
ICD10CM:I73.8,ICD10CM:I00-I99|ICD10CM:I70-I79|ICD10CM:I73|ICD10CM:I73.8,"Diseases of the circulatory system (I00-I99)|Diseases of arteries, arterioles and capillaries (I70-I79)|Other peripheral vascular diseases|Other specified peripheral vascular diseases",2026-09-06T17:14:06+00:00
ICD10CM:I73.81,ICD10CM:I00-I99|ICD10CM:I70-I79|ICD10CM:I73|ICD10CM:I73.8|ICD10CM:I73.81,"Diseases of the circulatory system (I00-I99)|Diseases of arteries, arterioles and capillaries (I70-I79)|Other peripheral vascular diseases|Other specified peripheral vascular diseases|Erythromelalgia",2026-09-06T17:14:06+00:00
ICD10CM:L23,ICD10CM:L00-L99|ICD10CM:L20-L30|ICD10CM:L23,Diseases of the skin and subcutaneous tissue (L00-L99)|Dermatitis and eczema (L20-L30)|Allergic contact dermatitis,2026-09-06T17:14:06+00:00
ICD10CM:L24,ICD10CM:L00-L99|ICD10CM:L20-L30|ICD10CM:L24,Diseases of the skin and subcutaneous tissue (L00-L99)|Dermatitis and eczema (L20-L30)|Irritant contact dermatitis,2026-09-06T17:14:06+00:00
ICD10CM:M12.1,ICD10CM:M00-M99|ICD10CM:M05-M14|ICD10CM:M12|ICD10CM:M12.1,Diseases of the musculoskeletal system and connective tissue (M00-M99)|Inflammatory polyarthropathies (M05-M14)|Other and unspecified arthropathy|Kaschin-Beck disease,2026-09-08T07:35:13+00:00
ICD10CM:M62.84,ICD10CM:M00-M99|ICD10CM:M60-M63|ICD10CM:M62|ICD10CM:M62.8|ICD10CM:M62.84,Diseases of the musculoskeletal system and connective tissue (M00-M99)|Disorders of muscles (M60-M63)|Other disorders of muscle|Other specified disorders of muscle|Sarcopenia,2026-09-06T17:14:06+00:00
ICD10CM:M85.1,ICD10CM:M00-M99|ICD10CM:M80-M85|ICD10CM:M85|ICD10CM:M85.1,Diseases of the musculoskeletal system and connective tissue (M00-M99)|Disorders of bone density and structure (M80-M85)|Other disorders of bone density and structure|Skeletal fluorosis,2026-09-12T18:23:23+00:00
ICD10CM:M85.2,ICD10CM:M00-M99|ICD10CM:M80-M85|ICD10CM:M85|ICD10CM:M85.2,Diseases of the musculoskeletal system and connective tissue (M00-M99)|Disorders of bone density and structure (M80-M85)|Other disorders of bone density and structure|Hyperostosis of skull,2026-09-06T17:14:06+00:00
ICD10CM:O14.2,ICD10CM:O00-O9A|ICD10CM:O10-O16|ICD10CM:O14|ICD10CM:O14.2,"Pregnancy, childbirth and the puerperium (O00-O9A)|Edema, proteinuria and hypertensive disorders in pregnancy, childbirth and the puerperium (O10-O16)|Pre-eclampsia|HELLP syndrome",2026-09-06T17:14:06+00:00
ICD10CM:Q25.0,ICD10CM:Q00-Q99|ICD10CM:Q20-Q28|ICD10CM:Q25|ICD10CM:Q25.0,"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)|Congenital malformations of the circulatory system (Q20-Q28)|Congenital malformations of great arteries|Patent ductus arteriosus",2026-09-06T17:14:06+00:00
ICD10CM:Q26.2,ICD10CM:Q00-Q99|ICD10CM:Q20-Q28|ICD10CM:Q26|ICD10CM:Q26.2,"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)|Congenital malformations of the circulatory system (Q20-Q28)|Congenital malformations of great veins|Total anomalous pulmonary venous connection",2026-09-06T17:14:06+00:00
ICD10CM:Q44.7,ICD10CM:Q00-Q99|ICD10CM:Q38-Q45|ICD10CM:Q44|ICD10CM:Q44.7,"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)|Other congenital malformations of the digestive system (Q38-Q45)|Congenital malformations of gallbladder, bile ducts and liver|Other congenital malformations of liver",2026-09-06T17:14:06+00:00
ICD10CM:Q79.8,ICD10CM:Q00-Q99|ICD10CM:Q65-Q79|ICD10CM:Q79|ICD10CM:Q79.8,"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)|Congenital malformations and deformations of the musculoskeletal system (Q65-Q79)|Congenital malformations of musculoskeletal system, not elsewhere classified|Other congenital malformations of musculoskeletal system",2026-09-06T17:14:06+00:00
ICD10CM:Q81.0,ICD10CM:Q00-Q99|ICD10CM:Q80-Q89|ICD10CM:Q81|ICD10CM:Q81.0,"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)|Other congenital malformations (Q80-Q89)|Epidermolysis bullosa|Epidermolysis bullosa simplex",2026-09-06T17:14:06+00:00
ICD10CM:Q81.1,ICD10CM:Q00-Q99|ICD10CM:Q80-Q89|ICD10CM:Q81|ICD10CM:Q81.1,"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)|Other congenital malformations (Q80-Q89)|Epidermolysis bullosa|Epidermolysis bullosa letalis",2026-09-06T17:14:06+00:00
ICD10CM:Q81.2,ICD10CM:Q00-Q99|ICD10CM:Q80-Q89|ICD10CM:Q81|ICD10CM:Q81.2,"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)|Other congenital malformations (Q80-Q89)|Epidermolysis bullosa|Epidermolysis bullosa dystrophica",2026-09-06T17:14:06+00:00
ICD10CM:Q81.8,ICD10CM:Q00-Q99|ICD10CM:Q80-Q89|ICD10CM:Q81|ICD10CM:Q81.8,"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)|Other congenital malformations (Q80-Q89)|Epidermolysis bullosa|Other epidermolysis bullosa",2026-09-06T17:14:06+00:00
ICD10CM:Q81.9,ICD10CM:Q00-Q99|ICD10CM:Q80-Q89|ICD10CM:Q81|ICD10CM:Q81.9,"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)|Other congenital malformations (Q80-Q89)|Epidermolysis bullosa|Epidermolysis bullosa, unspecified",2026-09-06T17:14:06+00:00
ICD10CM:Q87.1,ICD10CM:Q00-Q99|ICD10CM:Q80-Q89|ICD10CM:Q87|ICD10CM:Q87.1,"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)|Other congenital malformations (Q80-Q89)|Other specified congenital malformation syndromes affecting multiple systems|Congenital malformation syndromes predominantly associated with short stature",2026-09-06T17:14:06+00:00
ICD10CM:Q87.4,ICD10CM:Q00-Q99|ICD10CM:Q80-Q89|ICD10CM:Q87|ICD10CM:Q87.4,"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)|Other congenital malformations (Q80-Q89)|Other specified congenital malformation syndromes affecting multiple systems|Marfan syndrome",2026-09-06T17:14:06+00:00
ICD10CM:Q93.5,ICD10CM:Q00-Q99|ICD10CM:Q90-Q99|ICD10CM:Q93|ICD10CM:Q93.5,"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)|Chromosomal abnormalities, not elsewhere classified (Q90-Q99)|Monosomies and deletions from the autosomes, not elsewhere classified|Other deletions of part of a chromosome",2026-09-06T17:14:06+00:00
ICD10CM:Q99.2,ICD10CM:Q00-Q99|ICD10CM:Q90-Q99|ICD10CM:Q99|ICD10CM:Q99.2,"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)|Chromosomal abnormalities, not elsewhere classified (Q90-Q99)|Other chromosome abnormalities, not elsewhere classified|Fragile X chromosome",2026-09-06T17:14:06+00:00
ICD10CM:T45.4,ICD10CM:S00-T88|ICD10CM:T36-T50|ICD10CM:T45|ICD10CM:T45.4,"Injury, poisoning and certain other consequences of external causes (S00-T88)|Poisoning by, adverse effects of and underdosing of drugs, medicaments and biological substances (T36-T50)|Poisoning by, adverse effect of and underdosing of primarily systemic and hematological agents, not elsewhere classified|Poisoning by, adverse effect of and underdosing of iron and its compounds",2026-09-06T17:14:06+00:00
ICD10CM:T45.4X1A,ICD10CM:S00-T88|ICD10CM:T36-T50|ICD10CM:T45|ICD10CM:T45.4|ICD10CM:T45.4X|ICD10CM:T45.4X1|ICD10CM:T45.4X1A,"Injury, poisoning and certain other consequences of external causes (S00-T88)|Poisoning by, adverse effects of and underdosing of drugs, medicaments and biological substances (T36-T50)|Poisoning by, adverse effect of and underdosing of primarily systemic and hematological agents, not elsewhere classified|Poisoning by, adverse effect of and underdosing of iron and its compounds|Poisoning by, adverse effect of and underdosing of iron and its compounds|Poisoning by iron and its compounds, accidental (unintentional)|Poisoning by iron and its compounds, accidental (unintentional), initial encounter",2026-09-06T17:14:06+00:00
ICD10CM:T45.4X2A,ICD10CM:S00-T88|ICD10CM:T36-T50|ICD10CM:T45|ICD10CM:T45.4|ICD10CM:T45.4X|ICD10CM:T45.4X2|ICD10CM:T45.4X2A,"Injury, poisoning and certain other consequences of external causes (S00-T88)|Poisoning by, adverse effects of and underdosing of drugs, medicaments and biological substances (T36-T50)|Poisoning by, adverse effect of and underdosing of primarily systemic and hematological agents, not elsewhere classified|Poisoning by, adverse effect of and underdosing of iron and its compounds|Poisoning by, adverse effect of and underdosing of iron and its compounds|Poisoning by iron and its compounds, intentional self-harm|Poisoning by iron and its compounds, intentional self-harm, initial encounter",2026-09-06T17:14:06+00:00
ICD10CM:T62.2,ICD10CM:S00-T88|ICD10CM:T51-T65|ICD10CM:T62|ICD10CM:T62.2,"Injury, poisoning and certain other consequences of external causes (S00-T88)|Toxic effects of substances chiefly nonmedicinal as to source (T51-T65)|Toxic effect of other noxious substances eaten as food|Toxic effect of other ingested (parts of) plant(s)",2026-09-06T17:14:06+00:00
ICD10CM:T65.0,ICD10CM:S00-T88|ICD10CM:T51-T65|ICD10CM:T65|ICD10CM:T65.0,"Injury, poisoning and certain other consequences of external causes (S00-T88)|Toxic effects of substances chiefly nonmedicinal as to source (T51-T65)|Toxic effect of other and unspecified substances|Toxic effect of cyanides",2026-09-12T18:23:23+00:00
ICD10CM:U07.0,ICD10CM:U00-U85|ICD10CM:U00-U49|ICD10CM:U07|ICD10CM:U07.0,Codes for special purposes (U00-U85)|Provisional assignment of new diseases of uncertain etiology or emergency use (U00-U49)|Emergency use of U07|Vaping-related disorder,2026-09-06T17:14:06+00:00
