gene_symbol	g2p_row_count	actionable_row_count	highest_curation_priority	worst_row_status	primary_curation_action	top_curation_note	direct_dismech_match_count	g2p_mondo_collision_count	direct_section_pmid_overlap_count	direct_section_pmid_missing_count	root_match_count	root_match_pmid_gap_count	split_across_dismech_count	embedded_not_rooted_count	underrepresented_in_dismech_count	no_dismech_match_count
COL11A1	3	3	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	10	0	0	0	0	0	3
COL1A2	3	3	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	3	0	0	0	0	0	3
CRYAB	3	3	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	18	0	0	0	0	0	3
CSRP3	3	3	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	22	0	0	0	0	0	3
DES	3	3	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	17	0	0	0	0	0	3
DSG2	3	3	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	13	0	0	0	0	0	3
ERCC2	3	3	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	11	0	0	0	0	0	3
GATA6	3	3	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	4	0	0	0	0	0	3
GDF3	3	3	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	2	0	0	0	0	0	3
GJB3	3	3	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	1	0	9	0	0	0	0	0	3
GNAQ	3	3	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	3	0	0	0	0	0	3
GNAT1	3	3	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	6	0	0	0	0	0	3
GUCA1A	3	3	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	2	0	0	0	0	0	3
GUCY2D	3	3	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	6	0	0	0	0	0	3
ITPR1	3	3	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	26	0	0	0	0	0	3
KCNH2	3	3	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	48	0	0	0	0	0	3
LDB3	3	3	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	4	0	0	0	0	0	3
LSS	3	3	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	2	0	0	0	0	0	3
MAFB	3	3	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	1	0	3	0	0	0	0	0	3
MAP3K20	3	3	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	4	0	0	0	0	0	3
MFN2	3	3	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	1	0	0	0	0	0	3
MFRP	3	3	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	9	0	0	0	0	0	3
MVK	3	3	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	6	0	0	0	0	0	3
MYH6	3	3	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	9	0	0	0	0	0	3
MYH9	3	3	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	3	0	0	0	0	0	3
MYL3	3	3	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	12	0	0	0	0	0	3
MYPN	3	3	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	3	0	0	0	0	0	3
NALCN	3	3	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	4	0	0	0	0	0	3
OPA1	3	3	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	9	0	0	0	0	0	3
PAX3	3	3	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	1	0	27	0	0	0	0	0	3
PEX14	3	3	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	4	0	0	0	0	0	3
POLG	3	3	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	4	0	0	0	0	0	3
PRPF8	3	3	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	4	0	0	0	0	0	3
PRRX1	3	3	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	5	0	0	0	0	0	3
PTH1R	3	3	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	11	0	0	0	0	0	3
RHO	3	3	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	24	0	0	0	0	0	3
RP1L1	3	3	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	7	0	0	0	0	0	3
RPE65	3	3	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	19	0	0	0	0	0	3
SCN4A	3	3	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	18	0	0	0	0	0	3
SIX1	3	3	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	5	0	0	0	0	0	3
SLC25A4	3	3	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	8	0	0	0	0	0	3
ABCB6	2	2	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	3	0	0	0	0	0	2
ABCC6	2	2	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	8	0	0	0	0	0	2
ACAN	2	2	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	15	0	0	0	0	0	2
ACO2	2	2	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	6	0	0	0	0	0	2
ACTB	2	2	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	6	0	0	0	0	0	2
ACTG1	2	2	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	6	0	0	0	0	0	2
ACTL6B	2	2	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	3	0	0	0	0	0	2
AFF3	2	2	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	3	0	0	0	0	0	2
ALX4	2	2	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	10	0	0	0	0	0	2
ANKH	2	2	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	10	0	0	0	0	0	2
ANKRD1	2	2	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	2	0	0	0	0	0	2
ANO5	2	2	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	10	0	0	0	0	0	2
AP1G1	2	2	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	1	0	0	0	0	0	2
ARL3	2	2	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	2	0	0	0	0	0	2
ARL6	2	2	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	32	0	0	0	0	0	2
ASAH1	2	2	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	6	0	0	0	0	0	2
ATAD3A	2	2	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	14	0	0	0	0	0	2
ATP5F1A	2	2	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	3	0	0	0	0	0	2
ATP6V1A	2	2	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	4	0	0	0	0	0	2
B3GALT6	2	2	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	2	0	0	0	0	0	2
BAG3	2	2	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	19	0	0	0	0	0	2
BCS1L	2	2	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	8	0	0	0	0	0	2
BFSP1	2	2	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	4	0	0	0	0	0	2
BFSP2	2	2	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	3	0	0	0	0	0	2
BGN	2	2	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	3	0	0	0	0	0	2
BHLHA9	2	2	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	9	0	0	0	0	0	2
BSN	2	2	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	1	0	0	0	0	0	2
CACNA1D	2	2	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	2	0	0	0	0	0	2
CACNA1G	2	2	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	8	0	0	0	0	0	2
CALM1	2	2	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	9	0	0	0	0	0	2
CALM2	2	2	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	9	0	0	0	0	0	2
CALM3	2	2	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	5	0	0	0	0	0	2
CASK	2	2	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	10	0	0	0	0	0	2
CDH2	2	2	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	3	0	0	0	0	0	2
CDH23	2	2	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	8	0	0	0	0	0	2
CDH3	2	2	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	6	0	0	0	0	0	2
CDK4	2	2	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	3	0	0	0	0	0	2
CDKN1C	2	2	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	9	0	0	0	0	0	2
CHEK2	2	2	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	2	0	0	0	0	0	2
CHRNB1	2	2	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	5	0	0	0	0	0	2
CIB2	2	2	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	5	0	0	0	0	0	2
CLCN3	2	2	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	2	0	0	0	0	0	2
CLCN7	2	2	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	4	0	0	0	0	0	2
CLN3	2	2	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	9	0	0	0	0	0	2
CLN6	2	2	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	8	0	0	0	0	0	2
CLRN1	2	2	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	7	0	0	0	0	0	2
CNGA3	2	2	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	11	0	0	0	0	0	2
CNNM2	2	2	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	12	0	0	0	0	0	2
CNOT1	2	2	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	3	0	0	0	0	0	2
COG4	2	2	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	6	0	0	0	0	0	2
COL4A3	2	2	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	1	0	33	0	0	0	0	0	2
COL6A2	2	2	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	16	0	0	0	0	0	2
COL9A1	2	2	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	4	0	0	0	0	0	2
COL9A2	2	2	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	5	0	0	0	0	0	2
COL9A3	2	2	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	6	0	0	0	0	0	2
COPB2	2	2	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	2	0	0	0	0	0	2
CRB2	2	2	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	2	0	0	0	0	0	2
CREBBP	2	2	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	26	0	0	0	0	0	2
CRELD1	2	2	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	4	0	0	0	0	0	2
CRX	2	2	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	11	0	0	0	0	0	2
CRYAA	2	2	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	1	0	5	0	0	0	0	0	2
CRYBB1	2	2	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	5	0	0	0	0	0	2
CRYBB3	2	2	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	4	0	0	0	0	0	2
CTC1	2	2	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	3	0	0	0	0	0	2
CTR9	2	2	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	5	0	0	0	0	0	2
DCX	2	2	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	13	0	0	0	0	0	2
DDR2	2	2	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	3	0	0	0	0	0	2
DEAF1	2	2	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	4	0	0	0	0	0	2
DHDDS	2	2	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	4	0	0	0	0	0	2
DLG5	2	2	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	2	0	0	0	0	0	2
DNM1	2	2	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	1	0	16	0	0	0	0	0	2
DNM1L	2	2	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	10	0	0	0	0	0	2
DNMT3A	2	2	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	4	0	0	0	0	0	2
DPAGT1	2	2	CRITICAL	NO_DISMECH_MATCH	ADD_FIRST_GENE_DISEASE_ANCHOR	No dismech disease anchor currently represents this G2P row.	0	0	0	8	0	0	0	0	0	2
