dismech_name	source	file	review_title	orientation	n_pmid	min_pmid	url
Borderline Personality Disorder	KB	Borderline_Personality_Disorder.yaml	Dissecting the Intersections and Distinctions: Complex PTSD and Borderline Personality Disorder	DESCRIPTIVE	8	38464619	https://www.sciqst.com/reviews/z1Roi3h1A8-K
Borderline Personality Disorder	KB	Borderline_Personality_Disorder.yaml	Exploring the Emerging Connection between the Gut Microbiome and Borderline Personality Disorder	DESCRIPTIVE	4	31689444	https://www.sciqst.com/reviews/OroWX2pel9RN
Bronchiectasis	KB	Bronchiectasis.yaml	Advances in Understanding and Managing Bronchiectasis: A Comprehensive Review	DESCRIPTIVE	9	40056808	https://www.sciqst.com/reviews/NIClSz4ne2do
Bronchiectasis	KB	Bronchiectasis.yaml	Understanding Bronchiectasis: Advances in Diagnosis and Management	CLINICAL	11	40234067	https://www.sciqst.com/reviews/dyPD3qzEmPA0
Brucellosis	KB	Brucellosis.yaml	Brucellosis: Advances in Understanding, Diagnosis, and Management	CLINICAL	11	39220468	https://www.sciqst.com/reviews/zMEemqVGTpgK
Brucellosis	KB	Brucellosis.yaml	Brucellosis: Insights into Epidemiology, Pathogenesis, and Public Health Implications	MECHANISM	10	39631818	https://www.sciqst.com/reviews/6simAv2q_BBv
Cervical Cancer	KB	Cervical_Cancer.yaml	Advances in the Management of FIGO Stage II Cervical Cancer: An Integrative Review	CLINICAL	7	34477028	https://www.sciqst.com/reviews/xxthG8Ex-_lc
Cholangiocarcinoma	KB	Cholangiocarcinoma.yaml	The Role of Advanced Imaging Techniques in the Diagnosis and Management of Cholangiocarcinoma	CLINICAL	5	41037071	https://www.sciqst.com/reviews/LQRMNakCrsw8
Chronic Kidney Disease	KB	Chronic_Kidney_Disease.yaml	Chronic Kidney Disease in the Elderly: Challenges and Interventions	DESCRIPTIVE	7	41819219	https://www.sciqst.com/reviews/0IGvc3k_YjXS
Chronic Kidney Disease	KB	Chronic_Kidney_Disease.yaml	Chronic Kidney Disease of Unknown Cause (CKDu): Environmental, Occupational, and Socio-economic Contributions	DESCRIPTIVE	8	40602878	https://www.sciqst.com/reviews/CUxFQB7rmKmj
Chronic Kidney Disease	KB	Chronic_Kidney_Disease.yaml	Comprehensive Strategies in Chronic Kidney Disease Management: Insights from Recent Literature	CLINICAL	8	41644509	https://www.sciqst.com/reviews/EwZ9Nn-ljSIv
Chronic Kidney Disease	KB	Chronic_Kidney_Disease.yaml	Contemporary Perspectives on Chronic Kidney Disease: Epidemiology, Diagnosis, Therapeutic Advances, and Integrated Care	CLINICAL	10	26320040	https://www.sciqst.com/reviews/6Qz-78lA0JXp
Chronic Kidney Disease	KB	Chronic_Kidney_Disease.yaml	Integrative Cardiovascular and Renal Protection Strategies in Chronic Kidney Disease: A Comprehensive Review	DESCRIPTIVE	8	41630484	https://www.sciqst.com/reviews/go-IhmW-479I
Chronic Kidney Disease	KB	Chronic_Kidney_Disease.yaml	Integrative Dietary Strategies for Managing Type 2 Diabetes, Hypertension, Obesity, and Chronic Kidney Disease	DESCRIPTIVE	8	40741254	https://www.sciqst.com/reviews/QstG257CyQwx
Chronic Kidney Disease	KB	Chronic_Kidney_Disease.yaml	Semaglutide: A New Frontier in the Management of Chronic Kidney Disease Associated with Type 2 Diabetes	CLINICAL	7	38914124	https://www.sciqst.com/reviews/oFh1w4Au8hDx
Chronic Kidney Disease	KB	Chronic_Kidney_Disease.yaml	The Clinical Utility of ACE Inhibitors in Managing Chronic Kidney Disease: A Comprehensive Review	DESCRIPTIVE	3	39434906	https://www.sciqst.com/reviews/jGyU0lpgELGu
Chronic Kidney Disease	KB	Chronic_Kidney_Disease.yaml	The Implications of Increased Renal Cortical Echogenicity in Diagnosing Chronic Kidney Disease	DESCRIPTIVE	4	39195268	https://www.sciqst.com/reviews/aXrmg_D-QV0P
Chronic Kidney Disease	KB	Chronic_Kidney_Disease.yaml	The Multifaceted Role of Sodium-Glucose Transporter 2 Inhibitors in Chronic Kidney Disease: Cardiovascular, Renal, and Clinical Implications	DESCRIPTIVE	7	39036974	https://www.sciqst.com/reviews/7NqlDOwr-sZu
Chronic Kidney Disease	KB	Chronic_Kidney_Disease.yaml	The Role of Eplerenone in the Management of Chronic Kidney Disease: A Comprehensive Review	CLINICAL	9	21412221	https://www.sciqst.com/reviews/Zf432V0-fJh4
Chronic Kidney Disease	KB	Chronic_Kidney_Disease.yaml	Understanding Chronic Kidney Disease: Risk Factors, Pathophysiology, and Emerging Therapeutic Strategies	MIXED	10	39081743	https://www.sciqst.com/reviews/KUvVZy25o9vO
Chronic Myeloid Leukemia	KB	Chronic_Myeloid_Leukemia.yaml	Asciminib as a Frontline Therapy in Chronic Myeloid Leukemia: Efficacy and Safety Perspectives	CLINICAL	5	36524980	https://www.sciqst.com/reviews/lVTfTZ3r_2DD
Chronic Myeloid Leukemia	KB	Chronic_Myeloid_Leukemia.yaml	Discontinuation of Tyrosine Kinase Inhibitors in Chronic Myeloid Leukemia: An In-Depth Review of Current Evidence and Emerging Strategies	DESCRIPTIVE	11	33651270	https://www.sciqst.com/reviews/o7fGCoxh1N3G
Chronic Myeloid Leukemia	KB	Chronic_Myeloid_Leukemia.yaml	Tyrosine Kinase Inhibitors Post-Allogeneic Bone Marrow Transplant in People with Chronic Myeloid Leukemia	DESCRIPTIVE	8	19204709	https://www.sciqst.com/reviews/lGzi21qeMzF-
Chronic Obstructive Pulmonary Disease	KB	Chronic_Obstructive_Pulmonary_Disease.yaml	Biologic Therapies in Chronic Obstructive Pulmonary Disease: Current Developments and Future Directions	DESCRIPTIVE	5	41234678	https://www.sciqst.com/reviews/a4pGlB0_h_Zu
Chronic Obstructive Pulmonary Disease	KB	Chronic_Obstructive_Pulmonary_Disease.yaml	Non-Invasive Ventilation in Chronic Obstructive Pulmonary Disease Management: Enhancing Patient Outcomes Through Multidisciplinary Approaches	CLINICAL	8	39223939	https://www.sciqst.com/reviews/HkEd_MHDQUrZ
Chronic Obstructive Pulmonary Disease	KB	Chronic_Obstructive_Pulmonary_Disease.yaml	The Emerging Role of Biologic Therapies in Managing Chronic Obstructive Pulmonary Disease (COPD) and Asthma-COPD Overlap (ACO)	DESCRIPTIVE	5	41234678	https://www.sciqst.com/reviews/mZrNyy9kPRNK
Chronic Pancreatitis	KB	Chronic_Pancreatitis.yaml	Advances in the Understanding and Management of Chronic Pancreatitis	CLINICAL	13	38691778	https://www.sciqst.com/reviews/v98gxNo0kF4R
Clostridioides difficile Infection	KB	Clostridioides_difficile_Infection.yaml	The Impact of the COVID-19 Pandemic on Clostridioides difficile Infection (CDI) Acquisition and Outcomes	DESCRIPTIVE	22	34966759	https://www.sciqst.com/reviews/l2PSuNypWt2b
Coronary Artery Disease	KB	Coronary_Artery_Disease.yaml	Comparative Evaluation of Coronary Artery Disease: Insights from Instantaneous Wave-Free Ratio and Fractional Flow Reserve	DESCRIPTIVE	7	36826530	https://www.sciqst.com/reviews/JdkLMRVYyVIW
Coronary Artery Disease	KB	Coronary_Artery_Disease.yaml	Comprehensive Advances in Coronary Artery Disease: Metabolic, Genetic, Diagnostic, and Therapeutic Innovations	MIXED	8	41854510	https://www.sciqst.com/reviews/tpHygk92zmP9
Coronary Artery Disease	KB	Coronary_Artery_Disease.yaml	The Role of Longitudinal Strain in Chronic Coronary Artery Disease: An Emerging Diagnostic Perspective	DESCRIPTIVE	6	39330316	https://www.sciqst.com/reviews/oliyGYMgq4x2
Cystic Fibrosis	KB	Cystic_Fibrosis.yaml	Advances in Understanding and Managing Cystic Lung Disease: A Focus on Cystic Fibrosis and Beyond	MECHANISM	12	39285622	https://www.sciqst.com/reviews/lBUZ8xKHFyx3
Deficiency of Adenosine Deaminase 2	KB	Deficiency_of_Adenosine_Deaminase_2.yaml	The Multifaceted Nature of Deficiency of Adenosine Deaminase 2 (DADA2): Clinical Presentation, Pathophysiology, and Therapeutic Approaches	MIXED	8	38724212	https://www.sciqst.com/reviews/Dx5Z_tQGYF6z
Dementia with Lewy Bodies	KB	Dementia_with_Lewy_Bodies.yaml	Advances in Understanding and Managing Dementia with Lewy Bodies: Clinical, Diagnostic, and Therapeutic Implications	CLINICAL	16	38908272	https://www.sciqst.com/reviews/jUVBzX2LxFuM
Dermatomyositis	KB	Dermatomyositis.yaml	Advances in the Management of Dermatomyositis: Integrating Traditional and Novel Therapeutic Approaches	CLINICAL	10	40323493	https://www.sciqst.com/reviews/rEWcOV-thxTc
Diabetes Mellitus	KB	Diabetes_Mellitus.yaml	Innovative Strategies in Diabetes Mellitus Management: Bridging Technology, Pharmacology, and Psychosocial Care	CLINICAL	10	40573252	https://www.sciqst.com/reviews/n6nAH7D4xdT-
Diabetes Mellitus	KB	Diabetes_Mellitus.yaml	Understanding the Interplay between Meningiomas and Diabetes Mellitus: Current Evidence and Future Directions	DESCRIPTIVE	6	27450761	https://www.sciqst.com/reviews/kxnCbw-5sWmQ
Diffuse Large B Cell Lymphoma	KB	Diffuse_Large_B_Cell_Lymphoma.yaml	Molecular Insights into Diffuse Large B-Cell Lymphoma: Pathogenesis, Resistance, and Therapeutic Avenues	MIXED	8	40461894	https://www.sciqst.com/reviews/Jelj-qCyWibN
Down syndrome	KB	Down_syndrome.yaml	Comprehensive Management of Ear Problems in Individuals with Down Syndrome: A Multidisciplinary Approach	CLINICAL	8	38582054	https://www.sciqst.com/reviews/O6nAE8fqHOPr
Down syndrome	KB	Down_syndrome.yaml	Emerging Therapeutic Strategies for Down Syndrome: A Comprehensive Review	CLINICAL	11	39683562	https://www.sciqst.com/reviews/WbSHLSx4w8bf
Down syndrome	KB	Down_syndrome.yaml	Hepatobiliary Complications in Individuals with Down Syndrome: A Comprehensive Review	DESCRIPTIVE	6	39841698	https://www.sciqst.com/reviews/VD4q5s-sv9nl
Dry Eye Disease	KB	Dry_Eye_Disease.yaml	Insights into the Multifactorial Nature of Dry Eye Disease: Influences and Risk Factors	DESCRIPTIVE	6	38737597	https://www.sciqst.com/reviews/2T7WLP32w4Zs
Dry Eye Disease	KB	Dry_Eye_Disease.yaml	Lactoferrin in Dry Eye Disease: Multifunctional Roles and Therapeutic Potential	CLINICAL	6	30204412	https://www.sciqst.com/reviews/cFjPgyKm8EMl
Dry Eye Disease	KB	Dry_Eye_Disease.yaml	The Impact of Blue Light Exposure on Dry Eye Disease: Current Insights and Future Directions	DESCRIPTIVE	10	27517861	https://www.sciqst.com/reviews/CrlhKH6amkpt
ER Positive Breast Cancer	KB	ER_Positive_Breast_Cancer.yaml	Evaluating the Impact of Oral Selective Estrogen Receptor Degraders in Advanced ER-positive Breast Cancer: Progress and Challenges	MECHANISM	6	35584336	https://www.sciqst.com/reviews/QH9u0HX1qbws
Endometriosis	KB	Endometriosis.yaml	Advances in Understanding Endometriosis: Pathophysiology, Diagnosis, and Treatment Strategies	MIXED	12	39358652	https://www.sciqst.com/reviews/lkPDEx7tRUVP
Endometriosis	KB	Endometriosis.yaml	The Role of Diet in the Management and Pathogenesis of Endometriosis	MIXED	9	40319391	https://www.sciqst.com/reviews/vDDQxjAYHiXz
Eosinophilic Granulomatosis with Polyangiitis	KB	Eosinophilic_Granulomatosis_with_Polyangiitis.yaml	Comprehensive Management of Eosinophilic Granulomatosis with Polyangiitis: Diagnostic and Therapeutic Strategies	CLINICAL	6	39980304	https://www.sciqst.com/reviews/vTdxZHxsAO8T
Esophageal Atresia	KB	Esophageal_Atresia.yaml	Management of Neonatal Patients with Concurrent Left Diaphragmatic Hernia and Esophageal Atresia With Tracheoesophageal Fistula: A Review of Best Practices	CLINICAL	3	25962843	https://www.sciqst.com/reviews/-8ufnSaCILUg
Familial Hypercholesterolemia	KB	Familial_Hypercholesterolemia.yaml	Comprehensive Management Strategies in Familial Hypercholesterolemia: An Update on Pharmacological and Lifestyle Interventions	CLINICAL	8	39718701	https://www.sciqst.com/reviews/5XC85WoUWmnd
Fetal Growth Restriction	KB	Fetal_Growth_Restriction.yaml	The Interplay of Maternal Hemodynamics in Fetal Growth Restriction: Insights and Implications	DESCRIPTIVE	5	39206138	https://www.sciqst.com/reviews/E4BQDmZLCs-4
Fibrosarcoma	KB	Fibrosarcoma.yaml	The Emerging Role of Iodine-125 in the Treatment of Fibrosarcoma: Challenges and Opportunities	MIXED	3	15222800	https://www.sciqst.com/reviews/3dzOPHeFRjj5
Follicular Lymphoma	KB	Follicular_Lymphoma.yaml	Angiogenesis in Follicular Lymphoma: A Review of Existing Evidence	DESCRIPTIVE	9	38954982	https://www.sciqst.com/reviews/Mbx5MFWCkwA0
Gastroesophageal Reflux Disease	KB	Gastroesophageal_Reflux_Disease.yaml	Advancements and Challenges in the Management of Gastroesophageal Reflux Disease: Surgical Interventions, Systemic Implications, and Future Perspectives	CLINICAL	8	41911485	https://www.sciqst.com/reviews/01vyNXHHKl99
Gastroesophageal Reflux Disease	KB	Gastroesophageal_Reflux_Disease.yaml	Evaluating the Complex Relationship between Sleeve Gastrectomy and Gastroesophageal Reflux Disease: Insights and Innovations	DESCRIPTIVE	7	38901554	https://www.sciqst.com/reviews/pyXbnPMXwiNK
Gastroesophageal Reflux Disease	KB	Gastroesophageal_Reflux_Disease.yaml	Non-Pharmacological Management of Gastroesophageal Reflux Disease and Acid Peptic Disease: A Comprehensive Review	CLINICAL	4	41087628	https://www.sciqst.com/reviews/YfCpsX1mwg1R
Generalized Anxiety Disorder	KB	Generalized_Anxiety_Disorder.yaml	Pharmacotherapy Strategies for Generalized Anxiety Disorder Non-Responsive to Mirtazapine	DESCRIPTIVE	3	23055414	https://www.sciqst.com/reviews/14LQkqqZy3UO
Glomerulonephritis	KB	Glomerulonephritis.yaml	Avacopan in the Management of ANCA-Associated Vasculitis and Rapidly Progressive Glomerulonephritis: A Comprehensive Review	CLINICAL	6	36530865	https://www.sciqst.com/reviews/jDzFx0oUE-xQ
Glomerulonephritis	KB	Glomerulonephritis.yaml	Cardiovascular Implications of Glomerulonephritis: A Comprehensive Review	DESCRIPTIVE	8	12163879	https://www.sciqst.com/reviews/aorn2pwCSO_n
Glomerulonephritis	KB	Glomerulonephritis.yaml	Mechanisms of Albuminuria in Diabetic Nephropathy: A Comparative Analysis with Glomerulonephritis	MECHANISM	13	10909986	https://www.sciqst.com/reviews/KI3kY_ZJcf5L
Glucose-6-Phosphate Dehydrogenase G6PD Deficiency	KB	Glucose-6-Phosphate_Dehydrogenase_G6PD_Deficiency.yaml	The Interaction between Glucose-6-Phosphate Dehydrogenase (G6PD) Deficiency and Trimethoprim-Sulfamethoxazole (Bactrim): A Review of Current Evidence	DESCRIPTIVE	3	39010649	https://www.sciqst.com/reviews/6MtFfw_gVx-4
Granulomatosis with Polyangiitis	KB	Granulomatosis_with_Polyangiitis.yaml	The Role of Imaging in the Diagnosis and Management of Granulomatosis with Polyangiitis	CLINICAL	6	31350714	https://www.sciqst.com/reviews/E5lWN2-oGrHH
HER2 Positive Breast Cancer	KB	HER2_Positive_Breast_Cancer.yaml	Exploring Carboplatin Omission in Neoadjuvant Therapy for HER2-Positive Breast Cancer: Balancing Efficacy and Toxicity	CLINICAL	6	34019819	https://www.sciqst.com/reviews/4VxB3Kn-okLg
HER2 Positive Breast Cancer	KB	HER2_Positive_Breast_Cancer.yaml	Insights and Challenges in the Treatment of ER-Positive, HER2-Positive Breast Cancer: A Focus on Relapse and Resistance	CLINICAL	4	39991577	https://www.sciqst.com/reviews/IycEZ8en7UNE
HER2 Positive Gastric Cancer	KB	HER2_Positive_Gastric_Cancer.yaml	Advancements in HER2-Positive Gastric Cancer Treatment: A Comprehensive Review of the KEYNOTE-811 Trial	CLINICAL	6	33167735	https://www.sciqst.com/reviews/B8HMAR0DDNKq
Heart Failure	KB	Heart_Failure.yaml	Autophagy in Heart Failure with Preserved Ejection Fraction: Mechanistic Insights and Therapeutic Potential	MIXED	9	27694219	https://www.sciqst.com/reviews/hZ1mofRQ5qkE
Heart Failure	KB	Heart_Failure.yaml	Comparative Evaluation of HeartMate 3 LVAD and Heart Transplantation in Advanced Heart Failure Management	CLINICAL	6	41566232	https://www.sciqst.com/reviews/MIkd42kBi4nS
Heart Failure	KB	Heart_Failure.yaml	Comprehensive Evaluation of Biomarkers in Heart Failure with Preserved Ejection Fraction: Implications for Prognosis and Treatment	CLINICAL	6	40499472	https://www.sciqst.com/reviews/x-cfU0bJdAsd
Heart Failure	KB	Heart_Failure.yaml	Comprehensive Insights into Cardiovascular Health: Evaluating Acute Heart Failure, Stroke Rehabilitation, and Beyond	DESCRIPTIVE	7	40454882	https://www.sciqst.com/reviews/gBXGWr8KqMw4
Heart Failure	KB	Heart_Failure.yaml	Comprehensive Insights into Heart Failure: Epidemiology, Mechanisms, and Novel Therapeutic Approaches	MIXED	8	39841543	https://www.sciqst.com/reviews/S5V-WSx9CXvt
