verdict	entry	subtype	subtype_term	subtype_label	parent_term	parent_label
SILENT	Autosomal_Agammaglobulinemia	FNIP1	MONDO:0100432	FNIP1-associated syndrome	MONDO:0011096	autosomal agammaglobulinemia
SILENT	Autosomal_Dominant_Progressive_External_Ophthalmoplegia	PEOA6	MONDO:0014062	mitochondrial DNA deletion syndrome with progressive myopathy	MONDO:0008003	autosomal dominant progressive external ophthalmoplegia
SILENT	Autosomal_Recessive_Congenital_Ichthyosis	Lamellar Ichthyosis	MONDO:0017778	lamellar ichthyosis	MONDO:0017265	autosomal recessive congenital ichthyosis
SILENT	BEST1_Bestrophinopathies	ADVIRC	MONDO:0008662	autosomal dominant vitreoretinochoroidopathy	MONDO:0000390	vitelliform macular dystrophy
SILENT	BEST1_Bestrophinopathies	ARB	MONDO:0012733	autosomal recessive bestrophinopathy	MONDO:0000390	vitelliform macular dystrophy
SILENT	BEST1_Bestrophinopathies	BEST1-RP	MONDO:0019200	retinitis pigmentosa	MONDO:0000390	vitelliform macular dystrophy
SILENT	BEST1_Bestrophinopathies	MRCS	MONDO:0033644	microcornea, rod-cone dystrophy, cataract, and posterior staphyloma 1	MONDO:0000390	vitelliform macular dystrophy
SILENT	Benign_Familial_Infantile_Epilepsy	ICCA	MONDO:0011178	infantile convulsions and choreoathetosis	MONDO:0017615	benign familial infantile epilepsy
SILENT	Bernard-Soulier_Syndrome	A1	MONDO:1060238	MONDO:1060238	MONDO:0009276	Bernard-Soulier syndrome
SILENT	Bernard-Soulier_Syndrome	B	MONDO:1060239	MONDO:1060239	MONDO:0009276	Bernard-Soulier syndrome
SILENT	Bernard-Soulier_Syndrome	C	MONDO:1060237	MONDO:1060237	MONDO:0009276	Bernard-Soulier syndrome
SILENT	COL11A2_Hearing_Loss	DFNB53	MONDO:0012333	autosomal recessive nonsyndromic hearing loss 53	MONDO:0011159	autosomal dominant nonsyndromic hearing loss 13
SILENT	CRB1_Retinal_Dystrophies	Macular dystrophy	MONDO:0020242	hereditary macular dystrophy	MONDO:0013453	Leber congenital amaurosis 8
SILENT	CRB1_Retinal_Dystrophies	RP12	MONDO:0010818	retinitis pigmentosa 12	MONDO:0013453	Leber congenital amaurosis 8
SILENT	Choroid_Plexus_Carcinoma	Li-Fraumeni-Associated	MONDO:0018875	Li-Fraumeni syndrome	MONDO:0016718	choroid plexus carcinoma
SILENT	Choroiditis	Birdshot Chorioretinopathy	MONDO:0011599	birdshot chorioretinopathy	MONDO:0001280	choroiditis
SILENT	Choroiditis	Ocular Toxoplasmosis	MONDO:0005879	ocular toxoplasmosis	MONDO:0001280	choroiditis
SILENT	Choroiditis	Presumed Ocular Histoplasmosis Syndrome	MONDO:0001263	histoplasmosis retinitis	MONDO:0001280	choroiditis
SILENT	Choroiditis	Punctate Inner Choroidopathy	MONDO:0035584	punctate inner choroidopathy	MONDO:0001280	choroiditis
SILENT	Choroiditis	Sympathetic Ophthalmia	MONDO:0019198	sympathetic ophthalmia	MONDO:0001280	choroiditis
SILENT	Choroiditis	Tubercular Choroiditis	MONDO:0006876	ocular tuberculosis	MONDO:0001280	choroiditis
SILENT	Chromosome_Xq_Duplication	Xq25-q26	MONDO:0010252	intellectual disability, X-linked, with panhypopituitarism	MONDO:0017010	partial duplication of the long arm of chromosome X
SILENT	Chromosome_Xq_Duplication	Xq26.3-q27.1 (SOX3)	MONDO:0010712	panhypopituitarism, X-linked	MONDO:0017010	partial duplication of the long arm of chromosome X
SILENT	Chronic_Intestinal_Pseudoobstruction	Mitochondrial	MONDO:0011283	mitochondrial DNA depletion syndrome 1	MONDO:0017574	chronic intestinal pseudoobstruction
SILENT	Chronic_Mucocutaneous_Candidiasis	APECED	MONDO:0009411	autoimmune polyendocrine syndrome type 1	MONDO:0015279	chronic mucocutaneous candidiasis
SILENT	Congenital_Insensitivity_to_Pain	SCN9A AR-CIP	MONDO:0009459	channelopathy-associated congenital insensitivity to pain, autosomal recessive	MONDO:0015364	hereditary sensory and autonomic neuropathy
SILENT	Cryoglobulinemic_Vasculitis	Type I	MONDO:0019606	simple cryoglobulinemia	MONDO:0007407	Cryoglobulinemic vasculitis
SILENT	Diffuse_Astrocytoma	DMG H3K27-altered	MONDO:1060171	diffuse midline glioma, H3 K27-altered	MONDO:0016686	diffuse astrocytoma
SILENT	Diffuse_Astrocytoma	IDH-mutant	MONDO:0956994	astrocytoma, IDH-mutant, grade 2	MONDO:0016686	diffuse astrocytoma
SILENT	Disorder_of_Catecholamine_Synthesis	Autosomal recessive GTP cyclohydrolase I deficiency	MONDO:0100184	GTP cyclohydrolase I deficiency	MONDO:0017759	disorder of catecholamine synthesis
SILENT	Disorder_of_Catecholamine_Synthesis	DNAJC12-related monoamine synthesis disorder	MONDO:0044304	hyperphenylalaninemia due to DNAJC12 deficiency	MONDO:0017759	disorder of catecholamine synthesis
SILENT	Disorder_of_Catecholamine_Synthesis	Sepiapterin reductase deficiency	MONDO:0012994	dopa-responsive dystonia due to sepiapterin reductase deficiency	MONDO:0017759	disorder of catecholamine synthesis
SILENT	Disorder_of_Catecholamine_Synthesis	Tyrosine hydroxylase deficiency	MONDO:0011551	TH-deficient dopa-responsive dystonia	MONDO:0017759	disorder of catecholamine synthesis
SILENT	ER_Positive_Breast_Cancer	Luminal A Breast Cancer	MONDO:0021116	luminal A breast carcinoma	MONDO:0006512	estrogen-receptor positive breast cancer
SILENT	ER_Positive_Breast_Cancer	Luminal B Breast Cancer	MONDO:0021115	luminal B breast carcinoma	MONDO:0006512	estrogen-receptor positive breast cancer
SILENT	Early-Onset_Autosomal_Dominant_Alzheimer_Disease	APP Duplication	MONDO:1060190	APP-related brain and vascular amyloidosis	MONDO:0015140	early-onset autosomal dominant Alzheimer disease
SILENT	Frontotemporal_Dementia	FTD with Motor Neuron Disease	MONDO:0017161	frontotemporal dementia with motor neuron disease	MONDO:0017276	frontotemporal dementia
SILENT	GNAO1-Related_Developmental_and_Epileptic_Encephalopathy	NEDIM	MONDO:0060491	neurodevelopmental disorder with involuntary movements	MONDO:0014199	developmental and epileptic encephalopathy, 17
SILENT	GUCY2D-Related_Retinopathy	Dominant	MONDO:0100441	GUCY2D-related dominant retinopathy	MONDO:0100453	GUCY2D-related recessive retinopathy
SILENT	Genital_Lichen_Sclerosus	Penile Lichen Sclerosus	MONDO:0001725	balanitis xerotica obliterans	MONDO:0007899	lichen sclerosus et atrophicus
SILENT	Glomerulonephritis	Anti-GBM Disease	MONDO:0009303	anti-glomerular basement membrane disease	MONDO:0002462	glomerulonephritis
SILENT	Guillain_Barre_Syndrome	Miller Fisher Syndrome	MONDO:0005851	Miller Fisher syndrome	MONDO:0016218	Guillain-Barre syndrome
SILENT	Hereditary_Hemorrhagic_Telangiectasia	SMAD4-associated juvenile polyposis/HHT overlap	MONDO:0008278	juvenile polyposis/hereditary hemorrhagic telangiectasia syndrome	MONDO:0019180	hereditary hemorrhagic telangiectasia
SILENT	Holoprosencephaly_9	Pituitary-Polydactyly	MONDO:0014369	postaxial polydactyly-anterior pituitary anomalies-facial dysmorphism syndrome	MONDO:0012563	holoprosencephaly 9
SILENT	Hypotrichosis_with_Juvenile_Macular_Dystrophy	EEM	MONDO:0009155	EEM syndrome	MONDO:0011107	congenital hypotrichosis with juvenile macular dystrophy
SILENT	Inborn_Disorder_of_Bile_Acid_Synthesis	BASD Type 1	MONDO:0011906	congenital bile acid synthesis defect 1	MONDO:0019218	inborn disorder of bile acid synthesis
SILENT	Inborn_Disorder_of_Bile_Acid_Synthesis	BASD Type 2	MONDO:0009339	congenital bile acid synthesis defect 2	MONDO:0019218	inborn disorder of bile acid synthesis
SILENT	Inborn_Disorder_of_Bile_Acid_Synthesis	BASD Type 3	MONDO:0013439	congenital bile acid synthesis defect 3	MONDO:0019218	inborn disorder of bile acid synthesis
SILENT	Inborn_Disorder_of_Bile_Acid_Synthesis	BASD Type 4	MONDO:0008967	congenital bile acid synthesis defect 4	MONDO:0019218	inborn disorder of bile acid synthesis
SILENT	Inborn_Disorder_of_Bile_Acid_Synthesis	Bile acid conjugation defect 1	MONDO:0030991	bile acid conjugation defect 1	MONDO:0019218	inborn disorder of bile acid synthesis
SILENT	Isolated_Anophthalmia-Microphthalmia_Syndrome	MCOP1	MONDO:0009631	isolated microphthalmia 1	MONDO:0016764	isolated anophthalmia-microphthalmia syndrome
SILENT	Isolated_Anophthalmia-Microphthalmia_Syndrome	MCOP5	MONDO:0012605	isolated microphthalmia 5	MONDO:0016764	isolated anophthalmia-microphthalmia syndrome
SILENT	Joubert_syndrome	Joubert syndrome with oculorenal defect	MONDO:0009480	Joubert syndrome with oculorenal defect	MONDO:0018772	Joubert syndrome
SILENT	Leber_Hereditary_Optic_Neuropathy	arLHON	MONDO:0030309	Leber hereditary optic neuropathy, autosomal recessive	MONDO:0010788	Leber hereditary optic neuropathy
SILENT	Limbic_Encephalitis	Limbic Encephalitis with LGI1 Antibodies	MONDO:0015592	limbic encephalitis with LGI1 antibodies	MONDO:0015588	limbic encephalitis
SILENT	MITF_Waardenburg_Tietz_Spectrum	COMMAD	MONDO:0015014	coloboma, osteopetrosis, microphthalmia, macrocephaly, albinism, and deafness	MONDO:0018094	Waardenburg syndrome
SILENT	MITF_Waardenburg_Tietz_Spectrum	Tietz	MONDO:0007077	Tietz syndrome	MONDO:0018094	Waardenburg syndrome
SILENT	Mediator_Complex_Neurodevelopmental_Disorder	MED12	MONDO:0100000	MED12-related intellectual disability syndrome	MONDO:0002320	congenital nervous system disorder
SILENT	Mediator_Complex_Neurodevelopmental_Disorder	MED13	MONDO:0032485	intellectual developmental disorder 61	MONDO:0002320	congenital nervous system disorder
SILENT	Mediator_Complex_Neurodevelopmental_Disorder	MED23	MONDO:0013651	intellectual disability, autosomal recessive 18	MONDO:0002320	congenital nervous system disorder
SILENT	Menkes_Disease	ATP7A-related distal motor neuropathy	MONDO:0010338	X-linked distal spinal muscular atrophy type 3	MONDO:0010651	Menkes disease
SILENT	Menkes_Disease	Occipital horn syndrome	MONDO:0010572	occipital horn syndrome	MONDO:0010651	Menkes disease
SILENT	Microcephalic_Osteodysplastic_Primordial_Dwarfism_Type_I	MOPD III	MONDO:0008873	microcephalic osteodysplastic primordial dwarfism, type 3	MONDO:0008871	microcephalic osteodysplastic primordial dwarfism type I
SILENT	Mixed_Phenotype_Acute_Leukemia	Acute undifferentiated leukemia	MONDO:0020321	acute undifferentiated leukemia	MONDO:0020743	mixed phenotype acute leukemia
SILENT	Mycetoma	Eumycetoma	MONDO:0005757	eumycotic mycetoma	MONDO:0016823	mycetoma
SILENT	Mycosis_Fungoides	Folliculotropic	MONDO:0015808	folliculotropic mycosis fungoides	MONDO:0009691	mycosis fungoides
SILENT	Mycosis_Fungoides	Granulomatous Slack Skin	MONDO:0018031	granulomatous slack skin disease	MONDO:0009691	mycosis fungoides
SILENT	Mycosis_Fungoides	Localized Pagetoid Reticulosis	MONDO:0015809	localized pagetoid reticulosis	MONDO:0009691	mycosis fungoides
SILENT	Myofibrillar_Myopathy	MFM2	MONDO:0012130	myofibrillar myopathy 2	MONDO:0018943	myofibrillar myopathy
SILENT	Noonan_Syndrome	Noonan Syndrome with Multiple Lentigines	MONDO:0007893	Noonan syndrome with multiple lentigines	MONDO:0018997	Noonan syndrome
SILENT	Odonto-Onycho-Dermal_Dysplasia	SSPS	MONDO:0009145	Schöpf-Schulz-Passarge syndrome	MONDO:0009773	odonto-onycho-dermal dysplasia
SILENT	Odonto-Onycho-Dermal_Dysplasia	STHAG4	MONDO:0007881	tooth agenesis, selective, 4	MONDO:0009773	odonto-onycho-dermal dysplasia
SILENT	Optic_Neuritis	Isolated optic neuritis	MONDO:0044688	isolated optic neuritis	MONDO:0005885	optic neuritis
SILENT	Optic_Neuritis	Relapsing isolated optic neuritis	MONDO:0971050	relapsing isolated optic neuritis	MONDO:0005885	optic neuritis
SILENT	Optic_Neuritis	Single isolated optic neuritis	MONDO:0971049	single isolated optic neuritis	MONDO:0005885	optic neuritis
SILENT	PRPS1_Deficiency_Spectrum	Arts Syndrome	MONDO:0010533	Arts syndrome	MONDO:0100061	PRPS1 deficiency disorder
SILENT	PRPS1_Deficiency_Spectrum	CMTX5	MONDO:0010699	Charcot-Marie-Tooth disease X-linked recessive 5	MONDO:0100061	PRPS1 deficiency disorder
SILENT	PRPS1_Deficiency_Spectrum	DFN2	MONDO:0010577	hearing loss, X-linked 1	MONDO:0100061	PRPS1 deficiency disorder
SILENT	PTEN_Hamartoma_Tumor_Syndrome	Cowden syndrome	MONDO:0016063	Cowden disease	MONDO:0017623	PTEN hamartoma tumor syndrome
SILENT	PTEN_Hamartoma_Tumor_Syndrome	Lhermitte-Duclos disease	MONDO:0019002	Lhermitte-Duclos disease	MONDO:0017623	PTEN hamartoma tumor syndrome
SILENT	Paroxysmal_Dyskinesia	ADCY5	MONDO:0800028	dyskinesia with orofacial involvement, autosomal dominant	MONDO:0015427	paroxysmal dyskinesia
SILENT	Paroxysmal_Dyskinesia	PNKD3	MONDO:0012276	generalized epilepsy-paroxysmal dyskinesia syndrome	MONDO:0015427	paroxysmal dyskinesia
SILENT	Pericarditis	Recurrent pericarditis idiopathic	MONDO:0016662	idiopathic recurrent pericarditis	MONDO:0005904	pericarditis
SILENT	Peripheral_T_Cell_Lymphoma	PTCL-NOS	MONDO:0004964	peripheral T-cell lymphoma, not otherwise specified	MONDO:0015760	T-cell non-Hodgkin lymphoma
SILENT	Plasma_Cell_Neoplasm	Monoclonal Gammopathy of Uncertain Significance	MONDO:0004225	monoclonal gammopathy of uncertain significance	MONDO:0004959	plasma cell neoplasm
SILENT	RPE65-Related_Retinopathy	RPE65-related dominant retinopathy	MONDO:0100452	RPE65-related dominant retinopathy	MONDO:0100368	RPE65-related recessive retinopathy
SILENT	RPGR-Related_Retinopathy	Cone dystrophy 1, X-linked	MONDO:0800320	cone dystrophy 1, X-linked	MONDO:0100437	RPGR-related retinopathy
SILENT	Rett_Syndrome	Atypical Rett Syndrome	MONDO:0017746	atypical Rett syndrome	MONDO:0010726	Rett syndrome
SILENT	Rhizomelic_Chondrodysplasia_Punctata_Plasmalogen_Synthesis_Defect	RCDP4	MONDO:0014510	fatty acyl-CoA reductase 1 deficiency	MONDO:0015776	rhizomelic chondrodysplasia punctata
SILENT	SOX10_Neurocristopathy_Spectrum	PCWH Syndrome	MONDO:0012198	PCWH syndrome	MONDO:0013202	Waardenburg syndrome type 4C
SILENT	SOX10_Neurocristopathy_Spectrum	Waardenburg Syndrome Type 2E	MONDO:0012698	Waardenburg syndrome type 2E	MONDO:0013202	Waardenburg syndrome type 4C
SILENT	Small_Intestine_Cancer	Neuroendocrine Tumor	MONDO:0002995	small intestine neuroendocrine tumor, well differentiated, low or intermediate grade	MONDO:0000956	small intestine cancer
SILENT	Stargardt_Disease	ABCA4-Related Cone-Rod Dystrophy (CORD3)	MONDO:0011395	cone-rod dystrophy 3	MONDO:0019353	Stargardt disease
SILENT	Stargardt_Disease	ABCA4-Related Retinitis Pigmentosa (RP19)	MONDO:0011137	retinitis pigmentosa 19	MONDO:0019353	Stargardt disease
SILENT	TP63_Ectodermal_Dysplasia_Spectrum	LMS	MONDO:0011334	limb-mammary syndrome	MONDO:1040001	TP63-related ectodermal dysplasia spectrum with limb and orofacial malformations
SILENT	Tetrahydrobiopterin_Deficiency	SPR Deficiency	MONDO:0012994	dopa-responsive dystonia due to sepiapterin reductase deficiency	MONDO:0016543	hyperphenylalaninemia due to tetrahydrobiopterin deficiency
SILENT	Transverse_Myelitis	Acute TM	MONDO:0015342	acute transverse myelitis	MONDO:0021553	transverse myelitis
SILENT	Transverse_Myelitis	Idiopathic ATM	MONDO:0015344	idiopathic acute transverse myelitis	MONDO:0021553	transverse myelitis
SILENT	Transverse_Myelitis	MOG-IgG ATM	MONDO:0035666	acute transverse myelitis with anti-MOG antibodies	MONDO:0021553	transverse myelitis
