slug	route	subject	predicate	source_target	target	source	fact_type	sub	object	prior	status	reason
Neurodevelopmental_Disorder_with_Severe_Motor_Impairment_and_Absent_Language	ordo	ORDO:647788	skos:broadMatch	ICD-10:G11.8	ICD10:G11.8	ordo.db	ProperSubClassOf	ORDO:647788	ICD10:G11.8	0.9	INCLUDED	NA
Neurodevelopmental_Disorder_with_or_without_Anomalies_of_the_Brain_Eye_or_Heart	ordo	ORDO:494344	skos:broadMatch	ICD-10:Q87.8	ICD10:Q87.8	ordo.db	ProperSubClassOf	ORDO:494344	ICD10:Q87.8	0.9	INCLUDED	NA
Neuronal_Intranuclear_Inclusion_Disease	ordo	ORDO:2289	skos:broadMatch	ICD-10:G31.0	ICD10:G31.0	ordo.db	ProperSubClassOf	ORDO:2289	ICD10:G31.0	0.9	INCLUDED	NA
Neutral_Lipid_Storage_Myopathy	ordo	ORDO:98908	skos:broadMatch	ICD-10:E75.5	ICD10:E75.5	ordo.db	ProperSubClassOf	ORDO:98908	ICD10:E75.5	0.9	INCLUDED	NA
Neutrophil_Immunodeficiency_Syndrome	ordo	ORDO:183707	skos:broadMatch	ICD-10:D71	ICD10:D71	ordo.db	ProperSubClassOf	ORDO:183707	ICD10:D71	0.9	INCLUDED	NA
Nicolaides-Baraitser_Syndrome	ordo	ORDO:3051	skos:broadMatch	ICD-10:Q87.1	ICD10:Q87.1	ordo.db	ProperSubClassOf	ORDO:3051	ICD10:Q87.1	0.9	INCLUDED	NA
Niemann-Pick_Disease_Type_A	ordo	ORDO:77292	skos:broadMatch	ICD-10:E75.2	ICD10:E75.2	ordo.db	ProperSubClassOf	ORDO:77292	ICD10:E75.2	0.9	INCLUDED	NA
Niemann-Pick_Disease_Type_B	ordo	ORDO:77293	skos:broadMatch	ICD-10:E75.2	ICD10:E75.2	ordo.db	ProperSubClassOf	ORDO:77293	ICD10:E75.2	0.9	INCLUDED	NA
Nijmegen_Breakage_Syndrome-like_Disorder	ordo	ORDO:240760	skos:broadMatch	ICD-10:Q87.8	ICD10:Q87.8	ordo.db	ProperSubClassOf	ORDO:240760	ICD10:Q87.8	0.9	INCLUDED	NA
Nijmegen_breakage_syndrome	ordo	ORDO:647	skos:broadMatch	ICD-10:Q87.8	ICD10:Q87.8	ordo.db	ProperSubClassOf	ORDO:647	ICD10:Q87.8	0.9	INCLUDED	NA
Nonketotic_Hyperglycinemia	ordo	ORDO:407	skos:broadMatch	ICD-10:E72.5	ICD10:E72.5	ordo.db	ProperSubClassOf	ORDO:407	ICD10:E72.5	0.9	INCLUDED	NA
North_Carolina_Macular_Dystrophy	ordo	ORDO:75327	skos:broadMatch	ICD-10:H35.5	ICD10:H35.5	ordo.db	ProperSubClassOf	ORDO:75327	ICD10:H35.5	0.9	INCLUDED	NA
Northern_Epilepsy	ordo	ORDO:1947	skos:broadMatch	ICD-10:E75.4	ICD10:E75.4	ordo.db	ProperSubClassOf	ORDO:1947	ICD10:E75.4	0.9	INCLUDED	NA
Northern_Epilepsy	ordo	ORDO:530298	skos:broadMatch	ICD-10:G31.8	ICD10:G31.8	ordo.db	ProperSubClassOf	ORDO:530298	ICD10:G31.8	0.9	INCLUDED	NA
ORAI1_Deficiency	ordo	ORDO:317428	skos:broadMatch	ICD-10:D81.8	ICD10:D81.8	ordo.db	ProperSubClassOf	ORDO:317428	ICD10:D81.8	0.9	INCLUDED	NA
OTUD6B-Related_Neurodevelopmental_Disorder	ordo	ORDO:505237	skos:broadMatch	ICD-10:Q87.8	ICD10:Q87.8	ordo.db	ProperSubClassOf	ORDO:505237	ICD10:Q87.8	0.9	INCLUDED	NA
Ochoa_Syndrome	ordo	ORDO:2704	skos:broadMatch	ICD-10:N31.8	ICD10:N31.8	ordo.db	ProperSubClassOf	ORDO:2704	ICD10:N31.8	0.9	INCLUDED	NA
Oculocerebrodental_Syndrome	ordo	ORDO:557003	skos:broadMatch	ICD-10:Q87.8	ICD10:Q87.8	ordo.db	ProperSubClassOf	ORDO:557003	ICD10:Q87.8	0.9	INCLUDED	NA
Oculocutaneous_Albinism	ordo	ORDO:352745	skos:broadMatch	ICD-10:E70.3	ICD10:E70.3	ordo.db	ProperSubClassOf	ORDO:352745	ICD10:E70.3	0.9	INCLUDED	NA
Oculocutaneous_Albinism	ordo	ORDO:370091	skos:broadMatch	ICD-10:E70.3	ICD10:E70.3	ordo.db	ProperSubClassOf	ORDO:370091	ICD10:E70.3	0.9	INCLUDED	NA
Oculocutaneous_Albinism	ordo	ORDO:370097	skos:broadMatch	ICD-10:E70.3	ICD10:E70.3	ordo.db	ProperSubClassOf	ORDO:370097	ICD10:E70.3	0.9	INCLUDED	NA
Oculocutaneous_Albinism	ordo	ORDO:597733	skos:broadMatch	ICD-10:E70.3	ICD10:E70.3	ordo.db	ProperSubClassOf	ORDO:597733	ICD10:E70.3	0.9	INCLUDED	NA
Oculocutaneous_Albinism	ordo	ORDO:79431	skos:broadMatch	ICD-10:E70.3	ICD10:E70.3	ordo.db	ProperSubClassOf	ORDO:79431	ICD10:E70.3	0.9	INCLUDED	NA
Oculocutaneous_Albinism	ordo	ORDO:79432	skos:broadMatch	ICD-10:E70.3	ICD10:E70.3	ordo.db	ProperSubClassOf	ORDO:79432	ICD10:E70.3	0.9	INCLUDED	NA
Oculocutaneous_Albinism	ordo	ORDO:79433	skos:broadMatch	ICD-10:E70.3	ICD10:E70.3	ordo.db	ProperSubClassOf	ORDO:79433	ICD10:E70.3	0.9	INCLUDED	NA
Oculocutaneous_Albinism	ordo	ORDO:79434	skos:broadMatch	ICD-10:E70.3	ICD10:E70.3	ordo.db	ProperSubClassOf	ORDO:79434	ICD10:E70.3	0.9	INCLUDED	NA
Oculocutaneous_Albinism	ordo	ORDO:79435	skos:broadMatch	ICD-10:E70.3	ICD10:E70.3	ordo.db	ProperSubClassOf	ORDO:79435	ICD10:E70.3	0.9	INCLUDED	NA
Oculodentodigital_Dysplasia	ordo	ORDO:2710	skos:broadMatch	ICD-10:Q87.8	ICD10:Q87.8	ordo.db	ProperSubClassOf	ORDO:2710	ICD10:Q87.8	0.9	INCLUDED	NA
Oculofaciocardiodental_Syndrome	ordo	ORDO:2712	skos:broadMatch	ICD-10:Q87.8	ICD10:Q87.8	ordo.db	ProperSubClassOf	ORDO:2712	ICD10:Q87.8	0.9	INCLUDED	NA
Oculogastrointestinal-Neurodevelopmental_Syndrome	ordo	ORDO:611201	skos:broadMatch	ICD-10:Q87.8	ICD10:Q87.8	ordo.db	ProperSubClassOf	ORDO:611201	ICD10:Q87.8	0.9	INCLUDED	NA
Oculopharyngodistal_Myopathy	ordo	ORDO:98897	skos:broadMatch	ICD-10:G71.0	ICD10:G71.0	ordo.db	ProperSubClassOf	ORDO:98897	ICD10:G71.0	0.9	INCLUDED	NA
Odonto-Onycho-Dermal_Dysplasia	ordo	ORDO:2721	skos:broadMatch	ICD-10:Q82.4	ICD10:Q82.4	ordo.db	ProperSubClassOf	ORDO:2721	ICD10:Q82.4	0.9	INCLUDED	NA
Odonto-Onycho-Dermal_Dysplasia	ordo	ORDO:50944	skos:broadMatch	ICD-10:Q82.8	ICD10:Q82.8	ordo.db	ProperSubClassOf	ORDO:50944	ICD10:Q82.8	0.9	INCLUDED	NA
