slug	route	subject	predicate	target	source
ALG12_Congenital_Disorder_of_Glycosylation	ordo	ORDO:79324	skos:broadMatch	ICD-10:E77.8	ordo.db
ALG3-Congenital_Disorder_of_Glycosylation	ordo	ORDO:79321	skos:broadMatch	ICD-10:E77.8	ordo.db
ALG6-Congenital_Disorder_of_Glycosylation	ordo	ORDO:79320	skos:broadMatch	ICD-10:E77.8	ordo.db
ALG9-congenital_disorder_of_glycosylation	ordo	ORDO:79328	skos:broadMatch	ICD-10:E77.8	ordo.db
ARX-Related_Lissencephaly_and_Interneuronopathy	ordo	ORDO:452	skos:broadMatch	ICD-10:Q04.3	ordo.db
AR_Cerebellar_Ataxia-Saccadic_Intrusion_Syndrome	ordo	ORDO:95434	skos:broadMatch	ICD-10:G11.1	ordo.db
ATTR_Amyloidosis	ordo	ORDO:271861	skos:broadMatch	ICD-10:E85.1	ordo.db
Abetalipoproteinemia	ordo	ORDO:14	skos:broadMatch	ICD-10:E78.6	ordo.db
Acatalasia	ordo	ORDO:926	skos:exactMatch	ICD-10:E80.3	ordo.db
Achondrogenesis_Type_II	ordo	ORDO:93296	skos:broadMatch	ICD-10:Q77.0	ordo.db
Achondroplasia	mondo	MONDO:0007037	oio:hasDbXref	ICD10CM:Q77.4	mondo.db
Achondroplasia	mondo	MONDO:0007037	skos:exactMatch	ICD10CM:Q77.4	mondo.db
Achondroplasia	ordo	ORDO:15	skos:exactMatch	ICD-10:Q77.4	ordo.db
Achromatopsia	mondo	MONDO:0018852	oio:hasDbXref	ICD10CM:H53.51	mondo.db
Achromatopsia	mondo	MONDO:0018852	skos:exactMatch	ICD10CM:H53.51	mondo.db
Achromatopsia	ordo	ORDO:49382	skos:broadMatch	ICD-10:H53.5	ordo.db
Acrocallosal_Syndrome	ordo	ORDO:36	skos:broadMatch	ICD-10:Q04.0	ordo.db
Acrodysostosis	ordo	ORDO:950	skos:broadMatch	ICD-10:Q75.4	ordo.db
Acromesomelic_Dysplasia_Grebe_Type	ordo	ORDO:2098	skos:broadMatch	ICD-10:Q78.8	ordo.db
Acromesomelic_Dysplasia_Maroteaux_Type	ordo	ORDO:40	skos:broadMatch	ICD-10:Q77.8	ordo.db
Activated_PI3K-delta_Syndrome	ordo	ORDO:397596	skos:broadMatch	ICD-10:D81.8	ordo.db
Acute_Intermittent_Porphyria	ordo	ORDO:79276	skos:broadMatch	ICD-10:E80.2	ordo.db
Acute_Lymphoblastic_Leukemia	mondo	MONDO:0004967	oio:hasDbXref	ICD10CM:C91.0	mondo.db
Acute_Lymphoblastic_Leukemia	mondo	MONDO:0004967	skos:exactMatch	ICD10CM:C91.0	mondo.db
Acute_Lymphoblastic_Leukemia	ordo	ORDO:513	skos:exactMatch	ICD-10:C91.0	ordo.db
Acute_Megakaryoblastic_Leukemia	mondo	MONDO:0018872	oio:hasDbXref	ICD10CM:C94.2	mondo.db
Acute_Megakaryoblastic_Leukemia	mondo	MONDO:0018872	skos:exactMatch	ICD10CM:C94.2	mondo.db
Acute_Megakaryoblastic_Leukemia	ordo	ORDO:518	skos:broadMatch	ICD-10:C94.2	ordo.db
Acute_Respiratory_Distress_Syndrome	mondo	MONDO:0006502	oio:hasDbXref	ICD10CM:J80	mondo.db
Acute_Respiratory_Distress_Syndrome	mondo	MONDO:0006502	skos:exactMatch	ICD10CM:J80	mondo.db
Adams-Oliver_Syndrome	ordo	ORDO:974	skos:broadMatch	ICD-10:Q87.2	ordo.db
Adenine_Phosphoribosyltransferase_Deficiency	ordo	ORDO:976	skos:broadMatch	ICD-10:E79.8	ordo.db
Adenosine_Kinase_Deficiency	ordo	ORDO:289290	skos:broadMatch	ICD-10:E72.1	ordo.db
Adenylosuccinate_Lyase_Deficiency	ordo	ORDO:46	skos:broadMatch	ICD-10:E79.8	ordo.db
Adult-Onset_Autosomal_Dominant_Demyelinating_Leukodystrophy	ordo	ORDO:99027	skos:broadMatch	ICD-10:E75.2	ordo.db
Adult-Onset_Proximal_Spinal_Muscular_Atrophy_Autosomal_Dominant	dismech	dismech:Adult-Onset_Proximal_Spinal_Muscular_Atrophy_Autosomal_Dominant	skos:broadMatch	ICD10CM:G12.1	ORPHA:209335
Adult-Onset_Proximal_Spinal_Muscular_Atrophy_Autosomal_Dominant	ordo	ORDO:209335	skos:broadMatch	ICD-10:G12.1	ordo.db
Adult_Onset_Foveomacular_Vitelliform_Dystrophy	ordo	ORDO:99000	skos:broadMatch	ICD-10:H35.5	ordo.db
Adult_Polyglucosan_Body_Disease	ordo	ORDO:206583	skos:broadMatch	ICD-10:E74.0	ordo.db
Adult_Refsum_Disease	mondo	MONDO:0009958	oio:hasDbXref	ICD10CM:G60.1	mondo.db
Adult_Refsum_Disease	mondo	MONDO:0009958	skos:exactMatch	ICD10CM:G60.1	mondo.db
Adult_Refsum_Disease	ordo	ORDO:773	skos:exactMatch	ICD-10:G60.1	ordo.db
Advanced_Sleep_Phase_Syndrome	ordo	ORDO:164736	skos:broadMatch	ICD-10:G47.2	ordo.db
Agenesis_of_the_Corpus_Callosum_with_Peripheral_Neuropathy	ordo	ORDO:1496	skos:broadMatch	ICD-10:G60.0	ordo.db
Agnathia-Otocephaly_Complex	ordo	ORDO:990	skos:broadMatch	ICD-10:Q87.8	ordo.db
Aicardi_Goutieres_Syndrome	ordo	ORDO:51	skos:broadMatch	ICD-10:G31.8	ordo.db
Aicardi_Syndrome	ordo	ORDO:50	skos:broadMatch	ICD-10:Q04.0	ordo.db
Alagille_syndrome	dismech	dismech:Alagille_syndrome	skos:narrowMatch	ICD10CM:Q44.7	ORPHA:52
Alagille_syndrome	ordo	ORDO:52	skos:broadMatch	ICD-10:Q44.7	ordo.db
Aland_Island_Eye_Disease	ordo	ORDO:178333	skos:broadMatch	ICD-10:H35.5	ordo.db
Alexander_Disease	ordo	ORDO:58	skos:broadMatch	ICD-10:G93.8	ordo.db
Alkaptonuria	ordo	ORDO:56	skos:broadMatch	ICD-10:E70.2	ordo.db
Allan-Herndon-Dudley_Syndrome	ordo	ORDO:59	skos:broadMatch	ICD-10:G31.8	ordo.db
Alpha_1_Antitrypsin_Deficiency	mondo	MONDO:0013282	oio:hasDbXref	ICD10CM:E88.01	mondo.db
Alpha_1_Antitrypsin_Deficiency	mondo	MONDO:0013282	skos:exactMatch	ICD10CM:E88.01	mondo.db
Alpha_1_Antitrypsin_Deficiency	ordo	ORDO:60	skos:broadMatch	ICD-10:E88.0	ordo.db
Alpha_Mannosidosis	ordo	ORDO:61	skos:broadMatch	ICD-10:E77.1	ordo.db
Alpha_Thalassemia	mondo	MONDO:0011399	oio:hasDbXref	ICD10CM:D56.0	mondo.db
Alpha_Thalassemia	mondo	MONDO:0011399	skos:exactMatch	ICD10CM:D56.0	mondo.db
Alpha_Thalassemia	ordo	ORDO:846	skos:exactMatch	ICD-10:D56.0	ordo.db
Alternating_Hemiplegia_of_Childhood	ordo	ORDO:2131	skos:broadMatch	ICD-10:G98	ordo.db
Alveolar_Capillary_Dysplasia_with_Misalignment_of_Pulmonary_Veins	ordo	ORDO:210122	skos:broadMatch	ICD-10:Q33.6	ordo.db
Amelogenesis_Imperfecta	ordo	ORDO:88661	skos:broadMatch	ICD-10:K00.5	ordo.db
Aminoacylase_1_Deficiency	ordo	ORDO:137754	skos:broadMatch	ICD-10:E72.8	ordo.db
Amyloidosis	mondo	MONDO:0019065	oio:hasDbXref	ICD10CM:E85	mondo.db
Amyloidosis	mondo	MONDO:0019065	skos:exactMatch	ICD10CM:E85	mondo.db
Amyloidosis	ordo	ORDO:69	skos:exactMatch	ICD-10:E85.0	ordo.db
Anaplastic_Large_Cell_Lymphoma	ordo	ORDO:98841	skos:narrowMatch	ICD-10:C84.6	ordo.db
Anaplastic_Large_Cell_Lymphoma	ordo	ORDO:98841	skos:narrowMatch	ICD-10:C84.7	ordo.db
Anauxetic_Dysplasia	ordo	ORDO:93347	skos:broadMatch	ICD-10:Q77.7	ordo.db
Androgen_Insensitivity_Syndrome	mondo	MONDO:0019154	oio:hasDbXref	ICD10CM:E34.5	mondo.db
Androgen_Insensitivity_Syndrome	mondo	MONDO:0019154	skos:exactMatch	ICD10CM:E34.5	mondo.db
Androgen_Insensitivity_Syndrome	ordo	ORDO:754	skos:exactMatch	ICD-10:E34.5	ordo.db
Aneurysm-Osteoarthritis_Syndrome	ordo	ORDO:284984	skos:broadMatch	ICD-10:Q87.8	ordo.db
Angelman_Syndrome	dismech	dismech:Angelman_Syndrome	skos:narrowMatch	ICD10CM:Q93.5	ORPHA:72
Angelman_Syndrome	mondo	MONDO:0007113	oio:hasDbXref	ICD10CM:Q93.51	mondo.db
Angelman_Syndrome	mondo	MONDO:0007113	skos:exactMatch	ICD10CM:Q93.51	mondo.db
Angelman_Syndrome	ordo	ORDO:72	skos:broadMatch	ICD-10:Q93.5	ordo.db
Aniridia	mondo	MONDO:0019172	oio:hasDbXref	ICD10CM:Q13.1	mondo.db
Aniridia	mondo	MONDO:0019172	skos:exactMatch	ICD10CM:Q13.1	mondo.db
Antiphospholipid_Syndrome	mondo	MONDO:8000010	oio:hasDbXref	ICD10CM:D68.61	mondo.db
Antiphospholipid_Syndrome	mondo	MONDO:8000010	skos:exactMatch	ICD10CM:D68.61	mondo.db
Antiphospholipid_Syndrome	ordo	ORDO:80	skos:broadMatch	ICD-10:D68.6	ordo.db
Antley-Bixler_Syndrome_FGFR2-Related	ordo	ORDO:596008	skos:broadMatch	ICD-10:Q87.8	ordo.db
Apert_Syndrome	ordo	ORDO:87	skos:broadMatch	ICD-10:Q87.0	ordo.db
Apparent_Mineralocorticoid_Excess	ordo	ORDO:320	skos:broadMatch	ICD-10:E26.8	ordo.db
Arboleda-Tham_Syndrome	ordo	ORDO:457193	skos:broadMatch	ICD-10:Q87.8	ordo.db
Arginase_Deficiency	mondo	MONDO:0008814	oio:hasDbXref	ICD10CM:E72.21	mondo.db
Arginase_Deficiency	mondo	MONDO:0008814	skos:exactMatch	ICD10CM:E72.21	mondo.db
Arginase_Deficiency	ordo	ORDO:90	skos:broadMatch	ICD-10:E72.2	ordo.db
Argininosuccinic_Aciduria	ordo	ORDO:23	skos:broadMatch	ICD-10:E72.2	ordo.db
Aromatase_Deficiency	ordo	ORDO:91	skos:broadMatch	ICD-10:E25.8	ordo.db
Aromatase_Excess_Syndrome	ordo	ORDO:178345	skos:broadMatch	ICD-10:E30.1	ordo.db
Arterial_Calcification_of_Infancy	ordo	ORDO:51608	skos:broadMatch	ICD-10:Q28.8	ordo.db
Arterial_Dissection_Lentiginosis_Syndrome	ordo	ORDO:1682	skos:broadMatch	ICD-10:Q87.8	ordo.db
Arterial_Tortuosity_Syndrome	mondo	MONDO:0008818	oio:hasDbXref	ICD10CM:Q87.82	mondo.db
Arterial_Tortuosity_Syndrome	mondo	MONDO:0008818	skos:exactMatch	ICD10CM:Q87.82	mondo.db
Arterial_Tortuosity_Syndrome	ordo	ORDO:3342	skos:broadMatch	ICD-10:I77.1	ordo.db
Arthrogryposis-Renal_Dysfunction-Cholestasis_Syndrome	ordo	ORDO:2697	skos:broadMatch	ICD-10:Q89.7	ordo.db
Arthrogryposis_Multiplex_Congenita	mondo	MONDO:0015168	oio:hasDbXref	ICD10CM:Q74.3	mondo.db
Arthrogryposis_Multiplex_Congenita	mondo	MONDO:0015168	skos:exactMatch	ICD10CM:Q74.3	mondo.db
Arthrogryposis_Multiplex_Congenita	ordo	ORDO:1037	skos:exactMatch	ICD-10:Q74.3	ordo.db
Arts_syndrome	ordo	ORDO:1187	skos:broadMatch	ICD-10:E79.8	ordo.db
Asparagine_Synthetase_Deficiency	ordo	ORDO:391376	skos:broadMatch	ICD-10:E72.8	ordo.db
Aspartylglucosaminuria	ordo	ORDO:93	skos:broadMatch	ICD-10:E77.1	ordo.db
Aspergillosis	mondo	MONDO:0005657	oio:hasDbXref	ICD10CM:B44	mondo.db
Aspergillosis	mondo	MONDO:0005657	skos:exactMatch	ICD10CM:B44	mondo.db
Aspergillosis	ordo	ORDO:1163	skos:narrowMatch	ICD-10:B44.0	ordo.db
Aspergillosis	ordo	ORDO:1163	skos:narrowMatch	ICD-10:B44.1	ordo.db
Aspergillosis	ordo	ORDO:1163	skos:narrowMatch	ICD-10:B44.2	ordo.db
Aspergillosis	ordo	ORDO:1163	skos:narrowMatch	ICD-10:B44.7	ordo.db
Aspergillosis	ordo	ORDO:1163	skos:narrowMatch	ICD-10:B44.8	ordo.db
Aspergillosis	ordo	ORDO:1163	skos:narrowMatch	ICD-10:B44.9	ordo.db
Ataxia_Telangiectasia	ordo	ORDO:100	skos:broadMatch	ICD-10:G11.3	ordo.db
Ataxia_With_Oculomotor_Apraxia_Type_1	ordo	ORDO:1168	skos:broadMatch	ICD-10:G11.3	ordo.db
Atelosteogenesis_Type_I	ordo	ORDO:1190	skos:broadMatch	ICD-10:Q78.8	ordo.db
Atelosteogenesis_Type_II	ordo	ORDO:56304	skos:broadMatch	ICD-10:Q77.5	ordo.db
Atelosteogenesis_Type_III	ordo	ORDO:56305	skos:broadMatch	ICD-10:Q78.8	ordo.db
Atransferrinemia	ordo	ORDO:1195	skos:broadMatch	ICD-10:E88.0	ordo.db
Atypical_Hemolytic_Uremic_Syndrome	ordo	ORDO:2134	skos:broadMatch	ICD-10:D59.3	ordo.db
Auriculocondylar_Syndrome	ordo	ORDO:137888	skos:broadMatch	ICD-10:Q75.8	ordo.db
Autism_Spectrum_Disorder-Epilepsy-Arthrogryposis_Syndrome	ordo	ORDO:370943	skos:broadMatch	ICD-10:Q87.8	ordo.db
Autoimmune_Lymphoproliferative_Syndrome	mondo	MONDO:0017979	oio:hasDbXref	ICD10CM:D89.82	mondo.db
Autoimmune_Lymphoproliferative_Syndrome	mondo	MONDO:0017979	skos:exactMatch	ICD10CM:D89.82	mondo.db
Autoimmune_Lymphoproliferative_Syndrome	ordo	ORDO:3261	skos:broadMatch	ICD-10:D47.9	ordo.db
Autoimmune_Polyendocrine_Syndrome_Type_1	ordo	ORDO:3453	skos:broadMatch	ICD-10:E31.0	ordo.db
Autoimmune_Polyendocrinopathy	mondo	MONDO:0017278	oio:hasDbXref	ICD10CM:E31.0	mondo.db
Autoimmune_Polyendocrinopathy	mondo	MONDO:0017278	skos:exactMatch	ICD10CM:E31.0	mondo.db
Autoimmune_Polyendocrinopathy	ordo	ORDO:282196	skos:exactMatch	ICD-10:E31.0	ordo.db
Autosomal_Agammaglobulinemia	ordo	ORDO:33110	skos:broadMatch	ICD-10:D80.0	ordo.db
Autosomal_Dominant_Aplasia_And_Myelodysplasia	ordo	ORDO:314399	skos:broadMatch	ICD-10:D61.0	ordo.db
Autosomal_Dominant_Charcot-Marie-Tooth_Disease_Type_2W	ordo	ORDO:488333	skos:broadMatch	ICD-10:G60.0	ordo.db
Autosomal_Dominant_Epilepsy_with_Auditory_Features	ordo	ORDO:101046	skos:broadMatch	ICD-10:G40.0	ordo.db
Autosomal_Dominant_Hyper-IgE_Syndrome	ordo	ORDO:2314	skos:broadMatch	ICD-10:D82.4	ordo.db
Autosomal_Dominant_Optic_Atrophy_Plus	ordo	ORDO:1215	skos:broadMatch	ICD-10:H47.2	ordo.db
Autosomal_Dominant_Osteopetrosis_Type_I	ordo	ORDO:2783	skos:broadMatch	ICD-10:Q78.2	ordo.db
Autosomal_Dominant_Osteopetrosis_Type_II	ordo	ORDO:53	skos:broadMatch	ICD-10:Q78.2	ordo.db
Autosomal_Dominant_Polycystic_Kidney_Disease	ordo	ORDO:730	skos:exactMatch	ICD-10:Q61.2	ordo.db
Autosomal_Dominant_Polycystic_Liver_Disease	mondo	MONDO:0000447	oio:hasDbXref	ICD10CM:Q44.6	mondo.db
Autosomal_Dominant_Polycystic_Liver_Disease	mondo	MONDO:0000447	skos:exactMatch	ICD10CM:Q44.6	mondo.db
Autosomal_Dominant_Polycystic_Liver_Disease	ordo	ORDO:2924	skos:exactMatch	ICD-10:Q44.6	ordo.db
Autosomal_Dominant_Progressive_External_Ophthalmoplegia	ordo	ORDO:254892	skos:broadMatch	ICD-10:H49.4	ordo.db
Autosomal_Dominant_Striatal_Neurodegeneration	ordo	ORDO:228169	skos:broadMatch	ICD-10:G31.8	ordo.db
Autosomal_Recessive_Ataxia_Beauce_Type	ordo	ORDO:88644	skos:broadMatch	ICD-10:G11.2	ordo.db
Autosomal_Recessive_Ataxia_Due_to_Ubiquinone_Deficiency	ordo	ORDO:139485	skos:broadMatch	ICD-10:G11.1	ordo.db
Autosomal_Recessive_Cerebellar_Ataxia_With_Late_Onset_Spasticity	ordo	ORDO:352641	skos:broadMatch	ICD-10:G11.8	ordo.db
Autosomal_Recessive_Cutis_Laxa_Type_2A	ordo	ORDO:357058	skos:broadMatch	ICD-10:Q82.8	ordo.db
Autosomal_Recessive_Multiple_Pterygium_Syndrome	dismech	dismech:Autosomal_Recessive_Multiple_Pterygium_Syndrome	skos:broadMatch	ICD10CM:Q79.8	ORPHA:2990
Autosomal_Recessive_Multiple_Pterygium_Syndrome	ordo	ORDO:2990	skos:broadMatch	ICD-10:Q79.8	ordo.db
Autosomal_Recessive_Non-Syndromic_Intellectual_Disability	ordo	ORDO:88616	skos:narrowMatch	ICD-10:F70	ordo.db
Autosomal_Recessive_Non-Syndromic_Intellectual_Disability	ordo	ORDO:88616	skos:narrowMatch	ICD-10:F71	ordo.db
Autosomal_Recessive_Non-Syndromic_Intellectual_Disability	ordo	ORDO:88616	skos:narrowMatch	ICD-10:F72	ordo.db
Autosomal_Recessive_Non-Syndromic_Intellectual_Disability	ordo	ORDO:88616	skos:narrowMatch	ICD-10:F73	ordo.db
Autosomal_Recessive_Primary_Microcephaly	ordo	ORDO:2512	skos:broadMatch	ICD-10:Q02	ordo.db
Autosomal_Recessive_Robinow_Syndrome	ordo	ORDO:1507	skos:broadMatch	ICD-10:Q87.1	ordo.db
Autosomal_Recessive_Spinocerebellar_Ataxia_15	ordo	ORDO:404499	skos:broadMatch	ICD-10:G11.1	ordo.db
Autosomal_Recessive_Spinocerebellar_Ataxia_20	ordo	ORDO:397709	skos:broadMatch	ICD-10:Q87.8	ordo.db
Autosomal_Recessive_Spondylometaphyseal_Dysplasia_Megarbane_Type	ordo	ORDO:401979	skos:broadMatch	ICD-10:Q77.8	ordo.db
Axenfeld-Rieger_syndrome	ordo	ORDO:782	skos:broadMatch	ICD-10:Q13.8	ordo.db
B-Lymphoblastic_Leukemia_Lymphoma_With_Recurrent_Genetic_Abnormality	ordo	ORDO:585877	skos:broadMatch	ICD-10:C91.0	ordo.db
BBSome-Related_Retinitis_Pigmentosa	ordo	ORDO:791	skos:broadMatch	ICD-10:H35.5	ordo.db
BCKDK_Deficiency	ordo	ORDO:308410	skos:broadMatch	ICD-10:E71.1	ordo.db
BLOC1S1-related_Complex_Neurodevelopmental_Disorder_with_Leukodystrophy	ordo	ORDO:528084	skos:broadMatch	ICD-10:F84.8	ordo.db
Bachmann-Bupp_Syndrome	ordo	ORDO:544488	skos:broadMatch	ICD-10:E72.4	ordo.db
Bailey-Bloch_Congenital_Myopathy	ordo	ORDO:168572	skos:broadMatch	ICD-10:G71.2	ordo.db
Bainbridge-Ropers_Syndrome	ordo	ORDO:352577	skos:broadMatch	ICD-10:Q87.0	ordo.db
Bannayan-Riley-Ruvalcaba_Syndrome	mondo	MONDO:0007924	oio:hasDbXref	ICD10CM:E71.440	mondo.db
Bannayan-Riley-Ruvalcaba_Syndrome	mondo	MONDO:0007924	skos:exactMatch	ICD10CM:E71.440	mondo.db
Bannayan-Riley-Ruvalcaba_Syndrome	ordo	ORDO:109	skos:broadMatch	ICD-10:Q87.8	ordo.db
Baraitser-Winter_Cerebrofrontofacial_Syndrome	ordo	ORDO:2995	skos:broadMatch	ICD-10:Q87.0	ordo.db
Bardet-Biedl_Syndrome	ordo	ORDO:110	skos:broadMatch	ICD-10:Q87.8	ordo.db
Barth_Syndrome	mondo	MONDO:0010543	oio:hasDbXref	ICD10CM:E78.71	mondo.db
Barth_Syndrome	mondo	MONDO:0010543	skos:exactMatch	ICD10CM:E78.71	mondo.db
Barth_Syndrome	ordo	ORDO:111	skos:broadMatch	ICD-10:E71.1	ordo.db
Bartter_Syndrome	mondo	MONDO:0015231	oio:hasDbXref	ICD10CM:E26.81	mondo.db
Bartter_Syndrome	mondo	MONDO:0015231	skos:exactMatch	ICD10CM:E26.81	mondo.db
Bartter_Syndrome	ordo	ORDO:112	skos:broadMatch	ICD-10:E26.8	ordo.db
Basel-Vanagaite-Smirin-Yosef_Syndrome	ordo	ORDO:464738	skos:broadMatch	ICD-10:Q87.8	ordo.db
Bazex_Dupre_Christol_Syndrome	ordo	ORDO:113	skos:broadMatch	ICD-10:L98.8	ordo.db
Bazex_Dupre_Christol_Syndrome	ordo	ORDO:166113	skos:broadMatch	ICD-10:L44.8	ordo.db
Beare-Stevenson_Cutis_Gyrata_Syndrome	ordo	ORDO:1555	skos:broadMatch	ICD-10:Q87.8	ordo.db
Becker_Muscular_Dystrophy	ordo	ORDO:98895	skos:broadMatch	ICD-10:G71.0	ordo.db
Beckwith-Wiedemann_Syndrome	ordo	ORDO:116	skos:broadMatch	ICD-10:Q87.3	ordo.db
Behr_Syndrome	ordo	ORDO:1239	skos:broadMatch	ICD-10:H47.2	ordo.db
Benign_Familial_Infantile_Epilepsy	ordo	ORDO:306	skos:broadMatch	ICD-10:G40.3	ordo.db
Benign_Neonatal_Seizures	ordo	ORDO:1949	skos:broadMatch	ICD-10:G40.3	ordo.db
Berardinelli_Seip_Congenital_Lipodystrophy	ordo	ORDO:528	skos:broadMatch	ICD-10:E88.1	ordo.db
Bernard-Soulier_Syndrome	ordo	ORDO:274	skos:broadMatch	ICD-10:D69.1	ordo.db
Beta-Ketothiolase_Deficiency	ordo	ORDO:134	skos:broadMatch	ICD-10:E71.1	ordo.db
Beta_Mannosidosis	ordo	ORDO:118	skos:broadMatch	ICD-10:E77.1	ordo.db
Beta_Thalassemia	mondo	MONDO:0019402	oio:hasDbXref	ICD10CM:D56.1	mondo.db
Beta_Thalassemia	mondo	MONDO:0019402	skos:exactMatch	ICD10CM:D56.1	mondo.db
Beta_Thalassemia	ordo	ORDO:848	skos:exactMatch	ICD-10:D56.1	ordo.db
Bethlem_Myopathy	ordo	ORDO:610	skos:broadMatch	ICD-10:G71.0	ordo.db
Bietti_Crystalline_Dystrophy	ordo	ORDO:41751	skos:broadMatch	ICD-10:H35.5	ordo.db
Bilateral_Microtia-Deafness-Cleft_Palate_Syndrome	ordo	ORDO:140963	skos:broadMatch	ICD-10:Q87.0	ordo.db
Bilateral_Striopallidodentate_Calcinosis	ordo	ORDO:1980	skos:broadMatch	ICD-10:G23.8	ordo.db
Biotin_Thiamine_Responsive_Basal_Ganglia_Disease	ordo	ORDO:199348	skos:broadMatch	ICD-10:E51.2	ordo.db
Biotin_Thiamine_Responsive_Basal_Ganglia_Disease	ordo	ORDO:65284	skos:broadMatch	ICD-10:G93.8	ordo.db
Biotinidase_Deficiency	mondo	MONDO:0009665	oio:hasDbXref	ICD10CM:D81.810	mondo.db
Biotinidase_Deficiency	mondo	MONDO:0009665	skos:exactMatch	ICD10CM:D81.810	mondo.db
Biotinidase_Deficiency	ordo	ORDO:79241	skos:broadMatch	ICD-10:E53.8	ordo.db
Bjornstad_Syndrome	ordo	ORDO:123	skos:broadMatch	ICD-10:E88.8	ordo.db
Blau_Syndrome	ordo	ORDO:90340	skos:broadMatch	ICD-10:D89.8	ordo.db
Blepharophimosis-Impaired_Intellectual_Development_Syndrome	ordo	ORDO:637013	skos:broadMatch	ICD-10:Q87.0	ordo.db
Blepharophimosis_Intellectual_Disability_Syndrome_MKB_Type	ordo	ORDO:293707	skos:broadMatch	ICD-10:Q87.8	ordo.db
Blepharophimosis_Ptosis_and_Epicanthus_Inversus_Syndrome	ordo	ORDO:126	skos:broadMatch	ICD-10:Q10.3	ordo.db
Bloom_Syndrome	mondo	MONDO:0008876	oio:hasDbXref	ICD10CM:Q82.2	mondo.db
Bloom_Syndrome	mondo	MONDO:0008876	skos:closeMatch	ICD10CM:Q82.2	mondo.db
Bloom_Syndrome	ordo	ORDO:125	skos:broadMatch	ICD-10:Q82.8	ordo.db
