dismech_disorder	parent_mondo	parent_label	uncovered_child_mondo	child_label
46_XY_complete_gonadal_dysgenesis	MONDO:0010765	46,XY complete gonadal dysgenesis	MONDO:0014480	46,XY sex reversal 9
46_XY_complete_gonadal_dysgenesis	MONDO:0010765	46,XY complete gonadal dysgenesis	MONDO:0014634	46,XY sex reversal 10
46_XY_complete_gonadal_dysgenesis	MONDO:0010765	46,XY complete gonadal dysgenesis	MONDO:0020712	46,XY sex reversal 1
46_XY_complete_gonadal_dysgenesis	MONDO:0010765	46,XY complete gonadal dysgenesis	MONDO:8000015	46,XY sex reversal 11
ALDH18A1_De_Barsy_Spectrum	MONDO:0100126	P5CS deficiency	MONDO:0009053	ALDH18A1-related de Barsy syndrome
ALDH18A1_De_Barsy_Spectrum	MONDO:0100126	P5CS deficiency	MONDO:0014702	autosomal recessive complex spastic paraplegia type 9B
ALDH18A1_De_Barsy_Spectrum	MONDO:0100126	P5CS deficiency	MONDO:0015091	autosomal dominant spastic paraplegia type 9
ALG9-congenital_disorder_of_glycosylation	MONDO:0012117	ALG9-congenital disorder of glycosylation	MONDO:0009890	Gillessen-Kaesbach-Nishimura syndrome
ALK_Rearranged_NSCLC	MONDO:0005233	non-small cell lung carcinoma	MONDO:0003050	lung large cell carcinoma
ALK_Rearranged_NSCLC	MONDO:0005233	non-small cell lung carcinoma	MONDO:0056806	non-small cell squamous lung carcinoma
ANK2_Related_Complex_Neurodevelopmental_Disorder	MONDO:0100038	complex neurodevelopmental disorder	MONDO:0000594	pervasive developmental disorder
ANK2_Related_Complex_Neurodevelopmental_Disorder	MONDO:0100038	complex neurodevelopmental disorder	MONDO:0030060	neurodevelopmental disorder with language impairment and behavioral abnormalities
ANK2_Related_Complex_Neurodevelopmental_Disorder	MONDO:0100038	complex neurodevelopmental disorder	MONDO:0060622	neurodevelopmental disorder with severe motor impairment and absent language
ANK2_Related_Complex_Neurodevelopmental_Disorder	MONDO:0100038	complex neurodevelopmental disorder	MONDO:0100148	X-linked complex neurodevelopmental disorder
ANK2_Related_Complex_Neurodevelopmental_Disorder	MONDO:0100038	complex neurodevelopmental disorder	MONDO:0100456	neonatal encephalopathy with non-epileptic myoclonus
ANK2_Related_Complex_Neurodevelopmental_Disorder	MONDO:0100038	complex neurodevelopmental disorder	MONDO:0100465	complex neurodevelopmental disorder with or without congenital anomalies
ANK2_Related_Complex_Neurodevelopmental_Disorder	MONDO:0100038	complex neurodevelopmental disorder	MONDO:0100516	complex neurodevelopmental disorder with motor features
ANK2_Related_Complex_Neurodevelopmental_Disorder	MONDO:0100038	complex neurodevelopmental disorder	MONDO:0100551	AFG2B-related complex neurodevelopmental disorder with motor features and hearing loss
ANK2_Related_Complex_Neurodevelopmental_Disorder	MONDO:0100038	complex neurodevelopmental disorder	MONDO:0100620	developmental and epileptic encephalopathy
ANK2_Related_Complex_Neurodevelopmental_Disorder	MONDO:0100038	complex neurodevelopmental disorder	MONDO:0800439	syndromic complex neurodevelopmental disorder
ANK2_Related_Complex_Neurodevelopmental_Disorder	MONDO:0100038	complex neurodevelopmental disorder	MONDO:0800443	DEAF1-associated neurodevelopmental disorder
ANK2_Related_Complex_Neurodevelopmental_Disorder	MONDO:0100038	complex neurodevelopmental disorder	MONDO:0800475	NACC1-related neurodevelopmental disorder with epilepsy, cataracts and episodic irritability
ANK2_Related_Complex_Neurodevelopmental_Disorder	MONDO:0100038	complex neurodevelopmental disorder	MONDO:1060138	GRIN-related complex neurodevelopmental disorder
ATTR_Amyloidosis	MONDO:0007100	familial amyloid neuropathy	MONDO:0971004	amyloidosis, hereditary systemic 1
ATTR_Amyloidosis	MONDO:0007100	familial amyloid neuropathy	MONDO:0971008	amyloidosis, hereditary systemic 3
ATTR_Amyloidosis	MONDO:0007100	familial amyloid neuropathy	MONDO:0971009	amyloidosis, hereditary systemic 5
ATTR_Amyloidosis	MONDO:0007100	familial amyloid neuropathy	MONDO:0971010	amyloidosis, hereditary systemic 6
Abdominal_Aortic_Aneurysm	MONDO:0005350	abdominal aortic aneurysm	MONDO:0007031	familial abdominal aortic aneurysm
Achromatopsia	MONDO:0018852	achromatopsia	MONDO:0009003	achromatopsia 2
Achromatopsia	MONDO:0018852	achromatopsia	MONDO:0009875	achromatopsia 3
Achromatopsia	MONDO:0018852	achromatopsia	MONDO:0010563	blue cone monochromacy
Achromatopsia	MONDO:0018852	achromatopsia	MONDO:0012398	achromatopsia 6
Achromatopsia	MONDO:0018852	achromatopsia	MONDO:0013465	achromatopsia 4
Achromatopsia	MONDO:0018852	achromatopsia	MONDO:0014677	achromatopsia 7
Acne_Vulgaris	MONDO:0011438	acne	MONDO:0100486	adult acne
Acquired_Angioedema	MONDO:0019624	acquired angioedema	MONDO:0015055	acquired angioedema type 2
Acquired_Angioedema	MONDO:0019624	acquired angioedema	MONDO:0015056	acquired angioedema type 1
Acquired_Angioedema	MONDO:0019624	acquired angioedema	MONDO:0015057	renin-angiotensin-aldosterone system-blocker-induced angioedema
Acquired_Angioedema	MONDO:0019624	acquired angioedema	MONDO:0033948	acquired angioedema with C1Inh deficiency
Acquired_Angioedema	MONDO:0019624	acquired angioedema	MONDO:0034556	vibratory angioedema
Acute_Disseminated_Encephalomyelitis	MONDO:0019383	acute disseminated encephalomyelitis	MONDO:0011716	acute hemorrhagic leukoencephalitis
Acute_Disseminated_Encephalomyelitis	MONDO:0019383	acute disseminated encephalomyelitis	MONDO:0035669	acute disseminated encephalomyelitis with anti-MOG antibodies
Acute_Disseminated_Encephalomyelitis	MONDO:0019383	acute disseminated encephalomyelitis	MONDO:0035670	acute disseminated encephalomyelitis without anti-MOG antibodies
Acute_Lymphoblastic_Leukemia	MONDO:0004967	acute lymphoblastic leukemia	MONDO:0000870	childhood acute lymphoblastic leukemia
Acute_Lymphoblastic_Leukemia	MONDO:0004967	acute lymphoblastic leukemia	MONDO:0001023	prolymphocytic leukemia
Acute_Lymphoblastic_Leukemia	MONDO:0004967	acute lymphoblastic leukemia	MONDO:0003541	adult acute lymphoblastic leukemia
Acute_Lymphoblastic_Leukemia	MONDO:0004967	acute lymphoblastic leukemia	MONDO:0004932	null-cell leukemia
Acute_Lymphoblastic_Leukemia	MONDO:0004967	acute lymphoblastic leukemia	MONDO:0004947	B-cell acute lymphoblastic leukemia
Acute_Lymphoblastic_Leukemia	MONDO:0004967	acute lymphoblastic leukemia	MONDO:0004963	T-cell acute lymphoblastic leukemia
Acute_Lymphoblastic_Leukemia	MONDO:0004967	acute lymphoblastic leukemia	MONDO:0009539	lymphoblastic leukemia, acute, with lymphomatous features
Acute_Lymphoblastic_Leukemia	MONDO:0004967	acute lymphoblastic leukemia	MONDO:0020322	acute biphenotypic leukemia
Acute_Lymphoblastic_Leukemia	MONDO:0004967	acute lymphoblastic leukemia	MONDO:0020511	precursor B-cell acute lymphoblastic leukemia
Acute_Lymphoblastic_Leukemia	MONDO:0004967	acute lymphoblastic leukemia	MONDO:0020512	precursor T-cell acute lymphoblastic leukemia
Acute_Megakaryoblastic_Leukemia	MONDO:0018872	acute megakaryoblastic leukemia	MONDO:0850267	childhood acute megakaryoblastic leukemia
Acute_Megakaryoblastic_Leukemia	MONDO:0018872	acute megakaryoblastic leukemia	MONDO:0850271	myeloid leukemia associated with down syndrome
Addisons_Disease	MONDO:0015128	primary adrenal insufficiency	MONDO:0019801	acute adrenal insufficiency
Adult-Onset_Autosomal_Dominant_Demyelinating_Leukodystrophy	MONDO:0008215	adult-onset autosomal dominant demyelinating leukodystrophy	MONDO:0700286	leukodystrophy, demyelinating, adult-onset, autosomal dominant, atypical
Adult-Onset_Autosomal_Dominant_Demyelinating_Leukodystrophy	MONDO:0008215	adult-onset autosomal dominant demyelinating leukodystrophy	MONDO:0700295	leukodystrophy, demyelinating, adult-onset, autosomal dominant, typical
Adult_Neuronal_Ceroid_Lipofuscinosis	MONDO:0019260	adult neuronal ceroid lipofuscinosis	MONDO:0008083	ceroid lipofuscinosis, neuronal, 4 (Kufs type)
Adult_Neuronal_Ceroid_Lipofuscinosis	MONDO:0019260	adult neuronal ceroid lipofuscinosis	MONDO:0013866	neuronal ceroid lipofuscinosis 11
Adult_Neuronal_Ceroid_Lipofuscinosis	MONDO:0019260	adult neuronal ceroid lipofuscinosis	MONDO:0014147	neuronal ceroid lipofuscinosis 13
Adult_Neuronal_Ceroid_Lipofuscinosis	MONDO:0019260	adult neuronal ceroid lipofuscinosis	MONDO:0979342	adult neuronal ceroid lipofuscinosis 1
Adult_Neuronal_Ceroid_Lipofuscinosis	MONDO:0019260	adult neuronal ceroid lipofuscinosis	MONDO:0979350	adult neuronal ceroid lipofuscinosis 5
Adult_Onset_Foveomacular_Vitelliform_Dystrophy	MONDO:0011979	adult-onset foveomacular vitelliform dystrophy	MONDO:0007933	vitelliform macular dystrophy 1
Aflatoxin_Related_HCC	MONDO:0007256	hepatocellular carcinoma	MONDO:0003243	hepatocellular clear cell carcinoma
Aflatoxin_Related_HCC	MONDO:0007256	hepatocellular carcinoma	MONDO:0003245	aflatoxin-related hepatocellular carcinoma
Aflatoxin_Related_HCC	MONDO:0007256	hepatocellular carcinoma	MONDO:0003246	sclerosing hepatic carcinoma
Aflatoxin_Related_HCC	MONDO:0007256	hepatocellular carcinoma	MONDO:0006210	fibrolamellar hepatocellular carcinoma
Aflatoxin_Related_HCC	MONDO:0007256	hepatocellular carcinoma	MONDO:0006268	liver diffuse large B-cell lymphoma
Aflatoxin_Related_HCC	MONDO:0007256	hepatocellular carcinoma	MONDO:0016216	adult hepatocellular carcinoma
Aflatoxin_Related_HCC	MONDO:0007256	hepatocellular carcinoma	MONDO:0018055	pediatric hepatocellular carcinoma
Age_Related_Macular_Degeneration	MONDO:0005150	age-related macular degeneration	MONDO:0005417	wet macular degeneration
Age_Related_Macular_Degeneration	MONDO:0005150	age-related macular degeneration	MONDO:0007932	age related macular degeneration 2
Age_Related_Macular_Degeneration	MONDO:0005150	age-related macular degeneration	MONDO:0011285	age related macular degeneration 1
Age_Related_Macular_Degeneration	MONDO:0005150	age-related macular degeneration	MONDO:0012145	macular degeneration, age-related, 3
Age_Related_Macular_Degeneration	MONDO:0005150	age-related macular degeneration	MONDO:0012419	age related macular degeneration 7
Age_Related_Macular_Degeneration	MONDO:0005150	age-related macular degeneration	MONDO:0012540	age related macular degeneration 4
Age_Related_Macular_Degeneration	MONDO:0005150	age-related macular degeneration	MONDO:0012659	age related macular degeneration 9
Age_Related_Macular_Degeneration	MONDO:0005150	age-related macular degeneration	MONDO:0012674	age related macular degeneration 10
Age_Related_Macular_Degeneration	MONDO:0005150	age-related macular degeneration	MONDO:0012767	age related macular degeneration 11
Age_Related_Macular_Degeneration	MONDO:0005150	age-related macular degeneration	MONDO:0013406	age related macular degeneration 6
Age_Related_Macular_Degeneration	MONDO:0005150	age-related macular degeneration	MONDO:0013416	age related macular degeneration 8
Age_Related_Macular_Degeneration	MONDO:0005150	age-related macular degeneration	MONDO:0013420	age related macular degeneration 12
Age_Related_Macular_Degeneration	MONDO:0005150	age-related macular degeneration	MONDO:0014207	age related macular degeneration 14
Age_Related_Macular_Degeneration	MONDO:0005150	age-related macular degeneration	MONDO:0014515	macular dystrophy with central cone involvement
Age_Related_Macular_Degeneration	MONDO:0005150	age-related macular degeneration	MONDO:0100114	dry age related macular degeneration
Aicardi_Goutieres_Syndrome	MONDO:0018866	Aicardi-Goutieres syndrome	MONDO:0007247	basal ganglia calcification, idiopathic, childhood-onset
Alagille_syndrome	MONDO:0007318	Alagille syndrome	MONDO:0012439	Alagille syndrome due to a NOTCH2 point mutation
Alagille_syndrome	MONDO:0007318	Alagille syndrome	MONDO:0016861	Alagille syndrome due to 20p12 microdeletion
Alagille_syndrome	MONDO:0007318	Alagille syndrome	MONDO:0016862	Alagille syndrome due to a JAG1 point mutation
Alcoholic_Liver_Disease	MONDO:0043693	alcoholic liver disease	MONDO:0001505	alcoholic hepatitis
Alcoholic_Liver_Disease	MONDO:0043693	alcoholic liver disease	MONDO:0006644	alcoholic liver cirrhosis
Alcoholic_Liver_Disease	MONDO:0043693	alcoholic liver disease	MONDO:0021104	alcoholic fatty liver disease
Alexander_Disease	MONDO:0008752	Alexander disease	MONDO:0018209	Alexander disease type I
Alexander_Disease	MONDO:0008752	Alexander disease	MONDO:0018210	Alexander disease type II
Alopecia_Areata	MONDO:0005340	alopecia areata	MONDO:0000687	diffuse alopecia areata
Alopecia_Areata	MONDO:0005340	alopecia areata	MONDO:0007082	alopecia areata 1
Alpha_Mannosidosis	MONDO:0009561	alpha-mannosidosis	MONDO:0022424	alpha-mannosidosis type 1
Alpha_Thalassemia	MONDO:0011399	alpha thalassemia spectrum	MONDO:0100563	digenic alpha thalassemia spectrum
Alpha_Thalassemia	MONDO:0011399	alpha thalassemia spectrum	MONDO:0100565	monogenic alpha thalassemia spectrum
Alport_Syndrome	MONDO:0018965	Alport syndrome	MONDO:0007086	autosomal dominant Alport syndrome
Alport_Syndrome	MONDO:0018965	Alport syndrome	MONDO:0008762	autosomal recessive Alport syndrome
Alport_Syndrome	MONDO:0018965	Alport syndrome	MONDO:0010520	X-linked Alport syndrome
Alport_Syndrome	MONDO:0018965	Alport syndrome	MONDO:0957811	Alport syndrome 3b, autosomal recessive
Alport_Syndrome	MONDO:0018965	Alport syndrome	MONDO:0958104	digenic Alport syndrome
Alternating_Hemiplegia_of_Childhood	MONDO:0016241	alternating hemiplegia of childhood	MONDO:0007087	alternating hemiplegia of childhood 1
Alternating_Hemiplegia_of_Childhood	MONDO:0016241	alternating hemiplegia of childhood	MONDO:0010264	X-linked adrenal hypoplasia congenita
Alternating_Hemiplegia_of_Childhood	MONDO:0016241	alternating hemiplegia of childhood	MONDO:0013900	alternating hemiplegia of childhood 2
Alveolar_Soft_Part_Sarcoma	MONDO:0011655	alveolar soft part sarcoma	MONDO:0003003	cervical alveolar soft part sarcoma
Alveolar_Soft_Part_Sarcoma	MONDO:0011655	alveolar soft part sarcoma	MONDO:0003391	vulvar alveolar soft part sarcoma
Alzheimer_Disease	MONDO:0004975	Alzheimer disease	MONDO:0010422	Alzheimer disease 16
Alzheimer_Disease	MONDO:0004975	Alzheimer disease	MONDO:0014036	Alzheimer disease 17
Alzheimer_Disease	MONDO:0004975	Alzheimer disease	MONDO:0014265	Alzheimer disease 18
Alzheimer_Disease	MONDO:0004975	Alzheimer disease	MONDO:0014316	Alzheimer disease 19
Alzheimer_Disease	MONDO:0004975	Alzheimer disease	MONDO:0100087	familial Alzheimer disease
Ameloblastoma	MONDO:0017795	ameloblastoma	MONDO:0000513	bone ameloblastoma
Ameloblastoma	MONDO:0017795	ameloblastoma	MONDO:0006179	desmoplastic ameloblastoma
Ameloblastoma	MONDO:0017795	ameloblastoma	MONDO:0006381	plexiform ameloblastoma
Ameloblastoma	MONDO:0017795	ameloblastoma	MONDO:0975925	adenoid ameloblastoma
Amelogenesis_Imperfecta	MONDO:0019507	amelogenesis imperfecta	MONDO:0007093	hypomaturation-hypoplastic amelogenesis imperfecta with taurodontism
Amelogenesis_Imperfecta	MONDO:0019507	amelogenesis imperfecta	MONDO:0008771	amelogenesis imperfecta type 1G
Amelogenesis_Imperfecta	MONDO:0019507	amelogenesis imperfecta	MONDO:0010522	X-linked amelogenesis imperfecta hypoplastic/hypomaturation 2
Amelogenesis_Imperfecta	MONDO:0019507	amelogenesis imperfecta	MONDO:0015047	amelogenesis imperfecta type 1
Amelogenesis_Imperfecta	MONDO:0019507	amelogenesis imperfecta	MONDO:0015048	amelogenesis imperfecta type 2
Amelogenesis_Imperfecta	MONDO:0019507	amelogenesis imperfecta	MONDO:0031084	amelogenesis imperfecta, IIa 1K
Amelogenesis_Imperfecta	MONDO:0019507	amelogenesis imperfecta	MONDO:0968955	hypocalcified amelogenesis imperfecta
Amniotic_Band_Syndrome	MONDO:0015167	amniotic band syndrome	MONDO:0019760	terminal transverse defects of arm
Amyloidosis	MONDO:0019065	amyloidosis	MONDO:0015301	primary cutaneous amyloidosis
Amyloidosis	MONDO:0019065	amyloidosis	MONDO:0018018	wild type ATTR amyloidosis
Amyloidosis	MONDO:0019065	amyloidosis	MONDO:0018588	ALECT2 amyloidosis
Amyloidosis	MONDO:0019065	amyloidosis	MONDO:0018589	AApoAIV amyloidosis
Amyloidosis	MONDO:0019065	amyloidosis	MONDO:0018590	ABeta2M amyloidosis
Amyloidosis	MONDO:0019065	amyloidosis	MONDO:0018613	AH amyloidosis
Amyloidosis	MONDO:0019065	amyloidosis	MONDO:0018634	hereditary amyloidosis
Amyloidosis	MONDO:0019065	amyloidosis	MONDO:0019438	AL amyloidosis
Amyloidosis	MONDO:0019065	amyloidosis	MONDO:0019439	AA amyloidosis
Amyloidosis	MONDO:0019065	amyloidosis	MONDO:0022444	amyloidosis bronchopulmonary
Amyloidosis	MONDO:0019065	amyloidosis	MONDO:0024892	soft tissue amyloid neoplasm
Amyloidosis	MONDO:0019065	amyloidosis	MONDO:0850368	immunoglobulin heavy-and-light chain
Amyotrophic_Lateral_Sclerosis	MONDO:0004976	amyotrophic lateral sclerosis	MONDO:0005144	familial amyotrophic lateral sclerosis
Amyotrophic_Lateral_Sclerosis	MONDO:0004976	amyotrophic lateral sclerosis	MONDO:0005145	sporadic amyotrophic lateral sclerosis
Amyotrophic_Lateral_Sclerosis	MONDO:0004976	amyotrophic lateral sclerosis	MONDO:0008782	amyotrophic lateral sclerosis with polyglucosan bodies
Anal_Canal_Adenocarcinoma	MONDO:0002735	anal canal adenocarcinoma	MONDO:0004468	anal canal Paget disease
Anal_Canal_Carcinoma	MONDO:0007108	anal canal carcinoma	MONDO:0003504	anal canal neuroendocrine neoplasm
Anal_Canal_Carcinoma	MONDO:0007108	anal canal carcinoma	MONDO:0004129	cloacogenic carcinoma
Anal_Canal_Carcinoma	MONDO:0007108	anal canal carcinoma	MONDO:0004132	anal canal squamous cell carcinoma
Anal_Canal_Carcinoma	MONDO:0007108	anal canal carcinoma	MONDO:0004707	anal canal carcinoma in situ
Anaplastic_Large_Cell_Lymphoma	MONDO:0020325	anaplastic large cell lymphoma	MONDO:0006128	central nervous system anaplastic large cell lymphoma
Anaplastic_Large_Cell_Lymphoma	MONDO:0020325	anaplastic large cell lymphoma	MONDO:0021879	small cell variant anaplastic large cell lymphoma
Angelman_Syndrome	MONDO:0007113	Angelman syndrome	MONDO:0018461	Angelman syndrome due to a point mutation
Angelman_Syndrome	MONDO:0007113	Angelman syndrome	MONDO:0018462	Angelman syndrome due to imprinting defect in 15q11-q13
Angelman_Syndrome	MONDO:0007113	Angelman syndrome	MONDO:0020302	Angelman syndrome due to maternal 15q11q13 deletion
Angelman_Syndrome	MONDO:0007113	Angelman syndrome	MONDO:0020303	Angelman syndrome due to paternal uniparental disomy of chromosome 15
Angiosarcoma	MONDO:0016982	angiosarcoma	MONDO:0002376	spleen angiosarcoma
Angiosarcoma	MONDO:0016982	angiosarcoma	MONDO:0002387	liver angiosarcoma
Angiosarcoma	MONDO:0016982	angiosarcoma	MONDO:0002617	bone angiosarcoma
Angiosarcoma	MONDO:0016982	angiosarcoma	MONDO:0003021	central nervous system angiosarcoma
Angiosarcoma	MONDO:0016982	angiosarcoma	MONDO:0003022	pediatric angiosarcoma
Angiosarcoma	MONDO:0016982	angiosarcoma	MONDO:0003023	aorta angiosarcoma
Angiosarcoma	MONDO:0016982	angiosarcoma	MONDO:0003024	breast angiosarcoma
Angiosarcoma	MONDO:0016982	angiosarcoma	MONDO:0003025	conventional angiosarcoma
Angiosarcoma	MONDO:0016982	angiosarcoma	MONDO:0003026	gallbladder angiosarcoma
Angiosarcoma	MONDO:0016982	angiosarcoma	MONDO:0003027	thyroid gland angiosarcoma
Angiosarcoma	MONDO:0016982	angiosarcoma	MONDO:0003029	skin angiosarcoma
Angiosarcoma	MONDO:0016982	angiosarcoma	MONDO:0003032	superior vena cava angiosarcoma
Angiosarcoma	MONDO:0016982	angiosarcoma	MONDO:0003033	prostate angiosarcoma
Angiosarcoma	MONDO:0016982	angiosarcoma	MONDO:0003034	mediastinum angiosarcoma
Angiosarcoma	MONDO:0016982	angiosarcoma	MONDO:0003035	ovarian angiosarcoma
Angiosarcoma	MONDO:0016982	angiosarcoma	MONDO:0004206	pulmonary vein leiomyosarcoma
Angiosarcoma	MONDO:0016982	angiosarcoma	MONDO:0004207	pulmonary artery leiomyosarcoma
Angiosarcoma	MONDO:0016982	angiosarcoma	MONDO:0022454	angiosarcoma of the scalp
Ankylosing_Spondylitis	MONDO:0005306	ankylosing spondylitis	MONDO:0020655	juvenile ankylosing spondylitis
Ankylosing_Spondylitis	MONDO:0005306	ankylosing spondylitis	MONDO:0043377	juvenile spondyloarthropathy
Anorexia_Nervosa	MONDO:0005351	anorexia nervosa	MONDO:0033926	prepubertal anorexia nervosa
Antiphospholipid_Syndrome	MONDO:8000010	antiphospholipid syndrome	MONDO:8000014	familial antiphospholipid syndrome
Apert_Syndrome	MONDO:0007041	Apert syndrome	MONDO:0023699	Maroteaux Fonfria syndrome
Appendiceal_Neuroendocrine_Tumor	MONDO:0015066	neuroendocrine tumor of the appendix, well differentiated, low or intermediate grade	MONDO:0006091	appendix neuroendocrine tumor G1
Appendiceal_Neuroendocrine_Tumor	MONDO:0015066	neuroendocrine tumor of the appendix, well differentiated, low or intermediate grade	MONDO:0018016	classic neuroendocrine tumor of appendix
Appendiceal_Neuroendocrine_Tumor	MONDO:0015066	neuroendocrine tumor of the appendix, well differentiated, low or intermediate grade	MONDO:0018017	goblet cell carcinoma
Appendiceal_Neuroendocrine_Tumor	MONDO:0015066	neuroendocrine tumor of the appendix, well differentiated, low or intermediate grade	MONDO:0021101	appendix L-cell glucagon-like peptide-producing neuroendocrine tumor
Arrhythmogenic_Right_Ventricular_Cardiomyopathy	MONDO:0016587	arrhythmogenic right ventricular cardiomyopathy	MONDO:0011017	Naxos disease
Arrhythmogenic_Right_Ventricular_Cardiomyopathy	MONDO:0016587	arrhythmogenic right ventricular cardiomyopathy	MONDO:0016342	familial isolated arrhythmogenic right ventricular dysplasia
Arsenic_Related_Cancers	MONDO:0005096	squamous cell carcinoma	MONDO:0000514	bone squamous cell carcinoma
Arsenic_Related_Cancers	MONDO:0005096	squamous cell carcinoma	MONDO:0000993	prostate squamous cell carcinoma
Arsenic_Related_Cancers	MONDO:0005096	squamous cell carcinoma	MONDO:0001419	trachea squamous cell carcinoma
Arsenic_Related_Cancers	MONDO:0005096	squamous cell carcinoma	MONDO:0001651	scrotum squamous cell carcinoma
Arsenic_Related_Cancers	MONDO:0005096	squamous cell carcinoma	MONDO:0002760	bladder squamous cell carcinoma
Arsenic_Related_Cancers	MONDO:0005096	squamous cell carcinoma	MONDO:0002764	urethra squamous cell carcinoma
Arsenic_Related_Cancers	MONDO:0005096	squamous cell carcinoma	MONDO:0002979	papillary squamous carcinoma
Arsenic_Related_Cancers	MONDO:0005096	squamous cell carcinoma	MONDO:0003486	basaloid squamous cell carcinoma
Arsenic_Related_Cancers	MONDO:0005096	squamous cell carcinoma	MONDO:0003487	pseudoglandular squamous cell carcinoma
Arsenic_Related_Cancers	MONDO:0005096	squamous cell carcinoma	MONDO:0003493	thymus squamous cell carcinoma
Arsenic_Related_Cancers	MONDO:0005096	squamous cell carcinoma	MONDO:0003494	ovarian squamous cell carcinoma
Arsenic_Related_Cancers	MONDO:0005096	squamous cell carcinoma	MONDO:0003497	renal pelvis squamous cell carcinoma
Arsenic_Related_Cancers	MONDO:0005096	squamous cell carcinoma	MONDO:0003502	ureter squamous cell carcinoma
Arsenic_Related_Cancers	MONDO:0005096	squamous cell carcinoma	MONDO:0003503	fallopian tube squamous cell carcinoma
Arsenic_Related_Cancers	MONDO:0005096	squamous cell carcinoma	MONDO:0004693	squamous carcinoma in situ
Arsenic_Related_Cancers	MONDO:0005096	squamous cell carcinoma	MONDO:0005056	keratinizing squamous cell carcinoma
Arsenic_Related_Cancers	MONDO:0005096	squamous cell carcinoma	MONDO:0005097	squamous cell lung carcinoma
Arsenic_Related_Cancers	MONDO:0005096	squamous cell carcinoma	MONDO:0006056	squamous cell breast carcinoma
Arsenic_Related_Cancers	MONDO:0005096	squamous cell carcinoma	MONDO:0006074	adenosquamous carcinoma
Arsenic_Related_Cancers	MONDO:0005096	squamous cell carcinoma	MONDO:0006165	colorectal squamous cell carcinoma
Arsenic_Related_Cancers	MONDO:0005096	squamous cell carcinoma	MONDO:0006198	endometrial squamous cell carcinoma
Arsenic_Related_Cancers	MONDO:0005096	squamous cell carcinoma	MONDO:0006220	gallbladder squamous cell carcinoma
Arsenic_Related_Cancers	MONDO:0005096	squamous cell carcinoma	MONDO:0006230	gastric squamous cell carcinoma
Arsenic_Related_Cancers	MONDO:0005096	squamous cell carcinoma	MONDO:0006467	thyroid gland squamous cell carcinoma
Arsenic_Related_Cancers	MONDO:0005096	squamous cell carcinoma	MONDO:0006490	vaginal squamous cell carcinoma
Arsenic_Related_Cancers	MONDO:0005096	squamous cell carcinoma	MONDO:0016266	squamous cell carcinoma of the corpus uteri
Arsenic_Related_Cancers	MONDO:0005096	squamous cell carcinoma	MONDO:0018509	squamous cell carcinoma of the small intestine
Arsenic_Related_Cancers	MONDO:0005096	squamous cell carcinoma	MONDO:0018521	squamous cell carcinoma of pancreas
Arsenic_Related_Cancers	MONDO:0005096	squamous cell carcinoma	MONDO:0018534	squamous cell carcinoma of liver and intrahepatic biliary tract
Arsenic_Related_Cancers	MONDO:0005096	squamous cell carcinoma	MONDO:0020657	human papillomavirus-related squamous cell carcinoma
