disorder	mondo_id	n_dismech	n_kg	n_overlap	kg_only	dismech_only
ANK2_Related_Complex_Neurodevelopmental_Disorder	MONDO:0100038	1	250	0	HGNC:10057(RNF13);HGNC:10061(RNF2);HGNC:10152(RNU2-2);HGNC:10258(RORA);HGNC:10585(SCN1A);HGNC:10586(SCN1B);HGNC:10588(SCN2A);HGNC:10590(SCN3A);HGNC:10596(SCN8A);HGNC:10857(SIAH1);HGNC:10866(ST3GAL3);HGNC:10940(SLC1A2);HGNC:10982(SLC25A12);HGNC:11018(SLC32A1);HGNC:11111(SMC1A);HGNC:11142(SIK1);HGNC:11164(SNRPN);HGNC:11273(SPTAN1);HGNC:11275(SPTBN1);HGNC:11411(CDKL5);HGNC:11444(STXBP1);HGNC:11503(SYNJ1);HGNC:11537(TAF4);HGNC:11590(TBR1);HGNC:11631(TCF20);HGNC:11641(TCF7L2);HGNC:11805(TIAM1);HGNC:11968(CNPY3);HGNC:12306(TRIP12);HGNC:12412(TUBB2A);HGNC:12525(UGDH);HGNC:12527(UGP2);HGNC:12729(WARS1);HGNC:12732(WASF1);HGNC:12799(WWOX);HGNC:12852(YWHAG);HGNC:12927(ZNF142);HGNC:12989(ZMYM2);HGNC:13429(RLIM);HGNC:13540(ATP9A);HGNC:13590(FBXO11);HGNC:13607(FBXW11);HGNC:1362(FRRS1L);HGNC:13760(CYFIP2);HGNC:13818(SLC12A5);HGNC:1388(CACNA1A);HGNC:1390(CACNA1C);HGNC:1392(CACNA1E);HGNC:1399(CACNA2D1);HGNC:14135(PIGQ);HGNC:1424(CAD);HGNC:14270(PCDH19);HGNC:14288(NTNG2);HGNC:14406(PTPN23);HGNC:14561(ARHGEF9);HGNC:14677(DEAF1);HGNC:1497(CASK);HGNC:15573(SETBP1);HGNC:15579(TRIM8);HGNC:15736(HID1);HGNC:15751(NAPB);HGNC:15840(KMT2B);HGNC:15917(PLCB1);HGNC:160(ACTL6B);HGNC:16050(MED12L);HGNC:16493(ZMIZ1);HGNC:16712(FBXW7);HGNC:16716(DHX30);HGNC:16816(CHD5);HGNC:16850(CTR9);HGNC:16918(SYNCRIP);HGNC:16974(SRCAP);HGNC:17028(SNF8);HGNC:17340(PRPF8);HGNC:17342(BRWD3);HGNC:17735(TMEM63B);HGNC:1779(CDK8);HGNC:17933(KAT8);HGNC:18044(SLC38A3);HGNC:18060(ARX);HGNC:18410(ZNF292);HGNC:18423(DEPDC5);HGNC:18541(KMT2E);HGNC:18669(PALS1);HGNC:18756(RHOBTB2);HGNC:18786(FAM50A);HGNC:18865(KCNT1);HGNC:18866(KCNT2);HGNC:19036(MAST3);HGNC:1917(CHD2);HGNC:19190(DOCK7);HGNC:19304(SCAF4);HGNC:19338(CDK19);HGNC:19344(DENND5A);HGNC:19347(CUX2);HGNC:19943(TRAPPC4);HGNC:19954(SLC25A22);HGNC:20(AARS1);HGNC:201(ADAM22);HGNC:2021(CLCN3);HGNC:20344(UBR7);HGNC:20566(SV2A);HGNC:20637(DPYSL5);HGNC:20751(WDFY3);HGNC:20898(PGM2L1);HGNC:20973(ADGRL1);HGNC:20990(PHACTR1);HGNC:21701(BRAT1);HGNC:2205(CERT1);HGNC:22474(MED13);HGNC:23089(SLC13A5);HGNC:2309(CPLX1);HGNC:23230(UBA5);HGNC:2326(CPSF3);HGNC:23319(NTNG1);HGNC:23386(MYCBP2);HGNC:23575(ANKRD17);HGNC:2377(MED27);HGNC:23794(PACS2);HGNC:24124(ACTL6A);HGNC:245(ADD3);HGNC:24539(NECAP1);HGNC:2457(CSNK2A1);HGNC:24750(ZNF699);HGNC:24824(FZR1);HGNC:25287(LMBRD2);HGNC:25363(TMEM222);HGNC:25402(OTUD5);HGNC:2550(CELF2);HGNC:2553(CUL3);HGNC:25536(DALRD3);HGNC:25544(MSL2);HGNC:25566(SETD5);HGNC:25640(UFSP2);HGNC:25657(BCORL1);HGNC:25799(GUF1);HGNC:25980(TRMT1);HGNC:26033(PUS7);HGNC:2747(DDX6);HGNC:27609(EMC10);HGNC:28242(HPDL);HGNC:28295(CCDC32);HGNC:28662(DOHH);HGNC:28957(EMC1);HGNC:29010(SETD1A);HGNC:2903(DLG4);HGNC:29040(SZT2);HGNC:29046(FBXO28);HGNC:29136(KDM4B);HGNC:29190(TNRC6B);HGNC:29203(TBC1D24);HGNC:29204(SVBP);HGNC:2938(DMXL2);HGNC:29415(ZNF526);HGNC:29561(ARV1);HGNC:2972(DNM1);HGNC:2989(DOCK3);HGNC:29947(TRAK1);HGNC:30212(TANC2);HGNC:3046(PIGP);HGNC:30563(PARS2);HGNC:30782(NAA15);HGNC:30881(ALG13);HGNC:30892(HUWE1);HGNC:3192(EEF1A2);HGNC:3262(AGO1);HGNC:3263(AGO2);HGNC:3284(EIF4A2);HGNC:3300(EIF5A);HGNC:3668(FGF12);HGNC:3670(FGF13);HGNC:3811(FOXG1);HGNC:4075(GABRA1);HGNC:4076(GABRA2);HGNC:4079(GABRA5);HGNC:4081(GABRB1);HGNC:4082(GABRB2);HGNC:4083(GABRB3);HGNC:4087(GABRG2);HGNC:4092(GAD1);HGNC:4331(GLS);HGNC:4341(GLUL);HGNC:4389(GNAO1);HGNC:4398(GNB2);HGNC:4433(GOT2);HGNC:4507(GABBR2);HGNC:4572(GRIA2);HGNC:4574(GRIA4);HGNC:4580(GRIK2);HGNC:4584(GRIN1);HGNC:4585(GRIN2A);HGNC:4586(GRIN2B);HGNC:4588(GRIN2D);HGNC:4599(GRM7);HGNC:4787(H4C3);HGNC:4790(H4C5);HGNC:4793(H4C9);HGNC:4845(HCN1);HGNC:4851(HTT);HGNC:5035(HNRNPC);HGNC:5048(HNRNPU);HGNC:5193(HS2ST1);HGNC:555(AP1G1);HGNC:567(AP3B2);HGNC:6176(ITPA);HGNC:6196(JARID2);HGNC:6218(KCNA1);HGNC:6220(KCNA2);HGNC:6231(KCNB1);HGNC:6234(KCNC2);HGNC:6254(KCNH5);HGNC:6296(KCNQ2);HGNC:6572(LGI1);HGNC:6743(CAPRIN1);HGNC:6766(MADD);HGNC:6814(MAGEL2);HGNC:6827(MAN2C1);HGNC:6872(MAPK10);HGNC:6884(MAPK8IP3);HGNC:6970(MDH1);HGNC:6971(MDH2);HGNC:6990(MECP2);HGNC:7675(NDN);HGNC:7763(NEUROD2);HGNC:7877(CNOT1);HGNC:7879(CNOT3);HGNC:7887(NOVA2);HGNC:7994(NRCAM);HGNC:800(ATP1A2);HGNC:801(ATP1A3);HGNC:8016(NSF);HGNC:8032(NTRK2);HGNC:8101(OCA2);HGNC:814(ATP2B1);HGNC:851(ATP6V1A);HGNC:8592(PAK3);HGNC:865(ATP6V0A1);HGNC:8717(PCDHGC4);HGNC:8957(PIGA);HGNC:8959(PIGB);HGNC:9099(PLXNA1);HGNC:9154(PNKP);HGNC:9299(PPP2CA);HGNC:9314(PPP3CA);HGNC:947(BAIAP2);HGNC:950(BAP1);HGNC:9557(PSMD12);HGNC:9803(RAC3);HGNC:9839(RALA);HGNC:9962(UPF1)	HGNC:493(ANK2)
APL_PML_RARA	MONDO:0012883	3	13	2	HGNC:11364(STAT3);HGNC:11367(STAT5B);HGNC:12930(ZBTB16);HGNC:19124(FIP1L1);HGNC:20893(BCOR);HGNC:21729(IRF2BP2);HGNC:26232(NABP1);HGNC:29529(TBL1XR1);HGNC:7910(NPM1);HGNC:8059(NUMA1);HGNC:9388(PRKAR1A)	HGNC:3765(FLT3)
ARX-Related_Lissencephaly_and_Interneuronopathy	MONDO:0010268	1	1	1		
AR_Cerebellar_Ataxia-Saccadic_Intrusion_Syndrome	MONDO:0011811	1	2	1	HGNC:12713(VPS41)	
ATRX_Syndrome	MONDO:0016980	1	1	1		
ATTR_Amyloidosis	MONDO:0007100	1	4	1	HGNC:600(APOA1);HGNC:6740(LYZ);HGNC:914(B2M)	
Abetalipoproteinemia	MONDO:0008692	1	1	1		
Acatalasia	MONDO:0013571	1	1	1		
Achondrogenesis_Type_II	MONDO:0008702	1	1	1		
Achondroplasia	MONDO:0007037	1	1	1		
Achromatopsia	MONDO:0018852	6	9	6	HGNC:10295(RPGR);HGNC:4206(OPN1MW);HGNC:9936(OPN1LW)	
Acoustic_Neuroma	MONDO:0001569	1	0	0		HGNC:7773(NF2)
Acrocallosal_Syndrome	MONDO:0008708	1	2	1	HGNC:4319(GLI3)	
Acrodysostosis	MONDO:0019797	2	2	2		
Acromesomelic_Dysplasia_Maroteaux_Type	MONDO:0011275	1	1	1		
Activated_PI3K-delta_Syndrome	MONDO:0018338	2	2	2		
Acute_Hepatitis_C_Virus_Infection	MONDO:0100371	1	0	0		HGNC:18365(IFNL3)
Acute_Intermittent_Porphyria	MONDO:0008294	1	1	1		
Acute_Lymphoblastic_Leukemia	MONDO:0004967	8	40	4	HGNC:1014(BCR);HGNC:10388(RPS15);HGNC:10526(SALL2);HGNC:10760(SET);HGNC:10879(STIL);HGNC:1097(BRAF);HGNC:11556(TAL1);HGNC:11633(TCF3);HGNC:11648(TCL1A);HGNC:11998(TP53);HGNC:12027(TRA);HGNC:12155(TRB);HGNC:12252(TRD);HGNC:12271(TRG);HGNC:12930(ZBTB16);HGNC:13178(IKZF3);HGNC:13532(TLX3);HGNC:14262(AUTS2);HGNC:15514(PICALM);HGNC:1582(CCND1);HGNC:16063(MLLT10);HGNC:17284(POT1);HGNC:24046(ARL11);HGNC:2745(DDX3X);HGNC:3765(FLT3);HGNC:4977(HLF);HGNC:5056(TLX1);HGNC:5525(IGHG1);HGNC:5586(IGHV3-21);HGNC:5650(IGHV4-34);HGNC:7545(MYB);HGNC:7553(MYC);HGNC:7879(CNOT3);HGNC:795(ATM);HGNC:8064(NUP214);HGNC:8537(P2RX7)	HGNC:10471(RUNX1);HGNC:13176(IKZF1);HGNC:7132(KMT2A);HGNC:7881(NOTCH1)
Acute_Megakaryoblastic_Leukemia	MONDO:0018872	15	3	3		HGNC:10471(RUNX1);HGNC:11355(STAG2);HGNC:11998(TP53);HGNC:14334(MRTFA);HGNC:14959(RBM15);HGNC:25941(TET2);HGNC:6192(JAK2);HGNC:7132(KMT2A);HGNC:7217(MPL);HGNC:8068(NUP98);HGNC:9644(PTPN11);HGNC:9886(KDM5A)
Acute_Myeloid_Leukemia_with_CEBPA_Somatic_Mutations	MONDO:0017894	4	1	1		HGNC:12796(WT1);HGNC:2978(DNMT3A);HGNC:3765(FLT3)
Adams-Oliver_Syndrome	MONDO:0007034	7	6	6		HGNC:12666(VCP)
Adenine_Phosphoribosyltransferase_Deficiency	MONDO:0013869	1	1	1		
Adenosine_Kinase_Deficiency	MONDO:0100255	1	1	1		
Adenylosuccinate_Lyase_Deficiency	MONDO:0007068	1	1	1		
Adult-Onset_Autosomal_Dominant_Demyelinating_Leukodystrophy	MONDO:0008215	1	1	1		
Adult_Neuronal_Ceroid_Lipofuscinosis	MONDO:0019260	3	5	2	HGNC:2076(CLN5);HGNC:4601(GRN);HGNC:9325(PPT1)	HGNC:2077(CLN6)
Adult_Onset_Dystonia_Parkinsonism	MONDO:0013060	1	1	1		
Adult_Onset_Foveomacular_Vitelliform_Dystrophy	MONDO:0011979	4	4	4		
Adult_Polyglucosan_Body_Disease	MONDO:0009897	1	1	1		
Adult_Refsum_Disease	MONDO:0009958	2	2	2		
Adult_T_Cell_Leukemia_Lymphoma	MONDO:0019471	2	0	0		HGNC:11998(TP53);HGNC:1605(CCR4)
Age_Related_Macular_Degeneration	MONDO:0005150	5	15	4	HGNC:1248(C2);HGNC:16980(CFHR3);HGNC:18286(RAX2);HGNC:19194(HMCN1);HGNC:2475(CST3);HGNC:2558(CX3CR1);HGNC:28486(MFSD8);HGNC:34(ABCA4);HGNC:3602(FBLN5);HGNC:4888(CFHR1);HGNC:613(APOE)	HGNC:9476(HTRA1)
Agenesis_of_the_Corpus_Callosum_with_Peripheral_Neuropathy	MONDO:0000902	1	1	1		
Aggressive_NK-cell_Leukemia	MONDO:0019470	5	0	0		HGNC:11364(STAT3);HGNC:11998(TP53);HGNC:18318(ASXL1);HGNC:25941(TET2);HGNC:2745(DDX3X)
Aicardi_Goutieres_Syndrome	MONDO:0018866	9	9	9		
Alagille_syndrome	MONDO:0007318	2	2	2		
Aland_Island_Eye_Disease	MONDO:0010371	1	1	1		
Alcoholic_Liver_Disease	MONDO:0043693	1	0	0		HGNC:18590(PNPLA3)
Alexander_Disease	MONDO:0008752	1	1	1		
Alkaptonuria	MONDO:0008753	1	1	1		
Allopurinol_Induced_SJS_TEN	MONDO:0044739	1	0	0		HGNC:4932(HLA-B)
Alpha_1_Antitrypsin_Deficiency	MONDO:0013282	1	1	1		
Alpha_Mannosidosis	MONDO:0009561	1	1	1		
Alport_Syndrome	MONDO:0018965	3	3	3		
Alsahan-Harris_Syndrome	MONDO:0979871	1	1	1		
Alstrom_Syndrome	MONDO:0008763	1	1	1		
Alternating_Hemiplegia_of_Childhood	MONDO:0016241	1	9	1	HGNC:10588(SCN2A);HGNC:10941(SLC1A3);HGNC:11005(SLC2A1);HGNC:1388(CACNA1A);HGNC:18756(RHOBTB2);HGNC:7491(MT-TL2);HGNC:7960(NR0B1);HGNC:800(ATP1A2)	
Alveolar_Soft_Part_Sarcoma	MONDO:0011655	2	2	2		
Alzheimer_Disease	MONDO:0004975	9	10	5	HGNC:11185(SORL1);HGNC:18001(TOMM40);HGNC:188(ADAM10);HGNC:7218(MPO);HGNC:9052(PLAU)	HGNC:1052(BIN1);HGNC:16400(NLRP3);HGNC:16608(PYCARD);HGNC:6692(LRP1)
Ameloblastoma	MONDO:0017795	6	1	0	HGNC:2514(CTNNB1)	HGNC:1097(BRAF);HGNC:11119(SMO);HGNC:3689(FGFR2);HGNC:5173(HRAS);HGNC:6407(KRAS);HGNC:7989(NRAS)
Amelogenesis_Imperfecta	MONDO:0019507	6	18	6	HGNC:10978(SLC24A4);HGNC:13764(RELT);HGNC:14376(ACP4);HGNC:14530(SP6);HGNC:23015(FAM20A);HGNC:26300(ODAPH);HGNC:2916(DLX3);HGNC:33188(AMTN);HGNC:4519(GPR68);HGNC:452(AMBN);HGNC:6161(ITGB6);HGNC:6490(LAMB3)	
Aminoacylase_1_Deficiency	MONDO:0012368	1	1	1		
Amyloidosis	MONDO:0019065	2	16	2	HGNC:18969(IL31RA);HGNC:2475(CST3);HGNC:3661(FGA);HGNC:4462(GPNMB);HGNC:4620(GSN);HGNC:600(APOA1);HGNC:601(APOA2);HGNC:6174(ITM2B);HGNC:620(APP);HGNC:6740(LYZ);HGNC:7218(MPO);HGNC:8507(OSMR);HGNC:9052(PLAU);HGNC:914(B2M)	
Amyotrophic_Lateral_Sclerosis-Parkinsonism-Dementia_Complex	MONDO:0007104	1	2	1	HGNC:16369(PARK7)	
Amyotrophic_Lateral_Sclerosis	MONDO:0004976	17	45	8	HGNC:11179(SOD1);HGNC:11226(SPG11);HGNC:11277(SPTLC1);HGNC:11280(SQSTM1);HGNC:11571(TARDBP);HGNC:11584(TBK1);HGNC:11802(TIA1);HGNC:12407(TUBA4A);HGNC:12509(UBQLN2);HGNC:12649(VAPB);HGNC:12666(VCP);HGNC:15559(CHCHD10);HGNC:1591(CCNF);HGNC:16873(FIG4);HGNC:17142(OPTN);HGNC:17761(TREM2);HGNC:23150(UNC13A);HGNC:24537(CHMP2B);HGNC:2584(CYLD);HGNC:2671(DAO);HGNC:28337(C9orf72);HGNC:31708(LRP12);HGNC:3432(ERBB4);HGNC:4010(FUS);HGNC:443(ALS2);HGNC:445(SETX);HGNC:483(ANG);HGNC:5031(HNRNPA1);HGNC:535(ANXA11);HGNC:6912(MATR3);HGNC:7744(NEK1);HGNC:8157(SIGMAR1);HGNC:8881(PFN1);HGNC:9204(PON1);HGNC:9205(PON2);HGNC:9206(PON3);HGNC:9237(PPARGC1A)	HGNC:11278(SPTLC2);HGNC:12392(DNAJC7);HGNC:1527(CAV1);HGNC:1528(CAV2);HGNC:15592(SS18L1);HGNC:16968(ARPP21);HGNC:25012(LGALSL);HGNC:30322(ARHGEF28);HGNC:8065(NUP50)
Anal_Canal_Adenocarcinoma	MONDO:0002735	2	0	0		HGNC:6407(KRAS);HGNC:7989(NRAS)
Anaplastic_Large_Cell_Lymphoma	MONDO:0020325	6	3	2	HGNC:12440(TYK2)	HGNC:11364(STAT3);HGNC:15979(TP63);HGNC:16077(DUSP22);HGNC:6190(JAK1)
Aneurysm-Osteoarthritis_Syndrome	MONDO:0013426	1	1	1		
Angelman_Syndrome	MONDO:0007113	5	4	2	HGNC:11164(SNRPN);HGNC:13542(ATP10A)	HGNC:4079(GABRA5);HGNC:4083(GABRB3);HGNC:4088(GABRG3)
Angiosarcoma	MONDO:0016982	7	0	0		HGNC:11998(TP53);HGNC:3767(FLT4);HGNC:6307(KDR);HGNC:7553(MYC);HGNC:795(ATM);HGNC:886(ATRX);HGNC:8975(PIK3CA)
Anti-GBM_Disease	MONDO:0009303	2	0	0		HGNC:2204(COL4A3);HGNC:4948(HLA-DRB1)
Antisynthetase_Syndrome	MONDO:0019344	8	0	0		HGNC:11312(TRIM21);HGNC:11572(TARS1);HGNC:20(AARS1);HGNC:4162(GARS1);HGNC:4816(HARS1);HGNC:4948(HLA-DRB1);HGNC:5330(IARS1);HGNC:7643(NARS1)
Aortic_Valve_Disease_2	MONDO:0013902	1	1	1		
Apert_Syndrome	MONDO:0007041	1	1	1		
Arginase_Deficiency	MONDO:0008814	1	1	1		
Argininosuccinic_Aciduria	MONDO:0008815	1	1	1		
Aromatase_Deficiency	MONDO:0013301	1	1	1		
Aromatic_L_Amino_Acid_Decarboxylase_Deficiency	MONDO:0012084	1	1	1		
Arrhythmogenic_Right_Ventricular_Cardiomyopathy	MONDO:0016587	17	14	11	HGNC:10484(RYR2);HGNC:12403(TTN);HGNC:15710(LDB3)	HGNC:10593(SCN5A);HGNC:11827(TJP1);HGNC:2770(DES);HGNC:7551(MYBPC3);HGNC:7577(MYH7);HGNC:7584(MYL3)
Arterial_Calcification_of_Infancy	MONDO:0018870	2	2	2		
Arterial_Tortuosity_Syndrome	MONDO:0008818	1	1	1		
Arts_syndrome	MONDO:0010533	1	1	1		
Asbestosis	MONDO:0016466	2	0	0		HGNC:4632(GSTM1);HGNC:4641(GSTT1)
Asparagine_Synthetase_Deficiency	MONDO:0014258	1	1	1		
Aspartylglucosaminuria	MONDO:0008830	1	1	1		
Asthma	MONDO:0004979	1	0	0		HGNC:26308(CDHR3)
Ataxia_Telangiectasia	MONDO:0008840	1	1	1		
Atelosteogenesis_Type_I	MONDO:0007167	1	1	1		
Atelosteogenesis_Type_II	MONDO:0009727	1	1	1		
Atelosteogenesis_Type_III	MONDO:0007168	1	1	1		
Atrial_Septal_Defect	MONDO:0006664	4	8	3	HGNC:11598(TBX20);HGNC:11843(TLL1);HGNC:143(ACTC1);HGNC:1987(CITED2);HGNC:4174(GATA6)	HGNC:11604(TBX5)
Atrial_Standstill	MONDO:0015281	3	3	2	HGNC:7939(NPPA)	HGNC:7585(MYL4)
Atypical_Hemolytic_Uremic_Syndrome	MONDO:0016244	8	7	7		HGNC:4888(CFHR1)
Atypical_Teratoid_Rhabdoid_Tumor	MONDO:0020560	2	2	2		
Auditory_Neuropathy	MONDO:0021944	7	5	5		HGNC:801(ATP1A3);HGNC:8140(OPA1)
Auriculocondylar_Syndrome	MONDO:0000107	4	4	3	HGNC:14065(HDAC9)	HGNC:12428(TWIST1)
Autism_Spectrum_Disorder	MONDO:0005258	5	0	0		HGNC:10588(SCN2A);HGNC:14294(SHANK3);HGNC:20153(CHD8);HGNC:3091(DYRK1A);HGNC:8008(NRXN1)
Autoimmune_Enteropathy	MONDO:0019787	4	2	1	HGNC:11362(STAT1)	HGNC:11364(STAT3);HGNC:1742(LRBA);HGNC:2505(CTLA4)
Autoimmune_Gastritis	MONDO:0031014	2	0	0		HGNC:819(ATP4A);HGNC:820(ATP4B)
Autoimmune_Hepatitis	MONDO:0016264	3	0	0		HGNC:29605(SH2B3);HGNC:4932(HLA-B);HGNC:4948(HLA-DRB1)
Autoimmune_Polyendocrine_Syndrome_Type_1	MONDO:0009411	1	1	1		
Autoimmune_Polyendocrinopathy	MONDO:0017278	4	1	1		HGNC:2505(CTLA4);HGNC:4948(HLA-DRB1);HGNC:9652(PTPN22)
Autosomal_Dominant_Cerebellar_Ataxia_Type_I	MONDO:0019792	7	30	7	HGNC:10561(ATXN8OS);HGNC:14415(ELOVL4);HGNC:14957(PUM1);HGNC:16255(TGM6);HGNC:17158(PLD3);HGNC:18806(CAMTA1);HGNC:19967(CCDC88C);HGNC:23166(PNPT1);HGNC:24501(PLEKHG4);HGNC:25186(TMEM240);HGNC:2661(DAB1);HGNC:2976(DNMT1);HGNC:315(AFG3L2);HGNC:32925(ATXN8);HGNC:3671(FGF14);HGNC:5456(IFRD1);HGNC:6180(ITPR1);HGNC:6235(KCNC3);HGNC:6239(KCND3);HGNC:801(ATP1A3);HGNC:8820(PDYN);HGNC:9218(POU4F1);HGNC:9305(PPP2R2B)	
Autosomal_Dominant_Cerebellar_Ataxia_Type_III	MONDO:0019793	5	9	5	HGNC:12335(TRPC3);HGNC:1394(CACNA1G);HGNC:21308(ELOVL5);HGNC:3596(FAT2)	
Autosomal_Dominant_Dopa_Responsive_Dystonia	MONDO:0971063	3	3	3		
Autosomal_Dominant_Hyper-IgE_Syndrome	MONDO:0007818	1	1	1		
Autosomal_Dominant_Optic_Atrophy_Plus	MONDO:0014720	2	2	1	HGNC:801(ATP1A3)	HGNC:16877(MFN2)
Autosomal_Dominant_Osteopetrosis_Type_II	MONDO:0008156	1	1	1		
Autosomal_Dominant_Polycystic_Kidney_Disease	MONDO:0004691	9	9	8	HGNC:19351(BICC1)	HGNC:23161(ALG8)
Autosomal_Dominant_Polycystic_Liver_Disease	MONDO:0000447	4	4	4		
Autosomal_Dominant_Striatal_Neurodegeneration	MONDO:0000211	1	2	1	HGNC:8772(PDE10A)	
Autosomal_Recessive_Ataxia_Beauce_Type	MONDO:0012549	1	1	1		
Autosomal_Recessive_Ataxia_Due_to_Ubiquinone_Deficiency	MONDO:0012784	1	1	1		
Autosomal_Recessive_Cerebellar_Ataxia_With_Late_Onset_Spasticity	MONDO:0018129	1	1	1		
Autosomal_Recessive_Congenital_Ichthyosis	MONDO:0017265	6	16	6	HGNC:11344(ST14);HGNC:11459(SULT2B1);HGNC:1502(CASP14);HGNC:21246(PNPLA1);HGNC:23452(LIPN);HGNC:23752(CERS3);HGNC:2481(CSTA);HGNC:29958(SDR9C7);HGNC:6439(KRT2);HGNC:8952(SERPINB8)	
Autosomal_Recessive_Dopa_Responsive_Dystonia	MONDO:0011551	1	2	1	HGNC:16831(TSPOAP1)	
Autosomal_Recessive_Limb-Girdle_Muscular_Dystrophy	MONDO:0015152	8	31	8	HGNC:1152(POPDC1);HGNC:11610(TCAP);HGNC:12403(TTN);HGNC:14245(SNUPN);HGNC:16084(LIMS2);HGNC:16380(TRIM32);HGNC:17649(POPDC3);HGNC:19139(POMGNT1);HGNC:19743(POMT2);HGNC:22932(GMPPB);HGNC:22954(POGLUT1);HGNC:25751(TRAPPC11);HGNC:25902(POMGNT2);HGNC:26267(POMK);HGNC:2666(DAG1);HGNC:29456(TOR1AIP1);HGNC:3622(FKTN);HGNC:37276(CRPPA);HGNC:5006(HMGCR);HGNC:6189(JAG2);HGNC:6482(LAMA2);HGNC:9069(PLEC);HGNC:9202(POMT1)	
Autosomal_Recessive_Multiple_Pterygium_Syndrome	MONDO:0009926	1	2	1	HGNC:7573(MYH3)	
Autosomal_Recessive_Osteopetrosis	MONDO:0009816	1	1	1		
Autosomal_Recessive_Primary_Microcephaly	MONDO:0016660	28	35	27	HGNC:10537(SARS1);HGNC:11546(TAF13);HGNC:11868(TRAPPC10);HGNC:12729(WARS1);HGNC:1773(CDK4);HGNC:25006(METTL5);HGNC:30262(PYCR2);HGNC:6950(MCM7)	HGNC:1868(CETN3)
Ayme-Gripp_Syndrome	MONDO:0010992	1	1	1		
B-Lymphoblastic_Leukemia_Lymphoma_With_Recurrent_Genetic_Abnormality	MONDO:0035605	4	14	2	HGNC:1014(BCR);HGNC:11998(TP53);HGNC:13176(IKZF1);HGNC:1787(CDKN2A);HGNC:3495(ETV6);HGNC:3765(FLT3);HGNC:3823(FOXP1);HGNC:4172(GATA3);HGNC:4933(HLA-C);HGNC:5477(IGH);HGNC:8803(PDGFRA);HGNC:8997(PIP4K2A)	HGNC:10471(RUNX1);HGNC:8632(PBX1)
