drug_id	drug_label	indication	disorder	mondo	status
NCIT:C102852	Fruquintinib	for adult patients with metastatic colorectal cancer (mCRC).	BRAF V600E-Mutant Colorectal Cancer	MONDO:0005575	MISSING_TREATMENT
NCIT:C102852	Fruquintinib	for adult patients with metastatic colorectal cancer (mCRC).	HER2-Positive Colorectal Cancer	MONDO:0005575	MISSING_TREATMENT
NCIT:C102852	Fruquintinib	for adult patients with metastatic colorectal cancer (mCRC).	MSI-High Colorectal Cancer	MONDO:0005575	MISSING_TREATMENT
NCIT:C102852	Fruquintinib	for adult patients with metastatic colorectal cancer (mCRC).	Metastatic Colorectal Cancer	MONDO:0005575	MISSING_TREATMENT
NCIT:C102880	Everolimus Tablets for Oral Suspension	tuberous sclerosis complex (TSC)-associated partial-onset seizures; TSC-associated subependymal giant cell astrocytoma (SEGA) and TSC-associated renal angiomyolipoma	Tuberous Sclerosis Complex	MONDO:0001734	COVERED
NCIT:C103147	Venetoclax	chronic lymphocytic leukemia (CLL) with 17p deletion and or small lymphocytic lymphoma (SLL)	Chronic Lymphocytic Leukemia	MONDO:0004948	COVERED
NCIT:C103147	Venetoclax	chronic lymphocytic leukemia (CLL) with 17p deletion and or small lymphocytic lymphoma (SLL)	Lymphoma	MONDO:0005062	MISSING_TREATMENT
NCIT:C103194	Durvalumab	locally advanced or metastatic urothelial carcinoma; unresectable stage III non-small cell lung cancer (NSCLC)	FGFR-Altered Urothelial Carcinoma	MONDO:0040679	MISSING_TREATMENT
NCIT:C103194	Durvalumab	locally advanced or metastatic urothelial carcinoma; unresectable stage III non-small cell lung cancer (NSCLC)	Non-Small Cell Lung Cancer	MONDO:0005233	MISSING_TREATMENT
NCIT:C103194	Durvalumab	locally advanced or metastatic urothelial carcinoma; unresectable stage III non-small cell lung cancer (NSCLC)	Small Cell Lung Cancer	MONDO:0008433	COVERED
NCIT:C103273	Erdafitinib	locally advanced or metastatic urothelial carcinoma	FGFR-Altered Urothelial Carcinoma	MONDO:0040679	COVERED
NCIT:C1038	Carbogen	inhalation therapy to produce vasodilation.	-	-	NO_DISORDER
NCIT:C104012	Luspatercept	treatment of anemia failing an erythropoiesis stimulating agent and requiring 2 or more red blood cell (RBC) units over 8 weeks in adult patients with very low- to intermediate-risk myelodysplastic syndromes with ring sideroblasts (MDS-RS) or with myelodysplastic/myeloproliferative neoplasm with ring sideroblasts and thrombocytosis (MDS/MPN-RS-T).	-	-	NO_DISORDER
NCIT:C1041	Cefepime Hydrochloride	Upper respiratory tract and urinary tract infections; febrile neutropenic conditions	-	-	NO_DISORDER
NCIT:C104153	Polatuzumab Vedotin	relapsed or refractory diffuse large B-cell lymphoma (DLBCL)	Diffuse Large B-Cell Lymphoma	MONDO:0018905	COVERED
NCIT:C104153	Polatuzumab Vedotin	relapsed or refractory diffuse large B-cell lymphoma (DLBCL)	Lymphoma	MONDO:0005062	MISSING_TREATMENT
NCIT:C104748	Darolutamide	non-metastatic castration-resistant prostate cancer	BRCA-Mutant Prostate Cancer	MONDO:0008315	MISSING_TREATMENT
NCIT:C104748	Darolutamide	non-metastatic castration-resistant prostate cancer	Metastatic Prostate Cancer	MONDO:0008315	MISSING_TREATMENT
NCIT:C1054	Clarithromycin	H. pylori infection; Various bacterial infections	-	-	NO_DISORDER
NCIT:C1057	Cordycepin	TdT-positive acute lymphocytic leukemia.	-	-	NO_DISORDER
NCIT:C106250	Atezolizumab	metastatic non-small cell lung cancer (NSCLC); locally advanced or metastatic urothelial carcinoma; extensive-stage small cell lung cancer (ES-SCLC)	FGFR-Altered Urothelial Carcinoma	MONDO:0040679	MISSING_TREATMENT
NCIT:C106250	Atezolizumab	metastatic non-small cell lung cancer (NSCLC); locally advanced or metastatic urothelial carcinoma; extensive-stage small cell lung cancer (ES-SCLC)	Metastatic Non-Small Cell Lung Cancer	MONDO:0005233	MISSING_TREATMENT
NCIT:C106250	Atezolizumab	metastatic non-small cell lung cancer (NSCLC); locally advanced or metastatic urothelial carcinoma; extensive-stage small cell lung cancer (ES-SCLC)	Non-Small Cell Lung Cancer	MONDO:0005233	MISSING_TREATMENT
NCIT:C106250	Atezolizumab	metastatic non-small cell lung cancer (NSCLC); locally advanced or metastatic urothelial carcinoma; extensive-stage small cell lung cancer (ES-SCLC)	Small Cell Lung Cancer	MONDO:0008433	COVERED
