disorder	mondo_id	n_dismech	n_kg	exact	more_specific	more_general	unmatched	semantic_overlap	unmatched_terms
Acoustic_Neuroma	MONDO:0001569	3	0	0	0	0	3	0	HP:0000360(Tinnitus);HP:0000407(Sensorineural hearing impairment);HP:0001751(Abnormal vestibular function)
Acquired_Angioedema	MONDO:0019624	5	13	3	0	0	2	3	HP:0005225(Intestinal edema);HP:0012398(Peripheral edema)
Acquired_Immunodeficiency_Syndrome	MONDO:0012268	2	0	0	0	0	2	0	HP:0020102(Pneumocystis jirovecii pneumonia);HP:0100726(Kaposi's sarcoma)
Acquired_Partial_Lipodystrophy	MONDO:0012104	15	17	5	1	1	8	7	HP:0000292(Loss of facial adipose tissue);HP:0000716(Depression);HP:0000793(Membranoproliferative glomerulonephritis);HP:0002155(Hypertriglyceridemia);HP:0005995(Decreased adipose tissue around neck);HP:0009002(Loss of truncal subcutaneous adipose tissue);HP:0009056(Loss of subcutaneous adipose tissue from upper limbs);HP:0030499(Macular drusen)
Acquired_Thrombotic_Thrombocytopenic_Purpura	MONDO:0019740	9	41	6	0	1	2	7	HP:0000716(Depression);HP:0001298(Encephalopathy)
Acrocallosal_Syndrome	MONDO:0008708	16	89	12	2	0	2	14	HP:0002419(Molar tooth sign on MRI);HP:0012725(Cutaneous syndactyly)
Acrodysostosis	MONDO:0019797	13	96	9	1	2	1	12	HP:0002901(Hypocalcemia)
Acromesomelic_Dysplasia_Maroteaux_Type	MONDO:0011275	18	42	14	2	0	2	16	HP:0001773(Short foot);HP:0005773(Short forearm)
Activated_PI3K-delta_Syndrome	MONDO:0018338	11	63	8	2	0	1	10	HP:0004429(Recurrent viral infections)
Acute_Annular_Outer_Retinopathy	MONDO:0017299	6	0	0	0	0	6	0	HP:0000512(Abnormal electroretinogram);HP:0000575(Scotoma);HP:0000622(Blurred vision);HP:0001105(Retinal atrophy);HP:0001123(Visual field defect);HP:0030786(Photopsia)
Acute_Disseminated_Encephalomyelitis	MONDO:0019383	15	53	11	0	4	0	15	
Acute_Flaccid_Myelitis	MONDO:0100115	10	0	0	0	0	10	0	HP:0001283(Bulbar palsy);HP:0001284(Areflexia);HP:0002747(Respiratory insufficiency due to muscle weakness);HP:0003470(Paralysis);HP:0003690(Limb muscle weakness);HP:0006824(Cranial nerve paralysis);HP:0011947(Respiratory tract infection);HP:0012229(CSF pleocytosis);HP:0030319(Weakness of facial musculature);HP:0100561(Spinal cord lesion)
Acute_Hepatitis_C_Virus_Infection	MONDO:0100371	5	0	0	0	0	5	0	HP:0000952(Jaundice);HP:0002018(Nausea);HP:0002039(Anorexia);HP:0002910(Elevated circulating hepatic transaminase concentration);HP:0012378(Fatigue)
Acute_Hypotension	MONDO:0005174	3	0	0	0	0	3	0	HP:0001279(Syncope);HP:0001919(Acute kidney injury);HP:0002615(Hypotension)
Acute_Intermittent_Porphyria	MONDO:0008294	21	60	18	1	0	2	19	HP:0000709(Psychosis);HP:0002273(Tetraparesis)
Acute_Lichenoid_Pityriasis	MONDO:0024250	9	0	0	0	0	9	0	HP:0000979(Purpura);HP:0000989(Pruritus);HP:0001053(Hypopigmented skin patches);HP:0001945(Fever);HP:0007473(Crusting erythematous dermatitis);HP:0033700(Papulovesicular eruption);HP:0040189(Scaling skin);HP:0100699(Scarring);HP:0200042(Skin ulcer)
Acute_Lymphoblastic_Leukemia	MONDO:0004967	10	6	0	0	0	10	0	HP:0001433(Hepatosplenomegaly);HP:0001873(Thrombocytopenia);HP:0001882(Decreased total leukocyte count);HP:0001892(Abnormal bleeding);HP:0001903(Anemia);HP:0002011(Morphological central nervous system abnormality);HP:0002716(Lymphadenopathy);HP:0002719(Recurrent infections);HP:0012378(Fatigue);HP:0033827(Anterior mediastinal mass)
Acute_Megakaryoblastic_Leukemia	MONDO:0018872	4	0	0	0	0	4	0	HP:0001433(Hepatosplenomegaly);HP:0001873(Thrombocytopenia);HP:0001903(Anemia);HP:0011974(Myelofibrosis)
Acute_Motor_and_Sensory_Axonal_Neuropathy	MONDO:0020348	10	0	0	0	0	10	0	HP:0000763(Sensory neuropathy);HP:0001284(Areflexia);HP:0002015(Dysphagia);HP:0002270(Abnormality of the autonomic nervous system);HP:0002747(Respiratory insufficiency due to muscle weakness);HP:0003401(Paresthesia);HP:0003690(Limb muscle weakness);HP:0007078(Decreased amplitude of sensory action potentials);HP:0012531(Pain);HP:0033383(Decreased compound muscle action potential amplitude)
Acute_Myeloid_Leukemia_with_CEBPA_Somatic_Mutations	MONDO:0017894	9	0	0	0	0	9	0	HP:0001873(Thrombocytopenia);HP:0001875(Decreased total neutrophil count);HP:0001876(Pancytopenia);HP:0001892(Abnormal bleeding);HP:0001903(Anemia);HP:0001909(Leukemia);HP:0001974(Increased total leukocyte count);HP:0002719(Recurrent infections);HP:0012378(Fatigue)
Adams-Oliver_Syndrome	MONDO:0007034	9	133	4	0	5	0	9	
Addisons_Disease	MONDO:0015128	12	347	12	0	0	0	12	
Adenine_Phosphoribosyltransferase_Deficiency	MONDO:0013869	22	25	22	0	0	0	22	
Adenosine_Kinase_Deficiency	MONDO:0100255	15	30	4	1	3	7	8	HP:0000846(Adrenal insufficiency);HP:0001297(Stroke);HP:0001943(Hypoglycemia);HP:0001972(Macrocytic anemia);HP:0004322(Short stature);HP:0005116(Arterial tortuosity);HP:0012448(Delayed myelination)
Adenylosuccinate_Lyase_Deficiency	MONDO:0007068	20	45	19	0	1	0	20	
Adult-Onset_Autosomal_Dominant_Demyelinating_Leukodystrophy	MONDO:0008215	10	74	6	0	1	3	7	HP:0002076(Migraine);HP:0002360(Sleep disturbance);HP:0012378(Fatigue)
Adult-Onset_Still_Disease	MONDO:0019355	10	59	10	0	0	0	10	
Adult_Neuronal_Ceroid_Lipofuscinosis	MONDO:0019260	12	39	8	2	1	1	11	HP:0000739(Anxiety)
Adult_Onset_Dystonia_Parkinsonism	MONDO:0013060	33	53	32	0	0	1	32	HP:0000012(Urinary urgency)
Adult_Onset_Foveomacular_Vitelliform_Dystrophy	MONDO:0011979	5	19	5	0	0	0	5	
Adult_Polyglucosan_Body_Disease	MONDO:0009897	23	29	22	0	0	1	22	HP:0002019(Constipation)
Adult_Refsum_Disease	MONDO:0009958	39	54	39	0	0	0	39	
Adult_T_Cell_Leukemia_Lymphoma	MONDO:0019471	7	0	0	0	0	7	0	HP:0001744(Splenomegaly);HP:0002240(Hepatomegaly);HP:0002716(Lymphadenopathy);HP:0003072(Hypercalcemia);HP:0005390(Recurrent opportunistic infections);HP:0011121(Abnormal skin morphology);HP:0100827(Increased total lymphocyte count)
Aflatoxin_Related_HCC	MONDO:0007256	6	13	3	0	0	3	3	HP:0000952(Jaundice);HP:0001541(Ascites);HP:0001824(Weight loss)
Age_Related_Macular_Degeneration	MONDO:0005150	7	26	4	1	0	2	5	HP:0012508(Metamorphopsia);HP:0032036(Reduced contrast sensitivity)
Agenesis_of_the_Corpus_Callosum_with_Peripheral_Neuropathy	MONDO:0000902	20	64	20	0	0	0	20	
Aggressive_NK-cell_Leukemia	MONDO:0019470	9	0	0	0	0	9	0	HP:0001433(Hepatosplenomegaly);HP:0001873(Thrombocytopenia);HP:0001876(Pancytopenia);HP:0001945(Fever);HP:0002716(Lymphadenopathy);HP:0002910(Elevated circulating hepatic transaminase concentration);HP:0003281(Increased circulating ferritin concentration);HP:0005521(Disseminated intravascular coagulation);HP:0011900(Hypofibrinogenemia)
Aicardi_Goutieres_Syndrome	MONDO:0018866	30	183	30	0	0	0	30	
Aicardi_Syndrome	MONDO:0010568	18	79	13	1	3	1	17	HP:0002015(Dysphagia)
Ainhum	MONDO:0007074	7	0	0	0	0	7	0	HP:0000969(Edema);HP:0007460(Autoamputation of digits);HP:0010189(Osteolytic defects of the distal phalanges of the toes);HP:0010491(Digital constriction ring);HP:0025238(Foot pain);HP:0031057(Skin fissure);HP:0200042(Skin ulcer)
Akinetopsia	MONDO:0000660	1	0	0	0	0	1	0	HP:0030222(Visual agnosia)
Alagille_syndrome	MONDO:0007318	27	92	24	1	1	1	26	HP:0000989(Pruritus)
Aland_Island_Eye_Disease	MONDO:0010371	9	12	9	0	0	0	9	
Alcoholic_Liver_Disease	MONDO:0043693	6	0	0	0	0	6	0	HP:0001394(Cirrhosis);HP:0001395(Hepatic fibrosis);HP:0001397(Hepatic steatosis);HP:0001409(Portal hypertension);HP:0001410(Decreased liver function);HP:0012115(Hepatitis)
Alexander_Disease	MONDO:0008752	23	91	22	0	1	0	23	
Alkaptonuria	MONDO:0008753	28	62	28	0	0	0	28	
Allergic_Cutaneous_Vasculitis	MONDO:0001290	4	0	0	0	0	4	0	HP:0002829(Arthralgia);HP:0031363(Palpable purpura);HP:0034786(Leukocytoclastic vasculitis);HP:0200029(Vasculitis in the skin)
Allopurinol_Induced_SJS_TEN	MONDO:0044739	5	0	0	0	0	5	0	HP:0000155(Oral ulcer);HP:0000509(Conjunctivitis);HP:0001945(Fever);HP:0008066(Abnormal blistering of the skin);HP:0032156(Skin detachment)
Alopecia_Areata	MONDO:0005340	2	6	0	0	2	0	2	
Alpha-gal_Syndrome	MONDO:0100001	9	0	0	0	0	9	0	HP:0000989(Pruritus);HP:0001025(Urticaria);HP:0002014(Diarrhea);HP:0002017(Nausea and vomiting);HP:0002027(Abdominal pain);HP:0100665(Angioedema);HP:0410233(Increased anti-meat allergen IgE antibody level);HP:0410330(Meat allergen allergy);HP:0500095(Food-induced anaphylaxis)
Alpha_1_Antitrypsin_Deficiency	MONDO:0013282	8	30	7	0	0	1	7	HP:0002240(Hepatomegaly)
Alpha_Mannosidosis	MONDO:0009561	64	150	64	0	0	0	64	
Alpha_Thalassemia	MONDO:0011399	12	32	9	0	0	3	9	HP:0002007(Frontal bossing);HP:0003281(Increased circulating ferritin concentration);HP:0025066(Decreased mean corpuscular volume)
Alport_Syndrome	MONDO:0018965	11	55	9	2	0	0	11	
Alsahan-Harris_Syndrome	MONDO:0979871	5	80	0	0	2	3	2	HP:0000407(Sensorineural hearing impairment);HP:0000510(Rod-cone dystrophy);HP:0001999(Abnormal facial shape)
Alstrom_Syndrome	MONDO:0008763	9	143	9	0	0	0	9	
Alternating_Hemiplegia_of_Childhood	MONDO:0016241	8	103	7	0	1	0	8	
Alveolar_Rhabdomyosarcoma	MONDO:0009994	4	1	0	0	1	3	1	HP:0000520(Proptosis);HP:0001824(Weight loss);HP:0031459(Soft tissue neoplasm)
Alveolar_Soft_Part_Sarcoma	MONDO:0011655	4	1	0	0	0	4	0	HP:0010622(Neoplasm of the skeletal system);HP:0031459(Soft tissue neoplasm);HP:0100006(Neoplasm of the central nervous system);HP:0100526(Neoplasm of the lung)
Alzheimer_Disease	MONDO:0004975	6	53	4	2	0	0	6	
Ameloblastoma	MONDO:0017795	6	0	0	0	0	6	0	HP:0000324(Facial asymmetry);HP:0000692(Tooth malposition);HP:0003401(Paresthesia);HP:0006480(Premature loss of teeth);HP:0030793(Jaw swelling);HP:0100612(Odontogenic neoplasm)
Amelogenesis_Imperfecta	MONDO:0019507	3	52	3	0	0	0	3	
Aminoacylase_1_Deficiency	MONDO:0012368	8	26	3	2	0	3	5	HP:0000729(Autistic behavior);HP:0002342(Moderate intellectual disability);HP:0007325(Generalized dystonia)
Amniotic_Band_Syndrome	MONDO:0015167	16	36	14	0	0	2	14	HP:6000818(Transverse terminal limb defect);HP:6001389(Intrauterine amputation)
Amyloidosis	MONDO:0019065	8	338	8	0	0	0	8	
Amyotrophic_Lateral_Sclerosis-Parkinsonism-Dementia_Complex	MONDO:0007104	7	9	3	0	0	4	3	HP:0001288(Gait disturbance);HP:0001347(Hyperreflexia);HP:0002063(Rigidity);HP:0003693(Distal amyotrophy)
Amyotrophic_Lateral_Sclerosis	MONDO:0004976	46	245	46	0	0	0	46	
Anal_Canal_Adenocarcinoma	MONDO:0002735	3	12	1	0	0	2	1	HP:0002573(Hematochezia);HP:0500005(Anal pain)
Anal_Canal_Carcinoma	MONDO:0007108	4	39	2	1	0	1	3	HP:0500005(Anal pain)
Anaplastic_Large_Cell_Lymphoma	MONDO:0020325	2	0	0	0	0	2	0	HP:0002716(Lymphadenopathy);HP:0200036(Skin nodule)
Anaplastic_Thyroid_Carcinoma	MONDO:0006468	6	23	5	0	1	0	6	
Aneurysm-Osteoarthritis_Syndrome	MONDO:0013426	16	84	12	2	0	2	14	HP:0000963(Thin skin);HP:4000067(Iliac artery aneurysm)
Angelman_Syndrome	MONDO:0007113	33	111	32	1	0	0	33	
Angiosarcoma	MONDO:0016982	3	27	1	1	0	1	2	HP:0002105(Hemoptysis)
Ankylosing_Spondylitis	MONDO:0005306	10	1	0	0	0	10	0	HP:0000509(Conjunctivitis);HP:0000554(Uveitis);HP:0001369(Arthritis);HP:0003306(Spinal rigidity);HP:0003418(Back pain);HP:0011675(Arrhythmia);HP:0012122(Anterior uveitis);HP:0033631(Spondylitis);HP:0100532(Scleritis);HP:0100686(Enthesitis)
Anorexia_Nervosa	MONDO:0005351	12	0	0	0	0	12	0	HP:0000141(Amenorrhea);HP:0000716(Depression);HP:0000739(Anxiety);HP:0001662(Bradycardia);HP:0002019(Constipation);HP:0002900(Hypokalemia);HP:0002902(Hyponatremia);HP:0004325(Decreased body weight);HP:0004349(Reduced bone mineral density);HP:0008770(Obsessive-compulsive trait);HP:0011675(Arrhythmia);HP:0100738(Abnormal eating behavior)
Anterior_Spinal_Artery_Syndrome	MONDO:0006650	6	0	0	0	0	6	0	HP:0000020(Urinary incontinence);HP:0001257(Spasticity);HP:0003418(Back pain);HP:0007307(Rapid neurologic deterioration);HP:0007328(Impaired pain sensation);HP:0010551(Paraplegia/paraparesis)
Anti-GBM_Disease	MONDO:0009303	7	45	6	1	0	0	7	
Anti-NMDA_Receptor_Encephalitis	MONDO:0021081	10	53	6	0	2	2	8	HP:0001259(Coma);HP:0007110(Central hypoventilation)
Antiphospholipid_Syndrome	MONDO:8000010	19	79	19	0	0	0	19	
Antisynthetase_Syndrome	MONDO:0019344	13	44	9	2	1	1	12	HP:0003198(Myopathy)
Aortic_Valve_Disease_2	MONDO:0013902	7	11	4	1	2	0	7	
Aortitis	MONDO:0006656	7	0	0	0	0	7	0	HP:0001659(Aortic regurgitation);HP:0001945(Fever);HP:0002647(Aortic dissection);HP:0003565(Elevated erythrocyte sedimentation rate);HP:0004942(Aortic aneurysm);HP:0011227(Elevated circulating C-reactive protein concentration);HP:6001461(Aortitis)
Apert_Syndrome	MONDO:0007041	7	109	7	0	0	0	7	
Appendiceal_Neuroendocrine_Tumor	MONDO:0015066	1	30	0	0	1	0	1	
Arginase_Deficiency	MONDO:0008814	23	28	14	0	1	8	15	HP:0000020(Urinary incontinence);HP:0000252(Microcephaly);HP:0001298(Encephalopathy);HP:0002376(Developmental regression);HP:0002500(Abnormal cerebral white matter morphology);HP:0002505(Loss of ambulation);HP:0002607(Bowel incontinence);HP:0004322(Short stature)
Argininosuccinic_Aciduria	MONDO:0008815	13	63	9	0	2	2	11	HP:0001252(Hypotonia);HP:0001298(Encephalopathy)
Aromatase_Deficiency	MONDO:0013301	25	26	23	1	0	1	24	HP:0008665(Clitoral hypertrophy)
Aromatic_L_Amino_Acid_Decarboxylase_Deficiency	MONDO:0012084	38	60	38	0	0	0	38	
Arrhythmogenic_Right_Ventricular_Cardiomyopathy	MONDO:0016587	9	69	9	0	0	0	9	
Arsenic_Related_Cancers	MONDO:0005096	4	20	0	0	1	3	1	HP:0000953(Hyperpigmentation of the skin);HP:0000962(Hyperkeratosis);HP:0004950(Peripheral arterial stenosis)
Arterial_Calcification_of_Infancy	MONDO:0018870	8	76	6	1	0	1	7	HP:0100685(Abnormal Sharpey fiber morphology)
Arterial_Dissection_Lentiginosis_Syndrome	MONDO:0010889	5	6	3	0	0	2	3	HP:0002315(Headache);HP:0002381(Aphasia)
Arterial_Tortuosity_Syndrome	MONDO:0008818	14	88	12	0	1	1	13	HP:0002643(Neonatal respiratory distress)
Arteriosclerotic_Retinopathy	MONDO:0042495	1	0	0	0	0	1	0	HP:6001216(Arteriovenous crossing sign)
Arthrogryposis_Multiplex_Congenita	MONDO:0015168	5	528	5	0	0	0	5	
Arts_syndrome	MONDO:0010533	11	43	8	1	1	1	10	HP:0000556(Retinal dystrophy)
Asbestosis	MONDO:0016466	7	35	3	3	1	0	7	
Asparagine_Synthetase_Deficiency	MONDO:0014258	12	58	8	2	0	2	10	HP:0001336(Myoclonus);HP:0002059(Cerebral atrophy)
Aspartylglucosaminuria	MONDO:0008830	41	76	41	0	0	0	41	
Asthma	MONDO:0004979	10	4	2	0	0	8	2	HP:0000961(Cyanosis);HP:0002098(Respiratory distress);HP:0002360(Sleep disturbance);HP:0003546(Exercise intolerance);HP:0012378(Fatigue);HP:0012735(Cough);HP:0030828(Wheezing);HP:0031352(Chest tightness)
Ataxia_Telangiectasia	MONDO:0008840	16	73	8	2	1	5	11	HP:0001272(Cerebellar atrophy);HP:0002015(Dysphagia);HP:0002071(Abnormality of extrapyramidal motor function);HP:0003477(Peripheral axonal neuropathy);HP:0011133(Increased sensitivity to ionizing radiation)
Atelosteogenesis_Type_I	MONDO:0007167	20	65	14	0	1	5	15	HP:0000494(Downslanted palpebral fissures);HP:0000767(Pectus excavatum);HP:0002779(Tracheomalacia);HP:0011220(Prominent forehead);HP:0011304(Broad thumb)
Atelosteogenesis_Type_II	MONDO:0009727	30	69	29	0	1	0	30	
Atelosteogenesis_Type_III	MONDO:0007168	16	47	10	1	1	4	12	HP:0000316(Hypertelorism);HP:0002104(Apnea);HP:0005008(Large joint dislocations);HP:0011304(Broad thumb)
Atopic_Dermatitis	MONDO:0004980	13	18	8	1	1	3	10	HP:0000607(Periorbital wrinkles);HP:0002360(Sleep disturbance);HP:0500093(Food allergy)
Atrial_Fibrillation	MONDO:0004981	6	35	5	0	1	0	6	
Atrial_Septal_Defect	MONDO:0006664	11	93	9	1	1	0	11	
Atrial_Standstill	MONDO:0015281	9	44	6	3	0	0	9	
Attention_Deficit-Hyperactivity_Disorder	MONDO:0007743	3	3	1	0	1	1	2	HP:0100710(Impulsivity)
Atypical_Hemolytic_Uremic_Syndrome	MONDO:0016244	12	21	6	3	0	3	9	HP:0001250(Seizure);HP:0001297(Stroke);HP:0002014(Diarrhea)
Atypical_Teratoid_Rhabdoid_Tumor	MONDO:0020560	4	18	2	1	1	0	4	
Auditory_Neuropathy	MONDO:0021944	3	17	3	0	0	0	3	
Auriculocondylar_Syndrome	MONDO:0000107	10	72	9	0	0	1	9	HP:0001561(Polyhydramnios)
Autism_Spectrum_Disorder	MONDO:0005258	7	12	2	0	1	4	3	HP:0002360(Sleep disturbance);HP:0007018(Attention deficit hyperactivity disorder);HP:0011024(Abnormality of the gastrointestinal tract);HP:5200046(Sensory behavioral abnormality)
Auto-Brewery_Syndrome	MONDO:0971031	7	0	0	0	0	7	0	HP:0001251(Ataxia);HP:0001260(Dysarthria);HP:0001288(Gait disturbance);HP:0001289(Confusion);HP:0002018(Nausea);HP:0002354(Memory impairment);HP:6000986(Substantially elevated circulating ethanol concentration)
Autoimmune_Autonomic_Ganglionopathy	MONDO:0016499	11	0	0	0	0	11	0	HP:0000016(Urinary retention);HP:0000217(Xerostomia);HP:0000633(Decreased lacrimation);HP:0000763(Sensory neuropathy);HP:0000970(Anhidrosis);HP:0001063(Acrocyanosis);HP:0002578(Gastroparesis);HP:0002579(Gastrointestinal dysmotility);HP:0004926(Orthostatic hypotension due to autonomic dysfunction);HP:0007695(Abnormal pupillary light reflex);HP:0008652(Autonomic erectile dysfunction)
Autoimmune_Encephalitis	MONDO:0020640	6	44	2	1	2	1	5	HP:0100660(Dyskinesia)
Autoimmune_Enteropathy	MONDO:0019787	5	129	4	1	0	0	5	
Autoimmune_Gastritis	MONDO:0031014	9	0	0	0	0	9	0	HP:0000206(Glossitis);HP:0001889(Megaloblastic anemia);HP:0001891(Iron deficiency anemia);HP:0002582(Atrophic gastritis);HP:0009830(Peripheral neuropathy);HP:0032448(Achlorhydria);HP:0033770(Gastric adenocarcinoma);HP:0500167(Hypergastrinemia);HP:6000898(Gastric carcinoid tumor)
Autoimmune_Hemolytic_Anemia	MONDO:0020108	4	47	3	0	1	0	4	
Autoimmune_Hepatitis	MONDO:0016264	5	59	4	0	1	0	5	
Autoimmune_Polyendocrine_Syndrome_Type_1	MONDO:0009411	20	76	14	0	2	4	16	HP:0001025(Urticaria);HP:0001970(Tubulointerstitial nephritis);HP:0001972(Macrocytic anemia);HP:0034323(Reduced circulating growth hormone concentration)
Autoimmune_Polyendocrinopathy	MONDO:0017278	9	110	9	0	0	0	9	
