entry	genes	mf_terms	reactions	biomarkers	concordant	matched
Pyridoxine-Dependent_Epilepsy	1	2	36	1	1	Elevated Alpha-Aminoadipic Semialdehyde (alpha-AASA) (CHEBI:17917)
Snyder-Robinson_Syndrome	1	2	1	2	1	Elevated spermidine to spermine ratio (CHEBI:16610)
Tyrosinemia_Type_I	1	1	1	4	1	Fumarylacetoacetate (FAA) (CHEBI:18034)
Tyrosinemia_Type_II	1	1	1	1	1	Plasma tyrosine (CHEBI:17895)
ornithine_aminotransferase_deficiency	1	1	2	2	1	Plasma ornithine (CHEBI:15729)
3-Hydroxy-3-Methylglutaric_Aciduria	1	1	1	6	0	
3-Methylglutaconic_Aciduria_Type_I	1	1	1	5	0	
3-Phosphoglycerate_Dehydrogenase_Deficiency	1	1	1	4	0	
ACAD9_Deficiency	1	1	1	1	0	
Adenine_Phosphoribosyltransferase_Deficiency	1	1	1	1	0	
Adenosine_Kinase_Deficiency	1	1	1	3	0	
Adenylosuccinate_Lyase_Deficiency	1	1	1	1	0	
Arts_syndrome	1	1	1	3	0	
Autosomal_Recessive_Dopa_Responsive_Dystonia	1	1	1	3	0	
Bachmann-Bupp_Syndrome	1	1	1	1	0	
Beta-Ketothiolase_Deficiency	1	1	1	6	0	
CYB561-Related_Orthostatic_Hypotension	1	1	1	1	0	
Carnitine_Palmitoyltransferase_1A_Deficiency	1	1	1	1	0	
Congenital_Sucrase-Isomaltase_Deficiency	1	2	2	1	0	
D-Bifunctional_Protein_Deficiency	1	2	2	1	0	
ECHS1_Deficiency	1	2	2	2	0	
Ethylmalonic_Encephalopathy	1	1	1	3	0	
Farber_Disease	1	1	14	1	0	
GM3_Synthase_Deficiency	1	1	1	3	0	
Glycogen_Storage_Disease_Type_VII	1	1	1	4	0	
Harderoporphyria	1	1	1	2	0	
Hereditary_Fructose_Intolerance	1	1	1	3	0	
Hyperprolinemia_Type_2	1	1	1	2	0	
Krabbe_Disease	1	1	1	1	0	
Kufor-Rakeb_syndrome	1	2	2	2	0	
Lipoic_Acid_Synthetase_Deficiency	1	1	1	3	0	
Long-Chain_3-Hydroxyacyl-CoA_Dehydrogenase_Deficiency	1	1	14	3	0	
MCAD_Deficiency	1	1	12	5	0	
MMACHC-related_Methylmalonic_Aciduria_and_Homocystinuria_cblC_Type	1	2	2	3	0	
MMADHC-related_Disorder_of_Cobalamin_Metabolism_cblD_Type	1	2	2	3	0	
MPI-Congenital_Disorder_of_Glycosylation	1	1	1	1	0	
MSMO1_Deficiency	1	1	1	1	0	
Metachromatic_Leukodystrophy	1	1	1	2	0	
Methylcobalamin_Deficiency_Type_cblG	1	1	1	1	0	
Methylmalonate_Semialdehyde_Dehydrogenase_Deficiency	1	1	4	4	0	
Methylmalonic_Aciduria_cblA_Type	1	3	2	3	0	
Neonatal_Epileptic_Encephalopathy_Due_to_Glutaminase_Deficiency	1	1	1	3	0	
PGM2L1_Deficiency	1	1	1	1	0	
PRPS1_Deficiency_Spectrum	1	1	1	3	0	
Peroxisomal_Acyl-CoA_Oxidase_Deficiency	1	1	17	2	0	
Peroxisome_Biogenesis_Disorder_1B	1	1	1	2	0	
Peroxisome_Biogenesis_Disorder_4A_Zellweger	1	1	1	2	0	
Peroxisome_Biogenesis_Disorder_4B	1	1	1	2	0	
SCAD_Deficiency	1	2	1	2	0	
Sengers_syndrome	1	1	8	2	0	
Succinic_Semialdehyde_Dehydrogenase_Deficiency	1	1	1	2	0	
Trimethylaminuria	1	1	1	2	0	
Tyrosinemia_Type_III	1	1	1	2	0	
VLCAD_Deficiency	1	1	6	6	0	
aceruloplasminemia	1	1	1	4	0	
Smith-Lemli-Opitz_syndrome	2	1	1	2	2	Serum 7-dehydrocholesterol (CHEBI:17759); Plasma cholesterol (CHEBI:16113)
Carbamoyl_Phosphate_Synthetase_I_Deficiency	2	1	1	5	1	Plasma ammonia (CHEBI:16134)
D-2-Hydroxyglutaric_Aciduria	2	3	5	1	1	D-2-Hydroxyglutarate (CHEBI:15801)
3-Methylcrotonyl-CoA_Carboxylase_Deficiency	2	1	1	3	0	
Homocystinuria	2	2	1	3	0	
Isobutyryl-CoA_Dehydrogenase_Deficiency	2	1	1	5	0	
Lafora_Disease	2	4	1	4	0	
MERRF_Syndrome	2	1	1	1	0	
NAGA_Deficiency_Type_3	2	1	1	1	0	
Ornithine_Carbamoyltransferase_Deficiency	2	1	1	5	0	
Primary_Hyperoxaluria_Type_3	2	1	1	1	0	
Propionic_Acidemia	2	1	1	5	0	
Galactosemia	3	3	3	2	1	Erythrocyte galactose-1-phosphate (CHEBI:17973)
Mitochondrial_Neurogastrointestinal_Encephalomyopathy	3	1	1	2	1	Elevated plasma thymidine (CHEBI:17748)
Autosomal_Dominant_Dopa_Responsive_Dystonia	3	2	2	1	0	
Methylmalonic_Acidemia	3	1	1	5	0	
Nonketotic_Hyperglycinemia	3	1	1	3	0	
Cowden_Syndrome	4	1	2	1	1	Plasma succinate (CHEBI:30031)
Gilberts_Syndrome	5	1	65	1	1	Unconjugated Bilirubin (CHEBI:16990)
Disorder_of_Catecholamine_Synthesis	8	2	1	5	0	
