class_id	class_label	total	present	absent	coverage_pct	module_hint
NCIT:C96404	Viral Vaccine	3	0	3	0	-
NCIT:C177430	Agent Targeting Cancer Metabolism	3	1	2	33	-
NCIT:C553	Aromatic Hydrocarbon	3	1	2	33	-
NCIT:C177280	Asparaginase-based Agent	3	1	2	33	-
NCIT:C96390	Bacterial Vaccine	3	1	2	33	-
NCIT:C198634	CD19-targeting Agent	3	1	2	33	-
NCIT:C213665	Covalent BTK Inhibitor	3	1	2	33	-
NCIT:C1550	Fat-Soluble Vitamin	3	1	2	33	-
NCIT:C126712	Fluoroquinolone Antibiotic	3	1	2	33	-
NCIT:C511	Folate Antagonist	3	1	2	33	-
NCIT:C2018	Non-Steroidal Aromatase Inhibitor	3	1	2	33	-
NCIT:C2160	Proteasome Inhibitor	3	1	2	33	-
NCIT:C795	Quinolone Antibiotic	3	1	2	33	-
NCIT:C1287	Recombinant Granulocyte Colony-Stimulating Factor	3	1	2	33	-
NCIT:C1490	Taxane Compound	3	1	2	33	-
NCIT:C860	Terpene Compound	3	1	2	33	-
NCIT:C2021	Thymidylate Synthase Inhibitor	3	1	2	33	-
NCIT:C2083	DNA Methyltransferase Inhibitor	3	2	1	67	-
NCIT:C132686	Demethylating Agent	3	2	1	67	-
NCIT:C157388	Immunomodulatory Imide Drug	3	2	1	67	-
NCIT:C261	Macrolide Antibiotic	3	2	1	67	bacterial_protein_synthesis_inhibition
NCIT:C2089	Protein Kinase C Inhibitor	3	2	1	67	-
NCIT:C159438	RET Inhibitor	3	2	1	67	-
NCIT:C208255	Therapeutic Fc Fusion Protein	3	2	1	67	-
NCIT:C204999	Topoisomerase I Inhibitor-containing Antibody-drug Conjugate	3	2	1	67	-
NCIT:C902	Triazene Compound	3	2	1	67	-
NCIT:C39713	Vitamin D Analog	3	2	1	67	-
NCIT:C1450	Platinum Compound	3	3	0	100	-
NCIT:C200418	AXL Inhibitor	2	0	2	0	-
NCIT:C78283	Agent Affecting Organs of Special Senses	2	0	2	0	-
NCIT:C222	Alkylsulfonate Compound	2	0	2	0	-
NCIT:C29713	Alpha-Adrenergic Antagonist	2	0	2	0	-
NCIT:C176023	Anti-BCMA CAR T Cells Preparation	2	0	2	0	-
NCIT:C181113	Anti-BCMA Monoclonal Antibody	2	0	2	0	-
NCIT:C181114	Anti-BCMA/CD3 Bispecific Monoclonal Antibody	2	0	2	0	-
NCIT:C155653	Anti-GD2 Monoclonal Antibody	2	0	2	0	-
NCIT:C278	Anti-Thymocyte Globulin	2	0	2	0	-
NCIT:C29705	Anti-glaucoma Agent	2	0	2	0	-
NCIT:C173741	Anti-spike Protein SARS-CoV-2 Monoclonal Antibody	2	0	2	0	-
NCIT:C29701	Anti-ulcer Agent	2	0	2	0	-
NCIT:C276	Antiparasitic Agent	2	0	2	0	-
NCIT:C277	Antiprotozoal Agent	2	0	2	0	-
NCIT:C296	Bacterial Toxin	2	0	2	0	-
NCIT:C163032	Botulinum Toxin	2	0	2	0	-
NCIT:C198643	CSF1R-targeting Agent	2	0	2	0	-
NCIT:C147923	CYP17A1 Inhibitor	2	0	2	0	-
NCIT:C47796	Cholinergic Agonist	2	0	2	0	-
NCIT:C2166	Combination Anti-Infective Agent	2	0	2	0	-
NCIT:C29629	Combination Medication	2	0	2	0	-
NCIT:C1455	Conjugate Vaccine	2	0	2	0	-
NCIT:C62103	Device	2	0	2	0	-
NCIT:C1937	Diagnostic Reagent	2	0	2	0	-
NCIT:C19238	Diagnostic, Therapeutic, or Research Equipment	2	0	2	0	-
NCIT:C98086	Dipeptidyl Peptidase-4 Inhibitor	2	0	2	0	-
NCIT:C173067	Direct Factor Xa Inhibitor	2	0	2	0	-
NCIT:C180619	Direct Oral Anticoagulant	2	0	2	0	-
NCIT:C67502	Doxorubicin Preparation	2	0	2	0	-
NCIT:C199379	EGFR Exon 20 Inhibitor	2	0	2	0	-
NCIT:C124800	FLT3 Inhibitor	2	0	2	0	-
NCIT:C163790	Flt-3-targeting Agent	2	0	2	0	-
NCIT:C2078	Folic Acid Derivative	2	0	2	0	-
NCIT:C62358	Gadolinium-Chelate	2	0	2	0	-
NCIT:C26548	Gene Product	2	0	2	0	-
NCIT:C1655	HMG-CoA Reductase Inhibitor	2	0	2	0	-
NCIT:C217517	Hepatitis C Virus NS3/4A Protease Inhibitor	2	0	2	0	-
NCIT:C222318	IL-2-based Therapeutic Agent	2	0	2	0	-
NCIT:C210	Immunoadjuvant	2	0	2	0	-
NCIT:C137826	Isocitrate Dehydrogenase Inhibitor	2	0	2	0	-
NCIT:C129650	JAK1 Inhibitor	2	0	2	0	-
NCIT:C2136	Malignancy-Associated Hypercalcemia Inhibitor	2	0	2	0	-
NCIT:C97325	Manufactured Object	2	0	2	0	-
NCIT:C16830	Medical Device	2	0	2	0	-
NCIT:C185877	Menin Inhibitor	2	0	2	0	-
NCIT:C2182	Non-Steroidal Estrogen	2	0	2	0	-
NCIT:C190801	P2Y12 Inhibitor	2	0	2	0	-
NCIT:C2491	Pegylated Interferon Alfa	2	0	2	0	-
NCIT:C2848	Polyvalent Vaccine	2	0	2	0	-
NCIT:C17021	Protein	2	0	2	0	-
NCIT:C210691	Protein Supplement	2	0	2	0	-
NCIT:C25995	RNA Polymerase Inhibitor	2	0	2	0	-
NCIT:C2462	Radioactive Iodine	2	0	2	0	-
