drug_id	drug_label	chebi_id	status	disorders
NCIT:C1170	Miltefosine	-	ABSENT	-
NCIT:C1172	Nandrolone Decanoate	-	ABSENT	-
NCIT:C1173	Nilutamide	CHEBI:7573	ABSENT	-
NCIT:C1176	Olsalazine	CHEBI:7770	ABSENT	-
NCIT:C117729	Idecabtagene Vicleucel	-	ABSENT	-
NCIT:C1181	Oxaliplatin	CHEBI:31941	PRESENT_NO_EVIDENCE	Metastatic Gastric Cancer
NCIT:C1183	Ranpirnase	-	ABSENT	-
NCIT:C118571	Telisotuzumab Vedotin	-	ABSENT	-
NCIT:C119665	Gilteritinib Fumarate	-	ABSENT	-
NCIT:C1200	Pegaspargase	-	PRESENT_NO_EVIDENCE	Aggressive NK-cell Leukemia
NCIT:C120309	Axicabtagene Ciloleucel	-	PRESENT_NO_EVIDENCE	Follicular Lymphoma
NCIT:C1212	Sirolimus	CHEBI:9168	PRESENT_NO_EVIDENCE	Activated PI3K-delta syndrome; Castleman Disease; FAS-related Autoimmune Lymphoproliferative Syndrome; Familial Focal Epilepsy With Variable Foci; Gorham-Stout disease; Perivascular Epithelioid Cell Neoplasm; Peutz-Jeghers polyp; Peutz-Jeghers syndrome; Primary Pigmented Nodular Adrenocortical Disease; Tuberous Sclerosis Complex
NCIT:C121540	Cemiplimab	-	PRESENT_NO_EVIDENCE	Basal Cell Carcinoma
NCIT:C121553	Pemigatinib	-	PRESENT_WITH_EVIDENCE	FGFR-Altered Cholangiocarcinoma
NCIT:C1216	Retinyl Acetate	CHEBI:32095	ABSENT	-
NCIT:C1217	Retinyl Palmitate	CHEBI:17616	ABSENT	-
NCIT:C1230	Sodium Thiosulfate	CHEBI:32150	ABSENT	-
NCIT:C123428	Naxitamab	-	ABSENT	-
NCIT:C1238	Strontium Chloride Sr-89	-	ABSENT	-
NCIT:C123827	Avapritinib	-	PRESENT_NO_EVIDENCE	Gastrointestinal Stromal Tumor; Systemic Mastocytosis; Thymic Carcinoma
NCIT:C1239	Exisulind	CHEBI:64212	ABSENT	-
NCIT:C124067	Ripretinib	-	ABSENT	-
NCIT:C1244	Temozolomide	-	PRESENT_WITH_EVIDENCE	Glioblastoma, IDH-Wildtype
NCIT:C124657	Ravulizumab	-	PRESENT_NO_EVIDENCE	Atypical Hemolytic Uremic Syndrome; Neuromyelitis Optica Spectrum Disorder
NCIT:C1247	Testosterone Enanthate	CHEBI:9464	ABSENT	-
NCIT:C124993	Amivantamab	-	PRESENT_WITH_EVIDENCE	EGFR-Mutant Non-Small Cell Lung Cancer
NCIT:C125192	Lisocabtagene Maraleucel	-	ABSENT	-
NCIT:C125549	Loncastuximab Tesirine	-	ABSENT	-
NCIT:C1256	Toremifene	CHEBI:9635	ABSENT	-
NCIT:C1257	Treosulfan	-	ABSENT	-
NCIT:C1265	Trimetrexate Glucuronate	-	ABSENT	-
NCIT:C1267	Triptorelin	CHEBI:63633	ABSENT	-
NCIT:C126799	Dostarlimab	-	PRESENT_NO_EVIDENCE	Endometrial Carcinoma; Endometrial Endometrioid Adenocarcinoma; MSI-High Colorectal Cancer; MSI-High Endometrial Cancer
NCIT:C127012	Baricitinib	-	ABSENT	-
NCIT:C127119	Omidubicel	-	ABSENT	-
NCIT:C127123	Emapalumab	-	PRESENT_NO_EVIDENCE	Hemophagocytic Lymphohistiocytosis
NCIT:C1275	Vinorelbine	CHEBI:480999	ABSENT	-
NCIT:C1278	Venlafaxine	CHEBI:9943	PRESENT_NO_EVIDENCE	Generalized Anxiety Disorder; Panic Disorder; Post-Traumatic Stress Disorder; Social Anxiety Disorder
NCIT:C1280	Zinc Sulfate	CHEBI:35176	ABSENT	-
NCIT:C128059	Dabrafenib Mesylate	-	ABSENT	-
NCIT:C1282	Carboplatin	CHEBI:31355	PRESENT_NO_EVIDENCE	Central Nervous System Teratoma; Choroid Plexus Carcinoma; Endometrial Carcinoma; Endometrial Endometrioid Adenocarcinoma; Esophageal Adenocarcinoma; Fallopian Tube Cancer; Gastroenteropancreatic Neuroendocrine Neoplasm; Malignant Non-Dysgerminomatous Germ Cell Tumor Of Ovary; Ovarian Endometrioid Carcinoma; Ovarian High-Grade Serous Carcinoma; Ovarian Mucinous Carcinoma; Pilocytic Astrocytoma; Pineoblastoma; Retinoblastoma; Testicular Seminoma; Thymic Carcinoma; Yolk Sac Tumor
NCIT:C128625	Caplacizumab	-	ABSENT	-
NCIT:C128646	Idarucizumab	-	ABSENT	-
NCIT:C1287	Recombinant Granulocyte Colony-Stimulating Factor	-	PRESENT_NO_EVIDENCE	EFL1-related Shwachman-Diamond syndrome
NCIT:C128799	Trastuzumab Deruxtecan	-	PRESENT_NO_EVIDENCE	HER2-Positive Breast Cancer; HER2-Positive Colorectal Cancer; HER2-Positive Gastric Cancer; Metastatic Breast Carcinoma
NCIT:C130010	Zanidatamab	-	ABSENT	-
NCIT:C13008	Lymphokine-Activated Killer Cells	-	ABSENT	-
NCIT:C1303	Oprelvekin	-	ABSENT	-
NCIT:C1311	Tacrolimus	CHEBI:61057	ABSENT	-
NCIT:C131178	Rucaparib Camsylate	-	ABSENT	-
NCIT:C131334	Toripalimab	-	ABSENT	-
NCIT:C1317	Bupropion Hydrochloride	-	ABSENT	-
NCIT:C1319	Leuprolide Acetate	CHEBI:63597	ABSENT	-
NCIT:C1321	Muromonab-CD3	-	ABSENT	-
NCIT:C132295	Pralsetinib	-	PRESENT_NO_EVIDENCE	Medullary Thyroid Carcinoma; RET Fusion-Positive Thyroid Cancer; RET-Rearranged Non-Small Cell Lung Cancer
NCIT:C1326	Doxorubicin Hydrochloride	-	ABSENT	-
NCIT:C133238	Niraparib Tosylate Monohydrate	-	ABSENT	-
NCIT:C1333	Dexrazoxane	CHEBI:50223	ABSENT	-
NCIT:C1336	Cladribine	CHEBI:567361	PRESENT_NO_EVIDENCE	Hairy Cell Leukemia; Langerhans Cell Histiocytosis
NCIT:C1337	Cevimeline Hydrochloride	-	ABSENT	-
NCIT:C133821	Repotrectinib	-	ABSENT	-
NCIT:C1345	Pamidronate Disodium	-	ABSENT	-
NCIT:C134987	Selpercatinib	-	PRESENT_NO_EVIDENCE	Medullary Thyroid Carcinoma; Multiple Endocrine Neoplasia Type 2; RET Fusion-Positive Thyroid Cancer; RET-Rearranged Non-Small Cell Lung Cancer
NCIT:C1353	Granisetron Hydrochloride	-	ABSENT	-
NCIT:C1355	Calcium Citrate	-	ABSENT	-
NCIT:C135627	Belzutifan	-	PRESENT_NO_EVIDENCE	Clear Cell Renal Cell Carcinoma; Metastatic Renal Cell Carcinoma; Pacak-Zhuang syndrome; Renal Cell Carcinoma; Von Hippel-Lindau Disease
NCIT:C136268	Dara-Rd Regimen	-	ABSENT	-
NCIT:C1365	Dimesna	-	ABSENT	-
NCIT:C136821	Rituximab and Hyaluronidase Human	-	ABSENT	-
NCIT:C136891	Neratinib Maleate	-	ABSENT	-
NCIT:C1374	Goserelin	-	ABSENT	-
NCIT:C137800	Rucaparib	-	ABSENT	-
NCIT:C137825	Enasidenib Mesylate	-	ABSENT	-
NCIT:C1379	Fulvestrant	CHEBI:31638	PRESENT_NO_EVIDENCE	ER-Positive Breast Cancer; Metastatic Breast Carcinoma; PIK3CA-Mutant Breast Cancer
NCIT:C138099	FAC Regimen	-	ABSENT	-
NCIT:C1381	Irinotecan Hydrochloride	-	ABSENT	-
NCIT:C1386	Isosulfan Blue	-	ABSENT	-
NCIT:C138995	Capmatinib Hydrochloride	-	ABSENT	-
NCIT:C1395	Vinorelbine Tartrate	CHEBI:32296	ABSENT	-
NCIT:C1408	Rifabutin	CHEBI:45367	ABSENT	-
NCIT:C1409	Carbenicillin Indanyl Sodium	CHEBI:31358	ABSENT	-
NCIT:C1411	Paclitaxel	CHEBI:45863	PRESENT_NO_EVIDENCE	Angiosarcoma; Endometrial Carcinoma; Endometrial Endometrioid Adenocarcinoma; Esophageal Adenocarcinoma; Fallopian Tube Cancer; HER2-Positive Gastric Cancer; Kaposi Sarcoma; Malignant Non-Dysgerminomatous Germ Cell Tumor Of Ovary; Ovarian Endometrioid Carcinoma; Ovarian High-Grade Serous Carcinoma; Ovarian Mucinous Carcinoma; Thymic Carcinoma
NCIT:C141428	Zanubrutinib	-	PRESENT_NO_EVIDENCE	Waldenstrom Macroglobulinemia
NCIT:C1417	Goserelin Acetate	-	ABSENT	-
NCIT:C1418	Clodronate Disodium	CHEBI:59587	ABSENT	-
NCIT:C142168	Retifanlimab	-	ABSENT	-
NCIT:C1423	Perfosfamide	CHEBI:196991	ABSENT	-
NCIT:C1431	Imiquimod	CHEBI:36704	PRESENT_NO_EVIDENCE	Basal Cell Carcinoma; Vulvar Adenocarcinoma
NCIT:C1440	Sodium Phenylbutyrate	-	ABSENT	-
NCIT:C1453	Dalteparin	-	ABSENT	-
NCIT:C1468	Mycophenolate Mofetil	-	PRESENT_NO_EVIDENCE	MOGAD
NCIT:C146860	Elranatamab	-	ABSENT	-
NCIT:C1469	In 111 Satumomab Pendetide	-	ABSENT	-
NCIT:C1471	Lamivudine	CHEBI:63577	ABSENT	-
NCIT:C1474	Filgrastim	-	PRESENT_NO_EVIDENCE	Chemotherapy-Induced Neutropenia; Spinocerebellar ataxia type 17
NCIT:C1476	Denileukin Diftitox	-	ABSENT	-
NCIT:C148145	Lutetium Lu 177 Vipivotide Tetraxetan	-	ABSENT	-
NCIT:C148486	Glofitamab	-	ABSENT	-
NCIT:C148498	Ciltacabtagene Autoleucel	-	ABSENT	-
NCIT:C1485	Rubitecan	-	ABSENT	-
NCIT:C1492	Sargramostim	-	ABSENT	-
NCIT:C1494	Arcitumomab	-	ABSENT	-
NCIT:C1501	Phenyl Acetate	CHEBI:8082	ABSENT	-
NCIT:C150559	Avatrombopag	-	ABSENT	-
NCIT:C1518	Raloxifene	CHEBI:8772	ABSENT	-
NCIT:C151947	Cosibelimab	-	ABSENT	-
NCIT:C151967	Datopotamab Deruxtecan	-	ABSENT	-
NCIT:C152089	Voxelotor	-	ABSENT	-
NCIT:C1526	Docetaxel	CHEBI:59809	ABSENT	-
NCIT:C152666	Tivozanib Hydrochloride	-	ABSENT	-
NCIT:C1527	Letrozole	CHEBI:6413	ABSENT	-
NCIT:C152795	Umbralisib Tosylate	-	ABSENT	-
NCIT:C1528	Risedronate Sodium	-	ABSENT	-
NCIT:C152948	Zenocutuzumab	-	ABSENT	-
NCIT:C153084	Bezlotoxumab	-	PRESENT_WITH_EVIDENCE	Clostridioides difficile Infection
NCIT:C1533	Pemetrexed Disodium	CHEBI:63722	ABSENT	-
NCIT:C153373	Elagolix	-	PRESENT_NO_EVIDENCE	Uterine Leiomyoma
NCIT:C1534	Methionine C 11	-	ABSENT	-
NCIT:C154272	Ipilimumab/Nivolumab Regimen	-	ABSENT	-
NCIT:C154287	Sotorasib	-	ABSENT	-
NCIT:C154325	Dabrafenib/Trametinib Regimen	-	ABSENT	-
NCIT:C154326	Binimetinib/Encorafenib Regimen	-	ABSENT	-
NCIT:C154570	Nintedanib Esylate	-	ABSENT	-
NCIT:C1555	Pegylated Liposomal Doxorubicin Hydrochloride	-	ABSENT	-
NCIT:C155813	Axatilimab	-	ABSENT	-
NCIT:C156401	Daratumumab and Recombinant Human Hyaluronidase	-	ABSENT	-
NCIT:C156894	Glasdegib Maleate	-	ABSENT	-
NCIT:C156895	Larotrectinib Sulfate	-	ABSENT	-
NCIT:C1569	Daclizumab	-	ABSENT	-
NCIT:C1570	Dinutuximab	-	ABSENT	-
NCIT:C1574	Alitretinoin	CHEBI:50648	ABSENT	-
NCIT:C157493	Adagrasib	-	PRESENT_WITH_EVIDENCE	KRAS G12C-Mutant Non-Small Cell Lung Cancer
NCIT:C1577	Nolatrexed Dihydrochloride	-	ABSENT	-
NCIT:C1579	Eflornithine Hydrochloride	-	ABSENT	-
NCIT:C158060	Trastuzumab/Hyaluronidase-oysk	-	ABSENT	-
NCIT:C1581	Benzydamine Hydrochloride	-	ABSENT	-
NCIT:C158136	Empagliflozin	-	ABSENT	-
NCIT:C1583	Daunorubicin Hydrochloride	-	ABSENT	-
NCIT:C158422	SR Mitomycin Intravesical Solution	-	ABSENT	-
NCIT:C158504	Linvoseltamab	-	ABSENT	-
NCIT:C158617	Pirtobrutinib	-	ABSENT	-
NCIT:C1587	Idarubicin Hydrochloride	-	ABSENT	-
NCIT:C159541	Emicizumab	-	ABSENT	-
NCIT:C1599	Bicalutamide	CHEBI:3090	ABSENT	-
NCIT:C1607	Anastrozole	CHEBI:2704	ABSENT	-
NCIT:C162995	Fedratinib Hydrochloride	-	ABSENT	-
NCIT:C163022	Epcoritamab	-	PRESENT_NO_EVIDENCE	Diffuse Large B-Cell Lymphoma
NCIT:C1635	Bexarotene	CHEBI:50859	PRESENT_WITH_EVIDENCE	Sezary Syndrome
NCIT:C1639	Iodine I-131	-	ABSENT	-
NCIT:C164227	Ziftomenib	-	ABSENT	-
NCIT:C1643	Pneumococcal Polyvalent Vaccine	-	ABSENT	-
NCIT:C1646	Ancestim	-	ABSENT	-
NCIT:C1647	Trastuzumab	-	PRESENT_NO_EVIDENCE	Endometrial Carcinoma; Li-Fraumeni Syndrome
NCIT:C1654	Multivitamin	-	ABSENT	-
NCIT:C166389	Atezolizumab/Carboplatin/Nab-paclitaxel Regimen	-	ABSENT	-
NCIT:C166575	Brexpiprazole	-	ABSENT	-
NCIT:C166954	Tazemetostat Hydrobromide	-	ABSENT	-
NCIT:C1670	Ibandronate Sodium	-	ABSENT	-
NCIT:C167205	Sunvozertinib	-	ABSENT	-
NCIT:C1681	Alemtuzumab	-	ABSENT	-
NCIT:C1685	Dulanermin	-	ABSENT	-
NCIT:C1687	Imatinib Mesylate	CHEBI:31690	ABSENT	-
NCIT:C1691	Trabectedin	-	ABSENT	-
NCIT:C1699	Zoledronic Acid	-	ABSENT	-
NCIT:C169981	Finerenone	-	ABSENT	-
NCIT:C1702	Rituximab	CHEBI:64357	PRESENT_NO_EVIDENCE	Anti-NMDA Receptor Encephalitis; Autoimmune Autonomic Ganglionopathy; Autoimmune Retinopathy; Burkitt Lymphoma; CD27-related lymphoproliferative and immune disorder; CNS Vasculitis; Castleman Disease; Chronic Inflammatory Demyelinating Polyneuropathy; Cryoglobulinemic Vasculitis; Dermatomyositis; Eosinophilic granulomatosis with polyangiitis; FAS-related Autoimmune Lymphoproliferative Syndrome; Follicular Lymphoma; Giant Cell Hepatitis With Autoimmune Hemolytic Anemia; Granulomatosis with Polyangiitis; Hairy Cell Leukemia; IgA Vasculitis; IgG4-Related Disease; IgG4-Related Sclerosing Cholangitis; Immune Thrombocytopenia; Limbic Encephalitis; MALT Lymphoma; MOGAD; Mantle Cell Lymphoma; Membranous nephropathy; Minimal Change Disease; Neuromyelitis Optica; Neuromyelitis Optica Spectrum Disorder; Neuropsychiatric Systemic Lupus Erythematosus; Paraneoplastic Neurological Syndromes; Pemphigus Vulgaris; Rheumatoid Vasculitis; Sjogren's Syndrome; Susac Syndrome; Waldenstrom Macroglobulinemia
NCIT:C170224	Nirsevimab	-	ABSENT	-
NCIT:C1704	Nelarabine	CHEBI:63612	ABSENT	-
NCIT:C170439	Brexucabtagene Autoleucel	-	ABSENT	-
NCIT:C1707	Voriconazole	CHEBI:10023	ABSENT	-
NCIT:C171041	Carboplatin/Durvalumab/Etoposide Regimen	-	ABSENT	-
NCIT:C171042	Cisplatin/Durvalumab/Etoposide Regimen	-	ABSENT	-
NCIT:C171375	Capecitabine/Trastuzumab/Tucatinib Regimen	-	ABSENT	-
NCIT:C171676	Ensartinib Hydrochloride	-	ABSENT	-
NCIT:C171722	Asciminib Hydrochloride	-	ABSENT	-
NCIT:C171761	Tepotinib Hydrochloride	-	ABSENT	-
NCIT:C171898	Elacestrant Hydrochloride	-	ABSENT	-
NCIT:C172134	Bevacizumab/Olaparib Regimen	-	ABSENT	-
NCIT:C1723	Cetuximab	-	PRESENT_NO_EVIDENCE	BRAF V600E-Mutant Colorectal Cancer; HPV-Negative Head and Neck Cancer; Metastatic Colorectal Cancer; Oral Cavity Squamous Cell Carcinoma; Penile Cancer
NCIT:C172746	Obecabtagene Autoleucel	-	ABSENT	-
NCIT:C1728	Celecoxib	CHEBI:41423	PRESENT_NO_EVIDENCE	Classic Familial Adenomatous Polyposis; Peutz-Jeghers polyp; Peutz-Jeghers syndrome
NCIT:C173055	Tozinameran	-	ABSENT	-
NCIT:C173339	Hyaluronidase-zzxf/Pertuzumab/Trastuzumab	-	ABSENT	-
NCIT:C1736	Aminobenzoate Potassium	-	ABSENT	-
NCIT:C173743	Casirivimab/Imdevimab	-	ABSENT	-
NCIT:C1739	Vincristine Sulfate	-	ABSENT	-
NCIT:C174588	Nirogacestat Hydrobromide	-	ABSENT	-
NCIT:C174704	Oliceridine	-	ABSENT	-
NCIT:C175056	Belumosudil Mesylate	-	ABSENT	-
NCIT:C175088	Infigratinib Phosphate	-	ABSENT	-
NCIT:C175834	Pafolacianine	-	ABSENT	-
NCIT:C175858	Tarlatamab	-	ABSENT	-
NCIT:C175876	Vimseltinib	-	ABSENT	-
NCIT:C1762	Raloxifene Hydrochloride	CHEBI:50740	ABSENT	-
NCIT:C177059	Sotrovimab	-	ABSENT	-
NCIT:C1777	Plerixafor	-	ABSENT	-
NCIT:C1784	Oregovomab	-	ABSENT	-
NCIT:C1789	Infliximab	-	PRESENT_NO_EVIDENCE	Collagenous Sprue; Hermansky-Pudlak Syndrome; Kawasaki Disease; Melkersson-Rosenthal syndrome; Neurosarcoidosis; Pars Planitis
NCIT:C1794	Capecitabine	CHEBI:31348	PRESENT_NO_EVIDENCE	Gastroenteropancreatic Neuroendocrine Neoplasm; Metastatic Gastric Cancer; Non-functional Pancreatic Neuroendocrine Tumor; Postcricoid Region Cancer
NCIT:C1796	Vorinostat	-	PRESENT_WITH_EVIDENCE	Mycosis Fungoides
NCIT:C1803	Soy Protein Isolate	-	ABSENT	-
NCIT:C1806	Gemtuzumab Ozogamicin	-	PRESENT_WITH_EVIDENCE	Acute Myeloid Leukemia, Core Binding Factor
NCIT:C1812	Yttrium Y-90 Ibritumomab Tiuxetan	-	ABSENT	-
NCIT:C1818	Ursodiol	CHEBI:9907	PRESENT_NO_EVIDENCE	Hepatic Fibrinogen Storage Disease
NCIT:C181916	Mobocertinib Succinate	-	ABSENT	-
NCIT:C1820	Mitomycin	CHEBI:27504	PRESENT_NO_EVIDENCE	Anal Canal Carcinoma
NCIT:C1823	Interferon Beta-1A	-	ABSENT	-
NCIT:C18296	Pancreatic Enzyme	-	ABSENT	-
NCIT:C1832	Rofecoxib	CHEBI:8887	ABSENT	-
NCIT:C1837	Paroxetine Hydrochloride	-	ABSENT	-
NCIT:C1841	Iodine I-125	-	ABSENT	-
NCIT:C1844	Temsirolimus	-	ABSENT	-
NCIT:C1845	Peginterferon Alfa-2b	CHEBI:63615	ABSENT	-
NCIT:C1848	Suramin Sodium	-	ABSENT	-
NCIT:C184955	Regorafenib	-	ABSENT	-
NCIT:C1851	Bortezomib	CHEBI:52717	PRESENT_NO_EVIDENCE	Plasma Cell Neoplasm
NCIT:C185187	Sevabertinib	-	ABSENT	-
NCIT:C1854	Pegfilgrastim	-	ABSENT	-
NCIT:C1855	Gefitinib	CHEBI:49668	PRESENT_WITH_EVIDENCE	EGFR-Mutant Non-Small Cell Lung Cancer
NCIT:C1857	Panitumumab	-	ABSENT	-
NCIT:C185891	Pacritinib Citrate	-	ABSENT	-
NCIT:C186395	Lenacapavir Sodium	-	ABSENT	-
NCIT:C186400	Imlunestrant Tosylate	-	ABSENT	-
NCIT:C186440	Nivolumab/Relatlimab-rmbw	-	ABSENT	-
NCIT:C186575	Testosterone Nasal Gel	-	ABSENT	-
NCIT:C1869	Valdecoxib	CHEBI:63634	ABSENT	-
NCIT:C1872	Midostaurin	CHEBI:63452	PRESENT_NO_EVIDENCE	Acute Myeloid Leukemia, FLT3-Mutated; Systemic Mastocytosis
NCIT:C1878	Darbepoetin Alfa	-	ABSENT	-
NCIT:C188465	Taletrectinib Adipate	-	PRESENT_WITH_EVIDENCE	ROS1-Rearranged Non-Small Cell Lung Cancer
NCIT:C1887	Epratuzumab	-	ABSENT	-
NCIT:C190727	Leuprolide Mesylate	-	ABSENT	-
NCIT:C191876	Abiraterone Acetate/Niraparib	-	ABSENT	-
NCIT:C192	Mesna	-	ABSENT	-
NCIT:C192097	Amivantamab and Recombinant Human Hyaluronidase	-	ABSENT	-
NCIT:C195	Mercaptopurine	CHEBI:31822	ABSENT	-
NCIT:C1952	Recombinant Interferon Alfa-2a	-	ABSENT	-
NCIT:C199022	Zongertinib	-	ABSENT	-
NCIT:C200	Acetylcysteine	CHEBI:28939	PRESENT_NO_EVIDENCE	Acetaminophen Hepatotoxicity; Transaldolase Deficiency
NCIT:C200181	Berahyaluronidase Alfa and Pembrolizumab	-	ABSENT	-
NCIT:C2015	Abarelix	CHEBI:337298	ABSENT	-
NCIT:C201879	Daratumumab and Hyaluronidase/Dexamethasone/Lenalidomide Regimen	-	ABSENT	-
NCIT:C2039	Bevacizumab	-	PRESENT_NO_EVIDENCE	Acoustic Neuroma; Adult-Onset Foveomacular Vitelliform Dystrophy; Central Retinal Artery Occlusion; Familial Exudative Vitreoretinopathy; Glioblastoma, IDH-Wildtype; Hepatocellular Carcinoma; Hereditary Hemorrhagic Telangiectasia; Malignant Peritoneal Mesothelioma; Metastatic Hepatocellular Carcinoma; North Carolina Macular Dystrophy; Ovarian High-Grade Serous Carcinoma; Pseudoxanthoma Elasticum; Retinopathy of Prematurity; Schwannoma
NCIT:C204141	Dordaviprone Hydrochloride	-	ABSENT	-
NCIT:C204149	Revumenib Citrate	-	ABSENT	-
NCIT:C205507	Nogapendekin Alfa Inbakicept	-	ABSENT	-
NCIT:C2068	MGV Vaccine	-	ABSENT	-
