bpm_id	score	n_query_module	n_library_module	seed_pair	cross_negative_weight	cross_positive_weight	within_query_weight	query_module	library_module	A_top_region	A_region_frac	B_top_region	B_region_frac	coherence_call	dismech_genes_A	dismech_genes_B	n_dismech_genes
BPM0011	5.3993	8	25	NDUFA2~ADK	165.428	0.0	12.748	ANGPTL4|CDKN2B|EMC6|GSK3A|GSK3B|NDUFA2|PC|SLX1	ADK|ARHGDIA|ARIH2|BCL2|BCL2L2|CNOT2|CNOT7|CUL5|ING3|INTS6|LAMTOR5|MCL1|MGAT1|MTF2|MTHFD1L|PDXK|RIC8A|SLC25A25|SLC25A32|UBE2F|USF2|VPS29|VPS35|WSB2|ZNF800	Vesicle traffic	0.5	Cell proliferation	0.23	one-side	CDKN2B|GSK3B|PC	ADK|BCL2|PDXK|VPS35	7
BPM0012	5.3156	7	24	CDKN2B~PTAR1	152.993	0.0	11.79	ANGPTL4|CDKN2B|EMC6|GSK3A|GSK3B|PC|SLX1	BCL2L2|CCDC22|CNOT2|COMMD2|COMMD3|FOXK1|ICMT|KIAA0196|LAMTOR5|MCL1|PTAR1|RAB10|RAB18|RAB3GAP2|RANBP3|RER1|RRAGA|RRAGC|SLC38A5|TBC1D20|THAP3|UBALD2|UNC50|VPS29	Vesicle traffic	1.0	Vesicle traffic	0.39	neither	CDKN2B|GSK3B|PC	CCDC22|RAB18|RAB3GAP2|TBC1D20	7
BPM0013	5.2855	7	25	SLX1~UFL1	157.348	0.0	11.79	ANGPTL4|CDKN2B|EMC6|GSK3A|GSK3B|PC|SLX1	BCL2|BCL2L2|BIRC6|CNOT2|COMMD2|COMMD3|ICMT|INTS6|KIAA0196|LAMTOR4|LAMTOR5|MCL1|NONO|PLAA|RAB7A|RIC8A|RRAGA|RRAGC|SMARCA5|TAF3|TSC1|UBALD2|UFL1|VPS29|VPS35	Vesicle traffic	1.0	Actin cytoskeleton & cell adhesion/migration	0.36	neither	CDKN2B|GSK3B|PC	BCL2|RAB7A|TSC1|VPS35	7
BPM0014	5.263	7	25	EMC6~BCL2L2	156.625	0.0	11.79	ANGPTL4|CDKN2B|EMC6|GSK3A|GSK3B|PC|SLX1	ALDH18A1|ARHGEF12|BCL2L2|CHP1|CNOT2|COMMD3|DNAJC7|F2R|FOXK2|GNA13|ICMT|ING3|INTS6|KIAA0196|MARCH5|MGAT1|MGAT2|RER1|RIC8A|TBC1D5|TM2D3|UBALD2|VPS29|VPS35|ZNF800	Vesicle traffic	1.0	Actin cytoskeleton & cell adhesion/migration	0.38	neither	CDKN2B|GSK3B|PC	ALDH18A1|CHP1|DNAJC7|MGAT2|VPS35	8
BPM0015	5.2281	7	25	ANGPTL4~ATF4	156.254	0.743	11.79	ANGPTL4|CDKN2B|EMC6|GSK3A|GSK3B|PC|SLX1	ANKRD17|ARID4A|ATF4|BCL2|BCL2L2|CDK13|CELF1|CNOT2|CNOT6|CNOT7|COMMD3|CUL5|DNAJC7|FOXK1|FOXK2|KIAA0196|MCL1|MGAT1|RANBP3|RRAGC|THAP3|UBALD2|UBE2F|ZNF507|ZNF800	Vesicle traffic	1.0	Cell proliferation	0.27	neither	CDKN2B|GSK3B|PC	ATF4|BCL2|DNAJC7	6
BPM0016	5.1934	8	25	NDUFA2~SUV39H1	158.635	0.0	12.748	ANGPTL4|CDKN2B|EMC6|GSK3A|GSK3B|NDUFA2|PC|SLX1	ARHGDIA|BCL2L2|BIRC6|CNOT2|CNOT7|EDC4|EIF4ENIF1|GCLC|GGNBP2|GLS|GNAS|INTS6|MCL1|MGAT1|MORC2|MPHOSPH8|MTF2|NONO|RIC8A|SUV39H1|TAF3|UBE2F|UBE2K|XRN1|ZNF800	Vesicle traffic	0.5	Cell proliferation	0.33	one-side	CDKN2B|GSK3B|PC	GLS|GNAS|MORC2	6
BPM0017	5.153	8	25	NDUFA2~PDXK	157.299	0.0	12.748	ANGPTL4|CDKN2B|EMC6|GSK3A|GSK3B|NDUFA2|PC|SLX1	ALG8|ARHGDIA|BCL2L2|BRD8|CNOT2|CNOT7|CUL5|GNAS|INTS6|MCL1|MGAT1|MPHOSPH8|MTF2|PDXK|RBM27|RIC8A|SLC25A25|SLC25A32|TAF3|THAP3|UBE2F|UBE2K|USF2|XRN1|ZNF800	Vesicle traffic	0.5	Cell proliferation	0.25	one-side	CDKN2B|GSK3B|PC	ALG8|GNAS|PDXK	6
BPM0018	4.9724	7	25	EMC6~FCHO2	147.328	0.0	11.79	ANGPTL4|CDKN2B|EMC6|GSK3A|GSK3B|PC|SLX1	BCL2L2|CHP1|COMMD2|COMMD3|EXOC8|FCHO2|FOXK2|ICMT|KIAA0196|MARCH5|MGAT1|MGAT2|NAPG|RAB10|RAB3GAP2|RABIF|RER1|RPS6KB1|TBC1D20|UBALD2|UBE2G2|VPS29|VPS35|ZFYVE20|ZNF800	Vesicle traffic	1.0	Vesicle traffic	0.56	one-side	CDKN2B|GSK3B|PC	CHP1|MGAT2|RAB3GAP2|RPS6KB1|TBC1D20|VPS35	9
BPM0019	4.9213	8	24	MPV17~BRD7	146.163	0.0	11.318	ANGPTL4|CDKN2B|EMC6|GSK3A|GSK3B|MPV17|PC|SLX1	BCL2L2|BRD7|CCDC22|CELF1|COMMD2|COMMD3|FOXK1|FOXK2|ICMT|KIAA0196|LAMTOR5|PBRM1|RAB7A|RANBP3|RPS6KB1|RPTOR|RRAGC|SLC38A5|SMARCC1|THAP3|UBALD2|VPS29|WDR91|ZEB2	Vesicle traffic	0.5	Actin cytoskeleton & cell adhesion/migration	0.43	one-side	CDKN2B|GSK3B|PC	CCDC22|PBRM1|RAB7A|RPS6KB1|SMARCC1|ZEB2	9
BPM0020	4.8073	7	25	ANGPTL4~GALE	142.043	0.0	11.79	ANGPTL4|CDKN2B|EMC6|GSK3A|GSK3B|PC|SLX1	BCL2|BCL2L2|CNOT6|COMMD3|CUL5|DNAJC7|FPGS|GALE|GCLC|GSS|ICMT|KIAA0196|MARCH5|MGAT1|MTF2|MTHFD1L|RAB7A|RRAGC|SFXN1|SRM|TPK1|UBALD2|UBE2F|ZNF507|ZNF800	Vesicle traffic	1.0	Metabolism	0.36	neither	CDKN2B|GSK3B|PC	BCL2|DNAJC7|GALE|GSS|RAB7A	8
BPM0021	4.5115	8	23	NDUFA2~CUL5	127.87	0.761	12.748	ANGPTL4|CDKN2B|EMC6|GSK3A|GSK3B|NDUFA2|PC|SLX1	ARHGDIA|BCL2L2|BIRC6|C7orf55-LUC7L2|CNOT7|CUL5|E2F7|EDC4|EIF4ENIF1|GGNBP2|GLS|INTS6|MCL1|MGAT1|MORC2|MPHOSPH8|MYH9|NONO|TIMM17A|UBE2K|XRN1|ZNF800|ZSWIM6	Vesicle traffic	0.5	Cell proliferation	0.3	one-side	CDKN2B|GSK3B|PC	GLS|MORC2|MYH9	6
BPM0022	4.4954	8	25	MPV17~CHP1	137.641	0.61	11.318	ANGPTL4|CDKN2B|EMC6|GSK3A|GSK3B|MPV17|PC|SLX1	B3GNT2|BCL2L2|C12orf49|CHP1|FOXK2|ICMT|KDM1A|MCL1|MGAT1|MGAT5|NAA30|RAB10|RAB18|RAB1A|RAB3GAP1|RAB3GAP2|RABIF|RER1|RRAGC|TBC1D20|THAP3|UBALD2|UBE2G2|UNC50|ZDHHC5	Vesicle traffic	0.5	Vesicle traffic	0.79	same-process	CDKN2B|GSK3B|PC	CHP1|KDM1A|RAB18|RAB3GAP1|RAB3GAP2|TBC1D20	9
BPM0023	4.4103	7	23	CDKN2B~TSSC1	120.518	0.0	11.79	ANGPTL4|CDKN2B|EMC6|GSK3A|GSK3B|PC|SLX1	ARIH2|BCL2L2|COG5|CUL5|ICMT|MCL1|RAB10|RAB18|RAB3GAP2|RABIF|RER1|RRAGC|SPTLC1|TBC1D20|THAP3|TMEM189|TSSC1|UBALD2|UBE2F|UBE2G2|UNC50|USE1|VKORC1L1	Vesicle traffic	1.0	Vesicle traffic	0.85	one-side	CDKN2B|GSK3B|PC	RAB18|RAB3GAP2|SPTLC1|TBC1D20	7
BPM0024	4.0225	7	25	ANGPTL4~TRA2A	116.932	0.0	11.79	ANGPTL4|CDKN2B|EMC6|GSK3A|GSK3B|PC|SLX1	ALG12|ALG3|ALG9|ARIH2|BCL2L2|C15orf57|CHP1|DOLPP1|FCHO2|ICMT|INPP4A|INPPL1|KCTD5|MARCH5|MGAT1|MGAT2|MTF2|PIK3R2|RRAGC|SAFB|SRSF5|TRA2A|UBE2F|UBE2K|ZNF800	Vesicle traffic	1.0	Glycosylation & protein folding	0.3	neither	CDKN2B|GSK3B|PC	ALG12|ALG3|ALG9|CHP1|INPPL1|MGAT2	9
BPM0025	3.4578	4	14	ATP5L~SIN3B	58.385	0.0	3.856	ATP5J|ATP5L|ATPAF2|NDUFA2	C11orf30|C7orf55-LUC7L2|GATAD1|GOT1|GPI|HINT1|HK2|MLF2|PFKP|PGP|PHF12|SIN3B|TIMM8A|VDAC1	Mitochondrial function	1.0	Metabolism	0.67	different-process		GATAD1	1
BPM0026	3.4066	4	25	ATP5J~E2F7	94.936	0.0	3.856	ATP5J|ATP5L|ATPAF2|NDUFA2	BIRC6|C2orf47|C7orf55-LUC7L2|CCDC90B|CNOT4|DDX5|E2F7|GOT1|GPI|HADHA|HADHB|HK2|HNRNPD|KEAP1|MLF2|PARL|PFKP|PGP|TAFAZZIN|TFAP4|TIMM17A|TIMM8A|TIMM8B|UBA6|VDAC1	Mitochondrial function	1.0	Mitochondrial function	0.58	same-process		HADHA|HADHB|KEAP1|TAFAZZIN	4
BPM0027	3.1696	4	23	ATP5J~C11orf30	81.722	0.0	3.856	ATP5J|ATP5L|ATPAF2|NDUFA2	C11orf30|C2orf47|C7orf55-LUC7L2|CCDC90B|DDX5|GATAD1|GOT1|GPI|HADHA|HADHB|HK2|MCUR1|MLF2|PARL|PFKP|PGP|PHF12|SLC2A1|TAFAZZIN|TIMM17A|TIMM8A|TIMM8B|VDAC1	Mitochondrial function	1.0	Mitochondrial function	0.64	same-process		GATAD1|HADHA|HADHB|SLC2A1|TAFAZZIN	5
BPM0028	3.146	8	20	MPV17~UNC50	77.38	0.61	11.318	ANGPTL4|CDKN2B|EMC6|GSK3A|GSK3B|MPV17|PC|SLX1	C12orf49|COG5|GDI2|ICMT|MGAT1|NAA30|RAB10|RAB18|RAB1A|RAB3GAP1|RAB3GAP2|RABIF|RER1|SCFD2|SPTLC1|TBC1D20|TSSC1|UNC50|USE1|VKORC1L1	Vesicle traffic	0.5	Vesicle traffic	0.94	same-process	CDKN2B|GSK3B|PC	RAB18|RAB3GAP1|RAB3GAP2|SPTLC1|TBC1D20	8
BPM0029	3.1327	4	24	ATP5J~RIC8A	83.859	0.0	3.856	ATP5J|ATP5L|ATPAF2|NDUFA2	ADNP|BIRC6|C11orf30|C7orf55-LUC7L2|CNOT4|DDX5|E2F7|GATAD1|HNRNPD|INTS6|KDM5A|KLF5|MPHOSPH8|NONO|PAN2|PHF12|PPP5C|RFWD2|RIC8A|SIN3B|TAF3|TAF4|TFAP4|ZSWIM6	Mitochondrial function	1.0	mRNA processing	0.67	different-process		ADNP|GATAD1|KDM5A	3
BPM0030	3.1318	4	25	ATP5L~HADHA	86.966	0.0	3.856	ATP5J|ATP5L|ATPAF2|NDUFA2	ADNP|BIRC6|C2orf47|CNOT4|DDX5|E2F7|FBXW7|GPI|HADHA|HADHB|HK2|KEAP1|NOSIP|PARL|PFKP|RFWD2|TAFAZZIN|TFAP4|TIMM17A|TIMM8A|TIMM8B|TSC1|TSC2|UBA6|VDAC1	Mitochondrial function	1.0	Mitochondrial function	0.8	same-process		ADNP|FBXW7|HADHA|HADHB|KEAP1|TAFAZZIN|TSC1|TSC2	8
BPM0031	3.1188	4	22	ATP5J~DDX5	77.232	0.0	3.856	ATP5J|ATP5L|ATPAF2|NDUFA2	BCAT1|BSG|C2orf47|CCDC51|CCDC90B|DDX5|GOT1|GPI|HADHA|HADHB|HINT1|HK2|LDHA|MCUR1|MLF2|PARL|PFKP|PGP|SLC2A1|TIMM8A|TIMM8B|VDAC1	Mitochondrial function	1.0	Metabolism	0.5	different-process		HADHA|HADHB|SLC2A1	3
BPM0032	3.0704	4	25	ATP5J~UBA6	85.187	0.0	3.856	ATP5J|ATP5L|ATPAF2|NDUFA2	BIRC6|C2orf47|CCDC90B|DDX5|GHITM|GOT1|GPI|HADHA|HADHB|HK2|KEAP1|LDHA|MCUR1|NOSIP|PARL|PFKP|PGP|SLC2A1|TAFAZZIN|TIMM17A|TIMM17B|TIMM8A|TIMM8B|UBA6|VDAC1	Mitochondrial function	1.0	Mitochondrial function	0.71	same-process		HADHA|HADHB|KEAP1|SLC2A1|TAFAZZIN	5
BPM0033	3.0568	4	24	ATP5L~MAU2	82.409	0.675	3.856	ATP5J|ATP5L|ATPAF2|NDUFA2	BIRC6|CNOT4|DDX5|E2F7|EIF4ENIF1|F2R|GNA13|INTS6|KDM5A|KEAP1|KLF5|LIN37|MAU2|NONO|PAN2|PAN3|PAXIP1|PPP5C|RFWD2|RIC8A|TAF3|TFAP4|TSC1|TSC2	Mitochondrial function	1.0	mRNA processing	0.4	one-side		KDM5A|KEAP1|TSC1|TSC2	4
BPM0034	3.0457	4	25	ATP5J~USF2	84.47	0.0	3.856	ATP5J|ATP5L|ATPAF2|NDUFA2	ADNP|C11orf30|CNOT4|DDX5|E2F7|GATAD1|HNRNPD|INTS6|KDM5A|MLF2|MORC2|MPHOSPH8|NONO|PHF12|PPP5C|RFWD2|SIN3B|SPG7|TAF3|TFAP4|TSC1|TSC2|USF2|VCPIP1|ZSWIM6	Mitochondrial function	1.0	mRNA processing	0.4	one-side		ADNP|GATAD1|KDM5A|MORC2|SPG7|TSC1|TSC2	7
BPM0035	3.0259	4	25	ATP5L~BRD8	84.569	0.675	3.856	ATP5J|ATP5L|ATPAF2|NDUFA2	BIRC6|BRD8|C11orf30|C7orf55-LUC7L2|CNOT4|DDX5|E2F7|EIF4ENIF1|FBXW7|GATAD1|INTS6|KDM5A|LIN37|MLF2|NONO|PHF12|PPHLN1|PPP5C|RFWD2|SIN3B|TAF3|TFAP4|TSC1|TSC2|UBA6	Mitochondrial function	1.0	mRNA processing	0.5	different-process		FBXW7|GATAD1|KDM5A|TSC1|TSC2	5
BPM0036	2.9102	4	25	ATP5J~TMEM251	80.541	0.0	3.856	ATP5J|ATP5L|ATPAF2|NDUFA2	BIRC6|C11orf30|CNOT4|DDX5|DET1|E2F7|GATAD1|INTS6|KDM5A|KLF5|MORC2|MPHOSPH8|NONO|PHF12|PPP5C|RFWD2|SIN3B|TAF3|TFAP4|TIMM17A|TMEM251|TSC1|TSC2|UBA6|ZSWIM6	Mitochondrial function	1.0	mRNA processing	0.4	one-side		GATAD1|KDM5A|MORC2|TSC1|TSC2	5
BPM0037	2.8923	4	25	ATPAF2~HSPA4	80.021	0.0	3.856	ATP5J|ATP5L|ATPAF2|NDUFA2	BIRC6|C12orf44|C2orf47|CNOT4|DDX5|E2F7|FBXW7|HADHA|HADHB|HSPA4|KEAP1|MORC2|MPHOSPH8|NONO|NOSIP|OPA1|PARL|PPP5C|RFWD2|TFAP4|TIMM17A|TIMM8A|TSC2|UBA6|UBR4	Mitochondrial function	1.0	Mitochondrial function	0.64	same-process		FBXW7|HADHA|HADHB|KEAP1|MORC2|OPA1|TSC2	7
BPM0038	2.8605	4	23	ATP5J~ADRM1	73.377	0.0	3.856	ATP5J|ATP5L|ATPAF2|NDUFA2	ADNP|ADRM1|BIRC6|CNOT4|DDX5|E2F7|FBXW7|HNRNPD|HSP90AB1|KDM5A|KEAP1|LIN37|MORC2|MPHOSPH8|NONO|NOSIP|PPHLN1|PPP5C|RFWD2|TFAP4|TSC1|TSC2|UBA6	Mitochondrial function	1.0	Mitosis & tubulin dynamics	0.2	one-side		ADNP|FBXW7|KDM5A|KEAP1|MORC2|TSC1|TSC2	7
BPM0039	2.8531	4	21	NDUFA2~KEAP1	68.147	0.675	3.856	ATP5J|ATP5L|ATPAF2|NDUFA2	BIRC6|C7orf55-LUC7L2|CNOT4|CNOT7|DDX5|E2F7|EED|EIF4ENIF1|GGNBP2|INTS6|KEAP1|LIN37|MORC2|MPHOSPH8|MTF2|NONO|TAF3|TFAP4|TIMM17A|XRN1|ZSWIM6	Mitochondrial function	1.0	Cell proliferation	0.5	different-process		EED|KEAP1|MORC2	3
BPM0040	2.8427	4	24	ATP5L~C2orf47	76.747	1.006	3.856	ATP5J|ATP5L|ATPAF2|NDUFA2	ATG9A|BIRC6|C2orf47|CAND1|CNOT4|DDX5|E2F7|EIF4ENIF1|FBXW7|INTS6|KDM5A|KEAP1|LIN37|NONO|NOSIP|PPHLN1|PPP5C|RFWD2|TFAP4|TIMM8A|TSC1|TSC2|UBA6|VPS37A	Mitochondrial function	1.0	mRNA processing	0.29	one-side		FBXW7|KDM5A|KEAP1|TSC1|TSC2	5
BPM0041	2.8256	4	24	ATP5L~USF2	75.936	0.675	3.856	ATP5J|ATP5L|ATPAF2|NDUFA2	BIRC6|CSNK2A1|DDX5|E2F7|EIF4ENIF1|F2R|GNA13|INTS6|KLF5|MAU2|MPHOSPH8|NONO|PAN2|PAXIP1|PPHLN1|PPP5C|RIC8A|TAF3|TBC1D7|TFAP4|TSC1|TSC2|UBA6|USF2	Mitochondrial function	1.0	mRNA processing	0.33	one-side		CSNK2A1|TSC1|TSC2	3
BPM0042	2.814	7	25	ANGPTL4~ZFYVE20	78.26	0.0	11.79	ANGPTL4|CDKN2B|EMC6|GSK3A|GSK3B|PC|SLX1	C15orf57|COG5|COG8|EXOC8|FCHO2|GDI2|ICMT|NAPG|PTAR1|RAB10|RAB18|RAB3GAP2|RABIF|RER1|SCFD2|SLC25A1|SPTLC1|TBC1D20|TFRC|UBE2G2|UNC50|USE1|USP32|VKORC1L1|ZFYVE20	Vesicle traffic	1.0	Vesicle traffic	1.0	one-side	CDKN2B|GSK3B|PC	RAB18|RAB3GAP2|SPTLC1|TBC1D20	7
BPM0043	2.7991	4	25	ATP5L~MPP6	77.994	0.675	3.856	ATP5J|ATP5L|ATPAF2|NDUFA2	BIRC6|C7orf55-LUC7L2|DDX5|E2F7|EED|EIF4ENIF1|F2R|GNA13|INTS6|KLF5|MAU2|MPHOSPH8|MPP6|NONO|PAXIP1|PPHLN1|PPP5C|RIC8A|SLC20A1|TAF3|TM2D1|TM2D3|TSC1|TSC2|ZSWIM6	Mitochondrial function	1.0	mRNA processing	0.33	one-side		EED|TSC1|TSC2	3
BPM0044	2.7772	7	6	SLX1~NKTR	24.802	0.488	11.79	ANGPTL4|CDKN2B|EMC6|GSK3A|GSK3B|PC|SLX1	DDI2|HECTD1|NKTR|PLAA|SMARCA5|ZRANB1	Vesicle traffic	1.0	Metabolism	1.0	one-side	CDKN2B|GSK3B|PC		3
BPM0045	2.7621	7	14	CDKN2B~CHKA	46.654	0.439	11.79	ANGPTL4|CDKN2B|EMC6|GSK3A|GSK3B|PC|SLX1	ACO2|ALDH18A1|CHKA|FPGS|GLS|MTHFD1|MTHFD1L|MTHFD2|MTHFS|PDXK|PFAS|SFXN1|SHMT2|SLC25A32	Vesicle traffic	1.0	Metabolism	1.0	one-side	CDKN2B|GSK3B|PC	ALDH18A1|CHKA|GLS|PDXK	7
BPM0046	2.5826	4	24	ATP5L~KPNA3	69.131	0.675	3.856	ATP5J|ATP5L|ATPAF2|NDUFA2	BIRC6|CNOT4|DDX5|DET1|E2F7|EIF4ENIF1|FBXW7|INTS6|KDM5A|KLF5|KPNA3|LIN37|MPHOSPH8|NONO|PPHLN1|PPP5C|RFWD2|TBC1D7|TFAP4|TSC1|TSC2|UBA6|VPS37A|XRN1	Mitochondrial function	1.0	Cell proliferation	0.38	one-side		FBXW7|KDM5A|TSC1|TSC2	4
BPM0047	2.5775	4	22	NDUFA2~KLF5	64.944	1.784	3.856	ATP5J|ATP5L|ATPAF2|NDUFA2	BIRC6|CNOT4|CNOT7|DDX5|E2F7|EDC4|EIF4ENIF1|GGNBP2|INTS6|KLF5|MGAT1|MORC2|MPHOSPH8|MTF2|NONO|RIC8A|STK11|SZT2|TAF3|UBE2K|XRN1|ZSWIM6	Mitochondrial function	1.0	Cell proliferation	0.6	different-process		MORC2|STK11|SZT2	3
BPM0048	2.5658	3	23	NAA35~KIF20A	66.702	0.0	0.01	NAA30|NAA35|NAA38	ARFGEF1|ARFRP1|ARL1|CLEC16A|COG5|COL4A3BP|JTB|KIAA1432|KIF20A|MTMR9|NBEAL1|RAB1A|RAB2A|RER1|RGP1|SLC10A7|SYS1|TRAPPC12|TRAPPC2L|TSSC1|UGCG|UNC50|VKORC1L1	Vesicle traffic	1.0	Vesicle traffic	0.95	same-process		CLEC16A|SLC10A7|TRAPPC12	3
BPM0049	2.562	6	11	CDKN2B~CHMP5	33.856	0.569	10.267	ANGPTL4|CDKN2B|GSK3A|GSK3B|PC|SLX1	BIRC6|CHMP5|DDI2|FAM193A|HECTD1|MIB1|PLAA|UBA6|UBR4|USP14|ZRANB1		0.0	Metabolism	1.0	neither	CDKN2B|GSK3B|PC	MIB1	4
