bpm_id	side	gene	disorder
BPM0008	library_module	VPS35	Parkinson's Disease
BPM0009	query_module	CDKN2B	Acute Lymphoblastic Leukemia
BPM0009	query_module	CDKN2B	Glioma
BPM0009	query_module	CDKN2B	Malignant Peripheral Nerve Sheath Tumor
BPM0009	query_module	CDKN2B	Meningioma
BPM0009	query_module	CDKN2B	Oligoastrocytoma
BPM0009	query_module	CDKN2B	Thymic Carcinoma
BPM0009	query_module	GSK3B	Alzheimer Disease
BPM0009	query_module	PC	Pyruvate Carboxylase Deficiency Disease
BPM0009	library_module	ALDH18A1	ALDH18A1-Related Autosomal Dominant Cutis Laxa Type 3
BPM0009	library_module	ALDH18A1	ALDH18A1-Related Spastic Paraplegia and Neurocutaneous Spectrum
BPM0009	library_module	ALDH18A1	Complex Hereditary Spastic Paraplegia
BPM0009	library_module	BCL2	Follicular Lymphoma
BPM0009	library_module	BCL2	Primary_Tonsillar_Lymphoma
BPM0009	library_module	RPS6KB1	Hypertrophic Cardiomyopathy
BPM0009	library_module	TSC1	Focal Cortical Dysplasia Type II
BPM0009	library_module	TSC1	Infantile Spasms
BPM0009	library_module	TSC1	Lymphangioleiomyomatosis
BPM0009	library_module	TSC1	Perivascular Epithelioid Cell Neoplasm
BPM0009	library_module	TSC1	Tuberous Sclerosis Complex
BPM0010	query_module	CDKN2B	Acute Lymphoblastic Leukemia
BPM0010	query_module	CDKN2B	Glioma
BPM0010	query_module	CDKN2B	Malignant Peripheral Nerve Sheath Tumor
BPM0010	query_module	CDKN2B	Meningioma
BPM0010	query_module	CDKN2B	Oligoastrocytoma
BPM0010	query_module	CDKN2B	Thymic Carcinoma
BPM0010	query_module	GSK3B	Alzheimer Disease
BPM0010	query_module	PC	Pyruvate Carboxylase Deficiency Disease
BPM0010	library_module	ALDH18A1	ALDH18A1-Related Autosomal Dominant Cutis Laxa Type 3
BPM0010	library_module	ALDH18A1	ALDH18A1-Related Spastic Paraplegia and Neurocutaneous Spectrum
BPM0010	library_module	ALDH18A1	Complex Hereditary Spastic Paraplegia
BPM0010	library_module	BCL2	Follicular Lymphoma
BPM0010	library_module	BCL2	Primary_Tonsillar_Lymphoma
BPM0010	library_module	DNAJC7	Amyotrophic Lateral Sclerosis
BPM0010	library_module	VPS35	Parkinson's Disease
BPM0011	query_module	CDKN2B	Acute Lymphoblastic Leukemia
BPM0011	query_module	CDKN2B	Glioma
BPM0011	query_module	CDKN2B	Malignant Peripheral Nerve Sheath Tumor
BPM0011	query_module	CDKN2B	Meningioma
BPM0011	query_module	CDKN2B	Oligoastrocytoma
BPM0011	query_module	CDKN2B	Thymic Carcinoma
BPM0011	query_module	GSK3B	Alzheimer Disease
BPM0011	query_module	PC	Pyruvate Carboxylase Deficiency Disease
BPM0011	library_module	ADK	Adenosine Kinase Deficiency
BPM0011	library_module	BCL2	Follicular Lymphoma
BPM0011	library_module	BCL2	Primary_Tonsillar_Lymphoma
BPM0011	library_module	PDXK	Neuropathy Hereditary Motor And Sensory Type VIc With Optic Atrophy
BPM0011	library_module	VPS35	Parkinson's Disease
BPM0012	query_module	CDKN2B	Acute Lymphoblastic Leukemia
BPM0012	query_module	CDKN2B	Glioma
BPM0012	query_module	CDKN2B	Malignant Peripheral Nerve Sheath Tumor
BPM0012	query_module	CDKN2B	Meningioma
BPM0012	query_module	CDKN2B	Oligoastrocytoma
BPM0012	query_module	CDKN2B	Thymic Carcinoma
BPM0012	query_module	GSK3B	Alzheimer Disease
BPM0012	query_module	PC	Pyruvate Carboxylase Deficiency Disease
BPM0012	library_module	CCDC22	Ritscher-Schinzel Syndrome
BPM0012	library_module	RAB18	Warburg micro syndrome
BPM0012	library_module	RAB3GAP2	Warburg micro syndrome
BPM0012	library_module	TBC1D20	Warburg micro syndrome
BPM0013	query_module	CDKN2B	Acute Lymphoblastic Leukemia
BPM0013	query_module	CDKN2B	Glioma
BPM0013	query_module	CDKN2B	Malignant Peripheral Nerve Sheath Tumor
BPM0013	query_module	CDKN2B	Meningioma
BPM0013	query_module	CDKN2B	Oligoastrocytoma
BPM0013	query_module	CDKN2B	Thymic Carcinoma
BPM0013	query_module	GSK3B	Alzheimer Disease
BPM0013	query_module	PC	Pyruvate Carboxylase Deficiency Disease
BPM0013	library_module	BCL2	Follicular Lymphoma
BPM0013	library_module	BCL2	Primary_Tonsillar_Lymphoma
BPM0013	library_module	RAB7A	Charcot-Marie-Tooth Disease Type 2
BPM0013	library_module	TSC1	Focal Cortical Dysplasia Type II
BPM0013	library_module	TSC1	Infantile Spasms
BPM0013	library_module	TSC1	Lymphangioleiomyomatosis
BPM0013	library_module	TSC1	Perivascular Epithelioid Cell Neoplasm
BPM0013	library_module	TSC1	Tuberous Sclerosis Complex
BPM0013	library_module	VPS35	Parkinson's Disease
BPM0014	query_module	CDKN2B	Acute Lymphoblastic Leukemia
BPM0014	query_module	CDKN2B	Glioma
BPM0014	query_module	CDKN2B	Malignant Peripheral Nerve Sheath Tumor
BPM0014	query_module	CDKN2B	Meningioma
BPM0014	query_module	CDKN2B	Oligoastrocytoma
BPM0014	query_module	CDKN2B	Thymic Carcinoma
BPM0014	query_module	GSK3B	Alzheimer Disease
BPM0014	query_module	PC	Pyruvate Carboxylase Deficiency Disease
BPM0014	library_module	ALDH18A1	ALDH18A1-Related Autosomal Dominant Cutis Laxa Type 3
BPM0014	library_module	ALDH18A1	ALDH18A1-Related Spastic Paraplegia and Neurocutaneous Spectrum
BPM0014	library_module	ALDH18A1	Complex Hereditary Spastic Paraplegia
BPM0014	library_module	CHP1	Autosomal Recessive Spastic Ataxia 9
BPM0014	library_module	DNAJC7	Amyotrophic Lateral Sclerosis
BPM0014	library_module	MGAT2	MGAT2-congenital disorder of glycosylation
BPM0014	library_module	VPS35	Parkinson's Disease
BPM0015	query_module	CDKN2B	Acute Lymphoblastic Leukemia
BPM0015	query_module	CDKN2B	Glioma
BPM0015	query_module	CDKN2B	Malignant Peripheral Nerve Sheath Tumor
BPM0015	query_module	CDKN2B	Meningioma
BPM0015	query_module	CDKN2B	Oligoastrocytoma
BPM0015	query_module	CDKN2B	Thymic Carcinoma
BPM0015	query_module	GSK3B	Alzheimer Disease
BPM0015	query_module	PC	Pyruvate Carboxylase Deficiency Disease
BPM0015	library_module	ATF4	Ewing Sarcoma
BPM0015	library_module	BCL2	Follicular Lymphoma
BPM0015	library_module	BCL2	Primary_Tonsillar_Lymphoma
BPM0015	library_module	DNAJC7	Amyotrophic Lateral Sclerosis
BPM0016	query_module	CDKN2B	Acute Lymphoblastic Leukemia
BPM0016	query_module	CDKN2B	Glioma
BPM0016	query_module	CDKN2B	Malignant Peripheral Nerve Sheath Tumor
BPM0016	query_module	CDKN2B	Meningioma
BPM0016	query_module	CDKN2B	Oligoastrocytoma
BPM0016	query_module	CDKN2B	Thymic Carcinoma
BPM0016	query_module	GSK3B	Alzheimer Disease
BPM0016	query_module	PC	Pyruvate Carboxylase Deficiency Disease
BPM0016	library_module	GLS	Chromosome 2q32-q33 Deletion Syndrome
BPM0016	library_module	GLS	Global Developmental Delay, Progressive Ataxia, and Elevated Glutamine
BPM0016	library_module	GLS	Infantile Cataract, Skin Abnormalities, Glutamate Excess, and Impaired Intellectual Development
BPM0016	library_module	GLS	Neonatal Epileptic Encephalopathy Due to Glutaminase Deficiency
BPM0016	library_module	GNAS	Adrenal Cortex Adenoma
BPM0016	library_module	GNAS	Appendiceal Neoplasm
BPM0016	library_module	GNAS	Fibrous Dysplasia
BPM0016	library_module	GNAS	GNAS-related pituitary adenoma 3
BPM0016	library_module	GNAS	Pituitary Tumor
BPM0016	library_module	GNAS	Pseudohypoparathyroidism
BPM0016	library_module	GNAS	Pseudomyxoma Peritonei
BPM0016	library_module	GNAS	Pseudopseudohypoparathyroidism
BPM0016	library_module	GNAS	Testicular Sex Cord-Stromal Neoplasm
BPM0016	library_module	MORC2	Charcot-Marie-Tooth Disease Type 2
BPM0017	query_module	CDKN2B	Acute Lymphoblastic Leukemia
BPM0017	query_module	CDKN2B	Glioma
BPM0017	query_module	CDKN2B	Malignant Peripheral Nerve Sheath Tumor
BPM0017	query_module	CDKN2B	Meningioma
BPM0017	query_module	CDKN2B	Oligoastrocytoma
BPM0017	query_module	CDKN2B	Thymic Carcinoma
BPM0017	query_module	GSK3B	Alzheimer Disease
BPM0017	query_module	PC	Pyruvate Carboxylase Deficiency Disease
BPM0017	library_module	ALG8	Autosomal Dominant Polycystic Kidney Disease
BPM0017	library_module	ALG8	Autosomal dominant polycystic liver disease
BPM0017	library_module	GNAS	Adrenal Cortex Adenoma
BPM0017	library_module	GNAS	Appendiceal Neoplasm
BPM0017	library_module	GNAS	Fibrous Dysplasia
BPM0017	library_module	GNAS	GNAS-related pituitary adenoma 3
BPM0017	library_module	GNAS	Pituitary Tumor
BPM0017	library_module	GNAS	Pseudohypoparathyroidism
BPM0017	library_module	GNAS	Pseudomyxoma Peritonei
BPM0017	library_module	GNAS	Pseudopseudohypoparathyroidism
BPM0017	library_module	GNAS	Testicular Sex Cord-Stromal Neoplasm
BPM0017	library_module	PDXK	Neuropathy Hereditary Motor And Sensory Type VIc With Optic Atrophy
BPM0018	query_module	CDKN2B	Acute Lymphoblastic Leukemia
BPM0018	query_module	CDKN2B	Glioma
BPM0018	query_module	CDKN2B	Malignant Peripheral Nerve Sheath Tumor
BPM0018	query_module	CDKN2B	Meningioma
BPM0018	query_module	CDKN2B	Oligoastrocytoma
BPM0018	query_module	CDKN2B	Thymic Carcinoma
BPM0018	query_module	GSK3B	Alzheimer Disease
BPM0018	query_module	PC	Pyruvate Carboxylase Deficiency Disease
BPM0018	library_module	CHP1	Autosomal Recessive Spastic Ataxia 9
BPM0018	library_module	MGAT2	MGAT2-congenital disorder of glycosylation
BPM0018	library_module	RAB3GAP2	Warburg micro syndrome
BPM0018	library_module	RPS6KB1	Hypertrophic Cardiomyopathy
BPM0018	library_module	TBC1D20	Warburg micro syndrome
BPM0018	library_module	VPS35	Parkinson's Disease
BPM0019	query_module	CDKN2B	Acute Lymphoblastic Leukemia
BPM0019	query_module	CDKN2B	Glioma
BPM0019	query_module	CDKN2B	Malignant Peripheral Nerve Sheath Tumor
BPM0019	query_module	CDKN2B	Meningioma
BPM0019	query_module	CDKN2B	Oligoastrocytoma
BPM0019	query_module	CDKN2B	Thymic Carcinoma
BPM0019	query_module	GSK3B	Alzheimer Disease
BPM0019	query_module	PC	Pyruvate Carboxylase Deficiency Disease
BPM0019	library_module	CCDC22	Ritscher-Schinzel Syndrome
BPM0019	library_module	PBRM1	Chordoma
BPM0019	library_module	PBRM1	Clear Cell Renal Cell Carcinoma
BPM0019	library_module	PBRM1	Malignant Peritoneal Mesothelioma
BPM0019	library_module	PBRM1	Renal Cell Carcinoma
BPM0019	library_module	RAB7A	Charcot-Marie-Tooth Disease Type 2
BPM0019	library_module	RPS6KB1	Hypertrophic Cardiomyopathy
BPM0019	library_module	SMARCC1	Congenital Hydrocephalus
BPM0019	library_module	ZEB2	Hirschsprung Disease
BPM0019	library_module	ZEB2	Mowat-Wilson syndrome
BPM0020	query_module	CDKN2B	Acute Lymphoblastic Leukemia
BPM0020	query_module	CDKN2B	Glioma
BPM0020	query_module	CDKN2B	Malignant Peripheral Nerve Sheath Tumor
BPM0020	query_module	CDKN2B	Meningioma
BPM0020	query_module	CDKN2B	Oligoastrocytoma
BPM0020	query_module	CDKN2B	Thymic Carcinoma
BPM0020	query_module	GSK3B	Alzheimer Disease
BPM0020	query_module	PC	Pyruvate Carboxylase Deficiency Disease
BPM0020	library_module	BCL2	Follicular Lymphoma
BPM0020	library_module	BCL2	Primary_Tonsillar_Lymphoma
BPM0020	library_module	DNAJC7	Amyotrophic Lateral Sclerosis
BPM0020	library_module	GALE	Galactosemia
BPM0020	library_module	GSS	Glutathione Synthetase Deficiency
BPM0020	library_module	RAB7A	Charcot-Marie-Tooth Disease Type 2
BPM0021	query_module	CDKN2B	Acute Lymphoblastic Leukemia
BPM0021	query_module	CDKN2B	Glioma
BPM0021	query_module	CDKN2B	Malignant Peripheral Nerve Sheath Tumor
BPM0021	query_module	CDKN2B	Meningioma
BPM0021	query_module	CDKN2B	Oligoastrocytoma
BPM0021	query_module	CDKN2B	Thymic Carcinoma
BPM0021	query_module	GSK3B	Alzheimer Disease
BPM0021	query_module	PC	Pyruvate Carboxylase Deficiency Disease
BPM0021	library_module	GLS	Chromosome 2q32-q33 Deletion Syndrome
BPM0021	library_module	GLS	Global Developmental Delay, Progressive Ataxia, and Elevated Glutamine
BPM0021	library_module	GLS	Infantile Cataract, Skin Abnormalities, Glutamate Excess, and Impaired Intellectual Development
BPM0021	library_module	GLS	Neonatal Epileptic Encephalopathy Due to Glutaminase Deficiency
BPM0021	library_module	MORC2	Charcot-Marie-Tooth Disease Type 2
BPM0021	library_module	MYH9	Autosomal Dominant Nonsyndromic Hearing Loss 17
BPM0022	query_module	CDKN2B	Acute Lymphoblastic Leukemia
BPM0022	query_module	CDKN2B	Glioma
BPM0022	query_module	CDKN2B	Malignant Peripheral Nerve Sheath Tumor
BPM0022	query_module	CDKN2B	Meningioma
BPM0022	query_module	CDKN2B	Oligoastrocytoma
BPM0022	query_module	CDKN2B	Thymic Carcinoma
BPM0022	query_module	GSK3B	Alzheimer Disease
BPM0022	query_module	PC	Pyruvate Carboxylase Deficiency Disease
BPM0022	library_module	CHP1	Autosomal Recessive Spastic Ataxia 9
BPM0022	library_module	KDM1A	ACTH-Independent Macronodular Adrenal Hyperplasia 3
BPM0022	library_module	KDM1A	KDM1A-Related Neurodevelopmental Disorder
BPM0022	library_module	RAB18	Warburg micro syndrome
BPM0022	library_module	RAB3GAP1	Warburg micro syndrome
BPM0022	library_module	RAB3GAP2	Warburg micro syndrome
BPM0022	library_module	TBC1D20	Warburg micro syndrome
BPM0023	query_module	CDKN2B	Acute Lymphoblastic Leukemia
BPM0023	query_module	CDKN2B	Glioma
BPM0023	query_module	CDKN2B	Malignant Peripheral Nerve Sheath Tumor
BPM0023	query_module	CDKN2B	Meningioma
BPM0023	query_module	CDKN2B	Oligoastrocytoma
BPM0023	query_module	CDKN2B	Thymic Carcinoma
BPM0023	query_module	GSK3B	Alzheimer Disease
BPM0023	query_module	PC	Pyruvate Carboxylase Deficiency Disease
BPM0023	library_module	RAB18	Warburg micro syndrome
BPM0023	library_module	RAB3GAP2	Warburg micro syndrome
BPM0023	library_module	SPTLC1	Amyotrophic Lateral Sclerosis 27, Juvenile
BPM0023	library_module	SPTLC1	Hereditary Sensory and Autonomic Neuropathy
BPM0023	library_module	SPTLC1	Juvenile Amyotrophic Lateral Sclerosis
BPM0023	library_module	TBC1D20	Warburg micro syndrome
BPM0024	query_module	CDKN2B	Acute Lymphoblastic Leukemia
BPM0024	query_module	CDKN2B	Glioma
BPM0024	query_module	CDKN2B	Malignant Peripheral Nerve Sheath Tumor
BPM0024	query_module	CDKN2B	Meningioma
BPM0024	query_module	CDKN2B	Oligoastrocytoma
BPM0024	query_module	CDKN2B	Thymic Carcinoma
BPM0024	query_module	GSK3B	Alzheimer Disease
BPM0024	query_module	PC	Pyruvate Carboxylase Deficiency Disease
BPM0024	library_module	ALG12	ALG12-congenital disorder of glycosylation
BPM0024	library_module	ALG3	ALG3-congenital disorder of glycosylation
BPM0024	library_module	ALG9	ALG9-congenital disorder of glycosylation
BPM0024	library_module	ALG9	Autosomal Dominant Polycystic Kidney Disease
BPM0024	library_module	CHP1	Autosomal Recessive Spastic Ataxia 9
BPM0024	library_module	INPPL1	Opsismodysplasia
BPM0024	library_module	INPPL1	Schneckenbecken Dysplasia
BPM0024	library_module	MGAT2	MGAT2-congenital disorder of glycosylation
BPM0025	library_module	GATAD1	Dilated Cardiomyopathy
BPM0026	library_module	HADHA	HELLP Syndrome
BPM0026	library_module	HADHA	Long-chain 3-hydroxyacyl-CoA Dehydrogenase Deficiency
BPM0026	library_module	HADHA	Mitochondrial Trifunctional Protein Deficiency
BPM0026	library_module	HADHB	Mitochondrial Trifunctional Protein Deficiency
BPM0026	library_module	KEAP1	KRAS G12C-Mutant Non-Small Cell Lung Cancer
BPM0026	library_module	KEAP1	Large Cell Neuroendocrine Carcinoma
BPM0026	library_module	KEAP1	Non-Small Cell Lung Cancer
BPM0026	library_module	TAFAZZIN	Barth syndrome
BPM0026	library_module	TAFAZZIN	Left ventricular noncompaction
BPM0027	library_module	GATAD1	Dilated Cardiomyopathy
BPM0027	library_module	HADHA	HELLP Syndrome
BPM0027	library_module	HADHA	Long-chain 3-hydroxyacyl-CoA Dehydrogenase Deficiency
BPM0027	library_module	HADHA	Mitochondrial Trifunctional Protein Deficiency
BPM0027	library_module	HADHB	Mitochondrial Trifunctional Protein Deficiency
BPM0027	library_module	SLC2A1	Childhood Absence Epilepsy
BPM0027	library_module	SLC2A1	Epilepsy with Myoclonic Absences
BPM0027	library_module	SLC2A1	Epilepsy with Myoclonic-Atonic Seizures
BPM0027	library_module	SLC2A1	GLUT1 Deficiency Syndrome
BPM0027	library_module	SLC2A1	Jeavons Syndrome
BPM0027	library_module	SLC2A1	Paroxysmal Dyskinesia
BPM0027	library_module	TAFAZZIN	Barth syndrome
BPM0027	library_module	TAFAZZIN	Left ventricular noncompaction
BPM0028	query_module	CDKN2B	Acute Lymphoblastic Leukemia
BPM0028	query_module	CDKN2B	Glioma
BPM0028	query_module	CDKN2B	Malignant Peripheral Nerve Sheath Tumor
BPM0028	query_module	CDKN2B	Meningioma
BPM0028	query_module	CDKN2B	Oligoastrocytoma
BPM0028	query_module	CDKN2B	Thymic Carcinoma
BPM0028	query_module	GSK3B	Alzheimer Disease
BPM0028	query_module	PC	Pyruvate Carboxylase Deficiency Disease
BPM0028	library_module	RAB18	Warburg micro syndrome
BPM0028	library_module	RAB3GAP1	Warburg micro syndrome
BPM0028	library_module	RAB3GAP2	Warburg micro syndrome
BPM0028	library_module	SPTLC1	Amyotrophic Lateral Sclerosis 27, Juvenile
BPM0028	library_module	SPTLC1	Hereditary Sensory and Autonomic Neuropathy
BPM0028	library_module	SPTLC1	Juvenile Amyotrophic Lateral Sclerosis
BPM0028	library_module	TBC1D20	Warburg micro syndrome
BPM0029	library_module	ADNP	ADNP-Related Syndrome
BPM0029	library_module	GATAD1	Dilated Cardiomyopathy
BPM0029	library_module	KDM5A	Acute Megakaryoblastic Leukemia
BPM0030	library_module	ADNP	ADNP-Related Syndrome
BPM0030	library_module	FBXW7	MED13L Syndrome
BPM0030	library_module	HADHA	HELLP Syndrome
BPM0030	library_module	HADHA	Long-chain 3-hydroxyacyl-CoA Dehydrogenase Deficiency
BPM0030	library_module	HADHA	Mitochondrial Trifunctional Protein Deficiency
BPM0030	library_module	HADHB	Mitochondrial Trifunctional Protein Deficiency
BPM0030	library_module	KEAP1	KRAS G12C-Mutant Non-Small Cell Lung Cancer
BPM0030	library_module	KEAP1	Large Cell Neuroendocrine Carcinoma
BPM0030	library_module	KEAP1	Non-Small Cell Lung Cancer
BPM0030	library_module	TAFAZZIN	Barth syndrome
BPM0030	library_module	TAFAZZIN	Left ventricular noncompaction
BPM0030	library_module	TSC1	Focal Cortical Dysplasia Type II
BPM0030	library_module	TSC1	Infantile Spasms
BPM0030	library_module	TSC1	Lymphangioleiomyomatosis
BPM0030	library_module	TSC1	Perivascular Epithelioid Cell Neoplasm
BPM0030	library_module	TSC1	Tuberous Sclerosis Complex
BPM0030	library_module	TSC2	Focal Cortical Dysplasia Type II
BPM0030	library_module	TSC2	Gastroenteropancreatic Neuroendocrine Neoplasm
BPM0030	library_module	TSC2	Infantile Spasms
BPM0030	library_module	TSC2	Lymphangioleiomyomatosis
BPM0030	library_module	TSC2	Non-functional Pancreatic Neuroendocrine Tumor
BPM0030	library_module	TSC2	Pancreatic Neuroendocrine Tumor
BPM0030	library_module	TSC2	Perivascular Epithelioid Cell Neoplasm
BPM0030	library_module	TSC2	Sarcoidosis
BPM0030	library_module	TSC2	Thymic Neuroendocrine Carcinoma
