dataset,cell_type,gene,comparison,phenotype,n_group1,n_group2,mean_group1,mean_group2,log2_mean_diff,fold_change,test_statistic,pvalue,qvalue_BH,published_adj_p,cohens_d,marker_class,direction,resilient_direction_inferred
Supplementary_Data_1:Fig. 2f,Astrocyte,ABLIM1,AD_vs_Control_PAC-level,AD,100,100,,,0.17913137,1.1322019943096924,,1.831999666024303e-87,1.890026804767154e-86,4.770659763787269e-86,,none,up_in_ADPAC,higher_in_impaired
Supplementary_Data_1:Fig. 2f,Astrocyte,ABLIM2,AD_vs_Control_PAC-level,AD,100,100,,,0.8128735,1.7567068961847871,,1.1087811567913445e-29,4.635735398809778e-29,1.1701165447434327e-28,,none,up_in_ADPAC,higher_in_impaired
Supplementary_Data_1:Fig. 2f,Astrocyte,ABR,AD_vs_Control_PAC-level,AD,100,100,,,0.4914945,1.4059005058878933,,5.258757745977756e-167,1.117077732375399e-165,2.8196413815001847e-165,,none,up_in_ADPAC,higher_in_impaired
Supplementary_Data_1:Fig. 2f,Astrocyte,ABTB1,AD_vs_Control_PAC-level,AD,100,100,,,0.4250676,1.3426354128374542,,0.0002728073589381,0.0003584330263420292,0.0009035141093548,,none,up_in_ADPAC,higher_in_impaired
Supplementary_Data_1:Fig. 2f,Astrocyte,ABTB2,AD_vs_Control_PAC-level,AD,100,100,,,-0.41062978,0.7522949025490843,,3.2340191027571887e-12,7.458088557943079e-12,1.8825131425860708e-11,,none,down_in_ADPAC,higher_in_resilient
Supplementary_Data_1:Fig. 2f,Astrocyte,ACAA1,AD_vs_Control_PAC-level,AD,100,100,,,-0.33728495,0.7915295136249083,,4.6213395685609235e-10,9.416134241571853e-10,2.376747919309036e-09,,none,down_in_ADPAC,higher_in_resilient
Supplementary_Data_1:Fig. 2f,Astrocyte,ACACA,AD_vs_Control_PAC-level,AD,100,100,,,-0.025025558,0.9828031875847567,,0.0040340078527748,0.004534529780276028,0.011426931185916,,none,down_in_ADPAC,higher_in_resilient
Supplementary_Data_1:Fig. 2f,Astrocyte,ACACB,AD_vs_Control_PAC-level,AD,100,100,,,0.76185477,1.6956692248346332,,0.0,0.0,0.0,,none,up_in_ADPAC,higher_in_impaired
Supplementary_Data_1:Fig. 2f,Astrocyte,ACAD10,AD_vs_Control_PAC-level,AD,100,100,,,0.12438449,1.0900425787471462,,0.0084252021671412,0.008977782025743232,0.0226187397629752,,none,up_in_ADPAC,higher_in_impaired
Supplementary_Data_1:Fig. 2f,Astrocyte,ACAD9,AD_vs_Control_PAC-level,AD,100,100,,,-0.10771277,0.9280582276648855,,0.0158935789262647,0.016182208969284094,0.0407669945271075,,none,down_in_ADPAC,higher_in_resilient
Supplementary_Data_1:Fig. 2f,Astrocyte,ACADL,AD_vs_Control_PAC-level,AD,100,100,,,-0.33431712,0.7931594789817837,,0.0068341107853808,0.007402267263975404,0.0186517424453999,,none,down_in_ADPAC,higher_in_resilient
Supplementary_Data_1:Fig. 2f,Astrocyte,ACADSB,AD_vs_Control_PAC-level,AD,100,100,,,0.19202955,1.1423696451942436,,8.832075518644965e-06,1.3394988148011432e-05,3.37881196165312e-05,,none,up_in_ADPAC,higher_in_impaired
