dismech_name	source	file	mindmap_title	nodes	url
Non-Small Cell Lung Cancer	KB	Non-Small_Cell_Lung_Cancer.yaml	Adjuvant immunotherapy in non small cell lung cancer	54	https://www.sciqst.com/mindmaps/SRUk1_QR3kjP
Non-Small Cell Lung Cancer	KB	Non-Small_Cell_Lung_Cancer.yaml	Stereotactic Ablative radiotherapy in Locally Advanced non small Cell lung cancer	30	https://www.sciqst.com/mindmaps/iuZiKu6YMnUe
Osteoarthritis	KB	Osteoarthritis.yaml	Knee osteoarthritis	39	https://www.sciqst.com/mindmaps/Y2bnblXHZgs8
Osteoporosis	KB	Osteoporosis.yaml	Osteoporosis	31	https://www.sciqst.com/mindmaps/IflXOSqUjp10
Osteoporosis	KB	Osteoporosis.yaml	Osteoporosis	75	https://www.sciqst.com/mindmaps/6OnvSVIz58NC
Parkinsons Disease	KB	Parkinsons_Disease.yaml	Parkinsons disease	65	https://www.sciqst.com/mindmaps/aJZyyBQsQVTa
Polycythemia Vera	KB	Polycythemia_Vera.yaml	treatment armamentarium for polycythemia vera	40	https://www.sciqst.com/mindmaps/0t7wZw-U7-CS
Pulmonary hypertension	KB	Pulmonary_hypertension.yaml	pulmonary hypertension	46	https://www.sciqst.com/mindmaps/9jHwtNc2nr0x
Rheumatic Heart Disease	KB	Rheumatic_Heart_Disease.yaml	Rheumatic heart disease	37	https://www.sciqst.com/mindmaps/de7hTOQuRPVU
Rheumatic Heart Disease	KB	Rheumatic_Heart_Disease.yaml	Rheumatic heart disease	50	https://www.sciqst.com/mindmaps/vdWKHv9MU08B
Rheumatic Heart Disease	KB	Rheumatic_Heart_Disease.yaml	Rheumatic heart disease	51	https://www.sciqst.com/mindmaps/GxxYsxRG-iBd
Sarcoidosis	KB	Sarcoidosis.yaml	sarcoidosis	52	https://www.sciqst.com/mindmaps/0VnP_x9zar6k
Sarcoidosis	KB	Sarcoidosis.yaml	sarcoidosis	53	https://www.sciqst.com/mindmaps/KGmAWM8eJvi1
Short QT Syndrome	KB	Short_QT_Syndrome.yaml	short qt syndrome	44	https://www.sciqst.com/mindmaps/0FlQchrVm98u
Solitary Fibrous Tumor	KB	Solitary_Fibrous_Tumor.yaml	Solitary Fibrous Tumor	28	https://www.sciqst.com/mindmaps/5Grojev_zAjz
Solitary Fibrous Tumor	KB	Solitary_Fibrous_Tumor.yaml	Solitary Fibrous Tumor	65	https://www.sciqst.com/mindmaps/dOrB9KJA4Ths
Solitary Fibrous Tumor	KB	Solitary_Fibrous_Tumor.yaml	solitary fibrous tumor	68	https://www.sciqst.com/mindmaps/nllrZRLUfAlW
Uveal Melanoma	KB	Uveal_Melanoma.yaml	uveal melanoma	40	https://www.sciqst.com/mindmaps/Rwfo4WfKttCN
mast cell activation syndrome	STUB	Mast_Cell_Activation_Syndrome.yaml	Benzodiazepines in mast cell activation syndrome and in dysautonomia	50	https://www.sciqst.com/mindmaps/90NI_9gArH6k
